CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20055
NOMBRE    : LA ESTRELLA
ESTADO    : OAXACA
MUNICIPIO : SAN FELIPE USILA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.967°
LONGITUD  : -96.45°
ALTITUD   : 189 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
05/03/1953  0       3.4    Nulo   Nulo   
06/03/1953  2       2.6    28     16.5   
07/03/1953  9.5     2.2    25     19     
08/03/1953  9.3     2.4    24     20     
09/03/1953  0       2.6    27     18.5   
10/03/1953  0       5.9    30.5   18     
11/03/1953  0       5.9    32.5   17.5   
12/03/1953  0       4.5    32.5   18     
13/03/1953  0       6.5    32.5   18.5   
14/03/1953  0       6.5    33.5   19     
15/03/1953  0       5.9    33.5   19.5   
16/03/1953  0       6.1    32.5   21.5   
17/03/1953  0       6.9    33.5   19.5   
18/03/1953  0       7.6    35     19     
19/03/1953  45.5    7.8    33     20.5   
20/03/1953  0       4.7    29     19.5   
21/03/1953  0       6.6    33.5   20     
22/03/1953  0       5.3    34     19.5   
23/03/1953  0       6.2    33     20.5   
24/03/1953  20.1    6.2    32.5   22.5   
25/03/1953  14      4.2    30     21.5   
26/03/1953  0       6.5    31.5   19.5   
27/03/1953  0       6.6    32     20     
28/03/1953  0       6.2    32     19     
29/03/1953  0       6.4    31.5   16.5   
30/03/1953  0       5.9    32.5   16.5   
31/03/1953  0       4.2    34.5   19     
01/04/1953  0.3     6.2    35.5   21     
02/04/1953  0.4     1.4    31     21.5   
03/04/1953  36.8    2.8    28     21.5   
04/04/1953  0       2.5    27.5   21     
05/04/1953  0       3.7    32.5   21     
06/04/1953  0       7.3    40     21     
07/04/1953  0       4.6    36     21     
08/04/1953  0       7.5    38     21     
09/04/1953  0       4.6    38.5   22     
10/04/1953  0       5.1    36     22.5   
11/04/1953  0       5.8    37     22     
12/04/1953  0       6.4    37.5   20.5   
13/04/1953  4.4     4.2    31     20     
14/04/1953  0       3.7    31     22     
15/04/1953  10.6    6.7    31.5   20.5   
16/04/1953  0.9     3.6    27.5   21     
17/04/1953  0       4.7    35     20     
18/04/1953  0       4.4    39     21     
19/04/1953  22      4.2    31.5   22     
20/04/1953  62.3    0.6    31.5   21.5   
21/04/1953  0       1.6    26.5   18.5   
22/04/1953  0       4.3    30     20     
23/04/1953  0       5.2    33     21     
24/04/1953  0       5.2    35.5   21.5   
25/04/1953  0.4     3.8    36     22.5   
26/04/1953  69.1    6      33     22     
27/04/1953  4       2.5    28     21     
28/04/1953  0       5.8    35.5   20     
29/04/1953  0       10.5   42     20     
30/04/1953  0       4.5    39     20.5   
01/05/1953  0       4      35     21.5   
02/05/1953  0       3.9    35     20.5   
03/05/1953  0       3.1    34.5   22     
04/05/1953  184.8   3      34.5   22     
05/05/1953  0       2.9    26.5   19     
06/05/1953  0       5.3    30     18.5   
07/05/1953  0       7.2    31     17.5   
08/05/1953  0       4.1    31     18.5   
