CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20059
NOMBRE    : LA VENTA
ESTADO    : OAXACA
MUNICIPIO : HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.567°
LONGITUD  : -94.81°
ALTITUD   : 31 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1966  0       6.8    30     22     
02/01/1966  0       7.8    32     19.5   
03/01/1966  0       4.2    29     21     
04/01/1966  0       9.8    26.5   19     
05/01/1966  0       10.3   26.5   19.5   
06/01/1966  0       8.3    26     20.5   
07/01/1966  0       8.1    24.5   19.5   
08/01/1966  0       13.5   25.5   18.5   
09/01/1966  0       7.1    24     19     
10/01/1966  0       9.4    27     19.5   
11/01/1966  0       11.9   26.5   20.5   
12/01/1966  0       8      27     19     
13/01/1966  0       8.5    28.5   20     
14/01/1966  0       9.5    30     21     
15/01/1966  0       6.4    25     16.5   
16/01/1966  0       7.1    26.5   18     
17/01/1966  0       12.3   26     20.5   
18/01/1966  0       8.8    28.5   20.5   
19/01/1966  0       9.9    29     20     
20/01/1966  0       11.2   29     21.5   
21/01/1966  0       9.7    32     21     
22/01/1966  0       6.8    26     22     
23/01/1966  0       9      21     15     
24/01/1966  0       7.7    30     16     
25/01/1966  0       7      29     19.5   
26/01/1966  0       10.5   22     18     
27/01/1966  0       8.7    20.5   14.5   
28/01/1966  0       10.7   31     15     
29/01/1966  0       7.8    26     18     
30/01/1966  0       8.5    23.5   15     
31/01/1966  0       11.5   31.5   17     
01/02/1966  0       8.4    33     17.5   
02/02/1966  0       12.2   25.5   18.5   
03/02/1966  0       10.8   26     20     
04/02/1966  0       8      22     17.5   
05/02/1966  0       11.5   23.5   17     
06/02/1966  0       13.2   26     16.5   
07/02/1966  0       8.8    29.5   17     
08/02/1966  0       8.6    34     19     
09/02/1966  0       7.4    32     19     
10/02/1966  0       9.6    34.5   21     
11/02/1966  0       9.1    34     22     
12/02/1966  0       10.3   32     22     
13/02/1966  0       5.6    26     20     
14/02/1966  0       6.8    32     20     
15/02/1966  0       9.9    27     20     
16/02/1966  0       8.6    33     21     
17/02/1966  0       9.3    26     22.5   
18/02/1966  0       7.9    26.5   19     
19/02/1966  0       12.3   25     19.5   
20/02/1966  0       8.8    26     19     
21/02/1966  0       11     26     19     
22/02/1966  0       10.4   26.5   20     
23/02/1966  0       5.4    22     18     
24/02/1966  0       10.1   24     16     
25/02/1966  0       9.1    24     16.5   
26/02/1966  0       11     33     17     
27/02/1966  0       8      33.5   20     
28/02/1966  0       11.2   28     20     
01/03/1966  0       8.4    27     19     
02/03/1966  0       5.1    35     20     
03/03/1966  0       11.2   33     20     
04/03/1966  0       8.9    34     22     
05/03/1966  0       10.4   22     19     
06/03/1966  0       10.1   23     16     
07/03/1966  0       12.1   24     17     
08/03/1966  0       10.1   25     16     
09/03/1966  0       9.9    27.5   18     
10/03/1966  0       15.4   38     20     
11/03/1966  0       10.3   30     21     
12/03/1966  0       6.1    33     22     
13/03/1966  0       9.5    30     21     
14/03/1966  0       11.9   29     20     
15/03/1966  0       11.8   32     20     
16/03/1966  0       6.3    31     21     
17/03/1966  0       11.8   31     22     
18/03/1966  0       5.1    30     22.5   
19/03/1966  0       8.2    32     22     
20/03/1966  0       7.2    30     22     
21/03/1966  0       8.1    29     20     
22/03/1966  0       8.1    34     22     
23/03/1966  0       4.1    35     22     
24/03/1966  0       13.1   24     21     
25/03/1966  0       7.1    25     18     
26/03/1966  0       9.2    35     20     
27/03/1966  0       6.1    36     22     
28/03/1966  0       5.1    34     23     
29/03/1966  0       4.8    33     24     
30/03/1966  0       3.1    30     23     
31/03/1966  0       5.1    30     22     
01/04/1966  0       7.2    35     23     
02/04/1966  0       10     34     25     
03/04/1966  10      5.1    32     25.5   
04/04/1966  0       10.1   34     23     
