CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20066
NOMBRE    : MAHUIZAPA
ESTADO    : OAXACA
MUNICIPIO : TEPELMEME VILLA DE MORELOS
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.0°
LONGITUD  : -97.267°
ALTITUD   : 2086 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1954  0       Nulo   Nulo   Nulo   
02/09/1954  0       Nulo   Nulo   Nulo   
03/09/1954  0       Nulo   Nulo   Nulo   
04/09/1954  0       Nulo   Nulo   Nulo   
05/09/1954  0       Nulo   Nulo   Nulo   
06/09/1954  0       Nulo   Nulo   Nulo   
07/09/1954  0       Nulo   Nulo   Nulo   
08/09/1954  0       Nulo   Nulo   Nulo   
09/09/1954  0       Nulo   Nulo   Nulo   
10/09/1954  0       Nulo   Nulo   Nulo   
11/09/1954  13      Nulo   Nulo   Nulo   
12/09/1954  36.1    Nulo   Nulo   Nulo   
13/09/1954  2.5     Nulo   Nulo   Nulo   
14/09/1954  3.2     Nulo   Nulo   Nulo   
15/09/1954  4.9     Nulo   Nulo   Nulo   
16/09/1954  0       Nulo   Nulo   Nulo   
17/09/1954  0       Nulo   Nulo   Nulo   
18/09/1954  0       Nulo   Nulo   Nulo   
19/09/1954  0       Nulo   Nulo   Nulo   
20/09/1954  9.4     Nulo   Nulo   Nulo   
21/09/1954  8.1     Nulo   Nulo   Nulo   
22/09/1954  4.6     Nulo   Nulo   Nulo   
23/09/1954  0.2     Nulo   Nulo   Nulo   
24/09/1954  2.4     Nulo   Nulo   Nulo   
25/09/1954  0.1     Nulo   Nulo   Nulo   
26/09/1954  1       Nulo   Nulo   Nulo   
27/09/1954  0       Nulo   Nulo   Nulo   
28/09/1954  5.5     Nulo   Nulo   Nulo   
29/09/1954  22      Nulo   Nulo   Nulo   
30/09/1954  0       Nulo   Nulo   Nulo   
01/10/1954  0.8     Nulo   Nulo   Nulo   
02/10/1954  4.5     Nulo   Nulo   Nulo   
03/10/1954  0       Nulo   Nulo   Nulo   
04/10/1954  0       Nulo   Nulo   Nulo   
05/10/1954  0       Nulo   Nulo   Nulo   
06/10/1954  0       Nulo   Nulo   Nulo   
07/10/1954  3.6     Nulo   Nulo   Nulo   
08/10/1954  3.1     Nulo   Nulo   Nulo   
09/10/1954  37      Nulo   Nulo   Nulo   
10/10/1954  0.2     Nulo   Nulo   Nulo   
11/10/1954  0       Nulo   Nulo   Nulo   
12/10/1954  0       Nulo   Nulo   Nulo   
13/10/1954  35.6    Nulo   Nulo   Nulo   
14/10/1954  0       Nulo   Nulo   Nulo   
15/10/1954  1.8     Nulo   Nulo   Nulo   
16/10/1954  0       Nulo   Nulo   Nulo   
17/10/1954  0       Nulo   Nulo   Nulo   
18/10/1954  0       Nulo   Nulo   Nulo   
19/10/1954  0       Nulo   Nulo   Nulo   
20/10/1954  0       Nulo   Nulo   Nulo   
21/10/1954  0       Nulo   Nulo   Nulo   
22/10/1954  0       Nulo   Nulo   Nulo   
23/10/1954  0       Nulo   Nulo   Nulo   
24/10/1954  0       Nulo   Nulo   Nulo   
25/10/1954  0       Nulo   Nulo   Nulo   
26/10/1954  0       Nulo   Nulo   Nulo   
27/10/1954  0       Nulo   Nulo   Nulo   
28/10/1954  0       Nulo   Nulo   Nulo   
29/10/1954  0       Nulo   Nulo   Nulo   
30/10/1954  0       Nulo   Nulo   Nulo   
31/10/1954  0.5     Nulo   Nulo   Nulo   
01/11/1954  0.5     Nulo   Nulo   Nulo   
02/11/1954  0       Nulo   Nulo   Nulo   
03/11/1954  1.5     Nulo   Nulo   Nulo   
04/11/1954  0       Nulo   Nulo   Nulo   
05/11/1954  0       Nulo   Nulo   Nulo   
06/11/1954  0       Nulo   Nulo   Nulo   
07/11/1954  0       Nulo   Nulo   Nulo   
08/11/1954  0       Nulo   Nulo   Nulo   
09/11/1954  0       Nulo   Nulo   Nulo   
10/11/1954  0       Nulo   Nulo   Nulo   
11/11/1954  0       Nulo   Nulo   Nulo   
12/11/1954  0       Nulo   Nulo   Nulo   
13/11/1954  0       Nulo   Nulo   Nulo   
14/11/1954  0       Nulo   Nulo   Nulo   
15/11/1954  0       Nulo   Nulo   Nulo   
16/11/1954  0       Nulo   Nulo   Nulo   
