CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20069
NOMBRE    : SAN JUAN METALTEPEC
ESTADO    : OAXACA
MUNICIPIO : SANTIAGO ZACATEPEC
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.173°
LONGITUD  : -95.914°
ALTITUD   : 1526 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/1955  10.5    Nulo   22     16     
02/07/1955  50.2    Nulo   22     15     
03/07/1955  40.5    Nulo   21     16     
04/07/1955  60.3    Nulo   18     15     
05/07/1955  20.5    Nulo   18     15     
06/07/1955  120     Nulo   22     15     
07/07/1955  50.4    Nulo   25     15     
08/07/1955  20.5    Nulo   23     17     
09/07/1955  0       Nulo   22     16     
10/07/1955  50.8    Nulo   24     16     
11/07/1955  60.7    Nulo   23     15     
12/07/1955  20.7    Nulo   17     13     
13/07/1955  60.2    Nulo   22     14     
14/07/1955  0.6     Nulo   22     14     
15/07/1955  90.2    Nulo   22     15     
16/07/1955  53      Nulo   22     Nulo   
17/07/1955  60.5    Nulo   19     Nulo   
18/07/1955  104     Nulo   18     Nulo   
19/07/1955  24      Nulo   17     Nulo   
20/07/1955  10.7    Nulo   19     Nulo   
21/07/1955  23.7    Nulo   18     Nulo   
22/07/1955  15.8    Nulo   29     Nulo   
23/07/1955  20      Nulo   20     14     
24/07/1955  40      Nulo   21     15     
25/07/1955  0.5     Nulo   21     15     
26/07/1955  20.5    Nulo   23     15     
27/07/1955  40      Nulo   20     15     
28/07/1955  14      Nulo   19     14     
29/07/1955  14      Nulo   20     15     
30/07/1955  10      Nulo   20     15     
31/07/1955  0       Nulo   23     16     
01/08/1955  11.2    Nulo   24     15     
02/08/1955  2.6     Nulo   22     15     
03/08/1955  20      Nulo   24     16     
04/08/1955  29.1    Nulo   21     15     
05/08/1955  19      Nulo   21     15     
06/08/1955  3.6     Nulo   24     14     
07/08/1955  5.7     Nulo   22     15     
08/08/1955  19      Nulo   24     15     
09/08/1955  2.3     Nulo   25     17     
10/08/1955  24.3    Nulo   24     16     
11/08/1955  0       Nulo   22     16     
12/08/1955  10.8    Nulo   21     16     
13/08/1955  3       Nulo   22     15     
14/08/1955  13.5    Nulo   21     15     
15/08/1955  45      Nulo   21     16     
16/08/1955  1.2     Nulo   23     15     
17/08/1955  1.4     Nulo   24     16     
18/08/1955  36.3    Nulo   23     16     
19/08/1955  17.8    Nulo   24     16     
20/08/1955  10.1    Nulo   21     16     
21/08/1955  21      Nulo   20     15     
22/08/1955  58      Nulo   21     15     
23/08/1955  1.5     Nulo   22     15     
24/08/1955  2.1     Nulo   23     15     
25/08/1955  13.5    Nulo   22     16     
26/08/1955  0       Nulo   22     15     
27/08/1955  29.4    Nulo   22     17     
28/08/1955  20.7    Nulo   21     15     
29/08/1955  55.5    Nulo   21     15     
30/08/1955  40      Nulo   23     15     
31/08/1955  22      Nulo   23     15     
01/09/1955  0.8     Nulo   19     15     
02/09/1955  103     Nulo   22     15     
03/09/1955  96.8    Nulo   18     16     
04/09/1955  16.6    Nulo   22     14     
05/09/1955  12.2    Nulo   22     16     
06/09/1955  29      Nulo   22     16     
07/09/1955  71.2    Nulo   19     16     
08/09/1955  72.2    Nulo   18     16     
09/09/1955  42      Nulo   20     15     
10/09/1955  40.9    Nulo   21     16     
11/09/1955  18      Nulo   24     15     
12/09/1955  23.3    Nulo   20     16     
13/09/1955  42.3    Nulo   20     14     
14/09/1955  0.6     Nulo   21     13     
15/09/1955  0       Nulo   21     14     
16/09/1955  5.8     Nulo   20     14     
17/09/1955  0       Nulo   23     14     
18/09/1955  0       Nulo   24     16     
19/09/1955  0       Nulo   24     18     
20/09/1955  16.6    Nulo   24     17     
21/09/1955  20.1    Nulo   21     16     
22/09/1955  30.8    Nulo   22     16     
23/09/1955  95      Nulo   22     15     
24/09/1955  8.7     Nulo   21     18     
25/09/1955  0.6     Nulo   22     17     
