CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20137
NOMBRE    : SANTIAGO TEOTONGO
ESTADO    : OAXACA
MUNICIPIO : TEOTONGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.717°
LONGITUD  : -97.55°
ALTITUD   : 2076 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1969  0       Nulo   21     10     
02/01/1969  0       Nulo   21     10     
03/01/1969  0       Nulo   21     11     
04/01/1969  0       Nulo   20     12     
05/01/1969  0       Nulo   25     13     
06/01/1969  0       Nulo   24     10     
07/01/1969  0       Nulo   19     10     
08/01/1969  0       Nulo   19     10.5   
09/01/1969  0       Nulo   20     10     
10/01/1969  0       Nulo   19     11     
11/01/1969  0       Nulo   20     11     
12/01/1969  0       Nulo   18     12     
13/01/1969  0       Nulo   16     10     
14/01/1969  0       Nulo   17     11     
15/01/1969  0       Nulo   18     11     
16/01/1969  0       Nulo   18     10     
17/01/1969  0       Nulo   19     10     
18/01/1969  20      Nulo   20     10     
19/01/1969  0       Nulo   20     11     
20/01/1969  0       Nulo   21     15     
21/01/1969  0       Nulo   19     14     
22/01/1969  0       Nulo   19     13     
23/01/1969  0       Nulo   19     13     
24/01/1969  0       Nulo   21     12     
25/01/1969  0       Nulo   19     13     
26/01/1969  0       Nulo   19     14     
27/01/1969  0       Nulo   16     12     
28/01/1969  0       Nulo   17     10     
29/01/1969  0       Nulo   21     10     
30/01/1969  0       Nulo   22     11     
31/01/1969  0       Nulo   22     14     
01/02/1969  0       Nulo   20     14     
02/02/1969  0       Nulo   18     14     
03/02/1969  0       Nulo   19     12     
04/02/1969  0       Nulo   19     13     
05/02/1969  0       Nulo   18     14     
06/02/1969  0       Nulo   21     12     
07/02/1969  0       Nulo   21     14     
08/02/1969  0       Nulo   19     15     
