CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20161
NOMBRE    : SAN PEDRO TEUTILA
ESTADO    : OAXACA
MUNICIPIO : SAN PEDRO TEUTILA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.0°
LONGITUD  : -96.71°
ALTITUD   : 452 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   19     15     
02/01/1961  1       Nulo   18     14     
03/01/1961  1       Nulo   19     14     
04/01/1961  0       Nulo   19     14     
05/01/1961  10      Nulo   18     13     
06/01/1961  0       Nulo   19     13     
07/01/1961  0       Nulo   23     14     
08/01/1961  3       Nulo   24     13     
09/01/1961  4       Nulo   17     14     
10/01/1961  0       Nulo   20     14     
11/01/1961  0       Nulo   22     10     
12/01/1961  0       Nulo   24     11     
13/01/1961  0       Nulo   23     12     
14/01/1961  0       Nulo   22     14     
15/01/1961  0       Nulo   20     13     
16/01/1961  0       Nulo   22     12     
17/01/1961  6       Nulo   19     15     
18/01/1961  0       Nulo   18     14     
19/01/1961  1       Nulo   23     14     
20/01/1961  0       Nulo   24     16     
21/01/1961  0       Nulo   25     17     
22/01/1961  0       Nulo   26     16     
23/01/1961  1       Nulo   21     15     
24/01/1961  0       Nulo   24     10     
25/01/1961  0       Nulo   27     13     
26/01/1961  0       Nulo   25     13     
27/01/1961  0       Nulo   23     14     
28/01/1961  0       Nulo   21     13     
29/01/1961  3       Nulo   18     12     
30/01/1961  10      Nulo   22     13     
31/01/1961  0       Nulo   18     16     
01/02/1961  0       Nulo   21     11     
02/02/1961  4       Nulo   20     13     
03/02/1961  5       Nulo   22     13     
04/02/1961  0       Nulo   24     12     
05/02/1961  0       Nulo   23     13     
06/02/1961  2       Nulo   24     12     
07/02/1961  2       Nulo   23     20     
08/02/1961  0       Nulo   24     13     
09/02/1961  0       Nulo   18     15     
10/02/1961  4       Nulo   17     12     
11/02/1961  0       Nulo   20     11     
12/02/1961  0       Nulo   21     15     
13/02/1961  0       Nulo   22     14     
14/02/1961  0       Nulo   23     11     
15/02/1961  0       Nulo   22     12     
16/02/1961  0       Nulo   24     13     
17/02/1961  0       Nulo   26     15     
18/02/1961  0       Nulo   22     16     
19/02/1961  0       Nulo   28     17     
20/02/1961  0       Nulo   32     17     
21/02/1961  4       Nulo   21     17     
22/02/1961  1       Nulo   18     13     
23/02/1961  0       Nulo   25     12     
24/02/1961  3       Nulo   32     12     
25/02/1961  0       Nulo   28     18     
26/02/1961  0       Nulo   30     17     
27/02/1961  0       Nulo   27     20     
28/02/1961  0       Nulo   28     14     
01/03/1961  5       Nulo   27     18     
02/03/1961  0       Nulo   22     19     
03/03/1961  0       Nulo   24     15     
04/03/1961  0       Nulo   27     17     
05/03/1961  0       Nulo   28     18     
