CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20163
NOMBRE    : TEZOATLAN DE SEGURA Y LUNA
ESTADO    : OAXACA
MUNICIPIO : TEZOATLAN DE SEGURA Y LUNA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.652°
LONGITUD  : -97.811°
ALTITUD   : 1527 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
05/09/1963  0       Nulo   31     Nulo   
06/09/1963  0       Nulo   28     19     
07/09/1963  0       Nulo   26     18     
08/09/1963  0       Nulo   25     19     
09/09/1963  0       Nulo   25     18     
10/09/1963  0       Nulo   28     17     
11/09/1963  0       Nulo   27     19     
12/09/1963  0       Nulo   30     19     
13/09/1963  0       Nulo   30     17     
14/09/1963  0       Nulo   30     18     
15/09/1963  19      Nulo   32     16     
16/09/1963  0       Nulo   30     17     
17/09/1963  0       Nulo   29     14     
18/09/1963  0       Nulo   29     17     
19/09/1963  0       Nulo   30     18     
20/09/1963  0       Nulo   31     18     
21/09/1963  0       Nulo   29     18     
22/09/1963  0       Nulo   28     19     
23/09/1963  6       Nulo   28     19     
24/09/1963  14      Nulo   28     17     
25/09/1963  20      Nulo   28     16     
26/09/1963  2.1     Nulo   27     17     
27/09/1963  5       Nulo   27     16     
28/09/1963  5       Nulo   30     17     
29/09/1963  13      Nulo   29     17     
30/09/1963  0       Nulo   25     18     
01/10/1963  0       Nulo   28     15     
02/10/1963  0       Nulo   29     15     
03/10/1963  0       Nulo   27     15     
04/10/1963  0       Nulo   28     17     
05/10/1963  0       Nulo   28     16     
06/10/1963  0       Nulo   29     15     
07/10/1963  0       Nulo   29     16     
08/10/1963  0       Nulo   28     16     
09/10/1963  0       Nulo   28     12     
10/10/1963  0       Nulo   27     16     
11/10/1963  0       Nulo   26     19     
12/10/1963  0       Nulo   26     16     
13/10/1963  0       Nulo   28     16     
14/10/1963  0       Nulo   29     17     
15/10/1963  0       Nulo   26     16     
16/10/1963  0       Nulo   27     17     
17/10/1963  0       Nulo   28     15     
18/10/1963  0       Nulo   29     15     
19/10/1963  0       Nulo   30     15     
20/10/1963  0       Nulo   31     14     
21/10/1963  0       Nulo   29     18     
22/10/1963  0       Nulo   31     15     
23/10/1963  0       Nulo   30     15     
24/10/1963  35.9    Nulo   31     16     
25/10/1963  0       Nulo   27     16     
26/10/1963  11      Nulo   31     16     
27/10/1963  1       Nulo   31     15     
28/10/1963  0       Nulo   27     15     
29/10/1963  0       Nulo   26     17     
30/10/1963  0       Nulo   26     18     
31/10/1963  0       Nulo   31     13     
01/11/1963  0       Nulo   31     12     
02/11/1963  0       Nulo   29     17     
03/11/1963  0       Nulo   31     12     
04/11/1963  0       Nulo   32     12     
05/11/1963  0       Nulo   32     16     
06/11/1963  0       Nulo   31     16     
07/11/1963  0       Nulo   31     16     
08/11/1963  0       Nulo   31     16     
09/11/1963  0       Nulo   31     15     
10/11/1963  0       Nulo   31     15     
11/11/1963  0       Nulo   30     14     
12/11/1963  0       Nulo   29     13     
13/11/1963  0       Nulo   32     14     
14/11/1963  0       Nulo   28     14     
15/11/1963  0       Nulo   27     14     
16/11/1963  0       Nulo   29     11     
17/11/1963  0       Nulo   31     12     
18/11/1963  0       Nulo   31     7      
19/11/1963  0       Nulo   31     7      
20/11/1963  0       Nulo   32     7      
21/11/1963  0       Nulo   31     10     
22/11/1963  0       Nulo   31     9      
23/11/1963  0       Nulo   29     10     
24/11/1963  0       Nulo   29     16     
25/11/1963  1       Nulo   30     12     
26/11/1963  0.5     Nulo   31     11     
27/11/1963  0       Nulo   31     12     
28/11/1963  0       Nulo   31     13     
29/11/1963  0       Nulo   31     15     
30/11/1963  0       Nulo   28     12     
01/12/1963  0       Nulo   29     8      
02/12/1963  0       Nulo   32     9      
03/12/1963  0       Nulo   27     12     
04/12/1963  0       Nulo   30     12     
