CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20221
NOMBRE    : C.A.E. YANHUITLAN
ESTADO    : OAXACA
MUNICIPIO : SANTO DOMINGO YANHUITLAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 017.517°
LONGITUD  : -97.317°
ALTITUD   : 2225 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1973  0       Nulo   Nulo   Nulo   
02/01/1973  0       Nulo   27     3      
03/01/1973  0       Nulo   25     5      
04/01/1973  0       Nulo   25     0      
05/01/1973  0       Nulo   25     3      
06/01/1973  0       Nulo   24     3      
07/01/1973  0       Nulo   26     4      
08/01/1973  0       Nulo   25     3      
09/01/1973  0       Nulo   25     4      
10/01/1973  0       Nulo   23     3      
11/01/1973  0       Nulo   17     6      
12/01/1973  0       Nulo   22     1      
13/01/1973  0       Nulo   23     6      
14/01/1973  0       Nulo   23     2      
15/01/1973  0       Nulo   23     1      
16/01/1973  0       Nulo   20     1      
17/01/1973  0       Nulo   24     1      
18/01/1973  0       Nulo   22     4      
19/01/1973  0       Nulo   Nulo   Nulo   
20/01/1973  0       Nulo   25     2      
21/01/1973  0       Nulo   Nulo   Nulo   
22/01/1973  0       Nulo   26     2      
23/01/1973  0       Nulo   24     1      
24/01/1973  0       Nulo   21     1      
25/01/1973  0       Nulo   22.5   2      
26/01/1973  0       Nulo   18     3      
27/01/1973  0       Nulo   28     -1     
28/01/1973  0       Nulo   Nulo   Nulo   
29/01/1973  0       Nulo   24     4      
30/01/1973  0       Nulo   17     -8     
31/01/1973  0       Nulo   28     -2     
01/02/1973  0       Nulo   Nulo   Nulo   
02/02/1973  0       Nulo   Nulo   Nulo   
03/02/1973  0       Nulo   25     5      
04/02/1973  0       Nulo   Nulo   Nulo   
05/02/1973  0       Nulo   Nulo   Nulo   
06/02/1973  0       Nulo   23     4      
07/02/1973  0       Nulo   23     4      
08/02/1973  0       Nulo   25     3      
