CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20243
NOMBRE    : E.T.A. 050 ZAACHILA
ESTADO    : OAXACA
MUNICIPIO : VILLA DE ZAACHILA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.967°
LONGITUD  : -96.817°
ALTITUD   : 1518 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2003  0       6.1    28.5   7      
02/01/2003  0       3.2    29.5   7.5    
03/01/2003  0       3.4    28.5   9      
04/01/2003  0       3.2    29     7      
05/01/2003  0       2.8    29.5   5      
06/01/2003  0       3.2    29     7      
07/01/2003  0       5.6    26     7      
08/01/2003  0       6.7    26.5   8      
09/01/2003  0       3.1    29     4.5    
10/01/2003  0       4.4    29.5   5.5    
11/01/2003  0       5.2    29     7      
12/01/2003  0       4.9    29     7.5    
13/01/2003  0       6.1    27.5   5      
14/01/2003  0       4.3    25     9.5    
15/01/2003  0       6.5    25     6      
16/01/2003  0       4.1    28     5      
17/01/2003  0       4.2    27.5   6.5    
18/01/2003  0       6.2    28     5      
19/01/2003  0       5.3    27     4      
20/01/2003  0       6.1    28     4      
21/01/2003  0       5.9    29     4.5    
22/01/2003  0       4.3    29.5   4.5    
23/01/2003  0       3.9    25     6      
24/01/2003  0       4      25.5   7      
25/01/2003  0       5.2    27     7.5    
26/01/2003  0       6.1    28     5      
27/01/2003  0       4.3    29     4      
28/01/2003  0       6.8    27.5   4.5    
29/01/2003  0       3.6    29.5   4.5    
30/01/2003  0       2.4    28     5.5    
31/01/2003  0       3.2    27     8.5    
01/02/2003  0       5.1    29     6      
02/02/2003  0       6.2    30     7      
03/02/2003  0       4.3    30     7      
04/02/2003  0       5.1    30     8      
05/02/2003  0       4.2    30     7      
06/02/2003  0       6.1    30     7.5    
07/02/2003  0       6.3    30     8      
08/02/2003  0       5.4    29.5   7      
09/02/2003  0       8.1    30     7.5    
10/02/2003  0       6.2    29.5   8      
11/02/2003  0       4.1    30     7.5    
12/02/2003  0       4.2    29     8      
13/02/2003  0       5.3    30     7.5    
14/02/2003  0       6.4    30     7.5    
15/02/2003  0       5.6    29     7      
16/02/2003  0       5.3    29.5   8      
17/02/2003  0       7      28     7.5    
18/02/2003  0       2.1    30     6      
19/02/2003  0       5      30     6.5    
20/02/2003  0       6.1    29.5   7.5    
21/02/2003  0       5.2    29     6.5    
22/02/2003  0       8      30     7      
23/02/2003  0       2.3    30     6.5    
24/02/2003  0       5.4    30     6      
25/02/2003  0       6.1    29.5   6      
26/02/2003  0       4.2    29     7.5    
27/02/2003  0       6.2    29.5   8      
28/02/2003  0       5.4    30     7.5    
01/03/2003  0       5.1    34     8      
02/03/2003  0       7.1    28     10     
03/03/2003  0       4.2    35     9      
04/03/2003  0       6.2    33.5   9.5    
05/03/2003  0       5.3    35     8.5    
06/03/2003  0       7.3    35     9      
07/03/2003  0       5.1    35     9.5    
08/03/2003  0       7.1    36     10     
09/03/2003  0       4.2    36     9      
10/03/2003  0       5.3    32     9.5    
11/03/2003  0       7.2    32.5   10.5   
12/03/2003  0       4.2    33     13     
13/03/2003  0       5.1    33     12.5   
14/03/2003  0       6.2    32.5   11     
15/03/2003  0       7.6    32     11.5   
16/03/2003  0       3.2    32.5   8      
17/03/2003  0       5.1    32     11.5   
18/03/2003  0       5.1    33.5   8      
19/03/2003  0       5.2    33.5   7.5    
20/03/2003  0       6.3    32.5   6.5    
21/03/2003  0       3.2    33.5   8      
22/03/2003  0       6.1    34     7      
23/03/2003  0       6.1    33.5   7.5    
24/03/2003  0       5.2    33     8      
25/03/2003  0       4.2    34     9      
26/03/2003  0       8      33.5   9.5    
27/03/2003  0       3.2    33     8.5    
28/03/2003  0       5.4    32.5   8.5    
29/03/2003  0       4.8    32     9.5    
30/03/2003  0       5.2    30     10     
31/03/2003  0       5.3    29     6.5    
01/04/2003  0       6.1    30.5   6.5    
02/04/2003  0       4.2    34     8      
03/04/2003  0       2.3    33     10.5   
04/04/2003  0       6.1    34     11     
05/04/2003  0       3.2    36.5   12     
06/04/2003  0       5.2    37     11.5   
07/04/2003  0       5.1    37     10     
08/04/2003  7       6.1    35     10     
09/04/2003  0       5.2    30     9.5    
10/04/2003  0       7.1    31     9      
11/04/2003  2.4     5.1    30     9.5    
12/04/2003  4.9     5.6    33     9      
13/04/2003  7.1     5.6    32     12     
