CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20277
NOMBRE    : RIO HONDO
ESTADO    : OAXACA
MUNICIPIO : SANTA MARIA MIXTEQUILLA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.475°
LONGITUD  : -95.281°
ALTITUD   : 477 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
05/01/1977  0       4.6    Nulo   Nulo   
06/01/1977  0       4.8    36     19     
07/01/1977  0       7.8    30.5   14     
08/01/1977  0       4.1    34.5   15     
09/01/1977  0       6.2    33     15.5   
10/01/1977  0       8.4    25     18     
11/01/1977  0       4.6    27.5   18     
12/01/1977  0       6.2    30     18.5   
13/01/1977  0       5      32     14     
14/01/1977  0       6.1    34     15.5   
15/01/1977  0       6.5    34     15     
16/01/1977  0       6.7    30     17     
17/01/1977  0       6.7    28     17.5   
18/01/1977  0       7.8    27     15     
19/01/1977  0       6      28     15.5   
20/01/1977  0       4.4    25     16     
21/01/1977  0       5.5    27     15     
22/01/1977  0       5.3    29     14     
23/01/1977  0       4.1    32     15     
24/01/1977  0       7.9    32     17     
25/01/1977  0       7      30     17     
26/01/1977  0       5.5    29     15     
27/01/1977  0       6      33     15     
28/01/1977  0       6.2    33     16.5   
29/01/1977  0       5.8    31     18     
30/01/1977  0       6.2    35     18     
31/01/1977  0       4.1    30     16     
01/02/1977  0       6.5    30     15     
02/02/1977  0       6.7    30     15     
03/02/1977  0       6      33     16     
04/02/1977  0       7      32     17     
05/02/1977  0       7.2    33     17     
06/02/1977  0       5.6    33     15     
07/02/1977  0       6.9    32     16     
08/02/1977  0       6.4    32     16     
09/02/1977  0       6.1    30     18.5   
10/02/1977  0       6.5    30.5   19     
11/02/1977  0       6      33     18     
12/02/1977  0       7.5    33     18     
13/02/1977  0       8.1    34     18     
14/02/1977  0       7      32     15     
15/02/1977  0       8      29.5   14     
16/02/1977  0       9.6    28     17.5   
17/02/1977  0       5.7    23     17     
18/02/1977  0       7.8    30     18     
19/02/1977  0       7      32     17     
20/02/1977  0       7      30     15     
21/02/1977  0       6.9    34     15     
22/02/1977  0       6.7    35     16     
23/02/1977  0       7.5    33.5   17.5   
24/02/1977  0       8.9    36     18.5   
25/02/1977  0       7.8    36     19     
26/02/1977  0       8.8    35     20     
27/02/1977  0       9.4    27     20     
28/02/1977  0       7.5    29     21     
01/03/1977  0       7.3    29.5   15     
02/03/1977  0       8.5    30     14.5   
03/03/1977  0       8.6    29.5   15     
04/03/1977  0       6.9    29     19     
05/03/1977  0       8.2    34     19     
06/03/1977  0       7.5    34     19     
07/03/1977  0       9.7    23     19     
08/03/1977  0       7.8    23     16     
09/03/1977  0       8.1    29     15.5   
10/03/1977  0       7.1    32     15.5   
11/03/1977  0       8.1    32     16     
12/03/1977  0       7      35     17     
13/03/1977  0       8.6    35     18     
14/03/1977  0       10.2   36     18     
15/03/1977  0       9.8    37     18     
16/03/1977  0       11.3   35     20     
17/03/1977  0       10.6   33     19     
18/03/1977  0       8      34     17     
19/03/1977  0       7.8    33     20     
20/03/1977  0       9.5    35     20     
21/03/1977  0       10.6   36     21     
22/03/1977  0       8.9    35     21     
23/03/1977  0       7.3    32     20     
24/03/1977  0       6.6    35     21     
25/03/1977  0       7.9    36     21     
26/03/1977  0       8.4    35     23     
27/03/1977  0       9.4    34     22     
28/03/1977  0       8.9    33.5   24     
29/03/1977  0       7.7    36     21.5   
30/03/1977  0       9      34     20     
31/03/1977  0       9.1    35     19     
01/04/1977  0       8.5    31     20     
02/04/1977  0       8.5    30     22     
03/04/1977  0       6.5    29     22     
04/04/1977  0       7.2    37     21     
05/04/1977  0       10.2   30     20     
06/04/1977  0       12.5   29     21     
07/04/1977  0       12.9   32     21     
08/04/1977  0       10     28     21     
09/04/1977  0       9.5    28     18     
10/04/1977  0       9.9    31     20     
11/04/1977  0       9.6    32.5   21     
12/04/1977  0       9      32     21.5   
13/04/1977  0       9.6    33.5   22     
14/04/1977  0       7.2    36     22     
15/04/1977  0       4.4    32     24     
16/04/1977  0       5.3    32     25     
17/04/1977  0       8.9    34.5   24     
18/04/1977  0       9.9    37     23     
19/04/1977  0       8.5    35     23     
20/04/1977  0       5.2    35     23     
21/04/1977  0       10.6   37     24     
22/04/1977  0       11.2   38     24     
23/04/1977  0       10.5   38     24     
24/04/1977  0       11.8   37     24     
25/04/1977  0       10.8   33.5   22     
26/04/1977  0       7.8    33.5   18     
27/04/1977  0       8.4    34     19     
28/04/1977  0       9.3    36     21.5   
29/04/1977  9.3     9.4    37     23     
30/04/1977  2.5     6.4    35     21     
01/05/1977  4       7.9    35     20     
02/05/1977  0       9.4    32     20     
03/05/1977  0       11.2   37     23     
04/05/1977  0       10.6   38     24     
05/05/1977  0       7.1    36     22     
06/05/1977  0       7.8    38     23     
07/05/1977  0       8.1    33     23     
08/05/1977  0       7.8    38     24     
09/05/1977  0       9.3    37.5   25     
10/05/1977  0       6.2    35     25     
11/05/1977  0       9      36     25     
12/05/1977  0       9.1    37     25     
13/05/1977  0       9.3    35     26     
14/05/1977  0       10.4   36     26     
15/05/1977  0       9.2    36.5   24     
16/05/1977  0       8.4    37     24     
17/05/1977  0       9.5    37     24     
18/05/1977  0       10.2   37     25     
19/05/1977  0       11     38     28     
20/05/1977  0       9.6    38     27     
21/05/1977  1.7     7.1    36     27     
22/05/1977  0       8.5    39     24     
23/05/1977  0       7.8    38     24     
24/05/1977  0       7.2    37     23.5   
25/05/1977  0       8.8    37     23     
26/05/1977  40      9.4    37     23     
27/05/1977  0       6.9    33.5   23     
28/05/1977  0       8.3    36.5   24     
29/05/1977  0       8.4    36     24     
30/05/1977  0       8.1    36     25     
31/05/1977  0       8.8    36     26     
01/06/1977  0       11.3   34     24     
02/06/1977  0       10.2   37     22     
03/06/1977  0       10.3   37     21     
04/06/1977  0       10.4   35     22     
05/06/1977  0       8.1    33     24     
06/06/1977  0       8.6    36     23     
