CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20282
NOMBRE    : SANTA MARIA COATLAN
ESTADO    : OAXACA
MUNICIPIO : SANTIAGO LACHIGUIRI
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.856°
LONGITUD  : -95.529°
ALTITUD   : 988 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
03/06/1977  0       Nulo   Nulo   Nulo   
04/06/1977  0       Nulo   34     18     
05/06/1977  0       Nulo   34.4   19     
06/06/1977  1       Nulo   28.4   21     
07/06/1977  3.5     1.3    27     19.1   
08/06/1977  4.5     3.4    26.4   19     
09/06/1977  0       2.5    27.3   19.1   
10/06/1977  24      2.7    26.4   18     
11/06/1977  2       1.8    24.6   19     
12/06/1977  0       4.2    28     18.5   
13/06/1977  4.5     8.9    29     19.1   
14/06/1977  0       1.6    28     19     
15/06/1977  39.1    7.9    26     20     
16/06/1977  21      3.3    24.1   18     
17/06/1977  10      2.7    23     18.2   
18/06/1977  8.5     8.5    25     18     
19/06/1977  20      5.7    25.5   19     
20/06/1977  7       1.1    25     19.1   
21/06/1977  19.1    4.2    26     19     
22/06/1977  1       1.4    26     20     
23/06/1977  20.3    1.3    27.3   19     
24/06/1977  5       8.7    26.4   17.3   
25/06/1977  0       2.8    25     18.1   
26/06/1977  0       5.4    25     19     
27/06/1977  0       4.9    27.3   19.1   
28/06/1977  1       2.9    22.9   20     
29/06/1977  7       2.7    27.3   19     
30/06/1977  12      6.6    25     19     
01/07/1977  8.7     4.9    25     19.1   
02/07/1977  32.5    3.1    24     18.2   
03/07/1977  25      9.4    23     17.3   
04/07/1977  4.4     2.8    22.8   17     
05/07/1977  20.5    0.9    23     18     
06/07/1977  6.3     3.1    21.9   18     
07/07/1977  1.7     1.7    25     18.2   
08/07/1977  5.8     4.2    24.6   18.5   
09/07/1977  0       0.8    23.7   19     
10/07/1977  11.1    6.9    23.7   18.2   
11/07/1977  8.5     1.5    23     18     
12/07/1977  2.5     4.5    24.1   18.2   
13/07/1977  16.5    5.5    24.5   18     
14/07/1977  10.2    1.2    23     18.5   
15/07/1977  3       4      22.3   17.3   
16/07/1977  23      7      29.1   17     
17/07/1977  0       8      29.1   18     
18/07/1977  1       7.2    26.4   19     
19/07/1977  12.3    5.5    26.5   18.5   
20/07/1977  7.5     3.1    25     19     
21/07/1977  3.3     2.7    24.6   19     
22/07/1977  45.5    7.7    23.2   19     
23/07/1977  0       2.3    24     15     
24/07/1977  38      5.8    22.3   16     
25/07/1977  5       2      25     16.5   
26/07/1977  3       5.6    26.4   17     
27/07/1977  7.5     8      24.6   18     
28/07/1977  1       2.8    29.1   18.2   
29/07/1977  10      8.1    25     18     
30/07/1977  8.3     3.3    24.6   17     
31/07/1977  0       5      25     18     
01/08/1977  4       8.7    25     20     
02/08/1977  19      10.3   25     17.5   
03/08/1977  0       3.3    26.5   18     
04/08/1977  35      6.4    25     16     
05/08/1977  14      8.1    25     15.5   
06/08/1977  11.4    6.3    29.5   15     
07/08/1977  6       5.8    22.5   14.5   
08/08/1977  4       4      23.5   14     
09/08/1977  10      4.8    26.5   19     
10/08/1977  7       7.6    23     14     
11/08/1977  5.4     1.7    24     17     
12/08/1977  7       9.5    25     18     
13/08/1977  0       9      25     18.5   
14/08/1977  0       7      28     19     
15/08/1977  4.3     7.7    25     20     
16/08/1977  21.5    6.5    23.5   18     
