CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20289
NOMBRE    : GUEVEA DE HUMBOLDT
ESTADO    : OAXACA
MUNICIPIO : GUEVEA DE HUMBOLDT
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.789°
LONGITUD  : -95.372°
ALTITUD   : 655 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
14/04/1978  0       Nulo   Nulo   Nulo   
15/04/1978  0       9.5    29     20     
16/04/1978  0       8.1    33.5   20     
17/04/1978  0       7.5    32.5   21.5   
18/04/1978  0       3.8    32.5   23.5   
19/04/1978  0       6.1    33     22     
20/04/1978  0       5.4    32.5   23     
21/04/1978  0       5.1    30.5   20.5   
22/04/1978  0       5.4    31.5   22     
23/04/1978  0       8.3    33.5   19.5   
24/04/1978  0       10.7   32     20.5   
25/04/1978  15      5.9    31     23     
26/04/1978  0       10.8   26     19     
27/04/1978  0       9.5    28     20     
28/04/1978  0       11.7   32     20     
29/04/1978  0       11.8   33.5   19     
30/04/1978  0       8      33.5   20     
01/05/1978  0       3.4    29     23     
02/05/1978  0       4.3    32     21     
03/05/1978  0       4      27     23     
04/05/1978  0       6.2    29.5   22     
05/05/1978  0       8.8    32     21     
06/05/1978  0       5.6    31     22     
07/05/1978  0       11.6   33.5   21.5   
08/05/1978  0       4.8    34     21     
09/05/1978  0       7.6    30.5   22     
10/05/1978  0       11.5   32     20.5   
11/05/1978  0       7.6    31     20.5   
12/05/1978  0       10.9   33     20.5   
13/05/1978  0       11.8   33     20.5   
14/05/1978  0       12.9   30     23.5   
15/05/1978  0       10.4   34     24     
16/05/1978  3       4.5    33     20.5   
17/05/1978  0       2.3    32     21     
18/05/1978  0       9.9    32     23     
19/05/1978  0       9.5    34     21     
20/05/1978  1       3.9    30.5   21     
21/05/1978  0       13.1   30.5   22     
22/05/1978  19      5.7    28.5   23     
23/05/1978  0       10.3   29     21     
24/05/1978  0       1.3    34     22     
25/05/1978  15.5    5.5    34     22     
26/05/1978  10      7.1    34     19     
27/05/1978  3       5.9    29     19     
28/05/1978  0       5.7    29     22     
29/05/1978  28.5    4.9    26     22     
30/05/1978  0       1.1    26     20     
31/05/1978  0       6.5    31     20     
01/06/1978  13      6.5    32.5   20     
02/06/1978  35      5.6    29     21     
03/06/1978  1       2.7    28     20     
04/06/1978  0       2.8    34     20     
05/06/1978  0       8      32.5   20     
06/06/1978  2.3     4.8    30.5   21.5   
07/06/1978  20.5    3.8    29.5   22     
08/06/1978  0       3.7    28.5   20.5   
09/06/1978  25      5.4    28.5   21.5   
10/06/1978  7       9      29.5   20.5   
11/06/1978  0       5.8    28.5   20     
12/06/1978  20      7.8    28.5   21     
13/06/1978  13      5.9    26     20     
14/06/1978  12.5    3.1    26.5   20     
15/06/1978  19      8.7    23.5   20.5   
16/06/1978  0       7.2    28.5   20.5   
17/06/1978  0       5.2    25     19     
18/06/1978  0       3.2    27.5   21     
19/06/1978  0       3.3    25     21.5   
20/06/1978  0       4.1    27     22     
21/06/1978  19      5.9    30     22     
22/06/1978  1       10.7   26.5   21     
23/06/1978  46      8.1    27.5   21     
24/06/1978  2       4.2    27     19     
25/06/1978  0       6      28.5   19.5   
26/06/1978  4.8     8.9    33.5   19     
27/06/1978  1.5     5.8    29     20     
28/06/1978  50      5.1    25.5   23     
29/06/1978  0       9.4    36.5   20     
30/06/1978  8       7.9    27.5   19     
01/07/1978  0       5.1    26.5   19     
02/07/1978  16      4.4    27     19     
03/07/1978  8       5      24     20     
04/07/1978  0       5      37     19     
05/07/1978  4       6.1    27.5   22     
06/07/1978  0       4      27     17.5   
07/07/1978  29      5.1    27.5   18     
08/07/1978  9.5     4.9    26.5   20     
09/07/1978  7.5     5.8    24.5   19     
10/07/1978  17      4.3    27     21     
11/07/1978  3.5     5.1    26.5   20     
12/07/1978  22.5    6.9    28.5   20     
13/07/1978  8       9.2    29     19     
14/07/1978  1       6.4    27.5   20     
15/07/1978  5.5     6.5    24.5   18     
16/07/1978  10.5    5      28.5   20     
17/07/1978  65.7    9      29     19     
18/07/1978  12      2.1    27.5   20     
19/07/1978  8.7     5.9    28.5   19     
20/07/1978  20.5    5.3    27.5   20.5   
21/07/1978  25.5    7.4    27     20     
22/07/1978  27      7      28.5   21     
23/07/1978  16.5    2.6    27     21     
24/07/1978  0       8.8    27     21     
25/07/1978  0       8.6    29     22     
26/07/1978  0       8.9    29     23     
27/07/1978  0       7      33.5   22     
28/07/1978  14.5    3.1    32.5   23.5   
29/07/1978  0       1.7    30     19.5   
