CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20314
NOMBRE    : YALALAG (CFE)
ESTADO    : OAXACA
MUNICIPIO : VILLA HIDALGO
SITUACION : OPERANDO
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 017.191°
LONGITUD  : -96.169°
ALTITUD   : 1191 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1980  0       7.6    31     17.5   
02/04/1980  0       6.5    29.5   18     
03/04/1980  0       7.4    24     15     
04/04/1980  0.2     8.4    36.5   16.5   
05/04/1980  0.2     3.3    24.5   19.5   
06/04/1980  0       1.3    18     16     
07/04/1980  0       6.6    27     15     
08/04/1980  0       7.4    28     14.5   
09/04/1980  0       7.5    27.5   16     
10/04/1980  0       6.9    26.5   17     
11/04/1980  0       5.8    27.5   15.5   
12/04/1980  0       6.5    28.5   17     
13/04/1980  0       6.3    29     18     
14/04/1980  0       6      29     18     
15/04/1980  0       3.2    24     16     
16/04/1980  0.1     1.8    23.5   15     
17/04/1980  0       6.2    36.5   14     
18/04/1980  0       5.8    27.5   16     
19/04/1980  0       6      29.5   16     
20/04/1980  0       7.8    31.5   17.5   
21/04/1980  0       6.7    31     17     
22/04/1980  0       7.6    33.5   17.5   
23/04/1980  0       8.9    37     19     
24/04/1980  0       5.9    31.5   20.5   
25/04/1980  7.5     5      30     20.5   
26/04/1980  0       5.7    28     19.5   
27/04/1980  0       7.2    31     19     
28/04/1980  0       7.9    32     19     
29/04/1980  0       8      31     19     
30/04/1980  0       7.4    31.5   17     
01/06/1980  0       2.1    25.5   17.5   
02/06/1980  28.6    2.9    28.5   17.5   
03/06/1980  2.6     3.8    27.5   18     
04/06/1980  6.2     4.7    26.5   18     
05/06/1980  0.4     2.7    25     18.5   
06/06/1980  0       0.4    25     18     
07/06/1980  11.6    3.5    26.5   18     
08/06/1980  0       4.2    27     18.5   
09/06/1980  6.4     2.4    26     18.5   
10/06/1980  8.2     2.2    24.5   17.5   
11/06/1980  0.6     1      22.5   18     
12/06/1980  2.2     0.6    22     17     
13/06/1980  0       3.3    25     17     
14/06/1980  12.1    1.1    23.5   18     
15/06/1980  0.2     1.1    22.5   19     
16/06/1980  0       4      27     17.5   
17/06/1980  0       2.6    28.5   18     
18/06/1980  0       3.5    26     18.5   
19/06/1980  1.4     0.3    23     18.5   
20/06/1980  2       1      25     18     
21/06/1980  1       3.6    26.5   18     
22/06/1980  1.4     4.4    26.5   18.5   
23/06/1980  7.9     0.7    23     19     
24/06/1980  22.4    0.1    20     18.5   
25/06/1980  4.6     0.1    23.5   18.5   
26/06/1980  38.3    0.9    25.5   19     
27/06/1980  16.6    0.5    24     18.5   
28/06/1980  53.5    1.4    27     19     
29/06/1980  2.3     2.4    25     18.5   
30/06/1980  0       4.3    24     18.5   
01/07/1980  0       6.2    28     18.5   
02/07/1980  0       5.9    27     17     
