CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20317
NOMBRE    : ZAPOTITLAN PALMAS (DGE)
ESTADO    : OAXACA
MUNICIPIO : ZAPOTITLAN PALMAS
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.883°
LONGITUD  : -97.817°
ALTITUD   : 1454 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
29/08/1980  0       Nulo   26     Nulo   
30/08/1980  0       Nulo   29     7.5    
31/08/1980  7       Nulo   28     8.5    
01/09/1980  7       Nulo   23     8.5    
02/09/1980  12.2    Nulo   24     8.5    
03/09/1980  1.4     Nulo   24     8      
04/09/1980  1       Nulo   24     8.5    
05/09/1980  0       Nulo   24.5   8.5    
06/09/1980  0       Nulo   27     9      
07/09/1980  0       Nulo   25.5   9.5    
08/09/1980  6.3     Nulo   25.5   8.5    
09/09/1980  2.4     Nulo   24.5   8.5    
10/09/1980  0       Nulo   24     8.5    
11/09/1980  0       Nulo   24     8.5    
12/09/1980  0       Nulo   24.5   11.5   
13/09/1980  0       Nulo   24.5   8.5    
14/09/1980  0       Nulo   25.5   9.5    
15/09/1980  0       Nulo   26     9.5    
16/09/1980  0       Nulo   26     11.5   
17/09/1980  3       Nulo   24     8.5    
18/09/1980  24      Nulo   26     7.5    
19/09/1980  1.5     Nulo   23     9      
20/09/1980  0       Nulo   24     8.5    
21/09/1980  0       Nulo   27.5   10     
22/09/1980  15      Nulo   27     8      
23/09/1980  1.4     Nulo   26.5   8.5    
24/09/1980  14      Nulo   27     9      
25/09/1980  32.6    Nulo   25     8      
26/09/1980  27      Nulo   25     7      
27/09/1980  30      Nulo   26     8.5    
28/09/1980  0       Nulo   24.5   8      
29/09/1980  0       Nulo   25     7      
30/09/1980  0       Nulo   25     9      
01/10/1980  0       Nulo   26     9      
02/10/1980  1       Nulo   27     8      
03/10/1980  0       Nulo   28     8.5    
04/10/1980  0       Nulo   26     9      
05/10/1980  0       Nulo   28     11     
06/10/1980  0       Nulo   27     9      
07/10/1980  0       Nulo   26     10     
08/10/1980  0       Nulo   27     9      
09/10/1980  0       Nulo   25     11     
10/10/1980  0       Nulo   26     11     
11/10/1980  0       Nulo   25     11     
12/10/1980  0       Nulo   25     11     
13/10/1980  0       Nulo   25     12     
14/10/1980  0       Nulo   26     11     
15/10/1980  0       Nulo   25     11     
16/10/1980  0       Nulo   26     12     
17/10/1980  0       Nulo   26     11     
18/10/1980  0       Nulo   25     9      
19/10/1980  0       Nulo   25     8.5    
20/10/1980  0       Nulo   26     12     
21/10/1980  0       Nulo   27     10     
22/10/1980  0       Nulo   26     11     
23/10/1980  0       Nulo   25     13     
24/10/1980  0       Nulo   26     11     
25/10/1980  0       Nulo   27     12     
26/10/1980  10      Nulo   25     11     
27/10/1980  0       Nulo   25     11     
28/10/1980  7.5     Nulo   26     9      
29/10/1980  28      Nulo   25     11     
30/10/1980  0       Nulo   24     12     
31/10/1980  0       Nulo   25     9      
01/11/1980  0       Nulo   26     9      
02/11/1980  0       Nulo   24     11     
03/11/1980  0       Nulo   24     9      
04/11/1980  0       Nulo   23     8.5    
05/11/1980  0       Nulo   24     11     
06/11/1980  0       Nulo   24     9      
07/11/1980  0       Nulo   24     11     
08/11/1980  0       Nulo   25     9      
09/11/1980  0       Nulo   26     11     
10/11/1980  0       Nulo   25     12     
11/11/1980  0       Nulo   25     11     
12/11/1980  0       Nulo   25     11     
13/11/1980  0       Nulo   23     9      
14/11/1980  0       Nulo   24     11     
15/11/1980  0       Nulo   24     11     
16/11/1980  0       Nulo   22.5   9      
17/11/1980  0       Nulo   22     9      
18/11/1980  0       Nulo   24.5   9.5    
19/11/1980  0       Nulo   25     11     
20/11/1980  0       Nulo   24     11     
21/11/1980  0       Nulo   25     13     
22/11/1980  0       Nulo   25     11.5   
23/11/1980  0       Nulo   22     9      
24/11/1980  0       Nulo   22.5   9      
25/11/1980  0       Nulo   25     11     
26/11/1980  1.5     Nulo   25     11     
27/11/1980  0       Nulo   25     13     
28/11/1980  0       Nulo   24.5   11     
29/11/1980  0       Nulo   26     11     
30/11/1980  0       Nulo   25     11     
01/12/1980  0       Nulo   24     9      
02/12/1980  0       Nulo   24     11     
03/12/1980  0       Nulo   22     9      
04/12/1980  0       Nulo   25     9      
05/12/1980  0       Nulo   24     11     
06/12/1980  0       Nulo   24     9.5    
07/12/1980  0       Nulo   22     11     
08/12/1980  0       Nulo   25     9.5    
09/12/1980  0       Nulo   25     11     
10/12/1980  0       Nulo   23.5   11     
11/12/1980  0       Nulo   20     10     
12/12/1980  0       Nulo   22     10     
13/12/1980  0       Nulo   24     9      
14/12/1980  0       Nulo   22     11     
15/12/1980  0       Nulo   24     9.5    
16/12/1980  0       Nulo   22     11     
17/12/1980  0       Nulo   23     9.5    
18/12/1980  0       Nulo   25     11     
19/12/1980  0       Nulo   22     11     
20/12/1980  0       Nulo   25     9.5    
21/12/1980  0       Nulo   23.5   11     
22/12/1980  0       Nulo   24     11     
23/12/1980  0       Nulo   22     9      
24/12/1980  0       Nulo   20     11     
25/12/1980  0       Nulo   20     9      
26/12/1980  0       Nulo   20     9.5    
27/12/1980  0       Nulo   22     11     
28/12/1980  0       Nulo   20     9.5    
29/12/1980  0       Nulo   24     9.5    
30/12/1980  0       Nulo   23     9      
31/12/1980  0       Nulo   22     9      
01/01/1981  0       Nulo   18     9      
02/01/1981  0       Nulo   20     11     
03/01/1981  0       Nulo   22     11     
04/01/1981  0       Nulo   20     9.5    
05/01/1981  0       Nulo   22     11     
06/01/1981  0       Nulo   22     11     
07/01/1981  0       Nulo   19     11.5   
08/01/1981  0       Nulo   20     11     
09/01/1981  0       Nulo   20     9.5    
10/01/1981  0       Nulo   20.5   11     
11/01/1981  0       Nulo   22     9      
12/01/1981  0       Nulo   22     11     
13/01/1981  0       Nulo   19.5   9.5    
14/01/1981  0       Nulo   19     9      
15/01/1981  0       Nulo   20.5   9      
16/01/1981  0       Nulo   20.5   11     
17/01/1981  0       Nulo   19     9      
18/01/1981  2       Nulo   19     9      
19/01/1981  2       Nulo   19     9      
20/01/1981  0       Nulo   20     8      
21/01/1981  0       Nulo   20     8      
22/01/1981  3       Nulo   19     7      
23/01/1981  2       Nulo   20     8      
24/01/1981  0       Nulo   20.5   7      
25/01/1981  0       Nulo   19     9      
26/01/1981  0       Nulo   19     7      
27/01/1981  0       Nulo   20     7      
28/01/1981  0       Nulo   20     9      
29/01/1981  0       Nulo   19     9.5    
30/01/1981  0       Nulo   20     7      
31/01/1981  0       Nulo   19     9      
01/02/1981  0       Nulo   20     9.5    
02/02/1981  0       Nulo   22     9      
03/02/1981  0       Nulo   18     8.5    
04/02/1981  0       Nulo   22     10     
05/02/1981  0       Nulo   18.5   9.5    
06/02/1981  0       Nulo   18.5   9.5    
07/02/1981  0       Nulo   19     7      
08/02/1981  0       Nulo   20     7      
09/02/1981  0       Nulo   18     9.5    
10/02/1981  0       Nulo   18.5   7      
11/02/1981  0       Nulo   16     9      
12/02/1981  0       Nulo   18.5   8      
13/02/1981  0       Nulo   16     8      
14/02/1981  0       Nulo   18.5   8      
15/02/1981  0       Nulo   19     7      
16/02/1981  0       Nulo   18     9      
17/02/1981  0       Nulo   18     8.5    
18/02/1981  0       Nulo   19     7      
19/02/1981  0       Nulo   19.5   9      
20/02/1981  0       Nulo   16     8.5    
21/02/1981  2       Nulo   18.5   7      
22/02/1981  6       Nulo   18     9      
23/02/1981  1       Nulo   16     9.5    
24/02/1981  0       Nulo   19.5   8      
25/02/1981  0       Nulo   20     9      
26/02/1981  0       Nulo   20     8      
27/02/1981  0       Nulo   22     9.5    
28/02/1981  0       Nulo   19     10     
01/03/1981  0       Nulo   20     11     
02/03/1981  0       Nulo   22     10     
03/03/1981  0       Nulo   22     9.5    
04/03/1981  0       Nulo   18     10     
05/03/1981  0       Nulo   19.5   8.5    
06/03/1981  0       Nulo   20     9      
07/03/1981  3.5     Nulo   18.5   10     
08/03/1981  0       Nulo   19.5   9      
09/03/1981  0       Nulo   16     8      
10/03/1981  0       Nulo   19.5   7      
11/03/1981  2.7     Nulo   16     8      
12/03/1981  1.2     Nulo   18.5   7      
13/03/1981  0       Nulo   20     9      
14/03/1981  0       Nulo   16     8.5    
15/03/1981  0       Nulo   16     7      
16/03/1981  0       Nulo   18     7      
17/03/1981  0       Nulo   18     9.5    
18/03/1981  0       Nulo   16     9.5    
19/03/1981  0       Nulo   20     8.5    
20/03/1981  0       Nulo   19.5   10     
21/03/1981  0       Nulo   20     8      
22/03/1981  0       Nulo   18.5   8      
23/03/1981  0       Nulo   20     9      
24/03/1981  0       Nulo   20.5   10     
25/03/1981  0       Nulo   20     11     
26/03/1981  0       Nulo   20.5   11     
27/03/1981  0       Nulo   19     11     
28/03/1981  0       Nulo   20     8      
29/03/1981  0       Nulo   22     10     
30/03/1981  0       Nulo   22     10     
31/03/1981  0       Nulo   18.5   11     
01/04/1981  0       Nulo   22     10     
02/04/1981  0       Nulo   22     11     
03/04/1981  0       Nulo   22.5   10     
04/04/1981  0       Nulo   18.5   10     
05/04/1981  0       Nulo   18     7.5    
06/04/1981  0       Nulo   20     8      
07/04/1981  0       Nulo   18     10     
08/04/1981  0       Nulo   18.5   8      
09/04/1981  0       Nulo   16     8      
10/04/1981  0       Nulo   20     7      
11/04/1981  2       Nulo   20     10     
12/04/1981  0       Nulo   16     10     
13/04/1981  0       Nulo   20     7      
14/04/1981  0       Nulo   18.5   10     
15/04/1981  0       Nulo   16     8.5    
16/04/1981  0       Nulo   18.5   7      
17/04/1981  2       Nulo   22     8      
18/04/1981  1.5     Nulo   18     10     
19/04/1981  0       Nulo   20     7      
20/04/1981  0       Nulo   18.5   8.5    
21/04/1981  1       Nulo   16     8.5    
22/04/1981  0       Nulo   16     7      
23/04/1981  0       Nulo   25     7      
24/04/1981  0       Nulo   22     10     
25/04/1981  0       Nulo   24     11.5   
26/04/1981  0       Nulo   28     14     
27/04/1981  7.5     Nulo   28     10     
28/04/1981  0       Nulo   22     14     
29/04/1981  0       Nulo   30     11     
30/04/1981  0       Nulo   30     12     
01/05/1981  0       Nulo   28     15     
02/05/1981  6.5     Nulo   28     12     
03/05/1981  0       Nulo   25     12     
04/05/1981  0       Nulo   22     12     
05/05/1981  0       Nulo   28     11     
06/05/1981  0       Nulo   28     12     
07/05/1981  0       Nulo   28     12     
08/05/1981  0       Nulo   30     13     
09/05/1981  0       Nulo   25     14     
10/05/1981  0       Nulo   25     13     
11/05/1981  1.2     Nulo   28     14.5   
12/05/1981  0       Nulo   25     14.5   
13/05/1981  0       Nulo   25     12     
14/05/1981  0       Nulo   28     14     
15/05/1981  0       Nulo   22     14     
16/05/1981  0       Nulo   25     13     
17/05/1981  0       Nulo   28     14     
18/05/1981  0       Nulo   28     14     
19/05/1981  0       Nulo   20     13     
20/05/1981  1       Nulo   22     14.5   
21/05/1981  0       Nulo   22     12     
22/05/1981  10      Nulo   18.5   10     
