CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20318
NOMBRE    : ALMOLOYA
ESTADO    : OAXACA
MUNICIPIO : EL BARRIO DE LA SOLEDAD
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.75°
LONGITUD  : -95.067°
ALTITUD   : 243 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
19/07/1979  Nulo    Nulo   31     Nulo   
20/07/1979  0       1.4    30     24     
21/07/1979  0       7.7    26     21     
22/07/1979  34      4.9    32     22     
23/07/1979  1.5     4.1    26     22     
24/07/1979  0       2.8    29     23     
25/07/1979  0       4.6    32     24     
26/07/1979  0       4.8    33     24     
27/07/1979  0       5.8    33     24     
28/07/1979  9.5     4.7    27     20     
29/07/1979  0       4.5    32     22     
30/07/1979  0       5.9    31     22     
31/07/1979  0       4.3    32     22     
01/08/1979  0       4.2    32     22     
02/08/1979  0       2.7    32     22.5   
03/08/1979  1       4.9    30     22     
04/08/1979  23.5    4.6    31     23     
05/08/1979  0       1      27.5   22.5   
06/08/1979  52.5    9.5    30     22     
07/08/1979  0       6.1    29.5   22     
08/08/1979  2       3      28.5   22.5   
09/08/1979  0       5.2    29     22     
10/08/1979  6.4     3.4    30     23     
11/08/1979  0       3.5    29.5   22     
12/08/1979  0       5.7    30.5   22     
13/08/1979  0       6.3    31     22     
14/08/1979  0       4.3    29.5   23     
15/08/1979  26      5.5    30     22     
16/08/1979  43      4.5    29     19     
17/08/1979  13      3.5    27     21     
18/08/1979  0       3.4    29     21     
19/08/1979  42      7.6    28     23     
20/08/1979  75      5.2    27     21     
21/08/1979  19      4.2    28     21     
22/08/1979  0       6.5    29     21     
23/08/1979  63      7      30     22     
24/08/1979  5       5.7    24     22     
25/08/1979  1.7     6.8    27     21     
26/08/1979  25      6.1    25     21     
27/08/1979  0       5.1    30     20     
28/08/1979  0       5      30     22     
29/08/1979  18      5.4    29.5   21.5   
30/08/1979  21.5    5.2    31     21.6   
31/08/1979  25.5    7      28.5   18.5   
01/09/1979  0       6.8    30     22     
02/09/1979  0       3      30     22     
03/09/1979  53      6.5    29     22     
04/09/1979  68.5    9.4    22.1   21     
05/09/1979  17.5    6.1    29     21     
06/09/1979  0       8      29     21.5   
07/09/1979  23.5    5.3    27     22     
08/09/1979  28.5    5.9    27     22     
09/09/1979  15      9.6    25.5   21.5   
10/09/1979  9.7     3.2    30     21.5   
11/09/1979  0       5.2    30.5   21.5   
12/09/1979  0       3.6    30     22     
13/09/1979  0       4      29     22     
