CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20331
NOMBRE    : GUIVICIA
ESTADO    : OAXACA
MUNICIPIO : SANTO DOMINGO PETAPA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.933°
LONGITUD  : -95.243°
ALTITUD   : 468 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
29/06/1979  38      3.6    Nulo   Nulo   
30/06/1979  0.4     5.3    Nulo   Nulo   
01/07/1979  0       9.8    31     23     
02/07/1979  0       4.6    32     24     
03/07/1979  0.2     10     33     24     
04/07/1979  13.5    9.2    32     22     
05/07/1979  22.5    8.2    30     23     
06/07/1979  4.7     6.4    27     21.5   
07/07/1979  22.3    10.6   28     22     
08/07/1979  0       6.3    31     21     
09/07/1979  4.8     9.9    29.5   22.5   
10/07/1979  2       8.4    32     23     
11/07/1979  0       5.9    30     22     
12/07/1979  5.8     4.7    28     23     
13/07/1979  0       2.3    32     22     
14/07/1979  7.7     3      34     20.5   
15/07/1979  5.8     3.3    32     21     
16/07/1979  15.2    4.5    30     19     
17/07/1979  4.5     1.7    29     22     
18/07/1979  0.6     3.7    31     20     
19/07/1979  0       6.3    30     19.5   
20/07/1979  38      4.3    30     22     
21/07/1979  12      2.8    30.5   21     
22/07/1979  10.5    8      32     22     
23/07/1979  0       3.6    31     21     
24/07/1979  0       4.7    30     22     
25/07/1979  0       5.2    33     24     
26/07/1979  0       7.5    34.5   23     
27/07/1979  4.1     3.9    33     22     
28/07/1979  0       4.5    30     20     
29/07/1979  0       4.4    32     22     
30/07/1979  1.5     5.4    32.5   23.5   
31/07/1979  2       6.1    32     22     
01/09/1979  12.6    2.5    29     22     
02/09/1979  63      4.3    30     23     
03/09/1979  71      2.8    28     22     
04/09/1979  0       4.1    30     22     
05/09/1979  15.5    4.4    31     21     
06/09/1979  3.3     2.9    30     21     
07/09/1979  8       3.5    29     23     
08/09/1979  11      3.6    28     22     
09/09/1979  3       4.2    29     22     
10/09/1979  32      2.9    30     21     
11/09/1979  31      3.8    31     21     
12/09/1979  0       3.1    31     22     
13/09/1979  1.8     3.4    30     23     
14/09/1979  0       4.4    30     21     
15/09/1979  0       2.8    30     22     
16/09/1979  0       4      29     21     
17/09/1979  11      3.7    30     21     
18/09/1979  0       4.2    30     19     
19/09/1979  24.4    4.6    29     19     
20/09/1979  34      4.4    27     22     
21/09/1979  3.2     2.1    29     22     
22/09/1979  1       3.7    30     19     
23/09/1979  5.2     3.3    30     22     
24/09/1979  0       4.1    30     20     
25/09/1979  4       3.9    28     20     
26/09/1979  0       4      28     18     
27/09/1979  0       3.7    30     17     
28/09/1979  0       4      30     19     
29/09/1979  0       5.1    30     17     
30/09/1979  0       4.5    30     17     
01/10/1979  0       4.8    28.5   15     
02/10/1979  0       4.1    28     19     
03/10/1979  0       4.1    26     19     
04/10/1979  21.8    3.2    28     21     
05/10/1979  0       4.5    29     21     
06/10/1979  0       3.9    30     19     
07/10/1979  0       3.7    29     19     
08/10/1979  0       5.3    29     21     
09/10/1979  0       3      29     22     
10/10/1979  42.5    4      27     23     
11/10/1979  0       2.4    30     20     
12/10/1979  0       2.6    31     20     
13/10/1979  0.5     1.6    31     21     
14/10/1979  9.8     3.7    31     23     
15/10/1979  0       4.3    30     20     
16/10/1979  0       4.2    30     22     
17/10/1979  0       4      31     22     
18/10/1979  0       4.2    30     20     
19/10/1979  0       4.8    30     20     
20/10/1979  0       3.7    30     20     
21/10/1979  0       3.8    34     20     
22/10/1979  3.3     4.1    34     23     
23/10/1979  10      4.7    30     23     
24/10/1979  1       4.1    30     19     
25/10/1979  0       5      25     17     
26/10/1979  0       4      25     20     
27/10/1979  0       3.9    30     20     
28/10/1979  1.3     3.9    30     20     
29/10/1979  0       4.2    30     21     
30/10/1979  0       4.2    30     23     
31/10/1979  9.7     3.6    32     23     
01/11/1979  0       3.3    31     21.5   
02/11/1979  0       2.8    32     21     
03/11/1979  6       3.7    22.5   18.5   
04/11/1979  0       4.1    22.5   18.5   
05/11/1979  0       3      24.5   18.5   
06/11/1979  9.4     4.9    24     18.5   
07/11/1979  0       2.4    27     18     
08/11/1979  0       2.8    28     18     
09/11/1979  0       2.9    30     18     
10/11/1979  0       0.3    31     19     
11/11/1979  0       4.1    31     19     
12/11/1979  0       4.5    31     19     
13/11/1979  3.6     3.6    26     20     
14/11/1979  4.5     5.5    25     17     
15/11/1979  2.5     1.7    22.5   17     
16/11/1979  2       2.9    22.5   16.5   
17/11/1979  4       3.3    22.5   16.5   
18/11/1979  0       3.2    22.5   18     
19/11/1979  6.9     2.3    23     18     
20/11/1979  0.5     2.6    23     18     
21/11/1979  0       2.9    23.5   18.5   
22/11/1979  0       3.6    22     18.5   
23/11/1979  0       2.5    22     18     
24/11/1979  2       2.2    23     17.5   
25/11/1979  0       4.4    23     17.5   
26/11/1979  0       3.3    23.5   18     
27/11/1979  0       2.8    23.5   18     
28/11/1979  21.5    2.3    22     18.5   
29/11/1979  3.2     2.9    25     19     
30/11/1979  0       2.2    25     20     
01/12/1979  2.4     1.4    18.5   14     
02/12/1979  2.7     1.8    19.5   16     
03/12/1979  4       1.7    20     16     
04/12/1979  0       1.3    20     16     
05/12/1979  0       1.7    24.5   17     
06/12/1979  0.8     2.1    31     16     
07/12/1979  1.5     4      23     16     
08/12/1979  3.5     2.7    23.5   20     
09/12/1979  4.7     2.7    22.5   19.5   
10/12/1979  1.3     2.8    23     19     
11/12/1979  0.3     2.3    25     19     
12/12/1979  0       3.1    27     19     
13/12/1979  3.2     2.3    27     21     
14/12/1979  3.5     7.1    27     21     
15/12/1979  0       3.4    22     17     
16/12/1979  0       4.7    23     18     
17/12/1979  6.5     6.8    22     16     
18/12/1979  2       4.9    20     18.5   
19/12/1979  0.1     3.7    16.5   14.5   
20/12/1979  0       4.5    19     15.5   
21/12/1979  0       4.5    25.5   16.5   
22/12/1979  0       5.2    23     14.5   
23/12/1979  0       5.8    30     15.5   
24/12/1979  0       4.9    30     18     
25/12/1979  3       1.1    23     20     
26/12/1979  0       2.3    21     15.5   
27/12/1979  0       2      22     14.5   
28/12/1979  0       3.8    24.5   14     
29/12/1979  0       4.5    25.5   14     
30/12/1979  0.7     2.6    26     18.5   
31/12/1979  0       3.6    25.3   16     
01/01/1980  1.9     3      23.5   15     
02/01/1980  0       2.7    24     15     
03/01/1980  0.5     3      26     12.5   
04/01/1980  4.5     1.7    26     14.5   
05/01/1980  0       1.9    23     15     
06/01/1980  0       1.9    25     16     
07/01/1980  0       3.2    28     13     
08/01/1980  0       3.2    28     16     
09/01/1980  0       1.8    26     20     
10/01/1980  0       2.5    28.5   19.5   
11/01/1980  0       3.1    32     19.5   
12/01/1980  0       1.8    27     19.5   
13/01/1980  0       2.4    25     19     
14/01/1980  0       2.3    26     19     
15/01/1980  0       1.7    28.5   19     
16/01/1980  0       3.4    31     17     
17/01/1980  0       2.1    34     21     
18/01/1980  0       2.9    29     19     
19/01/1980  0       3.1    27     20     
20/01/1980  1.5     2.9    28     21     
21/01/1980  0       1.9    28     20     
22/01/1980  21.6    2.7    32     20     
23/01/1980  3.5     3.4    18     16     
24/01/1980  0       2.7    17.5   12.5   
25/01/1980  0       1.9    30     14     
26/01/1980  0       3.1    27     17     
27/01/1980  0       3.3    27     18     
28/01/1980  0       3.7    27     18     
29/01/1980  0       2.9    27     20     
30/01/1980  0       2.6    29     20     
31/01/1980  0       3      29     20     
01/02/1980  0       4.6    27     19     
02/02/1980  0       5.1    27     14     
03/02/1980  18      3.9    26     19     
04/02/1980  0       3      27     19     
05/02/1980  0       3      24     15     
06/02/1980  0       3      24     16     
07/02/1980  0       3.9    24     16     
08/02/1980  0       4.6    30     13     
09/02/1980  0       3.4    34     17     
10/02/1980  0       3.7    29.5   16     
11/02/1980  0       3.8    20     13     
12/02/1980  0       4      25     14     
13/02/1980  0       3.7    22     17     
14/02/1980  0       3.7    26     17     
15/02/1980  0       4.1    26     18     
16/02/1980  11      4.4    33     17     
17/02/1980  0       3.4    32     19     
18/02/1980  0       4.1    20     16     
19/02/1980  0       3.9    26     17     
20/02/1980  0       4.3    33     18     
21/02/1980  0       3.8    33     22     
22/02/1980  0       3.8    33     21     
23/02/1980  0       4.4    34     20     
24/02/1980  0       4      30     18     
25/02/1980  4.2     3.5    30     20     
26/02/1980  0       2.4    28     15     
27/02/1980  0.1     3.4    22     15     
28/02/1980  0       3      23     16     
29/02/1980  0       4.3    30     15     
01/03/1980  0       7.5    33     24     
02/03/1980  0       6.5    35     24     
03/03/1980  0       8.4    35     23     
04/03/1980  0       5.9    35     23     
05/03/1980  0       7      35     22.5   
06/03/1980  0       6.7    36     22.5   
07/03/1980  0       8.1    38     23.5   
08/03/1980  0       5.7    38     23     
09/03/1980  0       6.6    38     24     
10/03/1980  0       5.5    37     25     
11/03/1980  0       5.8    36     25     
12/03/1980  0       3.8    37     25     
13/03/1980  0       5.4    38     26     
14/03/1980  0       9.7    38     25.5   
15/03/1980  0       7.8    37     25     
16/03/1980  0       4.5    37     24     
17/03/1980  0       10     37     24     
18/03/1980  0       7      38.5   24     
19/03/1980  0       7.6    38.5   23     
20/03/1980  0       6.6    37     23     
21/03/1980  0       8.6    37     22.5   
22/03/1980  0       9.7    37.5   24     
23/03/1980  0       8.1    37.5   24     
24/03/1980  0       6.7    38     23     
25/03/1980  0       8.8    38     22     
26/03/1980  0       7.9    37.5   23     
27/03/1980  0       5      37.5   25     
28/03/1980  0       7.7    38     25     
29/03/1980  0       6      38     24     
30/03/1980  0       5.9    30     24     
31/03/1980  0       6      36     21     
