CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20385
NOMBRE    : TOTONTEPEC
ESTADO    : OAXACA
MUNICIPIO : TOTONTEPEC VILLA DE MORELOS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.25°
LONGITUD  : -96.107°
ALTITUD   : 1645 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1983  0       Nulo   Nulo   Nulo   
02/05/1983  0       Nulo   Nulo   Nulo   
03/05/1983  0       Nulo   Nulo   Nulo   
04/05/1983  0       Nulo   Nulo   Nulo   
05/05/1983  0       Nulo   Nulo   Nulo   
06/05/1983  0       Nulo   Nulo   Nulo   
07/05/1983  0       Nulo   Nulo   Nulo   
08/05/1983  0       Nulo   Nulo   Nulo   
09/05/1983  0       Nulo   Nulo   Nulo   
10/05/1983  0       Nulo   Nulo   Nulo   
11/05/1983  0       Nulo   Nulo   Nulo   
12/05/1983  0       Nulo   Nulo   Nulo   
13/05/1983  0       Nulo   Nulo   Nulo   
14/05/1983  0       Nulo   Nulo   Nulo   
15/05/1983  0       Nulo   Nulo   Nulo   
16/05/1983  0       Nulo   Nulo   Nulo   
17/05/1983  0       Nulo   Nulo   Nulo   
18/05/1983  0       Nulo   Nulo   Nulo   
19/05/1983  0       Nulo   28     Nulo   
20/05/1983  0       Nulo   29     23     
21/05/1983  0       Nulo   29.5   23.5   
22/05/1983  25.6    Nulo   26.5   23.5   
23/05/1983  0       Nulo   25.5   19     
24/05/1983  0       Nulo   20     16.5   
25/05/1983  0       Nulo   22     14.5   
26/05/1983  0       Nulo   21     15     
27/05/1983  17.2    Nulo   22.5   15.5   
28/05/1983  0       Nulo   25.5   16     
29/05/1983  1.1     Nulo   22     15     
30/05/1983  0       Nulo   22.5   15.5   
31/05/1983  0       Nulo   28     14     
01/06/1983  0       Nulo   25.5   16.5   
02/06/1983  0       Nulo   27.5   16     
03/06/1983  3.4     Nulo   27     15     
04/06/1983  8.5     Nulo   25.5   15.5   
05/06/1983  0.4     Nulo   22.5   15     
06/06/1983  0       Nulo   27     15     
07/06/1983  0       Nulo   23.5   17     
08/06/1983  11.2    Nulo   24.5   15.5   
09/06/1983  5       Nulo   23     14.5   
10/06/1983  0       Nulo   20     11     
11/06/1983  19.3    Nulo   23.5   11.5   
12/06/1983  0       Nulo   24     14.5   
13/06/1983  0       Nulo   25.5   15     
14/06/1983  0       Nulo   22.5   14.5   
15/06/1983  0       Nulo   24.5   14     
16/06/1983  8.4     Nulo   24.5   12.5   
17/06/1983  36.1    Nulo   27     12.5   
18/06/1983  7.3     Nulo   25.5   14     
19/06/1983  0       Nulo   26.5   14     
20/06/1983  0       Nulo   26     14.5   
21/06/1983  0.3     Nulo   24     15     
22/06/1983  10.7    Nulo   24.5   16     
23/06/1983  27.7    Nulo   23.5   14.5   
24/06/1983  31.9    Nulo   22.5   15.5   
25/06/1983  10.3    Nulo   25.5   14.5   
26/06/1983  13.1    Nulo   23.5   15.5   
27/06/1983  1.7     Nulo   26     16     
28/06/1983  16      Nulo   24     13     
29/06/1983  1.4     Nulo   25.5   16.5   
30/06/1983  20.5    Nulo   23.5   16     
01/07/1983  21.6    Nulo   24     15     
02/07/1983  25.1    Nulo   25     12.5   
03/07/1983  26.3    Nulo   23.5   13.5   
04/07/1983  29.3    Nulo   24.5   13.5   
05/07/1983  16.4    Nulo   23     14.5   
06/07/1983  3.4     Nulo   18.5   13.5   
07/07/1983  9.7     Nulo   19     12.5   
08/07/1983  9.9     Nulo   20.5   13     
09/07/1983  22.1    Nulo   21.5   11.5   
10/07/1983  18.4    Nulo   19.5   12.5   
11/07/1983  16.9    Nulo   21.5   13     
12/07/1983  74.8    Nulo   22.5   12.5   
13/07/1983  12.1    Nulo   21.5   14     
14/07/1983  18.2    Nulo   22     14     
15/07/1983  8.2     Nulo   22.5   15.5   
16/07/1983  17.6    Nulo   21.5   15     
17/07/1983  19.5    Nulo   26.5   15     
18/07/1983  60.5    Nulo   24     14.5   
19/07/1983  164.4   Nulo   32     13     
20/07/1983  63.4    Nulo   21.5   14     
21/07/1983  47.9    Nulo   16.5   13.5   
22/07/1983  63.2    Nulo   16.5   13.5   
23/07/1983  160.4   Nulo   18.5   13     
24/07/1983  9.9     Nulo   18     14     
25/07/1983  20.8    Nulo   17     12.5   
26/07/1983  18      Nulo   19     11.5   
27/07/1983  25      Nulo   17     13.5   
28/07/1983  121.4   Nulo   22     12     
29/07/1983  140.7   Nulo   20.5   13     
30/07/1983  50.3    Nulo   22.5   12.5   
31/07/1983  4.6     Nulo   22     13.5   
01/08/1983  1.2     Nulo   18.5   10.5   
02/08/1983  16.6    Nulo   21.5   13.5   
03/08/1983  36.8    Nulo   20.5   13     
04/08/1983  12.8    Nulo   21     13     
05/08/1983  20      Nulo   19.5   14.5   
06/08/1983  14.7    Nulo   23     13.5   
07/08/1983  22.8    Nulo   19     12     
08/08/1983  0       Nulo   20     12     
09/08/1983  0       Nulo   19     12.5   
10/08/1983  0       Nulo   21.5   13     
11/08/1983  27.4    Nulo   18     13.5   
12/08/1983  19.3    Nulo   22.5   12.5   
13/08/1983  46.9    Nulo   23     10     
14/08/1983  18.7    Nulo   21.5   13.5   
15/08/1983  0       Nulo   19.5   13     
16/08/1983  0       Nulo   24.5   12     
17/08/1983  10.2    Nulo   24     13     
18/08/1983  27.4    Nulo   19.5   12     
19/08/1983  28      Nulo   22     12.5   
20/08/1983  35.7    Nulo   19     13.5   
21/08/1983  28.4    Nulo   22.5   13     
22/08/1983  25      Nulo   23     13     
23/08/1983  6.7     Nulo   18.5   12.5   
24/08/1983  52.4    Nulo   18     12.5   
25/08/1983  27.9    Nulo   18     12.5   
26/08/1983  0       Nulo   19     13.5   
27/08/1983  7.5     Nulo   22.5   12     
28/08/1983  14.7    Nulo   22.5   11     
29/08/1983  26.3    Nulo   21     13.5   
30/08/1983  36.5    Nulo   22.5   12     
31/08/1983  27.8    Nulo   21     13     
01/09/1983  17.7    Nulo   18     12     
02/09/1983  27.5    Nulo   21     12.5   
03/09/1983  22.3    Nulo   22     13     
04/09/1983  30.6    Nulo   23     12     
05/09/1983  14.7    Nulo   23.5   13     
06/09/1983  29.8    Nulo   21.5   12.5   
07/09/1983  25.4    Nulo   20.5   14     
08/09/1983  35.3    Nulo   22     14     
09/09/1983  2.3     Nulo   21     13.5   
10/09/1983  0       Nulo   23     12     
11/09/1983  0       Nulo   24     13     
12/09/1983  3.3     Nulo   23.5   14     
13/09/1983  1.8     Nulo   23     14     
14/09/1983  0       Nulo   22.5   13     
15/09/1983  0       Nulo   23     13.5   
16/09/1983  10.4    Nulo   22.5   14     
17/09/1983  0.9     Nulo   23     14     
18/09/1983  0       Nulo   21.5   13.5   
19/09/1983  42.8    Nulo   23.5   12     
20/09/1983  34.4    Nulo   21     13     
21/09/1983  37.6    Nulo   22.5   14     
22/09/1983  8.1     Nulo   18     13.5   
23/09/1983  0       Nulo   20     13     
24/09/1983  1       Nulo   22.5   12     
25/09/1983  23.7    Nulo   21     12.5   
26/09/1983  4.1     Nulo   21     11     
27/09/1983  16.5    Nulo   19     12     
28/09/1983  27.4    Nulo   16.5   10     
29/09/1983  46.3    Nulo   19.5   9.5    
30/09/1983  1.3     Nulo   20     9      
01/10/1983  0       Nulo   19.5   10     
02/10/1983  0       Nulo   21.5   10.5   
03/10/1983  0       Nulo   21     10.5   
04/10/1983  2.3     Nulo   22.5   11.5   
05/10/1983  15.4    Nulo   23     12     
06/10/1983  23.3    Nulo   22.5   11.5   
07/10/1983  4.9     Nulo   17.5   11     
08/10/1983  3.7     Nulo   21.5   9.5    
