CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20504
NOMBRE    : TLAHUINTOLTEPEC
ESTADO    : OAXACA
MUNICIPIO : SANTA MARIA TLAHUITOLTEPEC
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.091°
LONGITUD  : -96.059°
ALTITUD   : 1223 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1991  1       2.2    29     11     
02/01/1991  0       3.2    28     11     
03/01/1991  0       4.6    30     11     
04/01/1991  0       5.5    29     9      
05/01/1991  3       6.8    31     9      
06/01/1991  0       4.7    30     11     
07/01/1991  0       4.1    31     11     
08/01/1991  0       5.4    27     12     
09/01/1991  0       8.5    31     11     
10/01/1991  0       3.7    30     10     
11/01/1991  0       3.1    32     10     
12/01/1991  0       4.8    30     11     
13/01/1991  0       4.8    30     10     
14/01/1991  0       5.5    28     12     
15/01/1991  0       6.8    29     9      
16/01/1991  0       3.2    30     9      
17/01/1991  0       2.6    31     9      
18/01/1991  0       5.1    30     8      
19/01/1991  0       4.8    32     10     
20/01/1991  0       5.6    30     9      
21/01/1991  0       3.3    31     11     
22/01/1991  0       5.1    30     11     
23/01/1991  0       5.5    29     12     
24/01/1991  0       3.4    31     12     
25/01/1991  0       3.3    32     12     
26/01/1991  0       3.3    32     11     
27/01/1991  0       3.6    32     11     
28/01/1991  0       4.2    31     11     
29/01/1991  0       2.4    31     11     
30/01/1991  0       3.2    31     10     
31/01/1991  0       3.8    31     12     
01/02/1991  0       4.9    31     10     
02/02/1991  0       0.6    31     12     
03/02/1991  0       6.2    33     11     
04/02/1991  0       3.7    31     9      
05/02/1991  0       4      32     12     
06/02/1991  0       5      31     12     
07/02/1991  0       4.8    31     11     
08/02/1991  0       4.8    30     9      
09/02/1991  0       3.6    31     9      
10/02/1991  0       4.1    29     12     
11/02/1991  0       2.8    32     12     
12/02/1991  0       4.4    32     10     
13/02/1991  0       2.4    31     13     
14/02/1991  0       3      33     15     
15/02/1991  0       5.5    33     13     
16/02/1991  0       4.7    32     11     
17/02/1991  0       1.6    31     14     
18/02/1991  0       5.5    32     14     
19/02/1991  0       0.8    31     14     
20/02/1991  0       1.1    30     14     
21/02/1991  0       2.8    32     11     
22/02/1991  0       4      31     11     
23/02/1991  0       1.9    32     13     
24/02/1991  0       3.3    32     13     
25/02/1991  0       3.6    33     14     
26/02/1991  0       3.2    33     14     
27/02/1991  0       2.8    32     13     
28/02/1991  0       2.8    31     11     
01/03/1991  0       9.6    32     11     
02/03/1991  0       8.2    32     10     
03/03/1991  0       3.6    32     11     
04/03/1991  0       6.2    33     12     
05/03/1991  0       6.6    33     7      
06/03/1991  0       6      31     10     
07/03/1991  0       4.4    33     13     
08/03/1991  0       4.8    31     10     
09/03/1991  0       4.7    33     13     
10/03/1991  0       8.8    33     10     
11/03/1991  0       4.4    33     8      
12/03/1991  0       5.6    31     12     
13/03/1991  0       3.8    31     12     
14/03/1991  0       5.1    32     14     
15/03/1991  0       4      32     14     
16/03/1991  0       4.9    34     12     
17/03/1991  0       4.7    35     12     
18/03/1991  0       3.7    35     12     
19/03/1991  0       4.9    34     13     
20/03/1991  0       4.2    34     12     
21/03/1991  0       5.2    34     12     
22/03/1991  0       2.3    32     11     
23/03/1991  0       3.6    33     12     
24/03/1991  0       1.4    35     11     
25/03/1991  0       3.6    33     12     
26/03/1991  0       1.4    33     14     
27/03/1991  0       3.1    32     12     
28/03/1991  0       1.8    33     11     
29/03/1991  0       4.4    33     9      
30/03/1991  0       4.1    32     11     
31/03/1991  0       2.2    31     12     
01/04/1991  0       1.9    33     10     
02/04/1991  0       4.6    33     10     
03/04/1991  0       4.5    33     11     
04/04/1991  0       5.8    31     12     
05/04/1991  0       5.3    33     14     
06/04/1991  0       5.6    31     14     
07/04/1991  0       2.8    33     12     
08/04/1991  0       5.1    34     13     
09/04/1991  0       4.4    34     13     
10/04/1991  0       3.1    35     13     
11/04/1991  0       5      35     9      
12/04/1991  0       2.9    34     13     
13/04/1991  0       5.8    35     13     
14/04/1991  0       3.7    35     8      
15/04/1991  0       5.7    34     12     
16/04/1991  0       4.4    34     13     
17/04/1991  0       6.3    34     13     
18/04/1991  0       3.9    34     14     
19/04/1991  0       6.7    36     14     
20/04/1991  5       2.4    34     15     
21/04/1991  0       5.3    34     16     
22/04/1991  0       4.3    35     15     
23/04/1991  0       5.4    34     15     
24/04/1991  0       2.9    34     15     
25/04/1991  0       4.4    36     14     
26/04/1991  0       2.4    33     14     
27/04/1991  0       3.9    33     15     
28/04/1991  0       3.9    33     14     
29/04/1991  0       3.3    34     11     
30/04/1991  0       2      34     13     
01/05/1991  2       5.4    34     14     
02/05/1991  0       3.5    33     15     
03/05/1991  0       3.3    32     15     
04/05/1991  0       4.2    33     15     
05/05/1991  0       3.7    35     14     
06/05/1991  13      4.2    32     16     
07/05/1991  0       3.5    32     14     
08/05/1991  0       5.6    32     15     
09/05/1991  0       3.1    33     15     
10/05/1991  0       2.2    31     16     
11/05/1991  40.2    4.1    33     14     
12/05/1991  14      4.6    30     15     
13/05/1991  13      5.4    30     16     
14/05/1991  0       2      29     16     
15/05/1991  0       0.1    29     18     
16/05/1991  0       1.8    29     16     
17/05/1991  0       2.6    30     19     
18/05/1991  0       9.6    28     16     
19/05/1991  0       4.2    32     16     
20/05/1991  0       4.3    32     14     
21/05/1991  0       5.3    32     17     
22/05/1991  0       6.1    31     18     
23/05/1991  0       4.4    31     16     
24/05/1991  0       5.5    32     18     
25/05/1991  0       3.5    31     18     
26/05/1991  2       13.2   33     18     
27/05/1991  20.1    4.7    32     16     
28/05/1991  0       5.1    29     15     
29/05/1991  40.6    4.4    29     14     
30/05/1991  0       0.7    29     15     
31/05/1991  0       1      30     15     
01/06/1991  0       3.8    31     16     
02/06/1991  0       6.2    32     16     
03/06/1991  0       4.1    32     15     
04/06/1991  0       4.1    32     15     
05/06/1991  0       3.5    33     17     
06/06/1991  0       4.2    33     14     
07/06/1991  8       4      33     17     
08/06/1991  40.5    4.5    31     16     
09/06/1991  13      9.6    30     14     
10/06/1991  1       7.6    31     15     
11/06/1991  0       2.9    32     15     
12/06/1991  5       4.5    32     16     
13/06/1991  0       7.8    32     17     
14/06/1991  20      5      31     16     
15/06/1991  20.3    6.4    32     17     
16/06/1991  0       2.5    24     16     
17/06/1991  20.6    2.1    31     14     
18/06/1991  9       4.9    29     16     
19/06/1991  40.1    5.2    35     17     
20/06/1991  60.7    3.5    29     14     
21/06/1991  10      3.3    26     16     
22/06/1991  20.7    5.1    27     16     
23/06/1991  21      6.2    20     16     
24/06/1991  14      4.3    26     14     
25/06/1991  0       2.8    29     16     
26/06/1991  12      4.1    29     16     
27/06/1991  20.4    4      25     17     
28/06/1991  0       3.8    25     16     
29/06/1991  40      5.1    26     17     
30/06/1991  20.2    Nulo   25     17     
01/07/1991  8       Nulo   26     15     
02/07/1991  0       Nulo   26     17     
03/07/1991  0       Nulo   27     15     
04/07/1991  16      Nulo   30     17     
05/07/1991  4       Nulo   30     17     
06/07/1991  20      Nulo   26     17     
07/07/1991  10      Nulo   29     14     
08/07/1991  10      Nulo   27     16     
09/07/1991  0       Nulo   25     16     
10/07/1991  20.4    Nulo   29     14     
11/07/1991  0       Nulo   27     14     
12/07/1991  0       Nulo   30     15     
13/07/1991  17      Nulo   31     15     
14/07/1991  8       Nulo   30     13     
15/07/1991  0       Nulo   30     14     
16/07/1991  0       Nulo   31     12     
17/07/1991  0       Nulo   31     14     
18/07/1991  10      Nulo   31     15     
19/07/1991  12      Nulo   30     15     
20/07/1991  10.6    Nulo   31     16     
21/07/1991  0       Nulo   31     15     
22/07/1991  0       Nulo   28     16     
23/07/1991  3       Nulo   27     14     
24/07/1991  20.1    Nulo   27     15     
25/07/1991  0       Nulo   29     14     
26/07/1991  0       Nulo   30     14     
27/07/1991  0       Nulo   30     14     
28/07/1991  0       Nulo   31     14     
29/07/1991  4       Nulo   32     14     
30/07/1991  0       Nulo   31     16     
31/07/1991  40.3    Nulo   30     14     
01/08/1991  17      Nulo   27     14     
02/08/1991  20.8    Nulo   26     14     
03/08/1991  0       Nulo   28     14     
04/08/1991  19.6    Nulo   27     17     
05/08/1991  9       Nulo   25     15     
06/08/1991  15      Nulo   27     15     
07/08/1991  0       Nulo   26     16     
08/08/1991  21.5    Nulo   30     15     
09/08/1991  0       Nulo   30     13     
10/08/1991  0       Nulo   30     14     
11/08/1991  4       Nulo   28     14     
12/08/1991  0       Nulo   30     12     
13/08/1991  0       Nulo   30     13     
14/08/1991  0       Nulo   30     13     
