CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 21234
NOMBRE    : PRESA BOQUERONCITOS
ESTADO    : PUEBLA
MUNICIPIO : ATLIXCO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.309°
LONGITUD  : -98.215°
ALTITUD   : 2121 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1984  0       Nulo   28     9.5    
02/01/1984  0       Nulo   29     10     
03/01/1984  0       Nulo   29.5   10     
04/01/1984  0       Nulo   29     15     
05/01/1984  0       Nulo   28     14     
06/01/1984  0       Nulo   29.5   14     
07/01/1984  0       Nulo   31     15     
08/01/1984  0       Nulo   29     16     
09/01/1984  0       Nulo   28     16     
10/01/1984  0       Nulo   29     14     
11/01/1984  0       Nulo   27     13     
12/01/1984  0       Nulo   22     11     
13/01/1984  0       Nulo   28     12     
14/01/1984  0       Nulo   30     13     
15/01/1984  0       Nulo   29     14     
16/01/1984  0       Nulo   30     15     
17/01/1984  0       Nulo   29.5   14     
18/01/1984  0       Nulo   30     14     
19/01/1984  0       Nulo   30.5   15     
20/01/1984  0       Nulo   31     16     
21/01/1984  0       Nulo   30     14     
22/01/1984  0       Nulo   31.5   13     
23/01/1984  0       Nulo   31     12.5   
24/01/1984  0       Nulo   29     15     
25/01/1984  0       Nulo   30     16     
26/01/1984  0       Nulo   30     15     
27/01/1984  0       Nulo   28.5   15     
28/01/1984  0       Nulo   29     16     
29/01/1984  0       Nulo   31     15.5   
30/01/1984  0       Nulo   30     14     
31/01/1984  0       Nulo   29     16     
01/02/1984  0       Nulo   30     16     
02/02/1984  0       Nulo   31     15     
03/02/1984  0       Nulo   30     16     
04/02/1984  0       Nulo   30.5   15.5   
05/02/1984  0       Nulo   29     15     
06/02/1984  0       Nulo   31     14     
07/02/1984  0       Nulo   30     13     
08/02/1984  0       Nulo   28     14     
09/02/1984  0       Nulo   29     15     
10/02/1984  0       Nulo   30     15.5   
11/02/1984  0       Nulo   31     14     
12/02/1984  0       Nulo   29.5   15     
13/02/1984  0       Nulo   30     16.5   
14/02/1984  0       Nulo   32     16     
15/02/1984  0       Nulo   31     15     
16/02/1984  0       Nulo   32     17     
17/02/1984  0       Nulo   32     16     
18/02/1984  0       Nulo   32.5   14.5   
19/02/1984  0       Nulo   32     16     
20/02/1984  0       Nulo   31.5   15.5   
21/02/1984  0       Nulo   33     15     
22/02/1984  0       Nulo   31     14     
23/02/1984  0       Nulo   32     16     
24/02/1984  0       Nulo   32     17     
25/02/1984  0       Nulo   31.5   16     
26/02/1984  0       Nulo   32     15.5   
27/02/1984  0       Nulo   30.5   15     
28/02/1984  0       Nulo   32     13     
29/02/1984  0       Nulo   30     14     
01/03/1984  0       Nulo   31     13     
02/03/1984  0       Nulo   32     14     
03/03/1984  0       Nulo   32.5   15.5   
04/03/1984  0       Nulo   30     15     
05/03/1984  0       Nulo   31.5   16     
06/03/1984  0       Nulo   30     16     
07/03/1984  0       Nulo   29     14.5   
08/03/1984  0       Nulo   28.5   14     
09/03/1984  0       Nulo   30     15     
10/03/1984  0       Nulo   30.5   15.5   
11/03/1984  0       Nulo   31     16     
12/03/1984  0       Nulo   32     16     
13/03/1984  0       Nulo   33     15     
14/03/1984  0       Nulo   33.5   14.5   
15/03/1984  0       Nulo   32     16     
16/03/1984  0       Nulo   31     15     
17/03/1984  0       Nulo   30     16     
18/03/1984  0       Nulo   30     17     
19/03/1984  0       Nulo   29.5   16     
20/03/1984  0       Nulo   31     18     
21/03/1984  0       Nulo   30     16.5   
22/03/1984  0       Nulo   31.5   18     
23/03/1984  0       Nulo   32     17     
24/03/1984  0       Nulo   33     16     
25/03/1984  0       Nulo   33     16     
26/03/1984  0       Nulo   32.5   15.5   
27/03/1984  0       Nulo   34     14     
28/03/1984  0       Nulo   35     18     
29/03/1984  0       Nulo   34     17.5   
30/03/1984  0       Nulo   35     18     
31/03/1984  0       Nulo   32     18     
01/04/1984  0       1.5    34     19     
02/04/1984  0       1.8    34.5   17     
03/04/1984  0       1.5    33     18     
04/04/1984  0       1.8    35     17.5   
05/04/1984  0       1.6    35     19     
06/04/1984  0       1.5    34.5   20     
07/04/1984  0       1.5    34     19     
08/04/1984  0       1.5    34     18.5   
09/04/1984  0       1.6    35     19     
10/04/1984  0       1.5    35     20     
11/04/1984  0       1.4    34     20     
12/04/1984  0       1.7    35.5   19     
13/04/1984  0       1.5    35     19.5   
14/04/1984  0       1.6    34     18     
15/04/1984  0       1.6    34     18     
16/04/1984  0       1.7    33     16     
17/04/1984  0       1.8    34.5   17     
18/04/1984  0       1.5    33     18     
19/04/1984  0       1.3    32     19     
20/04/1984  0       1.5    33     18.5   
21/04/1984  0       1.5    34     19     
22/04/1984  0       1.7    34     17.5   
23/04/1984  0       1.7    35     18     
24/04/1984  0       1.4    33     19     
25/04/1984  0       1.5    34     18.5   
26/04/1984  0       1.5    35     20     
27/04/1984  0       1.6    35     19     
28/04/1984  0       1.4    34     20     
