CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 21248
NOMBRE    : PUEBLA (CONAGUA)
ESTADO    : PUEBLA
MUNICIPIO : PUEBLA
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.012°
LONGITUD  : -98.193°
ALTITUD   : 2145 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2007  0       Nulo   24     10     
02/01/2007  0       Nulo   24     11     
03/01/2007  0       Nulo   24     11     
04/01/2007  0       Nulo   24     10     
05/01/2007  0       Nulo   22     11     
06/01/2007  0       Nulo   23     12     
07/01/2007  0       Nulo   23     12     
08/01/2007  0       Nulo   22     11     
09/01/2007  0       Nulo   23     12     
10/01/2007  0       Nulo   24     8      
11/01/2007  0       Nulo   25     7      
12/01/2007  0       Nulo   25     8      
13/01/2007  0       Nulo   26     13     
14/01/2007  0       Nulo   26     10     
15/01/2007  0       Nulo   26     10.5   
16/01/2007  0       Nulo   25     11     
17/01/2007  0       Nulo   27     11     
18/01/2007  0       Nulo   26     6      
19/01/2007  0       Nulo   22     10     
20/01/2007  0       Nulo   21.5   9.5    
21/01/2007  0       Nulo   23     11     
22/01/2007  0       Nulo   25     10.5   
23/01/2007  0       Nulo   25     11     
24/01/2007  0       Nulo   27     10     
25/01/2007  0       Nulo   25     10     
26/01/2007  8       Nulo   23     11     
27/01/2007  1       Nulo   17     12     
28/01/2007  0       Nulo   22     12     
29/01/2007  0       Nulo   22     8      
30/01/2007  0       Nulo   22     8      
31/01/2007  0       Nulo   23     8      
01/02/2007  0       Nulo   25     13     
02/02/2007  0       Nulo   26     13     
03/02/2007  21      Nulo   24     13     
04/02/2007  0       Nulo   25     13     
05/02/2007  0       Nulo   22     11     
06/02/2007  0       Nulo   23     8      
07/02/2007  0       Nulo   22     9      
08/02/2007  0       Nulo   25     10     
09/02/2007  9       Nulo   15     11     
10/02/2007  1       Nulo   22     12     
11/02/2007  0       Nulo   24     9      
12/02/2007  0       Nulo   23     8      
13/02/2007  0       Nulo   25     10     
14/02/2007  0       Nulo   26     10     
15/02/2007  0       Nulo   26     10     
