CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 22032
NOMBRE    : PRESA CONSTITUCION
ESTADO    : QUERETARO
MUNICIPIO : San Juan del Río
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.419°
LONGITUD  : -100.072°
ALTITUD   : 1925 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1973  0       4.2    23.5   5      
02/02/1973  0       5.2    22.5   6      
03/02/1973  0       5.6    23     2.5    
04/02/1973  0       5.7    27     2      
05/02/1973  0       7.7    30     2      
06/02/1973  0       6.9    29     3      
07/02/1973  0       7      30.5   5      
08/02/1973  0       10.1   27     6      
09/02/1973  0       11.3   22     8      
10/02/1973  0       7.7    25     3      
11/02/1973  0       7.9    27     1      
12/02/1973  0       7      26     2      
13/02/1973  0       8.7    26.5   3.5    
14/02/1973  0       6.6    26     7      
15/02/1973  0       5.4    27     6      
16/02/1973  0       4.2    23     6.5    
17/02/1973  0       7.5    26     7      
18/02/1973  0       2.1    24     7.5    
19/02/1973  0       4.5    23     12     
20/02/1973  0       4.8    22.5   8.5    
21/02/1973  0       4.1    26     9      
22/02/1973  0       10.2   28     8      
23/02/1973  0       10     28.5   9      
24/02/1973  0       6.7    29     6      
25/02/1973  0       7.4    29     7      
26/02/1973  0       7.7    27     6.5    
27/02/1973  0       7.6    24     7.5    
28/02/1973  0       9.3    27     6.5    
01/03/1973  0       2.2    26.5   7      
02/03/1973  0       8.2    28.5   7.5    
03/03/1973  0       9.7    28.5   7      
04/03/1973  0       10.6   31     8      
05/03/1973  0       9.3    30     9.5    
06/03/1973  0       10.1   29     8      
07/03/1973  0       9.5    31     7.5    
08/03/1973  0       10     31.5   9      
09/03/1973  0       11     32     10     
10/03/1973  0       11     29.5   10     
11/03/1973  0       9.6    30.5   9.5    
12/03/1973  0       9      33     7      
13/03/1973  0       9.9    32     9      
14/03/1973  0       8.3    32     8.5    
15/03/1973  0       10.4   31     9      
16/03/1973  0       8.6    29     10.5   
17/03/1973  0       6.7    25.5   8.5    
18/03/1973  0       9      29     7.5    
19/03/1973  0       9.6    29     10.5   
20/03/1973  0       9.3    30     10     
21/03/1973  0       10.5   30     12.5   
22/03/1973  0       9.7    29     13     
23/03/1973  0       8.1    29.5   11     
24/03/1973  0       11.8   29     12.5   
25/03/1973  0       13.6   30     9.5    
26/03/1973  0       10.9   32     8.5    
27/03/1973  0       9.9    32     10.5   
28/03/1973  0       12.1   31     12.5   
29/03/1973  0       13.5   32     9      
30/03/1973  0       12.4   31     12     
31/03/1973  0       9.3    31     11.5   
01/04/1973  0       12.8   32     9      
02/04/1973  0       11.4   30.5   9      
03/04/1973  0       13     32     9.5    
04/04/1973  0       8.7    30     9.5    
05/04/1973  2       1.1    19     6      
06/04/1973  0       8.1    28     7      
07/04/1973  0       8.1    26     9      
08/04/1973  0       10.3   28     8      
09/04/1973  0       9.1    28.5   9.5    
10/04/1973  0       7      27     3.5    
11/04/1973  0       8.3    30.5   5.5    
12/04/1973  0       9.6    30     8.5    
13/04/1973  6.5     4.8    30.5   12.5   
14/04/1973  3.2     5.3    29     12.5   
15/04/1973  0       4.5    30     13.5   
16/04/1973  0       4.6    29     13     
17/04/1973  0       8.8    30     11     
18/04/1973  0       9.8    31     14     
19/04/1973  0       9.9    30.5   15     
20/04/1973  0       12.1   31     12.5   
21/04/1973  0       10.9   33.5   12     
22/04/1973  0       10.2   33.5   13     
23/04/1973  0       10.3   33     16.5   
24/04/1973  0       11.2   30     14.5   
25/04/1973  0       11.9   33     12.5   
26/04/1973  0       11.5   32     12.5   
27/04/1973  0       10.1   32.5   14     
28/04/1973  0       9.4    31     14.5   
29/04/1973  0       11     32     10     
30/04/1973  0       10.4   32     13     
01/05/1973  10      11.3   32     14.5   
02/05/1973  2.2     7.8    32     12     
03/05/1973  0       6.2    26.5   13.5   
04/05/1973  16      9.7    30.5   14.5   
05/05/1973  0       5.8    29     12.5   
06/05/1973  0       9.9    30.5   16     
07/05/1973  0       11.6   31     14.5   
08/05/1973  0       7.2    32.5   14     
09/05/1973  1.7     7.3    31     12     
10/05/1973  0       8.8    31.5   14.5   
11/05/1973  4       8.8    32     14     
12/05/1973  0       8.5    34     14.5   
13/05/1973  0       8.1    33.5   14     
14/05/1973  0       6.9    25     13.5   
15/05/1973  0       4.4    26     12.5   
16/05/1973  0       7.6    29.5   11     
17/05/1973  24.7    5.2    26.5   14     
18/05/1973  8.5     4.1    22.5   12.5   
19/05/1973  0       3.2    26     12.5   
20/05/1973  0       5.4    27.5   11     
21/05/1973  0       8.1    29     10.5   
22/05/1973  0       10.6   34     10     
23/05/1973  0       10.4   33     15     
24/05/1973  0       6.2    29     14     
25/05/1973  0       11.6   34.5   15     
26/05/1973  0       10.4   34     15     
27/05/1973  0       12.6   34     14.5   
28/05/1973  0       10.5   35     15.5   
29/05/1973  0       7.5    28     15     
30/05/1973  0       8      29     13     
31/05/1973  0       9.4    29.5   13.5   
01/06/1973  0       9.3    29     12     
02/06/1973  0       8.4    31.5   11     
03/06/1973  0       11.2   34     11.5   
04/06/1973  0       10.5   33.5   11.5   
05/06/1973  0       8.6    32     12.5   
06/06/1973  0       9.2    32     12.5   
07/06/1973  0       9.5    28     10.5   
08/06/1973  0.7     5.8    24     13.5   
09/06/1973  4.7     2      22     12.5   
10/06/1973  0.5     4.9    26     10     
11/06/1973  0       9      30     10     
12/06/1973  0       9.2    31     12     
13/06/1973  0       7.7    31     17.5   
14/06/1973  34.8    7.8    30     16     
15/06/1973  0       5.1    27     14.5   
16/06/1973  0       7      29     15.5   
17/06/1973  4.4     7.4    30.5   16.5   
18/06/1973  0       7.1    30.5   14.5   
19/06/1973  0       7.1    31     14.5   
20/06/1973  0       8.8    28.5   14     
21/06/1973  0       6.1    24.5   15     
22/06/1973  16.2    2.3    19.5   14     
23/06/1973  3.2     2.3    21     14     
24/06/1973  7.5     2.3    23.5   14.5   
25/06/1973  21      5.6    21     14.5   
26/06/1973  20      3.1    23     14.5   
27/06/1973  9.7     2.8    25     12     
28/06/1973  15.5    4.7    27     14     
29/06/1973  7.2     6.3    28.5   14.5   
30/06/1973  26.2    7.8    27     13.5   
01/07/1973  12.7    2.3    23     13.5   
02/07/1973  2.9     2.8    24     14     
03/07/1973  23      2.7    23     14     
04/07/1973  6.7     2.2    21     13     
05/07/1973  11.2    3.5    22     14     
06/07/1973  32      1.2    25     13.5   
07/07/1973  38.7    4.4    25.5   13.5   
08/07/1973  4       2      20.5   14.5   
09/07/1973  0       4.5    24     13.5   
10/07/1973  0       6.5    24.5   13     
11/07/1973  0       6.7    25.5   14     
12/07/1973  0       5.1    28     11.5   
13/07/1973  0.9     6.8    28     12     
14/07/1973  1.2     3.9    26.5   12     
15/07/1973  0       4.4    25.5   13.5   
16/07/1973  0       5.7    27     14     
17/07/1973  0       7.7    27     15     
18/07/1973  0       8      26     13     
19/07/1973  0       5.4    26     12     
20/07/1973  0       8.4    27     12     
21/07/1973  11.4    3      27     14     
22/07/1973  0       2.5    28     13     
23/07/1973  25.2    5.4    27     15     
24/07/1973  0       4.2    28     11     
25/07/1973  0.7     4.9    25     13     
26/07/1973  11.9    3.7    23.5   12     
27/07/1973  0       5.6    26.5   14     
28/07/1973  0.2     5.8    27     14.5   
29/07/1973  0       7.2    28     13     
30/07/1973  0       7      29     15     
31/07/1973  0       6.3    28.5   13.5   
01/08/1973  0       6.5    29     12     
02/08/1973  0       6.3    28     12     
03/08/1973  0       8.4    27.5   13     
04/08/1973  0       5.4    27     13     
05/08/1973  0       5.7    27     12     
06/08/1973  3.2     5.9    22     11.5   
07/08/1973  0       1.4    22.5   14     
08/08/1973  15.3    4.9    27     14     
09/08/1973  16.7    5.6    24.5   14     
10/08/1973  20.8    5      24     14     
11/08/1973  23.7    2.9    22     13.5   
12/08/1973  31.7    5.6    23     14.5   
13/08/1973  1.2     4.9    23     14     
14/08/1973  0       4.4    24.5   14     
15/08/1973  10.8    4.6    25.5   14.5   
16/08/1973  18.9    4.9    25     14.5   
17/08/1973  66.3    3.3    24.5   13.5   
18/08/1973  0       4.2    23.5   14     
19/08/1973  0       5.8    24     11.5   
20/08/1973  0       4.5    23     11     
21/08/1973  0       5.2    23     10     
22/08/1973  0       2.7    19.5   13     
23/08/1973  0       6.1    23     10     
24/08/1973  0.2     3.6    23.5   11     
25/08/1973  1.2     5.1    25     14.5   
26/08/1973  0.5     3.9    23.5   14     
27/08/1973  1.5     4.4    24.5   13.5   
28/08/1973  7.5     4.9    25     14.5   
29/08/1973  0       5.5    25     15     
30/08/1973  0       5.4    25     15     
31/08/1973  0       6.7    26     14     
01/09/1973  0       5.2    27     11.5   
02/09/1973  0       6      27.5   11     
03/09/1973  0       4.5    25     14     
04/09/1973  0       4.5    24.5   15     
05/09/1973  0       5.3    27     12     
06/09/1973  0       5.7    27     10.5   
07/09/1973  6.7     3.7    23.5   11.5   
08/09/1973  8.7     2.8    26.5   14     
09/09/1973  5       7.9    26     13     
10/09/1973  4.2     5.9    26     13.5   
11/09/1973  2.2     2.7    26     12.5   
12/09/1973  0       5.9    27     12.5   
13/09/1973  6       6.8    27     13     
14/09/1973  0       5.2    27.5   14     
15/09/1973  0       6.7    26     14     
16/09/1973  0       5.2    25     12     
17/09/1973  0       6      26.5   14     
18/09/1973  0       4.6    25     13     
19/09/1973  0       6.8    26     12     
20/09/1973  0       4.9    26.5   11     
21/09/1973  0       5.9    27.5   11     
22/09/1973  0       5.4    27     11.5   
23/09/1973  0       5.9    28     13.5   
24/09/1973  31.2    8.6    29.5   14     
25/09/1973  1.5     3.5    22     14     
26/09/1973  20      6.2    25     14     
27/09/1973  0       2.5    22     14     
28/09/1973  0       4.8    24.5   13     
29/09/1973  0       4.4    26     12     
30/09/1973  0       4.1    25     12     
01/10/1973  0       5.7    26     12     
02/10/1973  0       5.7    27     12.5   
03/10/1973  0       7.1    27     11     
04/10/1973  0       6.4    26     9.5    
05/10/1973  0.5     5.1    26     13     
06/10/1973  0       6.8    25     12     
07/10/1973  0       6.7    26.5   10     
08/10/1973  0       4.9    26.5   11     
09/10/1973  0       4.1    28     12     
10/10/1973  0       3.4    25     12     
11/10/1973  11.2    3.1    26     14.5   
12/10/1973  24.7    2.1    22     15.5   
13/10/1973  2.5     3      23.5   14     
14/10/1973  0       1.9    20.5   14.5   
15/10/1973  0       2.2    22     12     
16/10/1973  0       4.1    24     10.5   
17/10/1973  0       3.3    21     12     
18/10/1973  0       4.6    21.5   9      
19/10/1973  1       4.1    21     10.5   
20/10/1973  0       2.6    19     10     
21/10/1973  0       4.8    22     9.5    
22/10/1973  0       5.8    19.5   10.5   
23/10/1973  0       4.6    23     9      
24/10/1973  0       5.4    26     9      
25/10/1973  0       4.9    28     10     
26/10/1973  0       5      26.5   10     
27/10/1973  5.7     3.9    25.5   12     
28/10/1973  0       2.5    22     14     
29/10/1973  1.3     4      24     9.5    
30/10/1973  0       5.2    24.5   10.5   
31/10/1973  0       6.2    24     9.5    
01/11/1973  0       2.3    27     8      
02/11/1973  0       5.3    28.5   8.5    
03/11/1973  0       5.2    28     8.5    
04/11/1973  0       3.8    28     12     
05/11/1973  0       5.8    27     9      
06/11/1973  0       5.4    27     11     
07/11/1973  0       5.8    27     9      
08/11/1973  0       5.4    27     6.5    
09/11/1973  0       7.8    26     8      
10/11/1973  2.7     4.9    20     9      
11/11/1973  0       2.9    27     10.5   
12/11/1973  0       2.8    21     9.5    
13/11/1973  0       4.6    24     7      
14/11/1973  0       5.8    24     3.5    
15/11/1973  0       4.8    26     3      
16/11/1973  0       4.9    24.5   7      
17/11/1973  0       3.7    25     4      
18/11/1973  0       5.1    26     5.5    
19/11/1973  0       6.7    24.5   5      
20/11/1973  0       7.3    25.5   5.5    
21/11/1973  0       4.9    26     2.5    
22/11/1973  0       4.4    23.5   5.5    
23/11/1973  0       4.8    24     7      
24/11/1973  0       5      25     8      
25/11/1973  0       5.4    25     7.5    
26/11/1973  1.2     3.4    24.5   8.5    
27/11/1973  0       5.7    24     9      
28/11/1973  0       4      15     12     
29/11/1973  0       3.8    18     2      
30/11/1973  0       2.8    17     2      
01/12/1973  0       4.9    19.5   7      
02/12/1973  0       4.5    24     10     
03/12/1973  0       6      24.5   5      
04/12/1973  0       5.7    25     4.5    
05/12/1973  0       4.9    25.5   2.5    
06/12/1973  0       4.2    26     3      
07/12/1973  0       2.2    17     9      
08/12/1973  0       4.7    23     5.5    
09/12/1973  0       3.6    23     1      
10/12/1973  0       3.3    17     2      
11/12/1973  0       2.6    20     4      
12/12/1973  0       4.6    26.5   2      
13/12/1973  0       4.6    24     2      
14/12/1973  0       5.9    25     2      
15/12/1973  0       6.7    25     3      
16/12/1973  0       2.8    20     7      
17/12/1973  0       5.1    21.5   -1     
18/12/1973  0       4.8    21     0.5    
19/12/1973  0       6.5    20.5   2.5    
20/12/1973  0       2.9    15.5   3.5    
21/12/1973  0       3.8    20     1.5    
22/12/1973  0       4.8    22     0      
23/12/1973  0       6.3    20.5   1.5    
24/12/1973  0       5.6    22.5   7      
25/12/1973  0       2.1    17     5      
26/12/1973  0       4      21.5   5      
27/12/1973  0       4.8    25     5      
28/12/1973  0       4      23     5      
29/12/1973  0       6.1    24     5      
30/12/1973  0       6.4    23     4      
31/12/1973  0       6.8    23     5      
01/01/1974  0       4.2    25.5   6      
02/01/1974  0       5.1    26     5      
03/01/1974  0       4.5    26.5   4      
04/01/1974  0       4.8    25     5.5    
05/01/1974  0       5      25     5      
06/01/1974  0       4.2    26     6      
07/01/1974  0       5.2    27     5      
08/01/1974  0       4.5    27     5.5    
09/01/1974  0       4.4    27     7.5    
10/01/1974  0       3.9    25.5   5.5    
11/01/1974  0       5.9    24     6      
12/01/1974  0       3.4    20     8.5    
13/01/1974  0       5.2    23.5   9      
14/01/1974  0       4.1    24     10     
15/01/1974  0       4      23     5      
16/01/1974  0       5.1    25     5.5    
17/01/1974  0       5.2    24.5   3      
18/01/1974  0       5.3    24.5   4      
19/01/1974  0       7      25     4      
20/01/1974  0       4.6    26     6      
21/01/1974  0       5.8    25.5   5      
22/01/1974  0       5.4    25.5   5      
23/01/1974  0       4.4    26.5   6      
24/01/1974  0       4.6    25     8      
25/01/1974  0       2.6    23     6      
26/01/1974  0       5.3    23.5   5.5    
27/01/1974  0       7.7    24.5   6      
28/01/1974  0       5.9    27     6      
29/01/1974  0       6.3    24.5   5      
30/01/1974  0       5.3    26     6      
31/01/1974  0       6.3    27     6      
01/02/1974  0       5.7    27     5.5    
02/02/1974  0       7.6    25     6.5    
03/02/1974  0       5.5    26     6      
04/02/1974  0       3.7    18     7      
05/02/1974  0       4.2    23.5   6      
06/02/1974  0       6.8    24.5   5      
07/02/1974  0       6.6    26     5.5    
08/02/1974  0       6.6    25.5   5.5    
09/02/1974  0       2.6    15.5   3      
10/02/1974  0       6.5    23     0.5    
11/02/1974  0       5.5    25.5   2      
12/02/1974  0       5.9    27     2.5    
13/02/1974  0       5.5    25.5   4.5    
14/02/1974  0       6.4    27     7      
15/02/1974  0       7.3    25     8.5    
16/02/1974  0       6.4    27     8      
17/02/1974  0       6.4    27.5   5.5    
18/02/1974  0       7.2    26.5   6      
19/02/1974  0       5.8    28.5   6      
20/02/1974  0       7.9    26.5   6      
21/02/1974  0       7.4    27     7.5    
22/02/1974  0       5.3    22     8      
23/02/1974  0       4.4    26     3      
24/02/1974  0       5.5    21     4      
25/02/1974  0       5.2    18     7      
26/02/1974  0       3.8    22     2.5    
27/02/1974  0       7      25     2      
28/02/1974  0       6.5    27     4      
01/03/1974  0       8.1    26     5      
02/03/1974  0       6.1    27.5   1      
03/03/1974  0       7.3    29     2.5    
04/03/1974  0       6.3    30.5   3.5    
05/03/1974  0       7.4    30     8      
06/03/1974  0       7.4    29     7.5    
07/03/1974  0       5.3    28.5   8      
08/03/1974  0       7.5    28     9      
09/03/1974  0       8.2    28     9.5    
10/03/1974  0       6.9    27     10     
11/03/1974  0       6      28     10.5   
12/03/1974  8.3     5.2    25     9      
13/03/1974  1       5.3    26.5   8      
14/03/1974  0       5.2    26     9.5    
15/03/1974  0.5     5.9    27     8      
16/03/1974  0.5     5.7    26.5   8.5    
17/03/1974  6.5     3.3    27     8      
18/03/1974  0       4.6    24.5   7      
19/03/1974  0       7.2    27     7      
20/03/1974  0       10     28     10     
21/03/1974  0       9.3    30.5   10     
22/03/1974  0       14     30     8      
23/03/1974  0       12.1   29     9      
24/03/1974  0       8.6    30     8      
25/03/1974  0       9.1    30     9      
