CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 22061
NOMBRE    : CONAFRUT LOS CUES
ESTADO    : QUERETARO
MUNICIPIO : Querétaro
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.783°
LONGITUD  : -100.517°
ALTITUD   : 2328 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/1982  0       7.1    29     14     
02/06/1982  0       9      32     11     
03/06/1982  0       10.5   33     12     
04/06/1982  0       11.5   34     10     
05/06/1982  2.3     10.9   33     9      
06/06/1982  0       2.2    32     10     
07/06/1982  0       10.5   30     14     
08/06/1982  0       8.2    31     14     
09/06/1982  0       8.4    31     10     
10/06/1982  0       8.7    30     12     
11/06/1982  0       8.5    30     11     
12/06/1982  0       3.9    27     11     
13/06/1982  0       2.8    29     11     
14/06/1982  0       8.5    31     11     
15/06/1982  0       8      31     11     
16/06/1982  0       10.6   31     12     
17/06/1982  0       10.9   32     12     
18/06/1982  0       9.3    32     11     
19/06/1982  0       12     29     11     
20/06/1982  0       6.7    29     11     
21/06/1982  0       9      31     12     
22/06/1982  0       8.3    29     11     
23/06/1982  0       8.4    31     11     
24/06/1982  0       3.7    35     11     
25/06/1982  0       12.6   30     12     
26/06/1982  0       7      30     13     
27/06/1982  0       8.1    30     13     
28/06/1982  0       8.6    31     13     
29/06/1982  7       7.2    30     11     
30/06/1982  0       Nulo   30     12     
01/07/1982  9.1     2.6    21     15     
02/07/1982  0       6.2    25     12     
03/07/1982  0       8.2    25     12     
04/07/1982  0       8.1    26     12     
05/07/1982  0       8.8    27     12     
06/07/1982  0       15.5   27     12     
07/07/1982  0       5.7    27     12     
08/07/1982  0       9      24     9      
09/07/1982  0       17.5   28     10     
10/07/1982  0       5.2    27     12     
11/07/1982  0       6.1    27     12     
12/07/1982  24.5    11.4   28     11     
13/07/1982  0       5.4    27     12     
14/07/1982  0       6.5    27     11     
15/07/1982  0       6.3    26     11     
16/07/1982  0       5.1    26     11     
17/07/1982  0       4.9    27     12     
18/07/1982  0       4.8    27     12     
19/07/1982  0       1.7    26     11     
20/07/1982  3.5     3.5    26     11     
21/07/1982  0       6.1    26     13     
22/07/1982  0       7.6    26     10     
23/07/1982  0       9.5    26     10     
24/07/1982  0       6.7    25     11     
25/07/1982  0       2.5    27     13     
26/07/1982  3.1     8.6    26     13     
27/07/1982  0       8.6    24     16     
28/07/1982  0       12.4   27     10     
29/07/1982  0       8.7    28     8      
30/07/1982  0       Nulo   28     7      
31/07/1982  0       Nulo   28     12     
01/08/1982  0       7.8    27     12     
02/08/1982  2       Nulo   27     12     
03/08/1982  12.5    3.4    31     12     
04/08/1982  0       9.2    25     12     
05/08/1982  0       2.8    26     9      
06/08/1982  0       7.3    26     9      
07/08/1982  0       4.1    25     8      
08/08/1982  0       9.4    27     11     
09/08/1982  2.1     5.4    27     11     
10/08/1982  0       3.5    27     13     
11/08/1982  0       6.9    25     12     
12/08/1982  0       13.6   27     11     
13/08/1982  0       5.9    26     12     
14/08/1982  4.2     0.4    27     11     
15/08/1982  1.3     2.1    28     10     
16/08/1982  0       Nulo   27     10     
17/08/1982  0       5      28     10     
18/08/1982  0       9.5    27     11     
19/08/1982  0       10.1   27     11     
20/08/1982  0       10     26     11     
21/08/1982  0       12.2   26     13     
22/08/1982  0       8.3    25     11     
23/08/1982  0       7.8    25     11     
24/08/1982  0       6.9    27     9      
25/08/1982  0       4.4    27     13     
26/08/1982  0       6.4    28     17     
27/08/1982  0       5.9    28     9      
28/08/1982  0       5.3    28     10     
29/08/1982  0       8.5    28     10     
30/08/1982  0       10     27     10     
31/08/1982  Nulo    Nulo   24     12     
01/09/1982  0       6.5    26     11     
02/09/1982  0       9.3    26     11     
03/09/1982  0       6.9    27     12     
04/09/1982  0       10.7   26     9      
05/09/1982  0       2.3    26     12     
06/09/1982  0       6.4    26     12     
07/09/1982  0       6      26     13     
08/09/1982  0       5.8    27     9      
09/09/1982  0       6.6    25     13     
10/09/1982  0       5.3    27     13     
11/09/1982  0       6.6    28     12     
12/09/1982  0       2.4    25     12     
13/09/1982  0       2.7    30     12     
14/09/1982  0       5.4    27     12     
15/09/1982  0       9.4    27     11     
16/09/1982  0       3.1    27     12     
17/09/1982  0       10.8   27     11     
18/09/1982  0       Nulo   27     11     
27/09/1982  0       Nulo   Nulo   Nulo   
28/09/1982  0       3.1    27     13     
29/09/1982  0       7.2    29     8      
30/09/1982  0       Nulo   29     11     
01/10/1982  0       7.9    30     9.3    
02/10/1982  0       7.5    15.1   11.3   
03/10/1982  0       5.4    30     11     
04/10/1982  0       6.9    27     10     
05/10/1982  0       6.7    24     13     
06/10/1982  3.4     Nulo   26     12     
07/10/1982  3.5     7.3    27     15.3   
08/10/1982  0       8.1    24     14     
09/10/1982  0       Nulo   26     13     
10/10/1982  3.3     11     27     12     
11/10/1982  0       12.8   22     12     
12/10/1982  9.8     3.8    25     14     
13/10/1982  0       4      25     12     
14/10/1982  0       5.1    25     14     
15/10/1982  0       3.9    24     13     
16/10/1982  0       5      25     11     
17/10/1982  0       4.5    21     10     
18/10/1982  0       5.6    27     6      
19/10/1982  0       3.5    25     6      
20/10/1982  0       6.6    25     7      
21/10/1982  0       5.9    25     4      
22/10/1982  0       3.4    25     4      
23/10/1982  0       3.4    27     7      
24/10/1982  0       5.2    25     10     
25/10/1982  0       4.8    22     5      
26/10/1982  0       5.1    23     5      
27/10/1982  0       5.1    25     9      
28/10/1982  0       Nulo   23     3      
29/10/1982  0       Nulo   25     5      
30/10/1982  0       Nulo   25     7      
31/10/1982  0       Nulo   24     10     
01/11/1982  0       2.7    25     7      
02/11/1982  0       6.3    25     7      
03/11/1982  0       6      25     5      
04/11/1982  0       4      25     9      
05/11/1982  0       4.6    25     5      
06/11/1982  0       5.1    25     -1     
07/11/1982  0       3.7    22     7      
08/11/1982  0       5.1    24     5      
09/11/1982  0       4.3    25     7.4    
10/11/1982  0       4.9    24     4      
11/11/1982  0       5      25     3.3    
12/11/1982  0       5.5    25     4      
13/11/1982  0       5.1    26     7      
14/11/1982  0       6.4    25     7      
15/11/1982  0       3.3    26     5      
16/11/1982  0       10.6   24     7      
17/11/1982  0       2.7    24     5      
18/11/1982  0       2      25     5      
19/11/1982  0       4.5    25     7      
20/11/1982  0       5.1    25     6      
21/11/1982  0       5.2    25     6      
22/11/1982  0       5      24     5.4    
23/11/1982  0       5.8    25     6      
24/11/1982  0       4.1    22     5      
25/11/1982  0       4.1    23     10     
26/11/1982  0       3.3    25     10     
27/11/1982  0       3.4    25     10     
28/11/1982  0       3.7    26     6      
29/11/1982  0       3.2    26     6      
30/11/1982  0       3.5    23     7      
01/12/1982  0       5      22     7      
02/12/1982  0       4.6    24     5      
03/12/1982  0       4.5    24     5      
04/12/1982  0       3.3    24     3      
05/12/1982  0       2.8    24     4      
06/12/1982  0       3.2    26     7      
07/12/1982  0       3.2    24     5      
08/12/1982  0       4.8    26     6      
09/12/1982  0       Nulo   22     6      
10/12/1982  0       3      23     3      
11/12/1982  0       0.1    22     7      
12/12/1982  0       Nulo   23     8      
13/12/1982  0       1.5    23     8      
14/12/1982  4.1     4      23     8.3    
15/12/1982  0       2.7    18     4      
16/12/1982  0       3.9    19     4      
17/12/1982  0       4.2    20     2      
18/12/1982  0       3.7    19     -8     
19/12/1982  0       4.1    12     -6     
20/12/1982  0       4.5    22     6      
21/12/1982  0       6.7    22     2      
22/12/1982  0       5.3    22     -2     
23/12/1982  0       6.5    22     1      
24/12/1982  0       6      23     3      
25/12/1982  0       6.2    22     1      
26/12/1982  0       6.1    23     2      
27/12/1982  0       5.7    23     2      
28/12/1982  0       6      23     1      
29/12/1982  0       6.4    23     8      
30/12/1982  0       Nulo   23     8      
31/12/1982  0       Nulo   23     7      
01/01/1983  0       5.2    21     5      
02/01/1983  0       5.3    21     5      
03/01/1983  0       3.7    21     5      
04/01/1983  0       3.3    21     5      
05/01/1983  0       5.7    20     4      
06/01/1983  0       2.1    21     5      
07/01/1983  0       4.4    21     6      
08/01/1983  0       4      21     6      
09/01/1983  0       8      22     2.3    
10/01/1983  0       4.4    19     2      
11/01/1983  0       Nulo   19     8      
12/01/1983  0       1.7    14     8      
13/01/1983  0       5.3    18     5      
14/01/1983  0       4.9    18     6.1    
15/01/1983  0       5.1    18     6.1    
16/01/1983  0       4.9    21     6      
17/01/1983  0       2.6    19     6      
18/01/1983  27.7    5.5    16     7      
19/01/1983  0       6.1    21     7      
20/01/1983  5.7     10.6   20     6      
21/01/1983  0       13     18     3      
22/01/1983  0       4.3    19     2      
23/01/1983  0       1      10     2      
24/01/1983  0       7.5    20     -3     
25/01/1983  0       5      19     -3     
26/01/1983  0       5.3    21     -2     
27/01/1983  0       5      22     1      
28/01/1983  0       9.9    24     2      
29/01/1983  0       Nulo   24     2      
30/01/1983  0       Nulo   22     2      
31/01/1983  0       Nulo   Nulo   Nulo   
01/02/1983  0       6.8    27     2      
02/02/1983  0       9      22     2      
03/02/1983  0       5.9    24     3      
04/02/1983  0       10.1   28     4      
05/02/1983  0       6.3    22     2      
06/02/1983  0       7.6    22     2      
07/02/1983  0       5.6    26     2      
08/02/1983  0       9.8    23     3      
09/02/1983  0       4.1    22     2      
10/02/1983  0       8      24     1      
11/02/1983  0       5.7    18     4      
12/02/1983  0       7.6    20     4      
13/02/1983  0       7.1    20     -2     
14/02/1983  0       9.6    23     1      
15/02/1983  0       6.2    21     3      
16/02/1983  0       5.5    21     -2     
17/02/1983  0       6.3    25     1      
18/02/1983  0       5.2    24     2      
19/02/1983  0       9.1    25     1      
20/02/1983  0       5.9    23     2      
21/02/1983  0       7      23     3      
22/02/1983  0       7.9    25     2      
23/02/1983  0       Nulo   24     3      
24/02/1983  0       5.9    23     2      
25/02/1983  0       17.8   24     4      
26/02/1983  0       6      23     1      
27/02/1983  0       6      20     1      
28/02/1983  0       Nulo   21     2      
01/03/1983  0       6.1    24     5      
02/03/1983  0       12.1   26     5      
03/03/1983  0       14.3   28     9      
04/03/1983  0       15.3   26     10     
05/03/1983  0       10.5   26     8      
06/03/1983  0       11.8   26.3   4.4    
07/03/1983  0       8.7    26     5      
08/03/1983  0       11.1   27     1      
09/03/1983  0       5      26     2      
10/03/1983  0       2.1    26     4      
11/03/1983  0       2.3    24     9      
12/03/1983  0       4.8    25     8      
13/03/1983  11.1    9.7    19     4      
14/03/1983  0       10     19     4      
15/03/1983  0       14.2   17     5      
16/03/1983  0       8.6    23     3      
17/03/1983  0       10.3   22.1   6      
18/03/1983  0       13.5   25     4      
19/03/1983  0       13     27     6      
20/03/1983  0       9.1    28     6      
21/03/1983  0       13.9   27     6      
22/03/1983  0       3.8    28     3      
23/03/1983  0       6.4    28     6      
24/03/1983  0       11.7   26     5      
25/03/1983  0       7.6    29     6      
26/03/1983  0       Nulo   27     5      
27/03/1983  0       Nulo   17     4      
28/03/1983  0       Nulo   26     5      
29/03/1983  0       Nulo   27     4      
30/03/1983  0       Nulo   26     2      
31/03/1983  0       Nulo   15     5      
01/04/1983  0       9.7    16     5      
02/04/1983  0       11.8   20     5      
03/04/1983  0       12.2   26     4      
04/04/1983  0       13.1   28     5      
05/04/1983  0       12.6   28     6      
06/04/1983  0       14.9   28     6      
07/04/1983  0       14     28     8      
08/04/1983  0       14.3   26     9      
09/04/1983  0       14.8   27     3      
10/04/1983  0       2.2    26     4      
11/04/1983  0       11.9   25     6      
12/04/1983  0       11.4   23     7      
13/04/1983  0       8.4    29     10     
14/04/1983  0       8.9    29     7      
15/04/1983  0       10.8   28     10     
16/04/1983  0       12.3   27     9      
17/04/1983  0       16.5   29     9      
18/04/1983  0       10     28     7      
19/04/1983  0       16.5   26     9      
20/04/1983  0       12.4   27     8      
21/04/1983  0       13.1   24     10     
22/04/1983  0       13.9   23     9      
23/04/1983  0       17.2   32     13     
24/04/1983  0       13.9   30     14     
25/04/1983  0       12.9   32     8      
26/04/1983  0       Nulo   32     10     
27/04/1983  0       Nulo   32     7      
28/04/1983  0       Nulo   30     10     
29/04/1983  0       Nulo   31     10     
30/04/1983  0       Nulo   32     11     
01/05/1983  0       7      31     10     
02/05/1983  0       13.3   32     11     
03/05/1983  0       11.6   36     18     
04/05/1983  0       12     36     10     
05/05/1983  0       15.4   32     10     
06/05/1983  0       10.1   33     12     
07/05/1983  0       6.2    32     13     
08/05/1983  0       9.3    31     14     
09/05/1983  0       13.4   32     13     
10/05/1983  1       7.2    31     12     
11/05/1983  0       15.1   32     12     
12/05/1983  0       11.1   33     12     
13/05/1983  0       12.2   33     13     
14/05/1983  0       6.2    32     15     
15/05/1983  0       13.7   31     14     
16/05/1983  0       10.3   32     16     
17/05/1983  0       15.2   33     14     
18/05/1983  0       9.2    33     14     
19/05/1983  0       10     33     15     
20/05/1983  0       6.5    32     17     
21/05/1983  0       14.7   32     13     
22/05/1983  0       6      32     14     
23/05/1983  0       9.6    33     15     
24/05/1983  0       9.1    32     16     
25/05/1983  0       11.5   27     13     
26/05/1983  10      11.5   27     13     
27/05/1983  15      Nulo   19     14     
28/05/1983  3       Nulo   23     13     
29/05/1983  0       Nulo   25     10     
30/05/1983  0       Nulo   25     14     
31/05/1983  0       Nulo   28     9      
01/06/1983  0       7.6    31     11     
02/06/1983  0       10.3   32     12     
03/06/1983  0       8.2    32     14     
04/06/1983  0       9      27     14     
05/06/1983  0       12     30     14     
06/06/1983  0       8.3    32     15     
07/06/1983  0       9.6    30     14     
08/06/1983  0       6.1    31     13     
09/06/1983  0       8.8    29     14     
10/06/1983  0       13.2   30     11     
11/06/1983  0       8.8    29     11     
12/06/1983  0       9.1    31     12     
13/06/1983  3       10.1   33     10     
14/06/1983  0       6      30     14     
15/06/1983  0       8.3    30     13     
16/06/1983  0       6.8    28     14     
17/06/1983  36      8.4    31     14     
18/06/1983  0       10.8   30     14     
19/06/1983  0       6.2    31     10     
20/06/1983  0       2.5    32     14     
21/06/1983  0       6.4    29     10     
22/06/1983  0       5.8    29     13     
23/06/1983  1       9.2    29     15     
24/06/1983  44      7.1    26     15     
25/06/1983  0       3.6    29     14     
26/06/1983  0       Nulo   29     13     
27/06/1983  0       Nulo   30     14     
28/06/1983  0       Nulo   31     13     
29/06/1983  0       Nulo   29     12     
30/06/1983  0       Nulo   Nulo   Nulo   
01/07/1983  29      Nulo   29     16     
02/07/1983  0       Nulo   24     14     
03/07/1983  8.8     Nulo   25     13     
04/07/1983  2.2     Nulo   28     14     
05/07/1983  6       Nulo   22     13     
06/07/1983  0       5.9    23     13     
07/07/1983  0       7.8    23     13     
08/07/1983  0       8.1    25     11     
09/07/1983  1       5.3    25     10     
10/07/1983  1       Nulo   25     9      
11/07/1983  11.4    Nulo   26     10     
12/07/1983  1.2     Nulo   24     10     
13/07/1983  1.8     Nulo   26     8      
14/07/1983  0       Nulo   25     14     
15/07/1983  0       Nulo   26     14     
16/07/1983  0       Nulo   25     15     
17/07/1983  8       Nulo   25     13     
18/07/1983  0       4      26     14     
19/07/1983  0       8.2    23     14     
20/07/1983  0       8.6    23     13     
21/07/1983  0       5.1    23     12     
22/07/1983  0       6.9    25     12     
23/07/1983  0       9      25     14     
24/07/1983  0       5.9    26     11     
25/07/1983  0       5.1    26     10     
26/07/1983  0       6.1    27     12     
27/07/1983  0.4     6.6    28     12     
28/07/1983  0.4     Nulo   27     15     
29/07/1983  0       Nulo   26     10     
30/07/1983  0       Nulo   25     12     
01/08/1983  0       4.8    26     9      
02/08/1983  0       7.2    26     10     
03/08/1983  0       7.1    25     12     
04/08/1983  0       5.1    26     14     
05/08/1983  0       6      26     12     
06/08/1983  0       6.8    27     12     
07/08/1983  0       4.1    27     13     
08/08/1983  0       4.4    26     12     
09/08/1983  28      3.1    27     13     
10/08/1983  0       4.1    25     14     
11/08/1983  0       4.4    25     12     
12/08/1983  4       6.5    24     15     
13/08/1983  1       6      23     14     
14/08/1983  0       5      24     14     
15/08/1983  20      6.4    25     14     
16/08/1983  0       7.6    25     10     
17/08/1983  0       4.7    25     10     
18/08/1983  0       9.3    23     10     
19/08/1983  0       5.5    29     12     
20/08/1983  0       5.6    27     10     
21/08/1983  0       7.2    25     10     
22/08/1983  0       8      26     10     
23/08/1983  0.3     8.1    26     13     
24/08/1983  0       13.8   27     13     
25/08/1983  0       Nulo   26     11     
26/08/1983  3       Nulo   24     12     
27/08/1983  0       Nulo   27     11     
28/08/1983  0       Nulo   21     6      
29/08/1983  0       Nulo   26     10     
30/08/1983  0       Nulo   28     8      
31/08/1983  0       Nulo   27     9      
01/09/1983  0       5.4    25     9      
02/09/1983  0       6.3    27     9      
03/09/1983  0       4.6    27     11     
04/09/1983  0       6.1    25     10     
05/09/1983  0       4      26     13     
06/09/1983  0       7.3    28     13     
07/09/1983  0       Nulo   28     13     
08/09/1983  1.1     Nulo   25     15     
09/09/1983  0       Nulo   27     14     
10/09/1983  10.1    Nulo   27     12     
11/09/1983  0       Nulo   27     12     
12/09/1983  5.2     Nulo   25     14     
13/09/1983  0       2.5    26     14     
14/09/1983  0       6.9    24     10     
15/09/1983  0       4      25     11     
16/09/1983  0       3.2    26     13     
17/09/1983  0       12.8   26     12     
18/09/1983  0       7.2    26     12     
19/09/1983  4.6     10     26     12     
20/09/1983  0       5.9    24     13     
21/09/1983  0       3.7    24     15     
22/09/1983  0       5.4    23     11     
23/09/1983  0       3      21     10     
24/09/1983  0       2.1    22     13     
25/09/1983  0       1.1    23     12     
26/09/1983  0       2.6    21     13     
27/09/1983  0       7.3    23     13     
28/09/1983  0       5.2    24     12.5   
29/09/1983  0       Nulo   23     12     
30/09/1983  0       Nulo   24     7      
01/02/1985  0       8      25     4      
02/02/1985  0       17.3   23     2      
04/02/1985  0       14.9   26     3      
06/02/1985  0       5.5    24     4      
07/02/1985  0       6.8    24     7      
08/02/1985  0       Nulo   23     9      
09/02/1985  0       2.1    24     2      
12/02/1985  0       3.6    22     6      
13/02/1985  0       6.8    26     1      
14/02/1985  0       3.4    19     4      
15/02/1985  0       8.5    18     3      
16/02/1985  0       3.3    23     6.5    
17/02/1985  0       3.1    23     6      
18/02/1985  0       6.4    24     6      
19/02/1985  0       7.6    24     1      
20/02/1985  0       5.9    23     4      
21/02/1985  0       5.6    25     8      
22/02/1985  0       9.4    26     8      
23/02/1985  0       Nulo   22     7      
24/02/1985  0       Nulo   26     9      
25/02/1985  0       2.8    25     5      
26/02/1985  0       6.2    25     6      
27/02/1985  0       6.2    22     7      
28/02/1985  0       8.9    30     8      
01/03/1985  0       8      27     7      
02/03/1985  0       10.2   29     7      
03/03/1985  0       7.2    29     7      
04/03/1985  0       6.8    29     7      
05/03/1985  0       8.2    30     7      
06/03/1985  0       6.3    27     10     
07/03/1985  0       6.5    24     5      
08/03/1985  0       7      26     5      
09/03/1985  0       Nulo   22     8      
10/03/1985  0       13.5   26     7      
11/03/1985  0       6.3    28     7      
12/03/1985  0       8.5    28     6      
13/03/1985  0       8.7    25     6      
14/03/1985  0       4.9    25     7      
15/03/1985  0       4.4    23     7      
16/03/1985  0       Nulo   29     Nulo   
17/03/1985  0       9.6    28     9      
18/03/1985  0       9.1    29     9      
19/03/1985  0       Nulo   26     7      
20/03/1985  0       8      27     8      
21/03/1985  4.1     4      25     9      
22/03/1985  1.5     7.9    27     9      
23/03/1985  0       2.3    28     10     
26/03/1985  0       7.1    28     6      
27/03/1985  0       9.8    29     9      
28/03/1985  0       8.5    27     10     
29/03/1985  0       9.6    29     12     
30/03/1985  0       Nulo   30     8      
31/03/1985  0       Nulo   29     Nulo   
--------------------------------------
