CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 23017
NOMBRE    : PALMAS
ESTADO    : QUINTANA ROO
MUNICIPIO : Felipe Carrillo Puerto
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.233°
LONGITUD  : -88.117°
ALTITUD   : 14 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1960  0       Nulo   28     18     
02/01/1960  0       Nulo   29     17     
03/01/1960  0       Nulo   29     17     
04/01/1960  0       Nulo   30     18     
05/01/1960  0       Nulo   29     16     
06/01/1960  0       Nulo   29     17     
07/01/1960  0       Nulo   30     17     
08/01/1960  0       Nulo   28     17     
09/01/1960  0       Nulo   29     16     
10/01/1960  0       Nulo   28     15     
11/01/1960  3.5     Nulo   29     18     
12/01/1960  0       Nulo   29     15     
13/01/1960  0       Nulo   28     14     
14/01/1960  0       Nulo   28     14     
15/01/1960  0       Nulo   29     17     
16/01/1960  0       Nulo   31     14     
17/01/1960  0       Nulo   30     14     
18/01/1960  0       Nulo   29     18     
19/01/1960  0       Nulo   30     20     
20/01/1960  0       Nulo   21     16     
21/01/1960  0       Nulo   22     15     
22/01/1960  1.5     Nulo   25     11     
23/01/1960  0       Nulo   23     8      
24/01/1960  0       Nulo   25     18     
25/01/1960  0       Nulo   24     9      
26/01/1960  0       Nulo   26     12     
27/01/1960  0       Nulo   27     15     
28/01/1960  0       Nulo   28     16     
29/01/1960  0       Nulo   28     13     
30/01/1960  3.5     Nulo   28     8      
31/01/1960  0       Nulo   31     8      
01/02/1960  0       Nulo   26     7      
02/02/1960  0       Nulo   27     10     
03/02/1960  0       Nulo   29     10     
04/02/1960  0       Nulo   30     20     
05/02/1960  0       Nulo   33     18     
06/02/1960  0       Nulo   33     16     
07/02/1960  0       Nulo   29     16     
08/02/1960  0       Nulo   27     16     
09/02/1960  0       Nulo   28     14     
10/02/1960  0       Nulo   30     13     
11/02/1960  0       Nulo   33     16     
12/02/1960  0       Nulo   34     19     
13/02/1960  0       Nulo   34     20     
14/02/1960  0       Nulo   25     13     
15/02/1960  0       Nulo   26     9      
16/02/1960  0       Nulo   28     12     
17/02/1960  0       Nulo   30     17     
18/02/1960  3       Nulo   31     14     
19/02/1960  0       Nulo   30     13     
20/02/1960  0       Nulo   27     13     
21/02/1960  0       Nulo   27     16     
22/02/1960  0       Nulo   30     19     
23/02/1960  0       Nulo   34     20     
24/02/1960  0       Nulo   32     17     
25/02/1960  0       Nulo   32     17     
26/02/1960  0       Nulo   34     18     
27/02/1960  0       Nulo   23     16     
28/02/1960  0       Nulo   32     16     
29/02/1960  0       Nulo   32     16     
01/03/1960  0       Nulo   33     16     
02/03/1960  7       Nulo   31     17     
03/03/1960  0       Nulo   33     17     
04/03/1960  1       Nulo   33     19     
05/03/1960  0       Nulo   27     16     
06/03/1960  0       Nulo   27     13     
07/03/1960  0       Nulo   27     12     
08/03/1960  0       Nulo   27     10     
09/03/1960  0       Nulo   28     11     
10/03/1960  0       Nulo   32     14     
11/03/1960  0       Nulo   32     16     
12/03/1960  0       Nulo   32     17     
13/03/1960  0       Nulo   33     15     
14/03/1960  0       Nulo   33     10     
15/03/1960  0       Nulo   32     16     
16/03/1960  0       Nulo   34     14     
17/03/1960  0       Nulo   34     14     
18/03/1960  0       Nulo   32     14     
19/03/1960  2       Nulo   25     16     
20/03/1960  0       Nulo   27     14     
21/03/1960  0       Nulo   28     10     
22/03/1960  0       Nulo   29     7      
23/03/1960  0       Nulo   31     9      
24/03/1960  0       Nulo   30     11     
25/03/1960  0       Nulo   30     13     
26/03/1960  0       Nulo   31     13     
27/03/1960  0       Nulo   32     14     
28/03/1960  0       Nulo   33     17     
29/03/1960  0       Nulo   32     17     
30/03/1960  0       Nulo   33     18     
31/03/1960  0       Nulo   36     19     
01/04/1960  0       Nulo   33     18     
02/04/1960  0       Nulo   33     20     
03/04/1960  0       Nulo   30     22     
04/04/1960  0       Nulo   35     22     
05/04/1960  0       Nulo   33     12     
06/04/1960  0       Nulo   29     12     
07/04/1960  0       Nulo   31     11     
08/04/1960  0       Nulo   32     14     
