CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 23020
NOMBRE    : RIO INDIO
ESTADO    : QUINTANA ROO
MUNICIPIO : Othón P. Blanco
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.967°
LONGITUD  : -87.617°
ALTITUD   : 2 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/03/1967  0       Nulo   Nulo   Nulo   
02/03/1967  0       Nulo   Nulo   Nulo   
03/03/1967  0       Nulo   Nulo   Nulo   
04/03/1967  0       Nulo   Nulo   Nulo   
05/03/1967  0       Nulo   Nulo   Nulo   
06/03/1967  0       Nulo   Nulo   Nulo   
07/03/1967  0       Nulo   Nulo   Nulo   
08/03/1967  0       Nulo   Nulo   Nulo   
09/03/1967  0       Nulo   Nulo   Nulo   
10/03/1967  0       Nulo   Nulo   Nulo   
11/03/1967  0       Nulo   Nulo   Nulo   
12/03/1967  0       Nulo   Nulo   Nulo   
13/03/1967  0       Nulo   Nulo   Nulo   
14/03/1967  0       Nulo   Nulo   Nulo   
15/03/1967  0       Nulo   Nulo   Nulo   
16/03/1967  0       Nulo   29     Nulo   
17/03/1967  0       Nulo   28     22     
18/03/1967  0       Nulo   28     20     
19/03/1967  0       Nulo   28     20     
20/03/1967  0       Nulo   29     24     
21/03/1967  0       Nulo   29     23     
22/03/1967  0       Nulo   28     25     
23/03/1967  6       Nulo   28     24     
24/03/1967  0       Nulo   28     25     
25/03/1967  0       Nulo   28     25     
26/03/1967  0       Nulo   29     24     
27/03/1967  0       Nulo   29     25     
28/03/1967  10      Nulo   30     23     
29/03/1967  0       Nulo   28     24     
30/03/1967  0       Nulo   28     20     
31/03/1967  0       Nulo   Nulo   25     
01/04/1967  0       Nulo   28     25     
02/04/1967  0       Nulo   28     24     
03/04/1967  0       Nulo   28     24     
04/04/1967  0       Nulo   29     21     
05/04/1967  3       Nulo   29     23     
06/04/1967  2       Nulo   29     23     
07/04/1967  1       Nulo   28     24     
08/04/1967  6       Nulo   26     20     
09/04/1967  14      Nulo   28     25     
10/04/1967  0       Nulo   28     25     
11/04/1967  3       Nulo   28     23     
12/04/1967  0       Nulo   30     20     
13/04/1967  0       Nulo   29     24     
14/04/1967  0       Nulo   29     26     
15/04/1967  0       Nulo   29     26     
16/04/1967  0       Nulo   29     26     
17/04/1967  0       Nulo   29     25     
18/04/1967  0       Nulo   30     25     
19/04/1967  0       Nulo   29     26     
20/04/1967  0       Nulo   29     20     
21/04/1967  0       Nulo   29     26     
22/04/1967  0       Nulo   29     Nulo   
23/04/1967  0       Nulo   30     Nulo   
24/04/1967  0       Nulo   30     Nulo   
25/04/1967  0       Nulo   30     Nulo   
26/04/1967  0       Nulo   29     Nulo   
27/04/1967  0       Nulo   29     Nulo   
28/04/1967  0       Nulo   30     Nulo   
29/04/1967  0       Nulo   29     25     
30/04/1967  0       Nulo   29     26     
01/05/1967  0       Nulo   29     Nulo   
