CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 23051
NOMBRE    : PEDRO ANTONIO DE LOS SANTOS
ESTADO    : QUINTANA ROO
MUNICIPIO : Bacalar
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.955°
LONGITUD  : -88.164°
ALTITUD   : 10 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1982  0       Nulo   30.5   17     
02/01/1982  0       Nulo   31     17     
03/01/1982  0       Nulo   31.5   17.5   
04/01/1982  2.5     Nulo   32     19.5   
05/01/1982  0       Nulo   30     20     
06/01/1982  0       Nulo   31     18.5   
07/01/1982  0       Nulo   30.5   16     
08/01/1982  0       Nulo   30     17     
09/01/1982  0       Nulo   30     18.5   
10/01/1982  1.5     Nulo   29.5   18     
11/01/1982  0       Nulo   29     18     
12/01/1982  0       Nulo   28     15.5   
13/01/1982  0       Nulo   31     16.5   
14/01/1982  1.3     Nulo   24.5   19     
15/01/1982  0       Nulo   24.5   12     
16/01/1982  0       Nulo   29.5   12.5   
17/01/1982  1.5     Nulo   30     16.5   
18/01/1982  0       Nulo   31     20     
19/01/1982  0       Nulo   31     16.5   
20/01/1982  0       Nulo   31     16     
21/01/1982  0       Nulo   31.5   17     
22/01/1982  0       Nulo   31     16     
23/01/1982  0       Nulo   30.5   16.5   
24/01/1982  0       Nulo   29.5   17.5   
25/01/1982  0       Nulo   32.5   17.5   
26/01/1982  0       Nulo   32     16     
27/01/1982  0       Nulo   29.5   16.5   
28/01/1982  0       Nulo   29     14.5   
29/01/1982  0       Nulo   29.5   14     
30/01/1982  0       Nulo   30     15     
31/01/1982  0       Nulo   31.5   15     
01/02/1982  6.7     Nulo   31     18.5   
02/02/1982  0       Nulo   31     20.5   
03/02/1982  1.2     Nulo   31.5   19     
04/02/1982  0       Nulo   31     19.5   
05/02/1982  0       Nulo   32     16.5   
06/02/1982  0       Nulo   31     16.5   
07/02/1982  0       Nulo   31.5   19.5   
08/02/1982  0       Nulo   32     18.5   
09/02/1982  0       Nulo   31     17     
10/02/1982  1.6     Nulo   31     18     
11/02/1982  0       Nulo   33     17     
12/02/1982  0       Nulo   33     15.5   
13/02/1982  0       Nulo   31.5   16     
14/02/1982  0       Nulo   32     16     
15/02/1982  0       Nulo   29.5   16.5   
16/02/1982  2.3     Nulo   31     16     
17/02/1982  1       Nulo   32     17     
18/02/1982  0       Nulo   31.5   18.5   
19/02/1982  0       Nulo   31     18     
20/02/1982  0       Nulo   30.5   17     
