CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 23152
NOMBRE    : ANDRES QUINTANA ROO
ESTADO    : QUINTANA ROO
MUNICIPIO : Felipe Carrillo Puerto
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.162°
LONGITUD  : -88.104°
ALTITUD   : 16 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1990  0       4.2    29.5   20.5   
02/01/1990  0       3.8    28     21     
03/01/1990  23.6    4.9    27.5   25     
04/01/1990  2.3     0.2    28.5   23     
05/01/1990  0.1     3.3    28.5   19     
06/01/1990  0       1.5    28     20     
07/01/1990  0       3.2    29.5   17.5   
08/01/1990  0       3.1    30     18     
09/01/1990  0       2.8    29.5   19     
10/01/1990  2.3     1.7    29     19.5   
11/01/1990  0       0.3    29.5   19.5   
12/01/1990  2.3     1.3    27.5   18     
13/01/1990  0       2.1    22.5   18     
14/01/1990  0       1.8    20.5   18.5   
15/01/1990  11.2    0.2    25     19.5   
16/01/1990  0.1     1.9    27.5   20.5   
17/01/1990  3.4     2      29     22.5   
18/01/1990  5.6     1.9    27     19     
19/01/1990  0.1     1.3    28.5   23.5   
20/01/1990  0       3.5    29.5   25.5   
21/01/1990  3.4     3.4    28     20     
22/01/1990  4.5     3.6    29.5   25     
23/01/1990  0       0.7    28.5   21.5   
24/01/1990  0       2.5    27.5   21.5   
25/01/1990  0.1     2.8    27     21     
26/01/1990  0       4.1    27     19     
27/01/1990  0       1.9    31     20     
28/01/1990  0       1.7    30     20     
29/01/1990  0       3.5    28     21.5   
30/01/1990  0       5.5    29.5   20.5   
31/01/1990  20.2    0.6    27.5   21.5   
01/02/1990  2.3     2.9    27.5   25     
02/02/1990  2.3     4.6    29.5   20     
03/02/1990  0       2.5    28.5   21.5   
04/02/1990  2.5     2.9    29.5   21.5   
05/02/1990  0.1     1.1    27.5   21.5   
06/02/1990  1.2     0.7    27.5   21.5   
07/02/1990  0       3.7    28.5   21.5   
08/02/1990  0       0.1    28     21.5   
09/02/1990  0       2.9    30.5   19.5   
10/02/1990  0       1.9    29.5   21.5   
11/02/1990  0       4.2    29.5   21.5   
12/02/1990  0       3.4    29     15.5   
