CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 23172
NOMBRE    : HOSPITAL MORELOS DE CHETUMAL
ESTADO    : QUINTANA ROO
MUNICIPIO : Othón P. Blanco
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 018.502°
LONGITUD  : -88.298°
ALTITUD   : 12 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/2003  13.1    Nulo   25     13.1   
02/04/2003  0       Nulo   29.9   11     
03/04/2003  0       Nulo   29.3   20     
04/04/2003  0       Nulo   Nulo   23     
05/04/2003  0       Nulo   Nulo   Nulo   
06/04/2003  0       Nulo   Nulo   Nulo   
07/04/2003  0       Nulo   32     Nulo   
08/04/2003  0       Nulo   33.5   19.5   
09/04/2003  1       Nulo   35.5   25     
10/04/2003  0       Nulo   32.5   21.5   
11/04/2003  0       Nulo   31.5   17     
12/04/2003  0       Nulo   31.5   13.5   
13/04/2003  0       Nulo   32.5   21.5   
14/04/2003  0       Nulo   32.5   24     
15/04/2003  0       Nulo   32.5   22.5   
16/04/2003  0       Nulo   33.5   24     
17/04/2003  0       Nulo   32.5   24.5   
18/04/2003  0       Nulo   33     24.5   
19/04/2003  0       Nulo   32.5   25.5   
20/04/2003  0       Nulo   33     23.8   
21/04/2003  0       Nulo   34     25.5   
22/04/2003  0       Nulo   33.5   25.5   
23/04/2003  0       Nulo   33     25.5   
24/04/2003  0       Nulo   32     26     
25/04/2003  0       Nulo   33     26.5   
26/04/2003  0       Nulo   35.5   27     
27/04/2003  0       Nulo   35.5   26.5   
28/04/2003  0       Nulo   34.5   27.5   
29/04/2003  0       Nulo   33.5   27     
30/04/2003  0       Nulo   34.5   28     
01/05/2003  0       Nulo   36     27.5   
02/05/2003  0       Nulo   35.5   27.5   
03/05/2003  0       Nulo   34.5   28     
04/05/2003  0       Nulo   35.5   27     
05/05/2003  0       Nulo   33.5   28     
06/05/2003  0       Nulo   33.5   28     
07/05/2003  0       Nulo   33.5   27.5   
08/05/2003  0       Nulo   33.5   27.5   
09/05/2003  0       Nulo   34     27.5   
10/05/2003  0       Nulo   33.5   27     
11/05/2003  0       Nulo   33.5   27     
12/05/2003  0       Nulo   35.5   27     
13/05/2003  0       Nulo   34.5   26.5   
14/05/2003  0       Nulo   35.5   26.5   
15/05/2003  0       Nulo   35.5   26.5   
16/05/2003  0       Nulo   34.5   26.5   
17/05/2003  0       Nulo   34.5   27     
18/05/2003  0       Nulo   34     27     
19/05/2003  0       Nulo   34     27.5   
20/05/2003  0       Nulo   35     27     
21/05/2003  3       3      35     25.5   
22/05/2003  0       Nulo   35.5   22     
23/05/2003  3.5     3.5    35.5   25     
24/05/2003  16      16     35.5   22.5   
25/05/2003  0       Nulo   34     22.5   
26/05/2003  0       Nulo   35.5   27     
27/05/2003  3       3      35.5   28     
28/05/2003  0       Nulo   32     27     
29/05/2003  4       4      34.5   25     
30/05/2003  0       Nulo   32.5   24.5   
31/05/2003  0       Nulo   33     27     
01/06/2003  5       Nulo   31.5   28     
02/06/2003  0       Nulo   32.5   25.5   
03/06/2003  0       Nulo   32.5   28.5   
04/06/2003  0       Nulo   36     28.5   
05/06/2003  0       Nulo   36     28.5   
06/06/2003  0       Nulo   36.5   28     
07/06/2003  0       Nulo   36.5   28     
08/06/2003  0       Nulo   36.5   28     
09/06/2003  0       Nulo   35.5   28.5   
10/06/2003  0       Nulo   33.5   25     
11/06/2003  0       Nulo   Nulo   28.5   
12/06/2003  0       Nulo   Nulo   Nulo   
13/06/2003  0       Nulo   Nulo   Nulo   
14/06/2003  0       Nulo   Nulo   Nulo   
15/06/2003  0       Nulo   Nulo   Nulo   
16/06/2003  0       Nulo   Nulo   Nulo   
17/06/2003  0       Nulo   Nulo   Nulo   
18/06/2003  0       Nulo   Nulo   Nulo   
19/06/2003  0       Nulo   Nulo   Nulo   
20/06/2003  0       Nulo   Nulo   Nulo   
21/06/2003  0       Nulo   33     Nulo   
22/06/2003  0       Nulo   33     28     
23/06/2003  0       Nulo   33.5   28     
24/06/2003  0       Nulo   33.5   28     
25/06/2003  0       Nulo   33     27.5   
26/06/2003  7.6     Nulo   30     24.5   
27/06/2003  14.5    Nulo   31.5   24     
28/06/2003  5       Nulo   32.5   24     
29/06/2003  0       Nulo   31.5   23.5   
30/06/2003  0       Nulo   32.5   25.5   
01/07/2003  0       Nulo   33     26.5   
02/07/2003  0       Nulo   32.5   27     
03/07/2003  0       Nulo   33.5   27.5   
04/07/2003  0       Nulo   35     27     
05/07/2003  32      Nulo   35     27     
06/07/2003  0       Nulo   33.5   23.5   
07/07/2003  0       Nulo   33     26     
08/07/2003  0       Nulo   33     28     
09/07/2003  1       Nulo   35     26     
10/07/2003  1       Nulo   34     26     
11/07/2003  1       Nulo   34.5   28     
12/07/2003  0       Nulo   33     27     
13/07/2003  35      Nulo   33     27.5   
14/07/2003  1       Nulo   32     24.5   
15/07/2003  1.5     Nulo   33     25.5   
16/07/2003  0       Nulo   33     26     
17/07/2003  1.5     Nulo   34.5   26.5   
18/07/2003  29      Nulo   30.5   25.5   
19/07/2003  6       Nulo   31.5   23     
20/07/2003  0       Nulo   33     25     
21/07/2003  0       Nulo   33.5   28.5   
22/07/2003  0       Nulo   35.5   21     
23/07/2003  0       Nulo   34     27.5   
24/07/2003  5       Nulo   33.5   27.5   
25/07/2003  2.5     Nulo   32.5   24     
26/07/2003  0       Nulo   34     26     
27/07/2003  0       Nulo   34.5   26     
28/07/2003  0       Nulo   34.5   26.5   
29/07/2003  0       Nulo   34.5   29.5   
30/07/2003  0       Nulo   32     26.5   
31/07/2003  0       Nulo   34     27.5   
01/08/2003  0       Nulo   34.5   24.5   
02/08/2003  24      Nulo   34.5   24.5   
03/08/2003  0       Nulo   31.5   25     
04/08/2003  1       Nulo   33.5   28     
05/08/2003  0       Nulo   33.5   27.5   
06/08/2003  0       Nulo   35.5   27.5   
07/08/2003  0       Nulo   34     25.5   
08/08/2003  0       Nulo   34     27.5   
09/08/2003  0       Nulo   34     28.5   
10/08/2003  0       Nulo   34.5   28.5   
11/08/2003  38      Nulo   33     28     
12/08/2003  0       Nulo   31     24.5   
13/08/2003  0       Nulo   34     27     
14/08/2003  0       Nulo   35.5   25.5   
15/08/2003  2       Nulo   34.5   24.5   
16/08/2003  0       Nulo   32.5   23     
17/08/2003  0       Nulo   32.5   23     
18/08/2003  0       Nulo   33     25     
19/08/2003  0       Nulo   33.5   28     
20/08/2003  0       Nulo   34.5   27.5   
21/08/2003  0       Nulo   34.5   25     
22/08/2003  0       Nulo   33     27.5   
23/08/2003  0       Nulo   35.5   25.5   
24/08/2003  3       Nulo   34.5   24.5   
25/08/2003  3       Nulo   33     24     
26/08/2003  0       Nulo   34.5   25.5   
27/08/2003  17      Nulo   33     24     
28/08/2003  19      Nulo   33     24.5   
29/08/2003  1       Nulo   31     22.5   
30/08/2003  0       Nulo   33     27     
31/08/2003  16.5    Nulo   33     27.5   
01/09/2003  63      Nulo   31     24.5   
02/09/2003  0.5     Nulo   34     23.5   
03/09/2003  0       Nulo   32.5   25.5   
04/09/2003  0       Nulo   33.5   28     
05/09/2003  0       Nulo   34     26     
06/09/2003  0       Nulo   34     26     
07/09/2003  0       Nulo   33     28     
08/09/2003  0       Nulo   33.5   28     
09/09/2003  0       Nulo   34     28     
10/09/2003  20      Nulo   33.5   28     
11/09/2003  6       Nulo   31     24     
12/09/2003  0       Nulo   33     22     
13/09/2003  1       Nulo   33     28     
14/09/2003  9       Nulo   32     25.5   
15/09/2003  0       Nulo   33.5   24     
16/09/2003  0       Nulo   34     25     
17/09/2003  21      Nulo   33.5   25     
18/09/2003  0       Nulo   32.5   25     
19/09/2003  0       Nulo   34     27.5   
20/09/2003  0       Nulo   33     28     
21/09/2003  0       Nulo   33     27.5   
22/09/2003  3       Nulo   34     28.5   
23/09/2003  1.5     Nulo   33.5   25     
24/09/2003  0       Nulo   33.5   24.5   
25/09/2003  5       Nulo   33     24     
26/09/2003  0       Nulo   32     26     
27/09/2003  0       Nulo   32.5   25     
28/09/2003  6       Nulo   30     25.5   
29/09/2003  4       Nulo   32     25     
30/09/2003  0       Nulo   33.5   27.5   
01/10/2003  16      Nulo   33     27.5   
02/10/2003  21.5    Nulo   32     28     
03/10/2003  0       Nulo   32     25     
04/10/2003  0       Nulo   32     27.5   
05/10/2003  10      Nulo   32     28     
06/10/2003  0       Nulo   31     27     
07/10/2003  0       Nulo   31.5   27     
08/10/2003  0       Nulo   32.5   28.5   
09/10/2003  0       Nulo   32     28     
10/10/2003  0       Nulo   32.5   28     
11/10/2003  0       Nulo   33     28     
12/10/2003  0       Nulo   32.5   28     
13/10/2003  0       Nulo   33     27.5   
14/10/2003  0       Nulo   32.5   25     
15/10/2003  0       Nulo   32.5   24.5   
16/10/2003  5       Nulo   31     26     
17/10/2003  31.5    Nulo   31     24     
18/10/2003  4       Nulo   30     23.5   
19/10/2003  11.5    Nulo   28     23     
20/10/2003  15      Nulo   30     22     
21/10/2003  6       Nulo   29     23     
22/10/2003  28      Nulo   28.5   22     
23/10/2003  0       Nulo   29     21.5   
24/10/2003  0.5     Nulo   30     21.5   
25/10/2003  18.5    Nulo   29     22     
26/10/2003  1       Nulo   29.5   23.5   
27/10/2003  3       Nulo   30     24.5   
28/10/2003  0       Nulo   30.5   23.5   
29/10/2003  0       Nulo   32     23     
30/10/2003  5       Nulo   32     23.5   
31/10/2003  0       Nulo   32     25     
01/11/2003  3       Nulo   30.5   24     
02/11/2003  0       Nulo   31     20.5   
03/11/2003  0       Nulo   30     22     
04/11/2003  0       Nulo   29     23     
05/11/2003  0.5     Nulo   30     23.5   
06/11/2003  2.5     Nulo   30.5   24     
07/11/2003  3       Nulo   29     24.5   
08/11/2003  0.5     Nulo   30     24     
09/11/2003  4       Nulo   29     24     
10/11/2003  0       Nulo   Nulo   23.5   
11/11/2003  0       Nulo   Nulo   Nulo   
12/11/2003  0       Nulo   Nulo   Nulo   
13/11/2003  0       Nulo   Nulo   Nulo   
14/11/2003  0       Nulo   Nulo   Nulo   
15/11/2003  0       Nulo   Nulo   Nulo   
16/11/2003  0       Nulo   30     Nulo   
17/11/2003  3       Nulo   28.5   22     
18/11/2003  0       Nulo   30.5   22.5   
19/11/2003  0.5     Nulo   29.5   24.5   
20/11/2003  0       Nulo   26     21     
21/11/2003  0       Nulo   28     19     
22/11/2003  0       Nulo   28     25     
23/11/2003  1       Nulo   28.5   19     
24/11/2003  3.5     Nulo   28     18     
25/11/2003  0       Nulo   28.5   21.5   
26/11/2003  0       Nulo   29     21     
27/11/2003  0       Nulo   30     23     
28/11/2003  0       Nulo   24.5   21     
29/11/2003  0       Nulo   Nulo   21     
30/11/2003  0       Nulo   26.5   Nulo   
01/12/2003  0       Nulo   27     21     
02/12/2003  0       Nulo   27     21     
03/12/2003  0       Nulo   28     21     
04/12/2003  7.5     Nulo   28     20     
05/12/2003  0       Nulo   27     22     
06/12/2003  0       Nulo   25     20.5   
07/12/2003  0       Nulo   24.5   21.5   
08/12/2003  0       Nulo   27     14.5   
09/12/2003  0       Nulo   27.5   22.5   
10/12/2003  0       Nulo   29.5   20.5   
11/12/2003  0       Nulo   25     18     
12/12/2003  0       Nulo   27     19.5   
13/12/2003  0       Nulo   29     22     
14/12/2003  0       Nulo   29     22.5   
15/12/2003  0       Nulo   26     17     
16/12/2003  0       Nulo   Nulo   22     
17/12/2003  0       Nulo   Nulo   Nulo   
18/12/2003  0       Nulo   Nulo   Nulo   
19/12/2003  0       Nulo   Nulo   Nulo   
20/12/2003  0       Nulo   Nulo   Nulo   
21/12/2003  0       Nulo   Nulo   Nulo   
22/12/2003  0       Nulo   Nulo   Nulo   
23/12/2003  0       Nulo   Nulo   Nulo   
24/12/2003  0       Nulo   Nulo   Nulo   
25/12/2003  0       Nulo   Nulo   Nulo   
26/12/2003  0       Nulo   Nulo   Nulo   
27/12/2003  0       Nulo   Nulo   Nulo   
28/12/2003  0       Nulo   Nulo   Nulo   
29/12/2003  0       Nulo   Nulo   Nulo   
30/12/2003  0       Nulo   Nulo   Nulo   
31/12/2003  0       Nulo   29     Nulo   
01/01/2004  0       Nulo   28     15     
02/01/2004  0       Nulo   23     15     
03/01/2004  0       Nulo   23     16     
04/01/2004  0       Nulo   28     20.5   
05/01/2004  0       Nulo   28.5   20.5   
06/01/2004  0       Nulo   29     22.5   
07/01/2004  0       Nulo   28.5   22     
08/01/2004  0       Nulo   28     20     
09/01/2004  0       Nulo   28     20     
10/01/2004  0       Nulo   31.5   20     
11/01/2004  0       Nulo   26     17     
12/01/2004  4.5     Nulo   27     16     
13/01/2004  0       Nulo   26     20     
14/01/2004  0       Nulo   27     17     
15/01/2004  0       Nulo   26     19     
16/01/2004  0       Nulo   27     19     
17/01/2004  0       Nulo   28     21     
18/01/2004  0       Nulo   28.5   21     
19/01/2004  0       Nulo   28.5   21.5   
20/01/2004  0       Nulo   25.5   18     
21/01/2004  0       Nulo   27     18     
22/01/2004  0       Nulo   28     19     
23/01/2004  0       Nulo   27     18.5   
24/01/2004  0       Nulo   26.5   18     
25/01/2004  0       Nulo   28     20     
26/01/2004  0       Nulo   29.5   18     
27/01/2004  0       Nulo   30     21.5   
28/01/2004  0       Nulo   26     20     
29/01/2004  0       Nulo   28     19     
30/01/2004  0       Nulo   28     20     
31/01/2004  0       Nulo   28     21     
01/02/2004  0       Nulo   28     20     
02/02/2004  0       Nulo   29     23     
03/02/2004  0       Nulo   30     22     
04/02/2004  0       Nulo   29.5   24.5   
05/02/2004  0       Nulo   29     21     
06/02/2004  0       Nulo   30     26     
07/02/2004  4       Nulo   30.5   22.5   
08/02/2004  1       Nulo   27     19     
09/02/2004  10      Nulo   28     20     
10/02/2004  0       Nulo   29.5   21.5   
11/02/2004  0       Nulo   29     24.5   
12/02/2004  0       Nulo   30     20     
13/02/2004  10      Nulo   30     23     
14/02/2004  3       Nulo   29     23     
15/02/2004  0       Nulo   27     21.5   
16/02/2004  2.5     Nulo   27     19     
17/02/2004  1       Nulo   26     20     
18/02/2004  0       Nulo   24.5   19     
19/02/2004  0       Nulo   25.5   15     
20/02/2004  0       Nulo   28     17     
21/02/2004  0       Nulo   29     21     
22/02/2004  0       Nulo   29     23.5   
23/02/2004  0       Nulo   29.5   24.5   
24/02/2004  0       Nulo   29.5   26     
25/02/2004  0       Nulo   34     22.5   
26/02/2004  0       Nulo   27     20.5   
27/02/2004  0       Nulo   29     16.5   
28/02/2004  0       Nulo   29     19     
29/02/2004  0       Nulo   Nulo   Nulo   
01/03/2004  0       Nulo   30     18.5   
02/03/2004  0       Nulo   30     19.5   
03/03/2004  0       Nulo   30     25     
04/03/2004  0       Nulo   30     25     
05/03/2004  0       Nulo   30.5   21     
06/03/2004  0       Nulo   30     26     
07/03/2004  0       Nulo   29.5   25     
08/03/2004  0       Nulo   31     20.5   
09/03/2004  0       Nulo   29.5   20.5   
10/03/2004  0       Nulo   29     18     
11/03/2004  0       Nulo   29.5   19     
12/03/2004  0.5     Nulo   29.5   20.5   
13/03/2004  0       Nulo   28.5   21.5   
14/03/2004  1       Nulo   31     25     
15/03/2004  0       Nulo   32     22.5   
16/03/2004  0       Nulo   31     23.5   
17/03/2004  0       Nulo   31     25     
18/03/2004  0       Nulo   31.5   25     
19/03/2004  0       Nulo   32     25.5   
20/03/2004  1       Nulo   32     21.5   
21/03/2004  1       Nulo   31     22     
22/03/2004  11      Nulo   28.5   22.5   
23/03/2004  0       Nulo   30     21     
24/03/2004  0       Nulo   30.5   20     
25/03/2004  0       Nulo   31     21     
26/03/2004  0       Nulo   31     20.5   
27/03/2004  0       Nulo   32     21     
28/03/2004  24      Nulo   30.5   24     
29/03/2004  0       Nulo   29.5   21.5   
30/03/2004  0       Nulo   30     21     
31/03/2004  0       Nulo   29     21     
01/04/2004  0       Nulo   29.5   22     
02/04/2004  0       Nulo   30.5   25     
03/04/2004  0       Nulo   30.5   25     
04/04/2004  0       Nulo   30.5   26     
05/04/2004  0       Nulo   31     24.5   
06/04/2004  0       Nulo   31     25.5   
07/04/2004  0       Nulo   31.5   26     
08/04/2004  0       Nulo   32     26.5   
09/04/2004  0       Nulo   33     27     
10/04/2004  0       Nulo   32     27     
11/04/2004  0       Nulo   32.5   26.5   
12/04/2004  8       Nulo   34.5   26.5   
13/04/2004  0       Nulo   29     23     
14/04/2004  0       Nulo   28.5   21     
