CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 24009
NOMBRE    : SAN MARTIN CHALCHICUAUTLA
ESTADO    : SAN LUIS POTOSI
MUNICIPIO : San Martín Chalchicuautla
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.373°
LONGITUD  : -98.655°
ALTITUD   : 212 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   21.5   14     
02/01/1961  0       Nulo   19     15     
03/01/1961  0       Nulo   15.5   13.5   
04/01/1961  0       Nulo   16.5   12.5   
05/01/1961  2.5     Nulo   25     13.5   
06/01/1961  0       Nulo   20     15     
07/01/1961  0       Nulo   24     16     
08/01/1961  1.5     Nulo   14     14     
09/01/1961  0       Nulo   18     10     
10/01/1961  0       Nulo   22     7.5    
11/01/1961  0       Nulo   22     9      
12/01/1961  0       Nulo   17.5   12     
13/01/1961  0       Nulo   24     8      
14/01/1961  0       Nulo   24.5   9      
15/01/1961  7.5     Nulo   18.5   11     
16/01/1961  0       Nulo   19.5   15     
17/01/1961  0       Nulo   21     15.5   
18/01/1961  0       Nulo   24     16.5   
19/01/1961  5       Nulo   20     14.5   
20/01/1961  45      Nulo   18.5   10     
21/01/1961  0       Nulo   11     8      
22/01/1961  0       Nulo   22     8      
23/01/1961  0       Nulo   25     11     
24/01/1961  0       Nulo   26     14.5   
25/01/1961  3       Nulo   24     16     
26/01/1961  2       Nulo   16.5   12     
27/01/1961  0       Nulo   19     13     
28/01/1961  0       Nulo   14     12.5   
29/01/1961  3       Nulo   14     10.5   
30/01/1961  0       Nulo   15.5   10.5   
31/01/1961  0       Nulo   22     12     
01/02/1961  0       Nulo   25     15     
02/02/1961  33      Nulo   22.5   15.5   
03/02/1961  0       Nulo   23.5   13.5   
04/02/1961  0       Nulo   26     14     
05/02/1961  0       Nulo   27     13.5   
06/02/1961  4       Nulo   13     13     
07/02/1961  0       Nulo   15.5   9      
08/02/1961  0       Nulo   17     10.5   
09/02/1961  0       Nulo   24     11     
10/02/1961  0       Nulo   25     13.5   
11/02/1961  0       Nulo   26     15.5   
12/02/1961  0       Nulo   27     9.5    
13/02/1961  0       Nulo   27     10     
14/02/1961  0       Nulo   26     10     
15/02/1961  0       Nulo   26     12     
16/02/1961  0       Nulo   26     16     
17/02/1961  0       Nulo   29.5   15.5   
18/02/1961  0       Nulo   31     14.5   
19/02/1961  0       Nulo   29     16.5   
20/02/1961  3       Nulo   27.5   18     
21/02/1961  5       Nulo   26.5   13     
22/02/1961  0       Nulo   22     11.5   
23/02/1961  0       Nulo   26     12     
24/02/1961  0       Nulo   28     12     
25/02/1961  0       Nulo   19.5   9.5    
26/02/1961  0       Nulo   24.5   6.5    
27/02/1961  0       Nulo   28.5   7      
28/02/1961  0       Nulo   26     14.5   
01/03/1961  5       Nulo   20     17     
02/03/1961  0       Nulo   19     15     
03/03/1961  0       Nulo   19     15     
04/03/1961  0       Nulo   26     17     
05/03/1961  0       Nulo   29     17     
06/03/1961  0       Nulo   22     17.5   
07/03/1961  0       Nulo   30.5   20     
08/03/1961  0       Nulo   27     21.5   
09/03/1961  0       Nulo   24     13     
10/03/1961  0       Nulo   25     10.5   
11/03/1961  0       Nulo   26     11.5   
12/03/1961  0       Nulo   33     14     
13/03/1961  0       Nulo   32     16.5   
14/03/1961  0       Nulo   27     19     
15/03/1961  0       Nulo   21.5   17.5   
16/03/1961  0       Nulo   35     20     
17/03/1961  0       Nulo   35     14.5   
18/03/1961  0       Nulo   36.5   14.5   
19/03/1961  10      Nulo   33     15     
20/03/1961  0       Nulo   18     17.5   
21/03/1961  0       Nulo   25.5   15     
22/03/1961  0       Nulo   29     14     
23/03/1961  0       Nulo   28.5   15     
24/03/1961  0       Nulo   26.5   18.5   
25/03/1961  0       Nulo   27.5   19.5   
26/03/1961  0       Nulo   30     19.5   
27/03/1961  0       Nulo   34     19.5   
28/03/1961  0       Nulo   34     17     
29/03/1961  0       Nulo   33     19.5   
30/03/1961  0       Nulo   34     20     
31/03/1961  0       Nulo   23     20     
01/04/1961  3       Nulo   25     18     
02/04/1961  0       Nulo   25     15.5   
03/04/1961  0       Nulo   27     15.5   
04/04/1961  0       Nulo   27     18     
05/04/1961  0       Nulo   31.5   19.5   
06/04/1961  0       Nulo   29.5   21     
07/04/1961  0       Nulo   25.5   19     
08/04/1961  0       Nulo   31     19     
09/04/1961  0       Nulo   29     16.5   
10/04/1961  0       Nulo   28     15     
11/04/1961  0       Nulo   34     16.5   
12/04/1961  0       Nulo   30     18.5   
13/04/1961  0       Nulo   31     15     
14/04/1961  0       Nulo   38     15.5   
15/04/1961  0       Nulo   38     18     
16/04/1961  0       Nulo   38     19     
17/04/1961  0       Nulo   29     14.5   
18/04/1961  0       Nulo   32     16     
19/04/1961  0       Nulo   32.5   17.5   
20/04/1961  0       Nulo   32.5   19.5   
21/04/1961  0       Nulo   34     20     
22/04/1961  0       Nulo   33     21.5   
23/04/1961  0       Nulo   33     18     
24/04/1961  0       Nulo   35     19     
25/04/1961  0       Nulo   38.5   21     
26/04/1961  0       Nulo   37.5   23     
27/04/1961  0       Nulo   37     24     
28/04/1961  0       Nulo   33.5   14     
29/04/1961  0       Nulo   34     24     
30/04/1961  3       Nulo   34     23     
01/05/1961  0       Nulo   38     25     
02/05/1961  0       Nulo   37     21     
03/05/1961  0       Nulo   37     23.5   
04/05/1961  0       Nulo   38     14     
05/05/1961  0       Nulo   38     22     
06/05/1961  0       Nulo   38     22.5   
07/05/1961  0       Nulo   38     20     
08/05/1961  0       Nulo   37     23     
09/05/1961  85      Nulo   27     24     
10/05/1961  0       Nulo   23.5   20.5   
11/05/1961  0       Nulo   33     15     
12/05/1961  0       Nulo   34.5   18     
13/05/1961  0       Nulo   34     20.5   
14/05/1961  0       Nulo   32     23.5   
15/05/1961  0       Nulo   34     22.4   
16/05/1961  0       Nulo   34     24.5   
17/05/1961  0       Nulo   35     15.4   
18/05/1961  0       Nulo   35     23     
19/05/1961  0       Nulo   33     21.6   
20/05/1961  0       Nulo   34.5   20.5   
21/05/1961  0       Nulo   36     20     
22/05/1961  0       Nulo   37.5   20.5   
23/05/1961  0       Nulo   33     23     
24/05/1961  21      Nulo   29.5   20.5   
25/05/1961  0       Nulo   36     21     
26/05/1961  0       Nulo   35     23.5   
27/05/1961  0       Nulo   30.5   23.5   
28/05/1961  0       Nulo   34     21.5   
29/05/1961  0       Nulo   34     22     
30/05/1961  0       Nulo   34.5   19     
31/05/1961  0       Nulo   34     21.5   
01/06/1961  0       Nulo   35     21     
02/06/1961  0       Nulo   35     20.5   
03/06/1961  0       Nulo   36     22     
04/06/1961  0       Nulo   37     23.5   
05/06/1961  0       Nulo   36     22     
06/06/1961  0       Nulo   35     22.5   
07/06/1961  0       Nulo   37     22.5   
08/06/1961  0       Nulo   37     23     
09/06/1961  0       Nulo   37.5   24.5   
10/06/1961  43      Nulo   34.5   25     
11/06/1961  50      Nulo   29.5   22     
12/06/1961  10      Nulo   28     23     
13/06/1961  27      Nulo   28     23     
14/06/1961  79      Nulo   28     22     
15/06/1961  15      Nulo   26.5   22.5   
16/06/1961  48      Nulo   30     23     
17/06/1961  33      Nulo   32     23     
18/06/1961  13      Nulo   33     23     
19/06/1961  74      Nulo   30     21     
20/06/1961  0       Nulo   32.5   20.5   
21/06/1961  0       Nulo   32     21     
22/06/1961  0       Nulo   33     22.5   
23/06/1961  0       Nulo   32     22     
24/06/1961  0       Nulo   31     21     
25/06/1961  0       Nulo   32     21.5   
26/06/1961  0       Nulo   32     22     
27/06/1961  3       Nulo   34     21.5   
28/06/1961  0       Nulo   32     21.5   
29/06/1961  0       Nulo   29     21.5   
30/06/1961  63      Nulo   25     21     
01/07/1961  10      Nulo   27     21.5   
02/07/1961  0       Nulo   23.5   21     
03/07/1961  57      Nulo   23.3   22     
04/07/1961  2       Nulo   29.5   21     
05/07/1961  0       Nulo   29     21.5   
06/07/1961  15      Nulo   30     21.5   
07/07/1961  4       Nulo   29     21     
08/07/1961  3       Nulo   30     21.5   
09/07/1961  0       Nulo   31.5   21     
10/07/1961  0       Nulo   31.5   21     
11/07/1961  0       Nulo   30.5   20     
12/07/1961  7       Nulo   31     21     
13/07/1961  4       Nulo   29.5   23     
14/07/1961  23      Nulo   29     23     
15/07/1961  0       Nulo   30.4   20.5   
16/07/1961  0       Nulo   32     21.5   
17/07/1961  0       Nulo   32     22.5   
18/07/1961  0       Nulo   30.5   21.5   
19/07/1961  0       Nulo   31.5   21     
20/07/1961  0       Nulo   33     21.5   
21/07/1961  0       Nulo   33.5   21.5   
22/07/1961  25      Nulo   34     22     
23/07/1961  6       Nulo   33     23     
24/07/1961  23      Nulo   31.5   20     
25/07/1961  0       Nulo   30     21     
26/07/1961  24      Nulo   29     20.5   
27/07/1961  22      Nulo   28     21     
28/07/1961  0       Nulo   31.5   21.5   
29/07/1961  22      Nulo   28     23.5   
30/07/1961  15.5    Nulo   31     21.5   
31/07/1961  2       Nulo   27.5   21.5   
01/08/1961  21      Nulo   29     21     
02/08/1961  52      Nulo   29     21     
03/08/1961  16      Nulo   31     21     
04/08/1961  0       Nulo   31     20     
05/08/1961  0       Nulo   32     20.5   
06/08/1961  0       Nulo   32     21     
07/08/1961  0       Nulo   32     21     
08/08/1961  0       Nulo   32     22.5   
09/08/1961  3       Nulo   32     21.5   
10/08/1961  0       Nulo   31.5   22.5   
11/08/1961  4       Nulo   32     22.5   
12/08/1961  0       Nulo   32     21     
13/08/1961  6       Nulo   33     21     
14/08/1961  0       Nulo   32     21     
15/08/1961  0       Nulo   33     21     
16/08/1961  0       Nulo   33     21     
17/08/1961  0       Nulo   33     20     
18/08/1961  0       Nulo   32     21.5   
19/08/1961  9       Nulo   33     21.5   
20/08/1961  65      Nulo   29.5   21     
21/08/1961  0       Nulo   30     21.5   
22/08/1961  0       Nulo   32.5   19.5   
23/08/1961  0       Nulo   33     19     
24/08/1961  0       Nulo   33.5   18     
25/08/1961  0       Nulo   33     18.5   
26/08/1961  0       Nulo   33     21.5   
27/08/1961  0       Nulo   33     22.5   
28/08/1961  0       Nulo   33     21     
29/08/1961  0       Nulo   32     21     
30/08/1961  0       Nulo   32     21     
31/08/1961  0       Nulo   33     21     
01/09/1961  0       Nulo   34     21.5   
02/09/1961  0       Nulo   34     22     
03/09/1961  0       Nulo   34     20     
04/09/1961  19      Nulo   33     24.5   
05/09/1961  0       Nulo   32     21     
06/09/1961  0       Nulo   32.5   21     
07/09/1961  10      Nulo   33     20.5   
08/09/1961  44      Nulo   33     21.5   
09/09/1961  0       Nulo   33.5   22     
10/09/1961  0       Nulo   34.5   22     
11/09/1961  0       Nulo   38.5   22.5   
12/09/1961  0       Nulo   38     25     
13/09/1961  0       Nulo   34.5   24     
14/09/1961  115     Nulo   26.5   24     
15/09/1961  22      Nulo   26.5   20     
16/09/1961  12      Nulo   26.5   19.5   
17/09/1961  38      Nulo   28     19.5   
18/09/1961  0       Nulo   25     19     
19/09/1961  0       Nulo   29.5   17     
20/09/1961  0       Nulo   31.5   19     
21/09/1961  0       Nulo   32     21     
22/09/1961  0       Nulo   32.5   22.5   
23/09/1961  0       Nulo   32.5   21.5   
24/09/1961  0       Nulo   31     21     
25/09/1961  26      Nulo   29.5   21     
26/09/1961  0       Nulo   29.5   22     
27/09/1961  0       Nulo   30     21     
28/09/1961  29      Nulo   29     20     
29/09/1961  0       Nulo   31     21     
30/09/1961  0       Nulo   31     20     
01/10/1961  0       Nulo   31     20.5   
02/10/1961  5       Nulo   30     20     
03/10/1961  5       Nulo   20     17.5   
04/10/1961  0       Nulo   25     15     
05/10/1961  0       Nulo   27.5   12.5   
06/10/1961  0       Nulo   27.5   16     
07/10/1961  0       Nulo   31     20     
08/10/1961  0       Nulo   31.5   19     
09/10/1961  0       Nulo   32     20     
10/10/1961  0       Nulo   32     21.5   
11/10/1961  0       Nulo   31     21.5   
12/10/1961  0       Nulo   30     20.5   
13/10/1961  18.5    Nulo   28     20     
14/10/1961  31      Nulo   21     20     
15/10/1961  0       Nulo   20     19     
16/10/1961  0       Nulo   24     11.5   
17/10/1961  0       Nulo   21     12     
18/10/1961  0       Nulo   28.5   13     
19/10/1961  0       Nulo   28     15     
20/10/1961  0       Nulo   29     16     
