CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 24105
NOMBRE    : XILITLA
ESTADO    : SAN LUIS POTOSI
MUNICIPIO : Xilitla
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.386°
LONGITUD  : -98.991°
ALTITUD   : 676 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/1964  0       Nulo   Nulo   Nulo   
02/06/1964  0       Nulo   Nulo   Nulo   
03/06/1964  0       Nulo   Nulo   Nulo   
04/06/1964  0       Nulo   Nulo   Nulo   
05/06/1964  0       Nulo   Nulo   Nulo   
06/06/1964  0       Nulo   Nulo   Nulo   
07/06/1964  0       Nulo   Nulo   Nulo   
08/06/1964  0       Nulo   Nulo   Nulo   
09/06/1964  0       Nulo   Nulo   Nulo   
10/06/1964  0       Nulo   Nulo   Nulo   
11/06/1964  0       Nulo   Nulo   Nulo   
12/06/1964  0       Nulo   Nulo   Nulo   
13/06/1964  0       Nulo   Nulo   Nulo   
14/06/1964  0       Nulo   Nulo   Nulo   
15/06/1964  0       Nulo   Nulo   Nulo   
16/06/1964  0       Nulo   Nulo   Nulo   
17/06/1964  0       Nulo   Nulo   Nulo   
18/06/1964  0       Nulo   Nulo   Nulo   
19/06/1964  0       Nulo   Nulo   Nulo   
20/06/1964  23.7    5      30     Nulo   
21/06/1964  0       4.1    30.5   21     
22/06/1964  0       4.4    31.5   21     
23/06/1964  57.5    7      31.5   19.5   
24/06/1964  51.5    4.1    28     20     
25/06/1964  2.8     2.5    29     19     
26/06/1964  13.5    3.1    28.5   21     
27/06/1964  2.8     14.4   31     20     
28/06/1964  22      6.1    31     21     
29/06/1964  5.8     0.7    29.5   21     
30/06/1964  32.9    2.8    29     20.5   
01/07/1964  0       4.6    30     20     
02/07/1964  0       4.9    32     21     
03/07/1964  0       3.5    33.5   21     
04/07/1964  0       3.4    32.5   22     
05/07/1964  52.5    5.5    29     21     
06/07/1964  3.5     1.4    29     20     
07/07/1964  0       6.7    32     21     
08/07/1964  0       3.2    32     22.5   
09/07/1964  0       0.7    31.5   21     
10/07/1964  1       5.6    32     21     
11/07/1964  0       5.6    32     21     
12/07/1964  0       4.9    32.5   21     
13/07/1964  0       5.9    33     22     
14/07/1964  0       3.7    30.5   20.5   
15/07/1964  0       4.7    32.5   21     
16/07/1964  0       5.9    32.5   21     
17/07/1964  0       5.8    29     21     
18/07/1964  14      2.4    31     22.5   
19/07/1964  19      4.4    29.5   21     
20/07/1964  1.5     3.9    30     20.5   
21/07/1964  0       5.2    32     21     
22/07/1964  0       3.9    32     21     
23/07/1964  0       4.2    32     22     
24/07/1964  0       5.8    32     21     
25/07/1964  0       3.8    33     21.5   
26/07/1964  0       5.7    32.5   20.5   
27/07/1964  8.5     5.1    33     22     
28/07/1964  7       2.6    31     23     
29/07/1964  2.5     4      32     23     
30/07/1964  0       5.2    32     21.5   
31/07/1964  0       4.8    32     21     
01/08/1964  11      3.5    31     20     
02/08/1964  0       4.3    32     20     
03/08/1964  5       2.5    31.5   21     
04/08/1964  11      4.5    30.5   20     
05/08/1964  0       4.8    32     19.5   
06/08/1964  0       4.9    33     21     
07/08/1964  0       5.4    32.5   20.5   
