CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 24114
NOMBRE    : RIOVERDE (DGE)
ESTADO    : SAN LUIS POTOSI
MUNICIPIO : Rioverde
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.955°
LONGITUD  : -99.996°
ALTITUD   : 991 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   15.2   9      
02/01/1961  0       Nulo   17     10.8   
03/01/1961  2       Nulo   15.2   11.2   
04/01/1961  1.4     Nulo   21     10.2   
05/01/1961  0       Nulo   21.8   10.7   
06/01/1961  0       Nulo   25.7   12     
07/01/1961  1.5     Nulo   18.2   12.1   
08/01/1961  0       Nulo   15.4   11.2   
09/01/1961  0       Nulo   18.6   7.2    
10/01/1961  0       Nulo   20.5   6.6    
11/01/1961  0       Nulo   17.5   6.2    
12/01/1961  0       Nulo   24     7.2    
13/01/1961  0       Nulo   25.4   7.6    
14/01/1961  0       Nulo   20     9      
15/01/1961  0       Nulo   14.6   7.2    
16/01/1961  0       Nulo   17.5   7.4    
17/01/1961  0       Nulo   20.5   12     
18/01/1961  0       Nulo   23     12.2   
19/01/1961  0       Nulo   17.5   8      
20/01/1961  7.5     Nulo   9.5    6.2    
21/01/1961  0       Nulo   16.7   6      
22/01/1961  4.6     Nulo   23.4   6.2    
23/01/1961  2.6     Nulo   24.5   7.7    
24/01/1961  0       Nulo   24.5   11.2   
25/01/1961  0       Nulo   27     11.2   
26/01/1961  0       Nulo   24.6   11.3   
27/01/1961  0       Nulo   28.9   11.4   
28/01/1961  0       Nulo   16     10.5   
29/01/1961  0       Nulo   19     9.2    
30/01/1961  0       Nulo   25.2   8.4    
31/01/1961  0       Nulo   29.5   9.4    
01/02/1961  4.2     Nulo   17.4   12.2   
02/02/1961  5.8     Nulo   17.2   12.2   
03/02/1961  0       Nulo   24     10.4   
04/02/1961  0       Nulo   26     11.1   
05/02/1961  0       Nulo   27.5   10.6   
06/02/1961  0       Nulo   15.6   12.4   
07/02/1961  0       Nulo   22.4   6.4    
08/02/1961  0       Nulo   25.2   7      
09/02/1961  0       Nulo   24     8      
10/02/1961  0       Nulo   24     11     
11/02/1961  0       Nulo   26.9   10.2   
12/02/1961  0       Nulo   28.2   5.4    
13/02/1961  0       Nulo   27     4      
14/02/1961  0       Nulo   22.5   4.2    
15/02/1961  0       Nulo   23.6   5.2    
16/02/1961  0       Nulo   31.7   8.6    
17/02/1961  0       Nulo   32     9.2    
18/02/1961  0       Nulo   33     9      
19/02/1961  0       Nulo   31.6   9.6    
20/02/1961  0       Nulo   22.8   12     
21/02/1961  0       Nulo   24.5   13     
22/02/1961  0       Nulo   31     9.4    
23/02/1961  0       Nulo   32.2   7.4    
24/02/1961  0       Nulo   20.5   8.6    
25/02/1961  0       Nulo   28.6   8.2    
26/02/1961  0       Nulo   32     2.8    
27/02/1961  0       Nulo   26.5   2.8    
28/02/1961  0       Nulo   24.7   10.2   
01/03/1961  0       Nulo   27.4   13     
02/03/1961  0       Nulo   28.9   13     
03/03/1961  0       Nulo   29.5   13.2   
04/03/1961  0       Nulo   32.8   15.4   
05/03/1961  0       Nulo   33.7   13.8   
06/03/1961  0       Nulo   35.5   10.2   
07/03/1961  0       Nulo   22.5   12.2   
08/03/1961  0       Nulo   32.6   15     
09/03/1961  0       Nulo   26.9   8.4    
10/03/1961  0       Nulo   35     9      
11/03/1961  0       Nulo   35     10     
12/03/1961  0       Nulo   32.6   11.7   
13/03/1961  0       Nulo   30.5   14     
14/03/1961  0       Nulo   33     12.4   
15/03/1961  0       Nulo   36.6   13.8   
16/03/1961  0       Nulo   36.5   18.4   
17/03/1961  0       Nulo   34.2   16.4   
18/03/1961  0       Nulo   35.1   10     
19/03/1961  0       Nulo   22.7   9.2    
20/03/1961  0       Nulo   27.4   9.2    
21/03/1961  0       Nulo   36     12.4   
22/03/1961  0       Nulo   31     9.2    
23/03/1961  0       Nulo   29.5   11.2   
24/03/1961  0       Nulo   32     16.2   
25/03/1961  0       Nulo   33     16     
26/03/1961  0       Nulo   34     13     
27/03/1961  0       Nulo   37     14     
28/03/1961  0       Nulo   38.8   8.5    
29/03/1961  0       Nulo   39     9      
30/03/1961  0       Nulo   34.9   17     
31/03/1961  0       Nulo   23.5   16.5   
01/04/1961  0       Nulo   27     15     
02/04/1961  0       Nulo   31.5   13     
03/04/1961  0       Nulo   29     14     
04/04/1961  0       Nulo   33     15.2   
05/04/1961  0       Nulo   33.5   16     
06/04/1961  0       Nulo   27.5   13.2   
07/04/1961  0       Nulo   37.5   13.2   
08/04/1961  0       Nulo   31.2   13.6   
09/04/1961  0       Nulo   34     12.4   
10/04/1961  0       Nulo   39.2   11.2   
11/04/1961  0       Nulo   28.5   12.4   
12/04/1961  0       Nulo   35.6   12     
13/04/1961  0       Nulo   40.5   7      
14/04/1961  0       Nulo   40     7.3    
15/04/1961  0       Nulo   24     11     
16/04/1961  0       Nulo   31.2   13     
17/04/1961  0       Nulo   34.5   10.2   
18/04/1961  0       Nulo   35.5   12.4   
19/04/1961  0       Nulo   34.6   14     
20/04/1961  0       Nulo   34.6   14.6   
21/04/1961  0       Nulo   33.6   17.4   
22/04/1961  0       Nulo   35     17.4   
23/04/1961  0       Nulo   39.5   12.2   
24/04/1961  0       Nulo   41.5   13.6   
25/04/1961  0       Nulo   40.5   15.2   
26/04/1961  0       Nulo   38.5   18.4   
27/04/1961  0       Nulo   34.5   20.2   
28/04/1961  0       Nulo   33.4   20.2   
29/04/1961  0       Nulo   33.5   19.2   
30/04/1961  17.2    Nulo   36.2   19     
01/05/1961  0       Nulo   36.6   14.6   
02/05/1961  0       Nulo   37.2   11     
03/05/1961  0       Nulo   38.6   18.2   
04/05/1961  0       Nulo   40     19.2   
05/05/1961  0       Nulo   39     19.4   
06/05/1961  0       Nulo   37.3   12.2   
07/05/1961  0       Nulo   38.8   21.2   
08/05/1961  0       Nulo   27.5   18.2   
09/05/1961  0       Nulo   32.8   21.2   
10/05/1961  0       Nulo   37     16.4   
11/05/1961  0       Nulo   39.4   11.2   
12/05/1961  0       Nulo   40.2   13.2   
13/05/1961  0       Nulo   39     15.4   
14/05/1961  0       Nulo   35.6   18.2   
15/05/1961  0       Nulo   33.5   18.6   
16/05/1961  0       Nulo   35.2   18.2   
17/05/1961  0       Nulo   33.2   18.6   
18/05/1961  0       Nulo   33     18.2   
19/05/1961  0       Nulo   35.2   17     
20/05/1961  0       Nulo   37.5   16.2   
21/05/1961  0       Nulo   39.2   15     
22/05/1961  0       Nulo   37.4   18.2   
23/05/1961  0       Nulo   33.4   19     
24/05/1961  0       Nulo   39.4   15.4   
25/05/1961  0       Nulo   35.5   18     
26/05/1961  0       Nulo   29.6   22     
27/05/1961  0       Nulo   33.5   16     
28/05/1961  0       Nulo   35.8   18.2   
29/05/1961  0       Nulo   34.3   18.4   
30/05/1961  0       Nulo   34.3   15     
31/05/1961  0       Nulo   34.2   17     
01/06/1961  0       Nulo   36.2   20.2   
02/06/1961  0       Nulo   37.5   19     
03/06/1961  4.2     Nulo   34.4   18     
04/06/1961  0       Nulo   35.5   19.5   
05/06/1961  0       Nulo   36     19     
06/06/1961  0       Nulo   36     19.4   
07/06/1961  0       Nulo   36     20.4   
08/06/1961  0       Nulo   35     20.2   
09/06/1961  0       Nulo   34     19.4   
10/06/1961  0       Nulo   33.5   20.2   
11/06/1961  0       Nulo   29.5   19.2   
12/06/1961  8.3     Nulo   29     20.6   
13/06/1961  29.5    Nulo   25     19.2   
14/06/1961  37.9    Nulo   27     18.2   
15/06/1961  19.7    Nulo   26     19     
16/06/1961  29.7    Nulo   27     19.4   
17/06/1961  33.6    Nulo   30.9   19.2   
18/06/1961  46.4    Nulo   29.2   18.2   
19/06/1961  14.4    Nulo   30     18.4   
20/06/1961  0       Nulo   30     16     
21/06/1961  0       Nulo   29.3   16.2   
22/06/1961  0       Nulo   30.5   18.2   
23/06/1961  0       Nulo   31     17.2   
24/06/1961  0       Nulo   31.5   15.2   
25/06/1961  0       Nulo   31.7   15.4   
26/06/1961  0       Nulo   32.2   17     
27/06/1961  0       Nulo   32     19.2   
28/06/1961  0       Nulo   31.7   17.8   
29/06/1961  0       Nulo   30.4   18.2   
30/06/1961  0       Nulo   29.4   18.4   
01/07/1961  0       Nulo   31.4   17     
02/07/1961  0       Nulo   28     17.2   
03/07/1961  5.4     Nulo   28.8   18.2   
04/07/1961  0       Nulo   29.5   18.2   
05/07/1961  0       Nulo   30.5   18.4   
06/07/1961  1.4     Nulo   27.4   18     
07/07/1961  2.3     Nulo   27.7   17.2   
08/07/1961  5.8     Nulo   28.4   17.1   
09/07/1961  0       Nulo   31.5   18     
10/07/1961  0       Nulo   31.6   17.4   
11/07/1961  0       Nulo   31     17.2   
12/07/1961  23.4    Nulo   25     17     
13/07/1961  2.7     Nulo   28.5   18.8   
14/07/1961  6       Nulo   29.8   17.2   
15/07/1961  0       Nulo   32     16.8   
16/07/1961  0       Nulo   31.5   18.2   
17/07/1961  0       Nulo   32     18     
18/07/1961  0       Nulo   32     18.4   
19/07/1961  0       Nulo   33.2   16.4   
20/07/1961  0       Nulo   33.8   16     
21/07/1961  9.5     Nulo   30     16.2   
22/07/1961  5.3     Nulo   28.4   18.2   
23/07/1961  4.2     Nulo   29.6   19.4   
24/07/1961  0       Nulo   30.3   17.2   
25/07/1961  4.5     Nulo   29.2   18.2   
26/07/1961  2.5     Nulo   27.2   17.4   
27/07/1961  1.2     Nulo   28     17.2   
28/07/1961  0       Nulo   28.5   17.4   
29/07/1961  0       Nulo   29.9   18     
30/07/1961  7.6     Nulo   24     18.2   
31/07/1961  0       Nulo   24     18     
01/08/1961  0       Nulo   27.6   16.2   
02/08/1961  3.4     Nulo   29.5   17.2   
03/08/1961  5.4     Nulo   28     17     
04/08/1961  0       Nulo   32     15.2   
05/08/1961  0       Nulo   33.1   14.4   
06/08/1961  0       Nulo   32.5   14.4   
07/08/1961  0       Nulo   33     16     
08/08/1961  0       Nulo   30.5   18.2   
09/08/1961  0       Nulo   31.5   19.2   
10/08/1961  0       Nulo   31.5   19.4   
11/08/1961  0       Nulo   30.8   18     
12/08/1961  0       Nulo   31.5   15.4   
13/08/1961  0       Nulo   33     17.2   
14/08/1961  0       Nulo   34     17.2   
15/08/1961  0       Nulo   32.6   16.2   
16/08/1961  0       Nulo   32     15.2   
17/08/1961  0       Nulo   31.3   17.4   
18/08/1961  0       Nulo   31     17.4   
19/08/1961  2.7     Nulo   23.4   17.2   
20/08/1961  0.4     Nulo   27     17.4   
21/08/1961  0       Nulo   32.3   17.2   
22/08/1961  0       Nulo   33.5   13     
