CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 24135
NOMBRE    : E.T.A. 170 TANQUIAN DE ESCOBEDO
ESTADO    : SAN LUIS POTOSI
MUNICIPIO : Tanquián de Escobedo
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 021.583°
LONGITUD  : -98.683°
ALTITUD   : 66 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1973  0       Nulo   41     16     
02/04/1973  0       Nulo   35     13     
03/04/1973  0       Nulo   38.5   6      
04/04/1973  0       Nulo   38     6      
05/04/1973  2.5     Nulo   35.5   11     
06/04/1973  0       Nulo   37.5   13     
07/04/1973  0       Nulo   21     16     
08/04/1973  4.5     Nulo   33     9      
09/04/1973  0       Nulo   35     14     
10/04/1973  0       Nulo   30     11     
11/04/1973  0       Nulo   26     13     
12/04/1973  0       Nulo   29     15     
13/04/1973  0       Nulo   32     21     
14/04/1973  0       Nulo   33     22     
15/04/1973  0       Nulo   29     23     
16/04/1973  0       Nulo   35     21     
17/04/1973  0       Nulo   39     22     
18/04/1973  0       Nulo   35     21     
19/04/1973  0       Nulo   38     22     
20/04/1973  0       Nulo   41.5   20.5   
21/04/1973  0       Nulo   44     21     
22/04/1973  0       Nulo   45     25     
23/04/1973  0       Nulo   44     24     
24/04/1973  0       Nulo   32     25     
25/04/1973  0       Nulo   41     23     
26/04/1973  0       Nulo   42     25     
27/04/1973  0       Nulo   32.5   21.5   
28/04/1973  0       Nulo   36     14     
29/04/1973  0       Nulo   28     19     
30/04/1973  0       Nulo   33     24     
01/05/1973  0       Nulo   37     18     
02/05/1973  3       Nulo   36.4   24.5   
03/05/1973  7.5     Nulo   38     15     
04/05/1973  0       Nulo   26.8   21.4   
05/05/1973  0       Nulo   30.5   21.6   
06/05/1973  0       Nulo   33.4   22.3   
07/05/1973  0       Nulo   35.6   21     
08/05/1973  0       Nulo   42     22.5   
09/05/1973  0       Nulo   37.5   22.2   
10/05/1973  0       Nulo   36.4   20.5   
11/05/1973  0       Nulo   36.5   21.8   
12/05/1973  23      Nulo   39     23.5   
13/05/1973  7.5     Nulo   37.3   20.2   
14/05/1973  0       Nulo   29.5   20     
15/05/1973  2.5     Nulo   30     15.3   
16/05/1973  0       Nulo   26.4   17.6   
17/05/1973  52.5    Nulo   27     18.5   
18/05/1973  0       Nulo   32.5   19     
19/05/1973  0       Nulo   32.8   19.5   
20/05/1973  0       Nulo   36.3   20.7   
21/05/1973  0       Nulo   35     19.3   
22/05/1973  0       Nulo   31.5   22.4   
23/05/1973  0       Nulo   37     24.6   
24/05/1973  0       Nulo   36.2   24.5   
25/05/1973  0       Nulo   34.5   21     
26/05/1973  0       Nulo   42.6   23.8   
27/05/1973  0       Nulo   45.5   23     
28/05/1973  0       Nulo   46.5   21.5   
29/05/1973  0       Nulo   41.6   20     
30/05/1973  0       Nulo   45.5   19.5   
31/05/1973  0       Nulo   36     20     
01/06/1973  0       Nulo   46.5   21.5   
02/06/1973  0       Nulo   45.5   20     
03/06/1973  0       Nulo   41.5   19.5   
04/06/1973  0       Nulo   42.5   21.5   
05/06/1973  0       Nulo   41.5   19     
06/06/1973  0       Nulo   41     19.5   
07/06/1973  0.7     Nulo   46     19     
08/06/1973  1       Nulo   36     20     
09/06/1973  0       Nulo   34     20     
10/06/1973  6       Nulo   32.5   20.5   
11/06/1973  0       Nulo   35     22.5   
12/06/1973  0       Nulo   38.5   22.5   
13/06/1973  0       Nulo   39.5   23.5   
14/06/1973  27.5    Nulo   38.5   21.5   
15/06/1973  0       Nulo   36.5   24.5   
16/06/1973  0       Nulo   37.5   26     
17/06/1973  0       Nulo   32.5   20.5   
18/06/1973  0       Nulo   38.5   21.5   
19/06/1973  0       Nulo   32.5   20.5   
20/06/1973  0       Nulo   32.5   20.5   
21/06/1973  29      Nulo   31.5   22.5   
22/06/1973  29      Nulo   27.5   22.5   
23/06/1973  46      Nulo   27.5   23.5   
24/06/1973  38      Nulo   29.5   23.5   
25/06/1973  8       Nulo   25.5   22.5   
26/06/1973  25      Nulo   25.5   23.5   
27/06/1973  36      Nulo   25.5   21.5   
28/06/1973  44      Nulo   27.5   22.5   
29/06/1973  0       Nulo   27.5   21.5   
30/06/1973  0       Nulo   33.5   23.5   
01/07/1973  11.5    Nulo   32.5   20.5   
02/07/1973  58      Nulo   33.5   23     
03/07/1973  62      Nulo   31     20     
04/07/1973  31.5    Nulo   32.5   21.5   
05/07/1973  1       Nulo   32     21     
06/07/1973  1       Nulo   32.5   22     
07/07/1973  0       Nulo   33.5   21.5   
08/07/1973  13.5    Nulo   33.5   21.5   
09/07/1973  2.5     Nulo   33     21.5   
10/07/1973  2.5     Nulo   33     21     
11/07/1973  0       Nulo   33.5   22     
12/07/1973  0       Nulo   33.5   21     
13/07/1973  0       Nulo   34     21.5   
14/07/1973  0       Nulo   35.5   19     
15/07/1973  0       Nulo   35.5   18.5   
16/07/1973  13      Nulo   35     19     
17/07/1973  0       Nulo   36     18.5   
18/07/1973  0       Nulo   35.5   19     
19/07/1973  0       Nulo   36.5   18.5   
20/07/1973  0       Nulo   35.5   18     
21/07/1973  0       Nulo   36     20     
22/07/1973  0       Nulo   35     19     
23/07/1973  5       Nulo   35.5   20     
24/07/1973  25      Nulo   35.5   20.5   
25/07/1973  18      Nulo   36     21     
26/07/1973  30      Nulo   35.5   19     
27/07/1973  21      Nulo   35     19     
28/07/1973  0       Nulo   35     20.5   
29/07/1973  0       Nulo   35.5   20.5   
30/07/1973  0       Nulo   35.5   20.5   
31/07/1973  0       Nulo   36     21     
01/08/1973  0       Nulo   35     20.5   
02/08/1973  0       Nulo   37.5   19.5   
03/08/1973  18      Nulo   38     20     
04/08/1973  0       Nulo   35.5   21     
05/08/1973  0       Nulo   35     20     
06/08/1973  0       Nulo   35     20     
07/08/1973  0       Nulo   35.5   20     
08/08/1973  0       Nulo   35     21     
09/08/1973  0       Nulo   35     21     
10/08/1973  29      Nulo   35.5   20.5   
11/08/1973  19      Nulo   34.5   20.5   
12/08/1973  102     Nulo   35     20     
13/08/1973  0       Nulo   35     20     
14/08/1973  0       Nulo   35     20.5   
15/08/1973  0       Nulo   35     20.5   
16/08/1973  12      Nulo   35.5   21     
17/08/1973  0       Nulo   35     20     
18/08/1973  0       Nulo   35.5   20     
19/08/1973  0       Nulo   35     20     
20/08/1973  2.5     Nulo   35     20     
21/08/1973  8       Nulo   35.5   19     
22/08/1973  0       Nulo   35.5   20.5   
23/08/1973  0       Nulo   34.5   19.5   
24/08/1973  0       Nulo   34.5   20     
25/08/1973  1       Nulo   35     20     
26/08/1973  8       Nulo   35     20     
27/08/1973  29      Nulo   35     20     
28/08/1973  25      Nulo   34.5   20.5   
29/08/1973  30      Nulo   35     20.5   
30/08/1973  0       Nulo   35     20     
31/08/1973  0       Nulo   35     20     
01/09/1973  0       Nulo   35.5   19.5   
02/09/1973  0       Nulo   36     20     
03/09/1973  35      Nulo   37     19     
04/09/1973  0       Nulo   36     19     
05/09/1973  43      Nulo   35.5   19.5   
06/09/1973  0       Nulo   36     19     
07/09/1973  0       Nulo   36     20     
08/09/1973  0       Nulo   36     20.5   
09/09/1973  0       Nulo   37.5   22     
10/09/1973  0       Nulo   33.5   23     
11/09/1973  0       Nulo   33     22.5   
12/09/1973  0       Nulo   34     22.5   
13/09/1973  8       Nulo   35.5   21.5   
14/09/1973  10.5    Nulo   36.5   22.5   
15/09/1973  0       Nulo   34     21     
16/09/1973  0       Nulo   35     21     
17/09/1973  0       Nulo   34     21.5   
18/09/1973  0       Nulo   34     21     
19/09/1973  0       Nulo   32.5   21     
20/09/1973  0       Nulo   33.5   19.5   
21/09/1973  0       Nulo   34.5   20     
22/09/1973  0       Nulo   36     21     
23/09/1973  0       Nulo   35.5   22     
24/09/1973  0       Nulo   34.5   21     
25/09/1973  0       Nulo   35     21     
26/09/1973  8       Nulo   37     20     
27/09/1973  46      Nulo   35.5   20.5   
28/09/1973  0       Nulo   35     21.5   
29/09/1973  1       Nulo   35     20     
30/09/1973  0       Nulo   35     20.5   
01/10/1973  3.5     Nulo   34.5   20.5   
02/10/1973  0       Nulo   35     20.5   
03/10/1973  0       Nulo   34     21     
04/10/1973  0       Nulo   34     20.5   
05/10/1973  0       Nulo   34.5   19     
06/10/1973  14.5    Nulo   34     20.5   
07/10/1973  8       Nulo   35     20     
08/10/1973  0       Nulo   34.5   19.5   
09/10/1973  0       Nulo   34     19     
10/10/1973  1.2     Nulo   34.5   18.5   
11/10/1973  0       Nulo   34.5   19     
12/10/1973  25.5    Nulo   35     19.5   
13/10/1973  77      Nulo   34     19.5   
14/10/1973  41.5    Nulo   39     19     
15/10/1973  0       Nulo   34     19     
16/10/1973  54      Nulo   35     19     
17/10/1973  0       Nulo   34     19     
18/10/1973  0       Nulo   34.5   18     
19/10/1973  0       Nulo   33.5   20     
20/10/1973  1       Nulo   39     18.5   
21/10/1973  1.5     Nulo   32     16     
22/10/1973  0       Nulo   33.5   15     
23/10/1973  0       Nulo   34     18     
