CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 24181
NOMBRE    : EL ASTILLERO
ESTADO    : SAN LUIS POTOSI
MUNICIPIO : Villa de Guadalupe
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.413°
LONGITUD  : -100.744°
ALTITUD   : 1655 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1979  0       1.5    24     7      
02/02/1979  0       5.3    26.5   6      
03/02/1979  0       4.8    25     8      
04/02/1979  5       3.5    23.5   9      
05/02/1979  3       3.1    22     6      
06/02/1979  0       4.9    20     7      
07/02/1979  0       4.5    23     7      
08/02/1979  0       2.8    22     4      
09/02/1979  0       3.2    24     6      
10/02/1979  3       2.2    23     5      
11/02/1979  1       2.2    24.5   3      
12/02/1979  0       1.5    20     6      
13/02/1979  0       2.7    23     5      
14/02/1979  0       4.6    25.5   5      
15/02/1979  0       4.9    24     9      
16/02/1979  0       4.4    26.5   7      
17/02/1979  0       3.8    22     8      
18/02/1979  0       1.7    23.5   6      
19/02/1979  6       2.4    23     6      
20/02/1979  0       1.6    24     4      
21/02/1979  0       2.9    26.5   6      
22/02/1979  0       5.2    26     6      
23/02/1979  0       6.9    28     9      
24/02/1979  0       5.2    26.5   11     
25/02/1979  0       3.2    29     7      
26/02/1979  0       2.7    27     9      
27/02/1979  0       5.8    26     10.5   
28/02/1979  0       5.5    25.5   10     
01/03/1979  0       5.1    24     9      
02/03/1979  0       4.3    23     7      
03/03/1979  0       4.7    25     8      
04/03/1979  0       4.9    24.5   9.5    
05/03/1979  2       4.8    26     10     
06/03/1979  1       5.4    28     9      
07/03/1979  0       5.9    25     11     
08/03/1979  0       5      23     8      
09/03/1979  0       3.1    24.5   6.5    
10/03/1979  0       4.7    24     7.5    
11/03/1979  0       4.6    23     7      
12/03/1979  0       5.1    25.5   9      
13/03/1979  0       5.7    27     10     
14/03/1979  0       6.2    26     10.5   
15/03/1979  1       5.2    24.5   10     
16/03/1979  0       5.9    23     9      
17/03/1979  0       6.1    23.5   8.5    
18/03/1979  0       5.1    25     9.5    
19/03/1979  0       5.9    28.5   10.5   
20/03/1979  0       7.6    27     12     
21/03/1979  0       6.9    27.5   12.5   
22/03/1979  0       6.8    25     11     
23/03/1979  0       9.6    24     10     
24/03/1979  0       5.3    26     9.5    
25/03/1979  0       6.3    27     11     
26/03/1979  0       6.7    29     10.5   
27/03/1979  0       8.3    31.5   11.5   
28/03/1979  0       8.5    32     13     
29/03/1979  0       9.9    30     12.5   
30/03/1979  0       8.7    29.5   12     
31/03/1979  0       8.1    30.5   11.5   
01/04/1979  0       12.3   29     11     
02/04/1979  0       10.9   26     15     
03/04/1979  0       8.3    28     14     
04/04/1979  0       7.4    25     10     
05/04/1979  0       4.7    29     8      
06/04/1979  2       3.2    26     8      
07/04/1979  0       5.7    27     9      
08/04/1979  0       5.5    29     10     
09/04/1979  0       5.7    29     12     
10/04/1979  0       8.4    28     15     
11/04/1979  0       10.1   27     13     
12/04/1979  0       8.3    26     14     
