CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25010
NOMBRE    : CULIACAN (CAADES)
ESTADO    : SINALOA
MUNICIPIO : CULIACAN
SITUACION : SUSPENDIDA
ORGANISMO : CAADES
CVE-OMM   : Nulo
LATITUD   : 024.833°
LONGITUD  : -107.433°
ALTITUD   : 51 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/11/1970  0       6      35     15.5   
02/11/1970  0       6      36     16     
03/11/1970  0       5.5    35.5   15     
04/11/1970  0       7      32.5   17.5   
05/11/1970  0       4.5    36     18     
06/11/1970  0       7.5    36     19.5   
07/11/1970  0       5.5    35     18.5   
08/11/1970  0       5      34.5   19     
09/11/1970  0       4.5    33     18.5   
10/11/1970  0       4.5    33.5   17     
11/11/1970  0       6.5    33.5   18.5   
12/11/1970  0       5.5    33     18     
13/11/1970  0       7.5    32     16     
14/11/1970  0       5.5    33     16     
15/11/1970  0       11.5   32     15     
16/11/1970  0       6      35     15     
17/11/1970  0       8      34     13     
18/11/1970  0       6.5    31.5   12     
19/11/1970  0       6.5    31     11.5   
20/11/1970  0       6      31.5   16     
21/11/1970  0       5.5    33.5   14.5   
22/11/1970  0       4.5    34     14.5   
23/11/1970  0       7.5    33.5   15     
24/11/1970  0       3.5    30     16     
25/11/1970  0       4.5    31     18     
26/11/1970  0       4      30     16.5   
27/11/1970  0       3      29.5   16     
28/11/1970  0       3.5    31.5   15     
29/11/1970  0       4      31.5   14.5   
30/11/1970  0       3.5    39     13.5   
01/12/1970  0       6      32     13     
02/12/1970  0       4.5    34     14     
03/12/1970  0       4.5    33     11.5   
04/12/1970  0       4.5    33.5   16.5   
05/12/1970  0       4.5    32     13     
06/12/1970  0       4      32     14     
07/12/1970  0       3.5    32     14     
08/12/1970  0       5      32     14     
09/12/1970  0       4.5    30.5   14     
10/12/1970  0       4      30     13.5   
11/12/1970  0       4      29     10     
12/12/1970  0       5.5    29     9      
13/12/1970  0       8.5    28     10     
14/12/1970  0       5      29     11     
15/12/1970  0       3      29.5   15.5   
16/12/1970  0       4.5    29.5   10.5   
17/12/1970  0       3.3    28.5   12     
18/12/1970  0       6.3    29     10.5   
19/12/1970  0       6.3    30     11.5   
20/12/1970  0       8.5    31     16     
21/12/1970  0       8      29     16     
22/12/1970  0       5      30.5   14     
23/12/1970  0       6.5    29.5   14     
24/12/1970  0       8      31     12     
25/12/1970  0       5.5    31.5   11     
26/12/1970  0       5      30     10     
27/12/1970  0       6.5    30     12     
28/12/1970  0       5      30.5   11.5   
29/12/1970  0       6      31.5   11     
30/12/1970  0       4      28.5   11.5   
31/12/1970  0       5      29     11.5   
01/01/1971  0       6      31     9.5    
02/01/1971  0       7      38     6.5    
03/01/1971  0       7.5    31     6.5    
04/01/1971  0       8      37.5   8.5    
05/01/1971  0       6      31     12     
06/01/1971  0       7.5    33     12     
07/01/1971  0       7.5    33     9      
08/01/1971  0       9.5    30.5   11.5   
09/01/1971  0       6.5    35.5   13     
10/01/1971  0       11     35.5   13     
11/01/1971  0       9.5    33.5   14.5   
12/01/1971  0       11.5   32.5   10.5   
13/01/1971  0       10.5   31     13     
14/01/1971  0       10     31     10.5   
15/01/1971  0       9.5    32     10.5   
16/01/1971  0       6.5    33     11.5   
17/01/1971  0       7      30.5   13     
18/01/1971  0       7      33.3   15     
19/01/1971  0       7      34.5   12.5   
20/01/1971  0       8      35     12     
