CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25011
NOMBRE    : CONCORDIA (CFE)
ESTADO    : SINALOA
MUNICIPIO : CONCORDIA
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 023.271°
LONGITUD  : -106.067°
ALTITUD   : 140 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       1.5    24.5   14.5   
02/01/1961  0       0.8    25     13.5   
03/01/1961  0       2      30.5   11.5   
04/01/1961  0       2.6    31     12.5   
05/01/1961  0       1.5    31     13.5   
06/01/1961  0       0.9    25     13.5   
07/01/1961  0.2     2.8    27.5   13     
08/01/1961  0       2.7    32.5   9      
09/01/1961  0       2.2    33     7.5    
10/01/1961  0       2.8    32.5   11     
11/01/1961  0       2.3    30.5   9.5    
12/01/1961  0       2.6    30.5   9.5    
13/01/1961  0       1.8    28.5   9.5    
14/01/1961  0       3      30     12     
15/01/1961  0       2.2    31     9      
16/01/1961  1       0.8    27     10     
17/01/1961  0       3.6    27     11.5   
18/01/1961  1.5     1.6    25.5   17     
19/01/1961  31.5    0.6    29     11.5   
20/01/1961  12.5    0.9    24     18     
21/01/1961  15      1.5    29     15.5   
22/01/1961  25.4    1      22.5   18     
23/01/1961  11.4    1.3    33.5   16.5   
24/01/1961  0.1     1.9    27.5   12     
25/01/1961  0       2.7    28.5   13     
26/01/1961  0       2.4    30.5   12.5   
27/01/1961  0       2.6    27.5   11.5   
28/01/1961  0       2.7    28     10.5   
29/01/1961  0       2.7    29.5   10     
30/01/1961  0       1.8    30.5   11.5   
31/01/1961  0       2.5    30.5   12.5   
01/02/1961  0       2.2    29     14     
02/02/1961  0       2.6    26.5   15     
03/02/1961  0       2.7    28     13.5   
04/02/1961  0       3.5    28     12.5   
05/02/1961  0       2.6    27     9      
06/02/1961  0       3.2    25.5   9      
07/02/1961  0       2.7    28.5   5.5    
08/02/1961  0       2.7    29     8      
09/02/1961  0       2.9    31     13     
10/02/1961  0       2.9    32     10.5   
11/02/1961  0       2.9    33     6.5    
12/02/1961  0       2.3    32     8      
13/02/1961  0       2.9    32     9      
14/02/1961  0       3.8    30.5   10.5   
15/02/1961  0       2.1    27     15.5   
16/02/1961  0       2.2    32     14.5   
17/02/1961  0       3.7    29     14.5   
18/02/1961  0       2      30     11.5   
19/02/1961  0       2.2    27     10     
20/02/1961  0       3.5    28.5   11.5   
21/02/1961  0       3.3    28.5   9.5    
22/02/1961  0       4.2    28.5   7.5    
23/02/1961  0       1.5    28.5   12     
24/02/1961  0       3.5    31.5   9.5    
25/02/1961  0       4.3    33.5   7      
26/02/1961  0       3.2    33     6      
27/02/1961  0       3.1    30.5   8.5    
28/02/1961  0       2      27     10.5   
01/03/1961  0       4.6    31     12.5   
02/03/1961  0       1.9    32.5   14.5   
03/03/1961  0       2.8    30.5   13.5   
04/03/1961  0       4.4    32.5   10     
05/03/1961  0       3.8    31.5   9.5    
06/03/1961  0       4.7    32.5   7.5    
07/03/1961  0       3      31.5   6.5    
08/03/1961  0       4.8    36.5   12.5   
09/03/1961  0       4.1    32.5   13     
10/03/1961  0       4.3    31     12     
11/03/1961  0       4      32     12.5   
12/03/1961  0       3.2    31.5   7      
13/03/1961  0       5.1    32     8      
14/03/1961  0       4.3    32.5   10.5   
15/03/1961  0       2.7    30.5   11.5   
16/03/1961  0       4      30     10.5   
17/03/1961  0       4.7    28.5   7      
18/03/1961  0       5.2    28.5   6.5    
19/03/1961  0       3.7    30.5   7      
20/03/1961  0       4      31.5   7.5    
21/03/1961  0       4.3    31.5   7.5    
22/03/1961  0       5.3    31.5   5.5    
23/03/1961  0       4.9    31.5   5      
24/03/1961  0       4.8    28.5   8.5    
25/03/1961  0       3.5    28.5   11.5   
26/03/1961  0       4.7    28     9.5    
27/03/1961  0       4.6    30     10.5   
28/03/1961  0       3.6    30.5   10     
29/03/1961  0       5.2    30     10.5   
30/03/1961  0       2.6    27     15     
31/03/1961  0       4.9    31     7      
01/04/1961  0       4.7    30     12     
02/04/1961  0       4.8    28.5   9      
03/04/1961  3.3     4.7    28.5   8.5    
04/04/1961  0.2     3.4    25.5   13.5   
05/04/1961  0       4.3    28     15.5   
06/04/1961  0       4.5    31.5   10     
07/04/1961  0       5.9    33.5   11.5   
08/04/1961  0       6      32.5   9.5    
09/04/1961  0       5.2    33     9      
10/04/1961  0       5.4    32.5   10.5   
11/04/1961  0       5.4    32.5   11.5   
12/04/1961  0       7.6    34.5   10.5   
13/04/1961  0       5.2    32.5   9.5    
14/04/1961  0       7.4    33.5   10.5   
