CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25069
NOMBRE    : PALOS BLANCOS
ESTADO    : SINALOA
MUNICIPIO : CULIACAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.924°
LONGITUD  : -107.392°
ALTITUD   : 55 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       0.7    22.5   10.5   
02/01/1961  0       2      27     11.5   
03/01/1961  0       2.9    30.5   9.5    
04/01/1961  0       2.9    30     12     
05/01/1961  0       1.3    25     15     
06/01/1961  6       1.8    24.5   14     
07/01/1961  0       3.8    29     8.5    
08/01/1961  0       3.6    31     10     
09/01/1961  0       3.7    33.5   11     
10/01/1961  0       3.8    32     9      
11/01/1961  0       2.3    31     8.5    
12/01/1961  0       2.3    33.5   9.5    
13/01/1961  0       3.9    33     10     
14/01/1961  0       3.7    31.5   9      
15/01/1961  0       3.5    31.5   8.5    
16/01/1961  0.1     2.1    24.5   11     
17/01/1961  0.3     1.9    28     13     
18/01/1961  9.8     0.1    22     17     
19/01/1961  18      0.2    22     18.5   
20/01/1961  25.1    0.9    23     19.5   
21/01/1961  8       3.1    28     18.5   
22/01/1961  20.8    0.9    21     17     
23/01/1961  12.2    0.9    18.5   17.5   
24/01/1961  0.2     2.4    20.5   12     
25/01/1961  0.1     3.1    28.5   12.5   
26/01/1961  0       4.4    29     11.5   
27/01/1961  0       2.4    29.5   12     
28/01/1961  0       3.3    29.5   10.5   
29/01/1961  0       4.1    29     10.5   
30/01/1961  0       1.7    29     12.5   
31/01/1961  0       3.8    32     14     
01/02/1961  0       4      30     10.5   
02/02/1961  0       3.7    29     11.5   
03/02/1961  0       3.5    28     12.5   
04/02/1961  0       3.8    28.5   11.5   
05/02/1961  0       5.3    27     9.5    
06/02/1961  0       1.9    25     11     
07/02/1961  0       4      27     6      
08/02/1961  0       3.2    29     8      
09/02/1961  0       3.7    31     12.5   
10/02/1961  0       5.6    29.5   7.5    
11/02/1961  0       4.7    35.5   8.5    
12/02/1961  0       4.9    36.5   9.5    
13/02/1961  0       4.4    35     8.5    
14/02/1961  0       3.7    32.5   11.5   
15/02/1961  0       4.4    34     11.5   
16/02/1961  0       4.7    33.5   12     
17/02/1961  0       4.1    31     9.5    
18/02/1961  0       4.8    30.5   9.5    
19/02/1961  0       2.1    26     8.5    
20/02/1961  0       5.6    29.5   8      
21/02/1961  0       5.2    10     6      
22/02/1961  0       3.9    31     7      
23/02/1961  0       2.4    28.5   10.5   
24/02/1961  0       5.7    34.5   7.5    
25/02/1961  0       6.2    36.5   6      
26/02/1961  0       5.9    33     9.5    
27/02/1961  0       4.7    33.5   8      
28/02/1961  0       4.9    34     9.5    
01/03/1961  0       5.4    36     7.5    
02/03/1961  0       5.2    34     11.5   
03/03/1961  0       5.8    32     8      
04/03/1961  0       5.5    34.5   7.5    
05/03/1961  0       5.7    33     10     
06/03/1961  0       5.6    33     9      
07/03/1961  0       6      35.5   9.5    
08/03/1961  0       6.3    39     10.5   
09/03/1961  0       5.3    33     11     
10/03/1961  0       5.4    33.5   14.5   
11/03/1961  0       6.6    32.5   8      
12/03/1961  0       6.2    33.5   8      
13/03/1961  0       6.2    35     10     
14/03/1961  0       6.2    33.5   9.5    
15/03/1961  0       4.3    32     11.5   
16/03/1961  0       7      31     6.5    
17/03/1961  0       5.8    30.5   6      
18/03/1961  0       6.4    30.5   8.5    
19/03/1961  0       5.9    31.5   7.5    
20/03/1961  0       6.4    33     8.5    
21/03/1961  0       6.7    34.5   9.5    
22/03/1961  0       7.5    33.5   8.5    
23/03/1961  0       7.3    32     7.5    
24/03/1961  0       5.2    29     7      
25/03/1961  0       5      29.5   12     
26/03/1961  0       7.3    31     11     
27/03/1961  0       6.4    31     12.5   
28/03/1961  0       6.4    32     9      
