CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25075
NOMBRE    : PRESA EL PEÑON
ESTADO    : SINALOA
MUNICIPIO : ESCUINAPA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.883°
LONGITUD  : -105.75°
ALTITUD   : 85 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
24/11/1970  0       Nulo   Nulo   Nulo   
25/11/1970  0       Nulo   31     18     
26/11/1970  0       Nulo   31     18     
27/11/1970  0       Nulo   30.5   16.5   
28/11/1970  0       Nulo   31     15     
29/11/1970  0       Nulo   30     18     
30/11/1970  0       Nulo   31     16.5   
25/12/1970  0       Nulo   33     18     
26/12/1970  0       Nulo   31     18     
27/12/1970  0       Nulo   31     16.5   
28/12/1970  0       Nulo   30.5   15     
29/12/1970  0       Nulo   31     18     
30/12/1970  0       Nulo   30     16.5   
31/12/1970  0       Nulo   31     Nulo   
01/01/1971  0       Nulo   30.5   13.5   
02/01/1971  0       Nulo   27.5   12.5   
03/01/1971  0       Nulo   28     13     
04/01/1971  0       Nulo   27.5   12     
05/01/1971  0       Nulo   23.5   10.5   
06/01/1971  0       Nulo   23     10.5   
07/01/1971  1.2     Nulo   21     11     
08/01/1971  0       Nulo   30     13     
09/01/1971  0       Nulo   30     15     
10/01/1971  0       Nulo   29     15     
11/01/1971  0       Nulo   27     14     
12/01/1971  0       Nulo   31.5   11     
13/01/1971  0       Nulo   36.5   14     
14/01/1971  0       Nulo   31.5   13     
15/01/1971  0       Nulo   34     10     
16/01/1971  0       Nulo   33     13     
17/01/1971  0       Nulo   32     13     
18/01/1971  0       Nulo   31     12     
19/01/1971  0       Nulo   31.5   12     
20/01/1971  0       Nulo   31.5   13     
21/01/1971  0       Nulo   32     14     
22/01/1971  0       Nulo   28     15.5   
23/01/1971  0       Nulo   31     13.5   
24/01/1971  0       Nulo   30.5   11.5   
25/01/1971  0       Nulo   31.5   12     
26/01/1971  0       Nulo   31.5   12     
27/01/1971  0       Nulo   30     11     
28/01/1971  0       Nulo   32.5   12.5   
29/01/1971  0       Nulo   32.5   11.5   
30/01/1971  0       Nulo   32     11     
31/01/1971  0       Nulo   31.5   10     
01/02/1971  0       Nulo   31.5   11     
02/02/1971  0       Nulo   30     9.5    
03/02/1971  0       Nulo   31.5   11.5   
04/02/1971  0       Nulo   31     10.5   
05/02/1971  0       Nulo   29     7.5    
06/02/1971  0       Nulo   29     7.5    
07/02/1971  0       Nulo   28     7.5    
08/02/1971  0       Nulo   27     6.5    
09/02/1971  0       Nulo   29.5   8      
10/02/1971  0       Nulo   31     7      
11/02/1971  0       Nulo   33     10     
12/02/1971  0       Nulo   33     10     
13/02/1971  0       Nulo   33.5   10     
14/02/1971  0       Nulo   31.5   10     
15/02/1971  0       Nulo   31     10.5   
16/02/1971  0       Nulo   31     10     
17/02/1971  0       Nulo   27.5   10     
18/02/1971  0       Nulo   30.5   11     
19/02/1971  0       Nulo   29.5   9      
20/02/1971  0       Nulo   28     10.5   
21/02/1971  0       Nulo   28     10     
22/02/1971  0       Nulo   28     10.5   
23/02/1971  0       Nulo   28.5   12.5   
24/02/1971  0       Nulo   28     12     
25/02/1971  0       Nulo   25.5   15     
26/02/1971  0       Nulo   29     9.5    
27/02/1971  0       Nulo   29.5   8.5    
28/02/1971  0       Nulo   30     10     
01/03/1971  0       Nulo   32     10.5   
02/03/1971  0       Nulo   31     9.5    
03/03/1971  0       Nulo   31     8.5    
04/03/1971  0       Nulo   28     9      
05/03/1971  0       Nulo   32     12     
06/03/1971  0       Nulo   32     10     
07/03/1971  0       Nulo   33     10.5   
08/03/1971  0       Nulo   33     10.5   
09/03/1971  0       Nulo   34.5   12     
10/03/1971  0       Nulo   34     11     
11/03/1971  0       Nulo   33.5   11     
12/03/1971  0       Nulo   32.5   9      
13/03/1971  0       Nulo   31     9      
14/03/1971  0       Nulo   31     9      
15/03/1971  0       Nulo   31.5   9.5    
16/03/1971  0       Nulo   32     11     
17/03/1971  0       Nulo   34.5   13     
18/03/1971  0       Nulo   35     13     
19/03/1971  0       Nulo   35.5   12     
20/03/1971  0       Nulo   34     11     
21/03/1971  0       Nulo   33.5   12     
22/03/1971  0       Nulo   36     13     
23/03/1971  0       Nulo   33     15     
24/03/1971  0       Nulo   33.5   18     
25/03/1971  0       Nulo   34.5   16     
26/03/1971  0       Nulo   36     14     
27/03/1971  0       Nulo   37     14.5   
28/03/1971  0       Nulo   37     12.5   
29/03/1971  0       Nulo   36.5   14.5   
30/03/1971  0       Nulo   32     14     
31/03/1971  0       Nulo   33     13     
01/04/1971  0       Nulo   33.5   13     
02/04/1971  0       Nulo   33     13     
03/04/1971  0       Nulo   31.5   13.5   
04/04/1971  0       Nulo   32     13.5   
05/04/1971  0       Nulo   34     11     
06/04/1971  0       Nulo   34.5   12     
07/04/1971  0       Nulo   36     13     
08/04/1971  0       Nulo   36     13     
09/04/1971  0       Nulo   37     13     
10/04/1971  0       Nulo   34     12     
11/04/1971  0       Nulo   34     18.5   
12/04/1971  0       Nulo   34     16.5   
13/04/1971  0       Nulo   33     15.5   
14/04/1971  0       Nulo   33     16.5   
15/04/1971  0       Nulo   32.5   16.5   
16/04/1971  0       Nulo   31.5   19.5   
17/04/1971  0       Nulo   30.5   13.5   
18/04/1971  0       Nulo   29.5   14     
19/04/1971  0       Nulo   30     15     
20/04/1971  0       Nulo   29     14     
21/04/1971  0       Nulo   30     14     
22/04/1971  0       Nulo   30     15.5   
23/04/1971  0       Nulo   32     17     
24/04/1971  0       Nulo   32     19.5   
25/04/1971  0       Nulo   32     19     
26/04/1971  0       Nulo   32     17     
27/04/1971  0       Nulo   31     16     
28/04/1971  0       Nulo   31.5   16.5   
29/04/1971  0       Nulo   32.5   17.5   
30/04/1971  0       Nulo   32.5   15.5   
01/05/1971  0       Nulo   33.5   16.5   
02/05/1971  0       Nulo   34     17     
03/05/1971  0       Nulo   33.5   17     
04/05/1971  0       Nulo   34.5   18.5   
05/05/1971  0.1     Nulo   35     18.5   
06/05/1971  0       Nulo   35     17.5   
07/05/1971  0       Nulo   37     16     
08/05/1971  0       Nulo   37     19.5   
09/05/1971  0       Nulo   33     20.5   
10/05/1971  0.1     Nulo   35     19.5   
11/05/1971  0       Nulo   34     18.5   
12/05/1971  0       Nulo   34     18     
13/05/1971  0       Nulo   33     18.5   
14/05/1971  0       Nulo   33.5   18     
15/05/1971  0       Nulo   33     19     
16/05/1971  0       Nulo   34.5   18.5   
17/05/1971  0       Nulo   34     17     
18/05/1971  0       Nulo   34     16.5   
19/05/1971  0       Nulo   33.5   18     
20/05/1971  0       Nulo   34     18     
21/05/1971  0       Nulo   36     21     
22/05/1971  0       Nulo   36     19     
23/05/1971  0       Nulo   34.5   19     
24/05/1971  0       Nulo   35     21.5   
25/05/1971  0       Nulo   35     20     
26/05/1971  0       Nulo   34     21     
27/05/1971  0       Nulo   35     21     
28/05/1971  0       Nulo   34     19.5   
29/05/1971  0       Nulo   34.5   21     
30/05/1971  0       Nulo   34     19     
31/05/1971  0       Nulo   35     17.5   
01/06/1971  0       Nulo   35     17     
02/06/1971  0       Nulo   36.5   20     
03/06/1971  0       Nulo   40     19     
04/06/1971  0       Nulo   38     19.5   
05/06/1971  0       Nulo   35.5   20.5   
06/06/1971  0       Nulo   37     21     
07/06/1971  0       Nulo   37     24     
08/06/1971  0       Nulo   36     22     
09/06/1971  0       Nulo   36     26     
10/06/1971  0       Nulo   35.5   23.5   
