CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25107
NOMBRE    : SACA DE AGUA
ESTADO    : SINALOA
MUNICIPIO : BADIRAGUATO
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 026.043°
LONGITUD  : -107.457°
ALTITUD   : 1105 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/2003  0       Nulo   36     24     
02/10/2003  0       Nulo   36     23     
03/10/2003  0       Nulo   36     24     
04/10/2003  0       Nulo   34     24     
05/10/2003  0       Nulo   34     23     
06/10/2003  0       Nulo   35     24     
07/10/2003  16.5    Nulo   34     23     
08/10/2003  42      Nulo   30     23     
09/10/2003  15      Nulo   29     22     
10/10/2003  0       Nulo   31     22     
11/10/2003  0       Nulo   31     21     
12/10/2003  0       Nulo   31     20     
13/10/2003  0       Nulo   32     22     
14/10/2003  0       Nulo   32     23     
15/10/2003  0       Nulo   34     23     
16/10/2003  0       Nulo   34     21     
17/10/2003  0       Nulo   36     23     
18/10/2003  1       Nulo   36     23     
19/10/2003  6.5     Nulo   36.5   22.5   
20/10/2003  0       Nulo   34.5   21     
21/10/2003  0       Nulo   36     21.5   
22/10/2003  0       Nulo   36     19     
23/10/2003  0       Nulo   33     20.5   
24/10/2003  0       Nulo   35     20.5   
25/10/2003  0       Nulo   33.5   21     
26/10/2003  0       Nulo   31.5   20.5   
27/10/2003  0       Nulo   31     18     
28/10/2003  0       Nulo   32     15     
29/10/2003  0       Nulo   31     17     
30/10/2003  0       Nulo   30.5   18     
31/10/2003  0       Nulo   31.5   18     
01/11/2003  0       Nulo   31.5   17.5   
02/11/2003  0       Nulo   32.5   16     
03/11/2003  0       Nulo   33     16     
04/11/2003  0       Nulo   33     17     
05/11/2003  0       Nulo   33     16.5   
06/11/2003  0       Nulo   33.5   19     
07/11/2003  0       Nulo   34     14     
08/11/2003  0       Nulo   31.5   16.5   
09/11/2003  0       Nulo   36.5   18.5   
10/11/2003  0       Nulo   31.5   17.5   
11/11/2003  0       Nulo   32     17.5   
12/11/2003  0       Nulo   36.5   17     
13/11/2003  0       Nulo   37     17     
14/11/2003  0       Nulo   37     17     
15/11/2003  0       Nulo   36.5   17     
16/11/2003  0.5     Nulo   32.5   16.5   
17/11/2003  0       Nulo   26     15.5   
18/11/2003  0       Nulo   30     14     
19/11/2003  0       Nulo   30     12     
20/11/2003  0       Nulo   34     12     
21/11/2003  0       Nulo   33.5   16     
22/11/2003  0       Nulo   30.5   15.5   
23/11/2003  0       Nulo   29.5   15     
24/11/2003  0       Nulo   31.5   13.5   
25/11/2003  0       Nulo   27     14     
26/11/2003  0       Nulo   27     14     
27/11/2003  0       Nulo   30.5   15     
28/11/2003  0       Nulo   34.5   15.5   
29/11/2003  0       Nulo   32.5   16     
30/11/2003  0       Nulo   34     15     
01/12/2003  0       Nulo   34.5   16     
02/12/2003  0       Nulo   34     12.5   
03/12/2003  0       Nulo   30     15     
04/12/2003  0       Nulo   27     14.5   
05/12/2003  0       Nulo   31     14     
06/12/2003  0       Nulo   30.5   14     
07/12/2003  0       Nulo   30     14     
08/12/2003  0       Nulo   28.5   12.5   
09/12/2003  0       Nulo   26.5   13.5   
10/12/2003  0       Nulo   22.5   11     
11/12/2003  0       Nulo   28.5   11     
12/12/2003  0       Nulo   29.5   11.5   
13/12/2003  0       Nulo   29.5   9      
14/12/2003  0       Nulo   32     10     
15/12/2003  0       Nulo   27.5   9      
16/12/2003  0       Nulo   29.5   7.5    
17/12/2003  0       Nulo   33.5   9.5    
18/12/2003  0       Nulo   34.5   11.5   
19/12/2003  0       Nulo   33.5   14.5   
20/12/2003  0       Nulo   29.5   13.5   
21/12/2003  0       Nulo   29.5   12.5   
22/12/2003  0       Nulo   31     11.5   
23/12/2003  0       Nulo   29.5   9.5    
24/12/2003  0       Nulo   28.5   9.5    
25/12/2003  0       Nulo   29.5   10.5   
26/12/2003  0       Nulo   27.5   11.5   
27/12/2003  0       Nulo   28.5   9      
28/12/2003  0       Nulo   27.5   6      
29/12/2003  0       Nulo   27.5   6.5    
30/12/2003  0       Nulo   27.5   7.5    
31/12/2003  0       Nulo   27     7.5    
01/01/2004  0       Nulo   30.5   6      
02/01/2004  0       Nulo   31.5   5      
03/01/2004  0       Nulo   34     6      
04/01/2004  0       Nulo   29.5   3      
05/01/2004  0       Nulo   30.5   7      
06/01/2004  0       Nulo   31     6      
07/01/2004  0       Nulo   32.5   5.5    
