CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25148
NOMBRE    : E.T.A. 057 GUASAVE
ESTADO    : SINALOA
MUNICIPIO : GUASAVE
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 025.55°
LONGITUD  : -108.45°
ALTITUD   : 17 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
17/02/1973  0       Nulo   22     4      
18/02/1973  0       Nulo   20     8      
19/02/1973  0       Nulo   25     6      
20/02/1973  0       Nulo   25     10     
21/02/1973  14.2    Nulo   23     10     
22/02/1973  12      Nulo   23     11     
23/02/1973  0       Nulo   24     11     
24/02/1973  0       Nulo   23     10     
26/02/1973  0       Nulo   26     11     
27/02/1973  0       Nulo   27     12     
28/02/1973  0       Nulo   30     12     
01/03/1973  0       Nulo   31     12     
02/03/1973  0       Nulo   29     11     
06/03/1973  0       Nulo   27     8      
07/03/1973  0       Nulo   28     12     
08/03/1973  0       Nulo   29     8      
09/03/1973  0       Nulo   29     9      
10/03/1973  0       Nulo   24     6      
11/03/1973  0       Nulo   29     5      
12/03/1973  0       Nulo   25     8      
13/03/1973  0       Nulo   26     13     
15/03/1973  0       Nulo   25     6      
16/03/1973  0       Nulo   31     7      
17/03/1973  0       Nulo   31     9      
18/03/1973  0       Nulo   27     10     
19/03/1973  0       Nulo   22     15     
20/03/1973  0       Nulo   28     11     
21/03/1973  0       Nulo   28     11     
22/03/1973  0       Nulo   28     11     
23/03/1973  0       Nulo   26     10     
24/03/1973  0       Nulo   27     7      
25/03/1973  0       Nulo   29     8      
26/03/1973  0       Nulo   29     8      
27/03/1973  0       Nulo   28     14     
28/03/1973  0       Nulo   28     9      
29/03/1973  0       Nulo   29     7      
30/03/1973  0       Nulo   22     8      
31/03/1973  0       Nulo   29     9      
