CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25179
NOMBRE    : LATERAL DIEZ
ESTADO    : SINALOA
MUNICIPIO : CULIACAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.6°
LONGITUD  : -107.483°
ALTITUD   : 10 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1979  0       2.2    26.5   12.5   
02/01/1979  0       1.4    25.5   9      
03/01/1979  0       2.8    26     10     
04/01/1979  0       1.5    29     11.5   
05/01/1979  0       3.7    28     13.5   
06/01/1979  0       2.3    28     11.5   
07/01/1979  0       4.3    28     11     
08/01/1979  0       3.3    28     10     
09/01/1979  0       1.8    26     10     
10/01/1979  0       4      27     9      
11/01/1979  0       3.1    28     7      
12/01/1979  0       3      27     8.5    
13/01/1979  0       2.7    27     9      
14/01/1979  0       3.2    28     11.5   
15/01/1979  0       2.1    25     11     
16/01/1979  0       2.2    26     12     
17/01/1979  0       1.2    28     12     
18/01/1979  0       5.6    31     18     
19/01/1979  0       3.9    32     17.5   
20/01/1979  0       2      36     17.5   
21/01/1979  0       3.7    28     10     
22/01/1979  0       3.8    25     11     
23/01/1979  0       3.8    24     12     
24/01/1979  62      9.6    22     16     
25/01/1979  0       2.8    22.5   12     
26/01/1979  0       0.8    23     15     
27/01/1979  0       1.4    21     10     
28/01/1979  3       3      23     11     
29/01/1979  0       2      21     10     
30/01/1979  0       5.7    23     8      
31/01/1979  0       1.4    23     10     
01/03/1979  0       3.5    26     10.5   
02/03/1979  0       3.6    24.5   14     
03/03/1979  0       5.8    28.5   10.5   
04/03/1979  0       3.9    29     9.5    
05/03/1979  0       3.6    25.5   10     
06/03/1979  0       4.4    29     11.5   
07/03/1979  0       4.9    31     12     
08/03/1979  0       3.6    27     11     
09/03/1979  0       4.4    29     14     
10/03/1979  0       4.1    30     15     
11/03/1979  0       6.8    32     16     
12/03/1979  0       5.9    32     13.5   
13/03/1979  0       8.9    34.5   15     
14/03/1979  0       8.9    34     15.5   
