CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 25192
NOMBRE    : JOSE ACEVES POZOS (CFE)
ESTADO    : SINALOA
MUNICIPIO : MAZATLAN
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 023.183°
LONGITUD  : -106.333°
ALTITUD   : 5 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1983  0       5.6    20     14.5   
02/01/1983  0       1.2    25     15     
03/01/1983  0       4.3    25     14     
04/01/1983  0       3.4    21.1   16     
05/01/1983  0       2.9    26.5   16     
06/01/1983  0       3.1    29     17     
07/01/1983  0       3.7    26     17     
08/01/1983  0       3.4    28.5   17.5   
09/01/1983  0       2.3    28.5   15.5   
10/01/1983  0       3.3    28     16.5   
11/01/1983  0       2.4    29.5   19.5   
12/01/1983  2       3.9    24     20     
13/01/1983  15.4    3.3    24.5   19     
14/01/1983  0       2.7    22.5   19     
15/01/1983  0       2.4    22     17.5   
16/01/1983  0       4.2    27.5   17.5   
17/01/1983  2.9     5.1    28.5   17.5   
18/01/1983  14.5    3.1    26     19.5   
19/01/1983  4.5     3.3    26.5   18     
20/01/1983  27.3    5      24     17     
21/01/1983  0       6.7    24.5   16     
22/01/1983  0       5.7    23.5   11     
23/01/1983  0       4.4    25.5   11.5   
24/01/1983  0       5      26     11.5   
25/01/1983  0       2.7    26     12.5   
26/01/1983  0       5.3    27     13     
27/01/1983  0       4      27     13     
28/01/1983  0       3.9    27     14.5   
29/01/1983  0       4.2    26.5   14.5   
30/01/1983  5.2     6.5    27.5   14.5   
31/01/1983  12.5    3.6    27.5   18     
01/02/1983  0       5.5    24     13     
02/02/1983  0       3.9    25     10.5   
03/02/1983  0       2.3    24     14     
04/02/1983  4.2     3.5    27     13.5   
05/02/1983  0       2.9    26.5   17.5   
06/02/1983  0       4.7    26     15.5   
07/02/1983  0       3.8    26     14     
08/02/1983  0       4.9    26.5   13     
09/02/1983  0       4.5    26     14     
10/02/1983  0       3.7    25.5   14.5   
11/02/1983  0       4.3    26.5   15     
12/02/1983  0       4.3    27     16     
13/02/1983  0       5.2    26     17     
14/02/1983  0       5.1    27.5   17     
15/02/1983  0       4.1    28     18     
16/02/1983  0       3.9    27.5   19     
17/02/1983  0       4.1    27.5   18.5   
18/02/1983  0       4.7    27     18     
19/02/1983  0       5.1    26     18     
20/02/1983  0       5      28     17.5   
21/02/1983  0       4.3    27.5   11.5   
22/02/1983  0       4.8    27     13.5   
23/02/1983  0       5.6    27     13.5   
24/02/1983  0.6     3.1    27     14.5   
25/02/1983  0       6      27     17.5   
