CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26054
NOMBRE    : MOCTEZUMA
ESTADO    : SONORA
MUNICIPIO : VILLA HIDALGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 029.8°
LONGITUD  : -109.683°
ALTITUD   : 624 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1943  0       Nulo   42.3   19     
02/05/1943  0       Nulo   41.3   20     
03/05/1943  0       Nulo   42.1   20     
04/05/1943  0       Nulo   37.2   21     
05/05/1943  0       Nulo   36.7   16     
06/05/1943  0       Nulo   39     16     
07/05/1943  0       Nulo   36     16     
08/05/1943  0       Nulo   38.4   18     
09/05/1943  0       Nulo   36     17     
10/05/1943  0       Nulo   33     15     
11/05/1943  0       Nulo   38     15     
12/05/1943  0       Nulo   39     18     
13/05/1943  0       Nulo   37     18     
14/05/1943  0       Nulo   39     17     
15/05/1943  0       Nulo   36.2   14     
16/05/1943  0       Nulo   36.6   15     
17/05/1943  0       Nulo   37.8   15.3   
18/05/1943  0       Nulo   38.5   16.5   
19/05/1943  0       Nulo   40.5   15.1   
20/05/1943  0       Nulo   39.6   15.8   
21/05/1943  0       Nulo   37.8   15.6   
22/05/1943  0       Nulo   38.5   18.4   
23/05/1943  0       Nulo   39.7   16.2   
24/05/1943  0       Nulo   41.5   18.3   
25/05/1943  0       Nulo   43.1   18.7   
26/05/1943  0       Nulo   41     20.2   
27/05/1943  0       Nulo   41.2   21.1   
28/05/1943  0       Nulo   41.1   21.5   
29/05/1943  0       Nulo   39.1   19.2   
30/05/1943  0       Nulo   39.3   17.5   
31/05/1943  0       Nulo   37.2   16.8   
01/06/1943  0       Nulo   37.2   19     
02/06/1943  0       Nulo   36.4   19.7   
03/06/1943  0       Nulo   32.2   18.9   
04/06/1943  0       Nulo   36.6   19.5   
05/06/1943  0       Nulo   39.8   19.3   
06/06/1943  0       Nulo   42.1   18.6   
07/06/1943  0       Nulo   42.1   20.3   
08/06/1943  0       Nulo   42.3   23.7   
09/06/1943  0.6     Nulo   41.1   19.7   
10/06/1943  0       Nulo   41.7   20.2   
11/06/1943  0       Nulo   40.9   19.3   
12/06/1943  0       Nulo   42.3   20.8   
13/06/1943  0       Nulo   37.2   21.3   
14/06/1943  0       Nulo   39.1   20.1   
15/06/1943  0       Nulo   42.1   18.9   
16/06/1943  0       Nulo   42.3   21.3   
17/06/1943  0       Nulo   45.2   24.2   
18/06/1943  0       Nulo   44.1   27.2   
19/06/1943  1       Nulo   43.8   27.3   
20/06/1943  0       Nulo   43.2   26.6   
21/06/1943  1       Nulo   43.1   27.2   
22/06/1943  0       Nulo   41.7   26.4   
23/06/1943  0       Nulo   43.3   26.6   
24/06/1943  1.5     Nulo   43.6   27.8   
25/06/1943  3.5     Nulo   43.9   26.5   
26/06/1943  3.9     Nulo   41.8   24.3   
27/06/1943  0.7     Nulo   40.2   25.2   
28/06/1943  0.7     Nulo   37.2   24.7   
29/06/1943  0.3     Nulo   38.3   19     
30/06/1943  6.2     Nulo   32.6   24.9   
01/07/1943  0       Nulo   37.6   25.2   
02/07/1943  0       Nulo   39.8   25.1   
03/07/1943  0       Nulo   41.8   24.2   
04/07/1943  0       Nulo   35     20.8   
05/07/1943  0       Nulo   40.4   25.9   
06/07/1943  4.2     Nulo   44.6   21.2   
07/07/1943  0       Nulo   42.7   24.3   
08/07/1943  0       Nulo   42.1   29.4   
09/07/1943  1       Nulo   42.1   27.6   
10/07/1943  8       Nulo   42.4   25.2   
11/07/1943  4       Nulo   40.2   24.6   
12/07/1943  3.2     Nulo   36     19.9   
13/07/1943  41.6    Nulo   39.1   24.3   
14/07/1943  20.4    Nulo   38.1   23.2   
15/07/1943  6.5     Nulo   34.6   24.8   
16/07/1943  0       Nulo   32.8   23     
17/07/1943  1.3     Nulo   35     24.3   
18/07/1943  5.8     Nulo   36.7   23.9   
19/07/1943  0       Nulo   36.8   23     
20/07/1943  0       Nulo   38.4   21.4   
21/07/1943  0       Nulo   39.3   21.3   
22/07/1943  2.9     Nulo   41.2   23.8   
23/07/1943  0       Nulo   42.3   24.8   
24/07/1943  0       Nulo   44.2   26.1   
25/07/1943  17.8    Nulo   44.1   27.1   
26/07/1943  0       Nulo   37.1   24.2   
27/07/1943  0       Nulo   41     24.2   
28/07/1943  0       Nulo   41.8   25.2   
29/07/1943  0       Nulo   41.9   26.5   
30/07/1943  3.6     Nulo   41.8   22     
31/07/1943  8.6     Nulo   36.7   25.2   
01/09/1943  5.5     Nulo   36.8   24.8   
02/09/1943  0       Nulo   37.8   22.6   
03/09/1943  1.5     Nulo   37.3   21     
04/09/1943  0       Nulo   39.1   21.6   
05/09/1943  0       Nulo   38     21.6   
06/09/1943  0       Nulo   40.8   21.4   
07/09/1943  0       Nulo   41.4   20.8   
08/09/1943  0       Nulo   41.3   25.4   
09/09/1943  0       Nulo   40.8   22.3   
10/09/1943  0       Nulo   39.4   21.6   
11/09/1943  0       Nulo   42.3   21.6   
12/09/1943  4       Nulo   42.9   21.2   
13/09/1943  0       Nulo   42.3   22.3   
14/09/1943  0       Nulo   42.4   22.4   
15/09/1943  0       Nulo   39.3   22.3   
16/09/1943  0       Nulo   41.7   19.4   
17/09/1943  0       Nulo   29.9   21     
18/09/1943  4.9     Nulo   39.4   19.4   
19/09/1943  2.3     Nulo   39.9   19.5   
20/09/1943  19.5    Nulo   40.2   22.4   
21/09/1943  8       Nulo   33.2   21.1   
22/09/1943  0       Nulo   28.1   21.4   
23/09/1943  2       Nulo   34.8   20     
24/09/1943  26.5    Nulo   32.4   21.7   
25/09/1943  12.1    Nulo   33.4   21.7   
26/09/1943  0       Nulo   30.5   22.3   
27/09/1943  0       Nulo   29     20.3   
28/09/1943  0       Nulo   33     21.6   
29/09/1943  0       Nulo   37.2   19.9   
30/09/1943  0       Nulo   38.8   19.8   
01/10/1943  0       Nulo   38.8   18.6   
02/10/1943  0       Nulo   35.8   17.9   
03/10/1943  0       Nulo   35.4   16.5   
04/10/1943  0       Nulo   36     16     
05/10/1943  0       Nulo   36.8   19.9   
06/10/1943  0       Nulo   37.5   16.9   
07/10/1943  1.4     Nulo   35.8   17.4   
08/10/1943  2.4     Nulo   32.7   18.2   
09/10/1943  37.7    Nulo   27     20.6   
10/10/1943  6.2     Nulo   28.6   19.8   
11/10/1943  5       Nulo   29.8   18.9   
12/10/1943  0       Nulo   31.4   17.1   
13/10/1943  0       Nulo   35     16.8   
14/10/1943  0       Nulo   35.2   13.1   
15/10/1943  0       Nulo   36     14.6   
16/10/1943  0       Nulo   35.8   14.8   
17/10/1943  0       Nulo   36.4   14.7   
18/10/1943  1       Nulo   31.8   14.6   
19/10/1943  0       Nulo   25.7   16.2   
20/10/1943  0       Nulo   30.3   12.9   
21/10/1943  0       Nulo   31.2   11.4   
22/10/1943  0       Nulo   32.1   10.3   
23/10/1943  0       Nulo   33.2   11     
24/10/1943  0       Nulo   36.4   10.4   
25/10/1943  0       Nulo   37.2   11.7   
26/10/1943  0       Nulo   36     12.3   
27/10/1943  0       Nulo   36.4   12.5   
28/10/1943  0       Nulo   33.1   15.3   
29/10/1943  0       Nulo   32.6   16.8   
30/10/1943  0       Nulo   29.4   9.6    
31/10/1943  0       Nulo   30.1   8.4    
01/11/1943  0       Nulo   30.6   10.6   
02/11/1943  0       Nulo   32.6   9.6    
03/11/1943  0       Nulo   34.4   11.3   
04/11/1943  0       Nulo   34.6   13.7   
05/11/1943  0       Nulo   32.3   10     
06/11/1943  0       Nulo   31.4   7.6    
07/11/1943  0       Nulo   27.6   7.3    
08/11/1943  0       Nulo   30.5   1.9    
09/11/1943  0       Nulo   28.9   3.9    
10/11/1943  0       Nulo   32.1   5      
11/11/1943  0       Nulo   31.6   6.4    
12/11/1943  0       Nulo   34.5   7.1    
13/11/1943  0       Nulo   33     7      
14/11/1943  0.9     Nulo   31.8   8.7    
15/11/1943  0       Nulo   32.6   10     
16/11/1943  0       Nulo   31.1   9.1    
17/11/1943  0       Nulo   29.4   10     
18/11/1943  0       Nulo   33.1   6.8    
19/11/1943  0       Nulo   33.3   7.6    
20/11/1943  0       Nulo   32.6   8.6    
21/11/1943  0       Nulo   31.3   9.5    
22/11/1943  0       Nulo   29.6   8.6    
23/11/1943  0       Nulo   23.6   9.8    
24/11/1943  0       Nulo   29.3   9.6    
25/11/1943  0       Nulo   27.6   10.4   
26/11/1943  0       Nulo   26.4   12.3   
27/11/1943  0       Nulo   17.4   10.5   
28/11/1943  0       Nulo   24.6   1.9    
29/11/1943  0       Nulo   25     2.4    
30/11/1943  0       Nulo   22.6   4.1    
01/12/1943  0       Nulo   26.6   6.4    
02/12/1943  0       Nulo   27.3   6.7    
03/12/1943  0       Nulo   26.7   8.6    
04/12/1943  0.2     Nulo   22     8.8    
05/12/1943  0       Nulo   24.2   6      
06/12/1943  0       Nulo   23.6   5.8    
07/12/1943  0       Nulo   23     5.9    
08/12/1943  40.3    Nulo   15.3   9.8    
09/12/1943  0.3     Nulo   20     10.8   
10/12/1943  0       Nulo   21.6   7.1    
11/12/1943  0       Nulo   27.2   6.2    
12/12/1943  0       Nulo   24     6      
13/12/1943  0       Nulo   23.3   8.4    
14/12/1943  0       Nulo   23.8   9.4    
15/12/1943  0       Nulo   25     3.2    
16/12/1943  0       Nulo   21.2   2.8    
17/12/1943  0       Nulo   12     3.9    
18/12/1943  0       Nulo   29     3.8    
19/12/1943  0       Nulo   29     6.3    
20/12/1943  0       Nulo   23.3   9.4    
21/12/1943  0       Nulo   25.4   6.8    
22/12/1943  0       Nulo   24.8   8.8    
23/12/1943  0       Nulo   24.1   7.6    
24/12/1943  0       Nulo   26     6.3    
25/12/1943  0       Nulo   24.9   9.4    
26/12/1943  0.3     Nulo   17.2   7      
27/12/1943  0       Nulo   20     1.5    
28/12/1943  0       Nulo   23.2   0.3    
29/12/1943  0       Nulo   24     1.1    
30/12/1943  0       Nulo   18.8   1.1    
31/12/1943  0       Nulo   15.6   1.2    
01/01/1944  0       Nulo   19.4   1.3    
02/01/1944  0       Nulo   18.8   0.7    
03/01/1944  0       Nulo   21.2   0.3    
04/01/1944  0       Nulo   14.8   0      
05/01/1944  0       Nulo   26.2   0.3    
06/01/1944  0       Nulo   24     1.4    
07/01/1944  0       Nulo   20     1.1    
08/01/1944  0       Nulo   20.6   1.4    
09/01/1944  0       Nulo   19.4   -0.3   
10/01/1944  0       Nulo   23.6   -2.1   
11/01/1944  0       Nulo   23.7   -1.2   
12/01/1944  0       Nulo   20.9   4.6    
13/01/1944  0       Nulo   22     9.3    
14/01/1944  0       Nulo   26.3   -1.6   
15/01/1944  0       Nulo   26.2   -2.1   
16/01/1944  0       Nulo   24.3   3.2    
17/01/1944  0       Nulo   26.8   0.2    
18/01/1944  0       Nulo   28.1   0.7    
19/01/1944  0       Nulo   32.4   3.2    
20/01/1944  0       Nulo   32.6   4      
21/01/1944  0       Nulo   30.2   5.1    
22/01/1944  0       Nulo   25.8   6.6    
23/01/1944  0       Nulo   22.3   7.2    
24/01/1944  8.5     Nulo   19     7.9    
25/01/1944  23.3    Nulo   17.3   7.9    
26/01/1944  4       Nulo   12.8   3.8    
27/01/1944  0       Nulo   19.2   -1     
28/01/1944  0       Nulo   22.9   4.1    
29/01/1944  0       Nulo   21.6   4.6    
30/01/1944  0       Nulo   24.8   5.8    
31/01/1944  0       Nulo   21     6.3    
01/02/1944  0       Nulo   21.6   6.8    
02/02/1944  0       Nulo   27.3   5.9    
03/02/1944  0       Nulo   29.1   6.6    
04/02/1944  0       Nulo   27.3   8.3    
05/02/1944  4.7     Nulo   22.5   11.2   
06/02/1944  12.3    Nulo   17.9   11.7   
07/02/1944  1.8     Nulo   20.2   9.9    
08/02/1944  0       Nulo   24.3   9      
09/02/1944  0       Nulo   23.7   5.4    
10/02/1944  0       Nulo   26.8   6.4    
11/02/1944  0       Nulo   21.9   5.1    
12/02/1944  0       Nulo   22.1   7.8    
13/02/1944  0       Nulo   21.7   7.6    
14/02/1944  0       Nulo   24     3.4    
15/02/1944  0.7     Nulo   24.9   3.2    
16/02/1944  1.3     Nulo   16.7   3.8    
17/02/1944  0       Nulo   24     2.6    
18/02/1944  0       Nulo   25.3   2.8    
19/02/1944  0       Nulo   25.2   3.2    
20/02/1944  0       Nulo   23.6   4.8    
21/02/1944  0       Nulo   16.1   11.4   
22/02/1944  0       Nulo   23.8   9.3    
23/02/1944  12.6    Nulo   24     9.3    
24/02/1944  9.7     Nulo   23.8   11.3   
25/02/1944  0       Nulo   20.8   7.3    
26/02/1944  0.2     Nulo   20.6   5.3    
27/02/1944  11      Nulo   12.8   6.4    
28/02/1944  0.2     Nulo   24.8   3.3    
29/02/1944  0       Nulo   22.1   9.6    
01/04/1944  0       Nulo   30     6.9    
02/04/1944  0       Nulo   34.1   7      
03/04/1944  0       Nulo   33.6   11.7   
04/04/1944  0       Nulo   30.8   11.2   
05/04/1944  0       Nulo   34.8   11     
06/04/1944  0       Nulo   31.1   13.1   
07/04/1944  0       Nulo   31.3   10.6   
08/04/1944  0       Nulo   30.2   9.8    
09/04/1944  0.3     Nulo   20.2   9.4    
10/04/1944  0       Nulo   27.3   9.1    
11/04/1944  0       Nulo   32.9   8.7    
12/04/1944  0       Nulo   33.4   9.6    
13/04/1944  0       Nulo   27.3   10.6   
14/04/1944  0       Nulo   30     8.6    
15/04/1944  0       Nulo   36     8.2    
16/04/1944  0       Nulo   32.4   10.8   
17/04/1944  0       Nulo   33.2   10.6   
18/04/1944  0       Nulo   32     11     
19/04/1944  0       Nulo   32.5   9.6    
20/04/1944  0       Nulo   32.7   9.3    
21/04/1944  0       Nulo   36.4   12     
22/04/1944  0       Nulo   30.8   10.3   
23/04/1944  0       Nulo   32.2   10.9   
24/04/1944  0       Nulo   29.4   10.3   
25/04/1944  0       Nulo   34.3   9.8    
26/04/1944  0       Nulo   32.9   11.2   
27/04/1944  0       Nulo   27     11.1   
28/04/1944  0       Nulo   32.9   7.9    
29/04/1944  0       Nulo   31.4   9.1    
30/04/1944  0       Nulo   33.8   10.3   
01/05/1944  0       Nulo   31.2   11.2   
02/05/1944  0       Nulo   34.2   17.3   
03/05/1944  0       Nulo   35.1   12.1   
04/05/1944  0       Nulo   36.3   18.8   
05/05/1944  0       Nulo   39.8   19     
06/05/1944  0       Nulo   38.6   15.7   
