CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26063
NOMBRE    : NURI
ESTADO    : SONORA
MUNICIPIO : ROSARIO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 028.033°
LONGITUD  : -109.383°
ALTITUD   : 516 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1944  0       Nulo   35     26     
02/09/1944  0.7     Nulo   34     23     
03/09/1944  0       Nulo   35     22.5   
04/09/1944  0       Nulo   36.5   23.5   
05/09/1944  0       Nulo   36.2   21     
06/09/1944  0       Nulo   32     22     
07/09/1944  0       Nulo   31.2   23     
08/09/1944  3.4     Nulo   33.5   23.2   
09/09/1944  3.6     Nulo   32     22.5   
10/09/1944  0       Nulo   33     22.5   
11/09/1944  0.2     Nulo   34.6   23     
12/09/1944  0       Nulo   33     24     
13/09/1944  0       Nulo   27.8   25.2   
14/09/1944  15.4    Nulo   31     22.4   
15/09/1944  0       Nulo   31     20     
16/09/1944  0       Nulo   32.2   19.8   
17/09/1944  0       Nulo   33.4   18     
18/09/1944  0       Nulo   34     18     
19/09/1944  0       Nulo   36.4   19.6   
20/09/1944  0       Nulo   38.4   20.2   
21/09/1944  0       Nulo   37.5   21.6   
22/09/1944  0       Nulo   35.2   22.2   
23/09/1944  0       Nulo   35     21     
24/09/1944  0       Nulo   32.8   22.4   
25/09/1944  27.7    Nulo   30     18     
26/09/1944  0       Nulo   33     19.2   
27/09/1944  6.2     Nulo   29.8   17     
28/09/1944  0       Nulo   31.5   17     
29/09/1944  0       Nulo   32.2   16.4   
30/09/1944  0       Nulo   32     17.8   
01/10/1944  0       Nulo   31.5   21     
02/10/1944  0       Nulo   30.6   14     
03/10/1944  0       Nulo   31.2   11.4   
04/10/1944  0       Nulo   32     12.4   
05/10/1944  0       Nulo   33.5   12.8   
06/10/1944  0       Nulo   37     15     
07/10/1944  0       Nulo   36.5   17     
08/10/1944  0       Nulo   36.6   18.6   
09/10/1944  0       Nulo   35.6   19.5   
10/10/1944  0       Nulo   37     20     
11/10/1944  0       Nulo   36     21     
12/10/1944  0       Nulo   34.2   19.1   
13/10/1944  0       Nulo   34.8   19.8   
14/10/1944  0       Nulo   35     19     
15/10/1944  0       Nulo   34.8   18     
16/10/1944  0       Nulo   34     19.4   
17/10/1944  0       Nulo   33.4   17.5   
18/10/1944  0       Nulo   32.8   15.2   
19/10/1944  0       Nulo   32.4   14.8   
20/10/1944  0       Nulo   32     16     
21/10/1944  0       Nulo   32.5   15     
22/10/1944  0       Nulo   33     16     
23/10/1944  3       Nulo   30.6   17.8   
24/10/1944  0       Nulo   33     17.2   
25/10/1944  0       Nulo   29.6   15.2   
26/10/1944  0       Nulo   30.8   13.5   
27/10/1944  0       Nulo   32.2   16     
28/10/1944  0       Nulo   32.5   15     
29/10/1944  0       Nulo   32     14.2   
30/10/1944  0       Nulo   30.6   13.5   
31/10/1944  0       Nulo   30.5   12.4   
01/11/1944  0       Nulo   30     13.3   
02/11/1944  0       Nulo   30.2   13     
03/11/1944  0       Nulo   31     13.8   
04/11/1944  0       Nulo   30     12.4   
05/11/1944  0       Nulo   25.8   15     
06/11/1944  0       Nulo   27     12.5   
07/11/1944  0       Nulo   28.2   9.2    
08/11/1944  0       Nulo   28     9      
09/11/1944  0       Nulo   28.2   10     
10/11/1944  0       Nulo   28.5   9      
11/11/1944  0       Nulo   25     11     
12/11/1944  0       Nulo   25.9   11.4   
13/11/1944  0       Nulo   24.8   10     
14/11/1944  0       Nulo   24     5      
15/11/1944  0       Nulo   20.5   9.6    
16/11/1944  0       Nulo   21.1   14     
17/11/1944  0       Nulo   21.6   13     
18/11/1944  0       Nulo   22.2   4.6    
19/11/1944  0       Nulo   23     3.8    
20/11/1944  0       Nulo   23.5   6.2    
21/11/1944  0       Nulo   26     8.6    
22/11/1944  22.9    Nulo   20     12     
23/11/1944  8.1     Nulo   18     11     
24/11/1944  0       Nulo   18.5   8.6    
25/11/1944  0       Nulo   21.2   5.6    
26/11/1944  0       Nulo   20.2   6      
27/11/1944  0       Nulo   22     5      
28/11/1944  0       Nulo   23.8   0      
29/11/1944  0       Nulo   23.8   8      
30/11/1944  0       Nulo   24.5   7.4    
01/12/1944  0       Nulo   25     8      
02/12/1944  0       Nulo   20.8   6.3    
03/12/1944  0       Nulo   19     2.5    
04/12/1944  0       Nulo   22     4      
05/12/1944  0       Nulo   22.4   2.5    
06/12/1944  0       Nulo   25.5   3.2    
07/12/1944  0       Nulo   24.5   4.8    
08/12/1944  0       Nulo   23.5   7.5    
09/12/1944  0       Nulo   24.5   5.4    
10/12/1944  0       Nulo   18     6.2    
11/12/1944  0       Nulo   21.5   2.5    
12/12/1944  0       Nulo   24     3.5    
13/12/1944  0       Nulo   24.5   4      
14/12/1944  0       Nulo   25     3.8    
15/12/1944  0       Nulo   24.5   4      
16/12/1944  0       Nulo   24.5   4      
17/12/1944  0       Nulo   25.8   4      
18/12/1944  0       Nulo   27     6.3    
19/12/1944  0       Nulo   27.5   6.6    
20/12/1944  0       Nulo   26.2   4.5    
21/12/1944  0       Nulo   26     5.5    
22/12/1944  0       Nulo   25     6      
23/12/1944  0       Nulo   21     7.2    
24/12/1944  2.4     Nulo   17.8   13.6   
25/12/1944  1.4     Nulo   18     14.2   
26/12/1944  0       Nulo   16.2   14.2   
27/12/1944  29.7    Nulo   20.5   12.9   
28/12/1944  0       Nulo   21.8   9      
29/12/1944  0       Nulo   20.5   7.8    
30/12/1944  0       Nulo   20.8   4.2    
31/12/1944  0       Nulo   22.5   4      
01/01/1945  0       Nulo   23.1   4.9    
02/01/1945  0       Nulo   24.5   6.2    
03/01/1945  0       Nulo   25     8      
04/01/1945  0       Nulo   24.8   11     
05/01/1945  0       Nulo   23.5   6.5    
06/01/1945  0       Nulo   23.8   6      
07/01/1945  0       Nulo   23     5.2    
08/01/1945  0       Nulo   23     6.5    
09/01/1945  0       Nulo   24.6   6.2    
10/01/1945  0       Nulo   23     6.8    
11/01/1945  0       Nulo   23.6   6.5    
12/01/1945  0       Nulo   22.5   6      
13/01/1945  0       Nulo   24.4   5      
14/01/1945  0       Nulo   21     6.4    
15/01/1945  2.9     Nulo   20.8   11     
16/01/1945  0       Nulo   14.2   11.5   
17/01/1945  0       Nulo   20     3.5    
18/01/1945  0       Nulo   20     5.4    
19/01/1945  0       Nulo   19     6.8    
20/01/1945  0       Nulo   28     4      
21/01/1945  0       Nulo   28.8   -5     
22/01/1945  0       Nulo   29     -2     
23/01/1945  0       Nulo   30     -5     
24/01/1945  1.5     Nulo   32     -5     
25/01/1945  0       Nulo   28     -3     
26/01/1945  0       Nulo   29     -1.5   
27/01/1945  0       Nulo   29.5   -4.5   
28/01/1945  0       Nulo   30     -5     
29/01/1945  0       Nulo   32     -3.5   
30/01/1945  0       Nulo   33     -3.5   
31/01/1945  0       Nulo   33     -3     
01/02/1945  0       Nulo   35     -2     
02/02/1945  0       Nulo   33     -0.5   
03/02/1945  0       Nulo   30.5   -2.5   
04/02/1945  0       Nulo   33     -4.5   
05/02/1945  0       Nulo   35     -4     
06/02/1945  0       Nulo   36     -3     
07/02/1945  0       Nulo   37     0      
08/02/1945  0       Nulo   35     -2     
09/02/1945  1       Nulo   31     0      
10/02/1945  0       Nulo   32     -0.5   
11/02/1945  0       Nulo   31.5   0.5    
12/02/1945  0       Nulo   33     -1     
13/02/1945  0       Nulo   36     -2     
14/02/1945  0       Nulo   33     0.5    
15/02/1945  0       Nulo   32     3.5    
16/02/1945  0       Nulo   33     1.5    
17/02/1945  0       Nulo   33     2      
18/02/1945  0       Nulo   33     -1     
19/02/1945  0       Nulo   26     0      
20/02/1945  0       Nulo   26     -6.5   
21/02/1945  0       Nulo   32     -5.5   
22/02/1945  0       Nulo   34     -3     
23/02/1945  0       Nulo   27     6      
24/02/1945  0       Nulo   26     8.5    
25/02/1945  0       Nulo   22.5   13     
26/02/1945  0       Nulo   25     2.5    
27/02/1945  0       Nulo   19     6      
28/02/1945  0       Nulo   21     8.5    
01/03/1945  0       Nulo   22.5   10.5   
02/03/1945  0       Nulo   23.5   5      
03/03/1945  0       Nulo   25.5   6      
04/03/1945  0       Nulo   21.5   8      
05/03/1945  0       Nulo   27.5   6      
06/03/1945  0       Nulo   29.5   7.5    
07/03/1945  0       Nulo   31.5   5.5    
08/03/1945  0       Nulo   33     9      
09/03/1945  0       Nulo   33     9.5    
10/03/1945  0       Nulo   32.5   9.5    
11/03/1945  0       Nulo   31.5   10.5   
12/03/1945  0       Nulo   33.5   9      
13/03/1945  0       Nulo   29     12     
14/03/1945  0       Nulo   28.5   9.5    
15/03/1945  0       Nulo   29     12     
16/03/1945  0       Nulo   32     11.5   
17/03/1945  0       Nulo   31     13     
18/03/1945  0       Nulo   32.5   12     
19/03/1945  0       Nulo   33.5   8.5    
20/03/1945  0       Nulo   32     10     
21/03/1945  0       Nulo   29.5   9      
22/03/1945  0       Nulo   26.5   11.5   
23/03/1945  0       Nulo   19.5   11.5   
24/03/1945  0       Nulo   26     5      
25/03/1945  0       Nulo   31     7      
26/03/1945  0       Nulo   30.5   8.5    
27/03/1945  0       Nulo   29     9      
28/03/1945  0       Nulo   26.5   7      
29/03/1945  0       Nulo   25     6.5    
30/03/1945  0       Nulo   21     10     
31/03/1945  0       Nulo   28     9      
01/04/1945  0       Nulo   27     10.5   
02/04/1945  0       Nulo   26.5   13.5   
03/04/1945  0       Nulo   29.5   5.5    
04/04/1945  0       Nulo   33     9      
05/04/1945  0       Nulo   34.5   9.5    
06/04/1945  0       Nulo   36     12     
07/04/1945  0       Nulo   37     12     
08/04/1945  0       Nulo   31     11     
09/04/1945  0       Nulo   26     11     
10/04/1945  0       Nulo   28.5   7      
11/04/1945  0       Nulo   30     8.5    
12/04/1945  0       Nulo   31     10     
13/04/1945  0       Nulo   29.5   11     
14/04/1945  0       Nulo   24     9.5    
15/04/1945  0       Nulo   31     6.5    
16/04/1945  0       Nulo   35     9      
17/04/1945  0       Nulo   36     11     
18/04/1945  0       Nulo   34     13     
19/04/1945  0       Nulo   36     13.5   
20/04/1945  0       Nulo   37     14.5   
21/04/1945  0       Nulo   34     16     
22/04/1945  0       Nulo   31.5   18     
23/04/1945  0       Nulo   33     13     
24/04/1945  0       Nulo   35     13     
25/04/1945  0       Nulo   34     13     
26/04/1945  0       Nulo   35     13.5   
27/04/1945  0       Nulo   36.5   13     
28/04/1945  0       Nulo   38     13.5   
29/04/1945  0       Nulo   38     14.5   
30/04/1945  0       Nulo   39     16.5   
01/05/1945  0       Nulo   39     17     
02/05/1945  0       Nulo   40     20.5   
03/05/1945  0       Nulo   39.5   18.5   
04/05/1945  0       Nulo   34.5   19.5   
05/05/1945  0       Nulo   37     19     
06/05/1945  0       Nulo   37.5   17.5   
07/05/1945  0       Nulo   38     19.5   
08/05/1945  0       Nulo   37     21.5   
09/05/1945  0       Nulo   37     15     
10/05/1945  0       Nulo   36     15     
11/05/1945  0       Nulo   35.5   14.5   
12/05/1945  0       Nulo   36     15     
13/05/1945  0       Nulo   36     15.5   
14/05/1945  0       Nulo   35     16.5   
15/05/1945  0       Nulo   38     18.5   
16/05/1945  0       Nulo   37     19.5   
17/05/1945  0       Nulo   38     21.5   
18/05/1945  0       Nulo   36.5   21     
19/05/1945  0       Nulo   36     18.5   
20/05/1945  0       Nulo   36     16     
21/05/1945  0       Nulo   37     16     
22/05/1945  0       Nulo   38     17     
23/05/1945  0       Nulo   38.5   19     
24/05/1945  0       Nulo   40     22     
25/05/1945  0       Nulo   40.5   21.5   
26/05/1945  0       Nulo   41     21     
27/05/1945  0       Nulo   40     19     
28/05/1945  0       Nulo   38     16.5   
29/05/1945  0       Nulo   36.5   18     
30/05/1945  0       Nulo   34.5   18     
31/05/1945  0       Nulo   35     14.5   
01/06/1945  0       Nulo   35     17     
02/06/1945  0       Nulo   37.5   15.5   
03/06/1945  0       Nulo   39     17.5   
04/06/1945  0       Nulo   40     19     
05/06/1945  0       Nulo   38     21     
06/06/1945  0       Nulo   34     20.5   
07/06/1945  0       Nulo   36     23     
08/06/1945  0       Nulo   36     25     
09/06/1945  0       Nulo   33     23     
10/06/1945  0       Nulo   34     23     
11/06/1945  0       Nulo   37     23     
12/06/1945  0       Nulo   37.5   26     
13/06/1945  0       Nulo   37     26     
14/06/1945  0       Nulo   38.5   25     
15/06/1945  0       Nulo   38.5   26     
16/06/1945  0       Nulo   38.5   27     
17/06/1945  0       Nulo   40     28     
18/06/1945  0       Nulo   39.5   28     
19/06/1945  0       Nulo   39     27     
20/06/1945  0       Nulo   38     27     
21/06/1945  0       Nulo   37     28     
22/06/1945  0       Nulo   38     25.5   
23/06/1945  0       Nulo   40     26     
24/06/1945  0       Nulo   38     27     
25/06/1945  0       Nulo   39     28     
26/06/1945  0       Nulo   39     30.5   
27/06/1945  0       Nulo   37     29     
28/06/1945  0       Nulo   38     29     
29/06/1945  0       Nulo   38     29     
30/06/1945  0       Nulo   37.5   30.5   
01/07/1945  0       Nulo   38     33     
02/07/1945  0       Nulo   36     28     
03/07/1945  0       Nulo   38     29.5   
04/07/1945  15      Nulo   38.5   28     
05/07/1945  33      Nulo   30     26     
06/07/1945  0       Nulo   32     25     
07/07/1945  0       Nulo   33.5   26.5   
08/07/1945  0       Nulo   36     26     
09/07/1945  0       Nulo   37     30     
10/07/1945  0       Nulo   37.5   28.5   
11/07/1945  8       Nulo   36     27.5   
12/07/1945  7       Nulo   35     27     
13/07/1945  0       Nulo   35     26.5   
14/07/1945  0       Nulo   35.5   27     
15/07/1945  6       Nulo   36     27     
16/07/1945  0       Nulo   33.5   28.5   
17/07/1945  33.5    Nulo   35     27     
18/07/1945  0       Nulo   37     25     
19/07/1945  29      Nulo   38     25     
20/07/1945  0       Nulo   34     22     
21/07/1945  0       Nulo   37     23     
22/07/1945  0       Nulo   38.5   24.5   
23/07/1945  0       Nulo   40     25     
24/07/1945  1.5     Nulo   37.5   25.5   
25/07/1945  0       Nulo   34.5   25.5   
26/07/1945  6       Nulo   36.5   26     
27/07/1945  5.2     Nulo   36     23.5   
28/07/1945  1.5     Nulo   35.5   23     
29/07/1945  0       Nulo   35.5   23     
30/07/1945  0       Nulo   32     24.5   
31/07/1945  0       Nulo   36.5   21.5   
01/08/1945  0       Nulo   33     23     
02/08/1945  14.5    Nulo   33.5   23     
03/08/1945  2.5     Nulo   30.5   21     
04/08/1945  9.5     Nulo   33     22.5   
05/08/1945  9       Nulo   33.5   22     
06/08/1945  0       Nulo   31     21.5   
07/08/1945  25      Nulo   31     22     
08/08/1945  16.5    Nulo   30.5   20.5   
