CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26090
NOMBRE    : PRESA ABELARDO RODRIGUEZ
ESTADO    : SONORA
MUNICIPIO : HERMOSILLO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 029.083°
LONGITUD  : -110.919°
ALTITUD   : 225 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1966  0       3.5    21     2      
02/01/1966  0       2.2    22     5      
03/01/1966  0       3.1    22     -1     
04/01/1966  0       3.3    21     2.5    
05/01/1966  0       3.7    25     -1     
06/01/1966  0       4.5    28     7      
07/01/1966  0       4.1    29     7      
08/01/1966  0       4.8    30.5   8      
09/01/1966  0       3.8    29     10     
10/01/1966  0       4.6    30.5   10     
11/01/1966  0       3.1    28     10     
12/01/1966  0       2.2    24     2      
13/01/1966  0       4.7    26     8      
14/01/1966  0       3      24     9      
15/01/1966  0       5.3    23     6      
16/01/1966  0       4.1    22     6      
17/01/1966  2.8     2.4    22     11     
18/01/1966  0       3.4    19     12     
19/01/1966  0       2.8    20     5      
20/01/1966  0       3      19     5      
21/01/1966  0       3.1    19     4.5    
22/01/1966  0       3.8    21     -1     
23/01/1966  0       1.9    16     4      
24/01/1966  0       3.1    19     2      
25/01/1966  0       4.6    22     2      
26/01/1966  0       3.7    25     -1     
27/01/1966  10      1.3    18     3      
28/01/1966  0       1.6    19     4      
29/01/1966  0       3.3    22     5      
30/01/1966  0       3.8    23     -1     
31/01/1966  0       3.3    20     8      
01/02/1966  0       3.7    22     4      
02/02/1966  0       4.2    25     6      
03/02/1966  0       4.6    27.5   5.5    
04/02/1966  0       5.4    29     6      
05/02/1966  0       3      27     7      
06/02/1966  0       3.6    24     6.5    
07/02/1966  6.5     1      19     9      
08/02/1966  1.5     1.7    19     1      
09/02/1966  1.8     2.3    19     -1     
10/02/1966  1       0.9    9      -1     
11/02/1966  0       0.7    16     1      
12/02/1966  0       0.2    20     3      
13/02/1966  0       4.9    20     5      
14/02/1966  0       5.9    23     5      
15/02/1966  0       3.8    23     4      
16/02/1966  0       4.7    23     5      
17/02/1966  0       0.6    24     3.5    
18/02/1966  0       5.4    26     5      
19/02/1966  0       6.3    28     6      
20/02/1966  0       6.1    29     6      
21/02/1966  0       6.5    29     10     
22/02/1966  0       5.8    28     10     
23/02/1966  0       6      29     11     
24/02/1966  0       3.7    24     9      
25/02/1966  0       2.6    20     9      
26/02/1966  0       5.3    21     1      
27/02/1966  0       4.6    23     5      
28/02/1966  0       6.5    28     7      
01/03/1966  0       5.1    25     6      
02/03/1966  0       6.4    23     9      
03/03/1966  0       5.2    20     7      
