CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26111
NOMBRE    : C.I.P.E.S. CARBO
ESTADO    : SONORA
MUNICIPIO : CARBO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 029.683°
LONGITUD  : -110.95°
ALTITUD   : 463 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
11/07/1972  0       Nulo   Nulo   Nulo   
12/07/1972  1       Nulo   37     22     
13/07/1972  0       Nulo   34     23     
14/07/1972  0       Nulo   32     24     
15/07/1972  0       Nulo   34     22     
16/07/1972  0       Nulo   34     25     
17/07/1972  0       Nulo   38     23     
18/07/1972  0       Nulo   36     21     
19/07/1972  0       Nulo   40     19     
20/07/1972  0       Nulo   40     20     
21/07/1972  10      Nulo   38     23     
22/07/1972  0       Nulo   34     20     
23/07/1972  0       Nulo   37     24     
24/07/1972  0       Nulo   30     24     
25/07/1972  0       Nulo   37     22     
26/07/1972  0       Nulo   40     18     
27/07/1972  16.5    Nulo   40     19     
28/07/1972  0       Nulo   41     23     
29/07/1972  11      Nulo   41     15     
30/07/1972  0       Nulo   42     13     
01/08/1972  0       Nulo   36     25     
02/08/1972  19      Nulo   26     25     
03/08/1972  0       Nulo   34     15     
04/08/1972  1.5     Nulo   35     24     
05/08/1972  0       Nulo   33     24     
06/08/1972  1       Nulo   35     22     
07/08/1972  23      Nulo   30     23     
08/08/1972  0       Nulo   32     21     
09/08/1972  2       Nulo   31     19     
10/08/1972  0       Nulo   32     21     
11/08/1972  0       Nulo   36     20     
12/08/1972  0       Nulo   35     22     
13/08/1972  0       Nulo   34     24     
14/08/1972  0       Nulo   38     20     
15/08/1972  0       Nulo   36     21     
16/08/1972  0       Nulo   37     23     
17/08/1972  0       Nulo   36     24     
18/08/1972  0       Nulo   39     22     
19/08/1972  0       Nulo   42     20     
20/08/1972  0       Nulo   43     22     
21/08/1972  0       Nulo   37     25     
22/08/1972  0       Nulo   46     24     
23/08/1972  0       Nulo   38     22     
24/08/1972  0       Nulo   35     21     
25/08/1972  0       Nulo   38     20     
26/08/1972  0       Nulo   35     23     
27/08/1972  0       Nulo   36     22     
28/08/1972  0.5     Nulo   38     23     
29/08/1972  0       Nulo   39     24     
30/08/1972  1.5     Nulo   35     22     
01/09/1972  0       Nulo   39     22     
02/09/1972  0       Nulo   37     24     
03/09/1972  0       Nulo   40     24     
04/09/1972  0       Nulo   38     22     
05/09/1972  0       Nulo   40     22     
06/09/1972  0       Nulo   35     23     
07/09/1972  0       Nulo   33     22     
08/09/1972  0       Nulo   35     19     
09/09/1972  0       Nulo   36     22     
10/09/1972  0       Nulo   37     20     
11/09/1972  0       Nulo   38     20     
12/09/1972  0       Nulo   39     21     
13/09/1972  0       Nulo   38     20     
14/09/1972  0       Nulo   37     20     
15/09/1972  0       Nulo   36     22     
16/09/1972  0       Nulo   36     22     
17/09/1972  0       Nulo   36     23     
18/09/1972  0       Nulo   37     22     
19/09/1972  0       Nulo   38     23     
20/09/1972  0       Nulo   36     20     
21/09/1972  0       Nulo   33     17     
22/09/1972  0       Nulo   34     20     
23/09/1972  0.3     Nulo   35     18     
24/09/1972  0       Nulo   34     18     
25/09/1972  0       Nulo   32     19     
26/09/1972  0       Nulo   36     18     
27/09/1972  0       Nulo   35     21     
28/09/1972  0       Nulo   39     17     
29/09/1972  0       Nulo   41     19     
30/09/1972  0       Nulo   35     20     
01/10/1972  0       Nulo   37     17     
02/10/1972  0       Nulo   32     19     
03/10/1972  8       Nulo   26     16     
04/10/1972  0       Nulo   32     22     
05/10/1972  0       Nulo   31     22     
06/10/1972  0       Nulo   33     20     
07/10/1972  0       Nulo   32     20     
08/10/1972  0       Nulo   31     17     
09/10/1972  0       Nulo   33     16     
10/10/1972  0       Nulo   30     18     
11/10/1972  0       Nulo   32     17     
12/10/1972  0       Nulo   31     16     
13/10/1972  0       Nulo   33     18     
14/10/1972  0       Nulo   35     17     
15/10/1972  0       Nulo   36     20     
16/10/1972  16      Nulo   38     21     
17/10/1972  2       Nulo   30     18     
18/10/1972  11      Nulo   25     19     
19/10/1972  0       Nulo   23     19     
20/10/1972  0       Nulo   24     16     
21/10/1972  0       Nulo   22     13     
22/10/1972  0       Nulo   29     11     
23/10/1972  0       Nulo   23     12     
24/10/1972  0       Nulo   26     13     
25/10/1972  2.5     Nulo   23     13     
26/10/1972  0       Nulo   26     14     
27/10/1972  0       Nulo   24     13     
28/10/1972  0       Nulo   25     11     
29/10/1972  0       Nulo   26     12     
30/10/1972  0       Nulo   23     13     
31/10/1972  0       Nulo   28     11     
01/11/1972  0       Nulo   24     12     
02/11/1972  0       Nulo   25     8      
03/11/1972  0       Nulo   21     10     
04/11/1972  0       Nulo   23     6      
05/11/1972  0       Nulo   26     9      
06/11/1972  0       Nulo   22     11     
07/11/1972  0       Nulo   28     8      
08/11/1972  0       Nulo   27.5   11     
09/11/1972  0       Nulo   26     9      
10/11/1972  0       Nulo   27     5      
11/11/1972  0       Nulo   26     7      
12/11/1972  0       Nulo   23     8      
13/11/1972  0       Nulo   24     6      
14/11/1972  0       Nulo   21     9      
15/11/1972  6       Nulo   25     8      
16/11/1972  0       Nulo   20     7      
17/11/1972  0       Nulo   26     10     
18/11/1972  0       Nulo   23     6      
19/11/1972  0       Nulo   21     6      
20/11/1972  0       Nulo   26     8      
21/11/1972  0       Nulo   22     9      
22/11/1972  0       Nulo   24     6.5    
23/11/1972  0       Nulo   24     7      
24/11/1972  0       Nulo   21     5.5    
25/11/1972  0       Nulo   28     8      
26/11/1972  0       Nulo   26     6.5    
27/11/1972  0       Nulo   22     8      
28/11/1972  0       Nulo   25     6.5    
29/11/1972  0       Nulo   27     7      
01/12/1972  0       Nulo   29     6      
02/12/1972  0       Nulo   27     6      
03/12/1972  0       Nulo   25     6      
04/12/1972  0       Nulo   26     4      
05/12/1972  0       Nulo   22     6      
06/12/1972  0       Nulo   22     4      
07/12/1972  0       Nulo   18     3      
08/12/1972  0       Nulo   20     8      
09/12/1972  0       Nulo   18     6      
10/12/1972  0       Nulo   22     4      
11/12/1972  0       Nulo   20     3      
12/12/1972  0       Nulo   18     1      
13/12/1972  0       Nulo   17     3      
14/12/1972  0       Nulo   19     0      
15/12/1972  0       Nulo   21     2      
16/12/1972  0       Nulo   24     3      
17/12/1972  0       Nulo   26     4      
18/12/1972  0       Nulo   30     10     
19/12/1972  0       Nulo   26     13     
20/12/1972  0       Nulo   26     8      
21/12/1972  0       Nulo   27     8      
22/12/1972  0       Nulo   24     7      
23/12/1972  0       Nulo   28     6      
24/12/1972  0       Nulo   27     6      
25/12/1972  0       Nulo   24     5      
26/12/1972  4       Nulo   26     12     
27/12/1972  3       Nulo   28     10     
28/12/1972  0       Nulo   23     4      
29/12/1972  0       Nulo   17     7      
30/12/1972  0       Nulo   15     1      
31/12/1972  0       Nulo   20     0      
01/01/1973  0       Nulo   14     -2     
02/01/1973  0       Nulo   19     -2     
03/01/1973  0       Nulo   22     -2     
