CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26118
NOMBRE    : PUERTO PEÑASCO (DGE)
ESTADO    : SONORA
MUNICIPIO : PUERTO PEÑASCO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 031.35°
LONGITUD  : -113.583°
ALTITUD   : 9 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1966  0       3.3    15     3      
02/01/1966  0       4      14     1      
03/01/1966  0       2.5    16     1.5    
04/01/1966  0       1.9    16     1      
05/01/1966  0       3.6    17     1      
06/01/1966  0       4.4    20     3.5    
07/01/1966  0       3.1    21     6      
08/01/1966  0       3.3    19     5.5    
09/01/1966  0       0.8    17.5   4      
10/01/1966  0       1.9    20.5   4.5    
11/01/1966  0       2.2    18     7.5    
12/01/1966  0       5.2    20     4      
13/01/1966  0       5.9    20     7      
14/01/1966  0       2.1    20     4      
15/01/1966  0       3.4    19     3      
16/01/1966  0       3.4    17     3.5    
17/01/1966  7.5     0.7    12     8      
18/01/1966  0       0.6    14     8.5    
19/01/1966  1       0.8    15.5   4      
20/01/1966  0       3      15     6      
21/01/1966  0       3      13     2      
22/01/1966  0       2.1    14     2      
23/01/1966  0       3.1    14     0      
24/01/1966  0       2.9    15     0      
25/01/1966  0       2.6    16     1      
26/01/1966  0       2.3    15     2.5    
27/01/1966  3       1.5    17     2      
28/01/1966  0       2.4    16     2      
29/01/1966  0       2.2    17.5   3      
30/01/1966  0       2.3    17     6      
31/01/1966  0       3      17     5      
01/02/1966  0       5.7    17     6      
02/02/1966  0       1.6    17.5   5      
03/02/1966  0       3.6    16     6      
04/02/1966  0       2.7    21     6      
05/02/1966  0       1.5    18.5   3      
06/02/1966  3       2.2    18.5   9      
07/02/1966  28      3.3    13     9      
08/02/1966  0       3.3    15     7      
09/02/1966  0       3      13.5   3.5    
10/02/1966  8       2.7    15.5   3.5    
11/02/1966  0       5.4    13     3.5    
12/02/1966  0       3.9    13     2      
13/02/1966  0       4.1    14     3      
14/02/1966  0       3.4    15     4      
15/02/1966  0       5.5    16     2      
16/02/1966  0       3.7    17     4      
17/02/1966  0       3.2    18     5      
18/02/1966  0       3.6    18.5   6      
19/02/1966  0       3.8    19     2      
20/02/1966  0       4.4    21     6      
21/02/1966  0       7      24.5   5      
22/02/1966  0       5.2    21.5   7.5    
23/02/1966  0       4.8    21     7.5    
24/02/1966  0       3      18     6      
25/02/1966  0       2      18     6      
26/02/1966  0       4.1    17     6      
27/02/1966  0       4.8    17     3      
28/02/1966  0       3.2    17     2.5    
01/03/1966  0       3.7    18     5      
02/03/1966  0       7.1    17     5      
03/03/1966  0       5.6    14     3.5    
04/03/1966  0       6.6    17     1      
05/03/1966  0       9.8    20     5      
06/03/1966  0       3.4    20     8      
07/03/1966  0       3      19     5      
08/03/1966  0       3.4    19     6.5    
09/03/1966  0       6      22     6.5    
10/03/1966  0       2.3    23     8      
11/03/1966  0       3.5    22     7      
12/03/1966  0       5.6    23     7      
13/03/1966  0       3.5    25     8      
14/03/1966  0       4.3    25     6      
15/03/1966  0       4.6    24     7      
16/03/1966  0       5.8    23     4.5    
17/03/1966  0       4.2    24     6      
18/03/1966  0       5.7    24     6      
19/03/1966  0       4.4    24     5      
20/03/1966  0       5.5    24.5   8      
21/03/1966  0       5.2    23.5   9      
22/03/1966  0       8.6    23.5   6.5    
23/03/1966  0       5.4    23     12     
24/03/1966  0       5.6    22     10     
25/03/1966  0       4.5    20     9.5    
26/03/1966  0       4.1    20.5   10.5   
27/03/1966  0       6.4    22     7.5    
28/03/1966  0       4.7    23     8.5    
29/03/1966  0       5.6    25     9      
30/03/1966  0       8.8    32     9      
31/03/1966  0       7.2    28.5   15     
01/04/1966  0       5.3    23.5   9      
02/04/1966  0       8.2    24     10     
03/04/1966  0       Nulo   25     10.5   
04/04/1966  0       Nulo   24     11.5   
05/04/1966  0       Nulo   32     10     
06/04/1966  0       Nulo   26     11     
07/04/1966  0       Nulo   25     9      
08/04/1966  0       Nulo   25     8.5    
09/04/1966  0       Nulo   22     8      
10/04/1966  0       Nulo   26     8      
11/04/1966  0       Nulo   24     9      
12/04/1966  0       Nulo   23     8.5    
13/04/1966  0       Nulo   26     8      
14/04/1966  0       Nulo   26     10     
15/04/1966  0       Nulo   27     14     
16/04/1966  0       Nulo   26     12     
17/04/1966  0       Nulo   25     21     
18/04/1966  0       Nulo   24.5   18.5   
19/04/1966  0       Nulo   23.5   13     
20/04/1966  0       Nulo   23     10     
21/04/1966  0       Nulo   24     13     
22/04/1966  0       Nulo   23     8      
23/04/1966  0       Nulo   25     10     
24/04/1966  0       Nulo   26     11     
25/04/1966  0       Nulo   27     11.5   
26/04/1966  0       Nulo   28     10     
27/04/1966  0       Nulo   27.5   15     
28/04/1966  0       Nulo   26     12     
29/04/1966  0       Nulo   26     18     
30/04/1966  0       Nulo   32     13     
01/05/1966  0       Nulo   30     12     
02/05/1966  0       Nulo   31     16     
03/05/1966  0       Nulo   32     14     
04/05/1966  0       Nulo   29     18     
05/05/1966  0       Nulo   28     20     
06/05/1966  0       Nulo   29     16     
07/05/1966  0       Nulo   27.5   20     
08/05/1966  0       Nulo   29     19.5   
09/05/1966  0       Nulo   26     18.5   
10/05/1966  0       Nulo   24.5   15     
11/05/1966  0       Nulo   24.5   14     
12/05/1966  0       Nulo   27     14.5   
13/05/1966  0       Nulo   26     12     
14/05/1966  0       Nulo   28     14.5   
15/05/1966  0       Nulo   27     17     
16/05/1966  0       Nulo   28     20     
17/05/1966  0       Nulo   30     14.5   
18/05/1966  0       Nulo   31     18     
19/05/1966  0       Nulo   29     17     
20/05/1966  0       Nulo   31     21     
21/05/1966  0       Nulo   29     23.5   
22/05/1966  0       Nulo   28     21.5   
23/05/1966  0       Nulo   29     22     
24/05/1966  0       Nulo   29     15     
25/05/1966  0       Nulo   30     14     
26/05/1966  0       Nulo   29.5   15     
27/05/1966  0       Nulo   29     20     
28/05/1966  0       Nulo   28     19.5   
29/05/1966  0       Nulo   29     20     
30/05/1966  0       Nulo   30     24     
31/05/1966  0       Nulo   30     23.5   
01/06/1966  0       Nulo   30     20     
02/06/1966  0       Nulo   30     18     
03/06/1966  0       Nulo   31.5   16     
04/06/1966  0       Nulo   30     15.5   
05/06/1966  0       Nulo   31     16     
06/06/1966  0       Nulo   32.5   24     
07/06/1966  0       Nulo   34     19.5   
08/06/1966  0       Nulo   33     22     
09/06/1966  0       Nulo   29     23     
10/06/1966  0       Nulo   30     22     
11/06/1966  0       Nulo   29     19     
12/06/1966  0       Nulo   31     18.5   
13/06/1966  0       Nulo   32     22     
14/06/1966  0       Nulo   33     20.5   
15/06/1966  0       Nulo   35     23     
16/06/1966  0       Nulo   33     25     
17/06/1966  0       Nulo   33     26     
18/06/1966  0       Nulo   31     19     
19/06/1966  0       Nulo   35     23     
20/06/1966  0       Nulo   33     22     
21/06/1966  0       Nulo   33     20     
22/06/1966  0       Nulo   33     19     
23/06/1966  0       Nulo   32     20     
24/06/1966  0       Nulo   32     22     
25/06/1966  0       Nulo   32     19     
26/06/1966  0       Nulo   32.5   25     
27/06/1966  0       Nulo   33.5   21     
28/06/1966  0       Nulo   31.5   26     
29/06/1966  0       Nulo   34     27     
30/06/1966  0       Nulo   32     27     
01/07/1966  0       Nulo   32     25     
02/07/1966  0       Nulo   32     25     
03/07/1966  0       Nulo   32.5   28     
04/07/1966  0       Nulo   33     26     
05/07/1966  0       Nulo   34     21     
06/07/1966  0       Nulo   33     26     
07/07/1966  0       Nulo   32.5   26     
08/07/1966  0       Nulo   34     26.5   
09/07/1966  0       Nulo   33     27     
10/07/1966  0       Nulo   35     27     
11/07/1966  0       Nulo   34     25.5   
12/07/1966  0       Nulo   37.5   23     
13/07/1966  0       Nulo   37     25     
14/07/1966  0       Nulo   36     28     
15/07/1966  0       Nulo   34     27     
16/07/1966  0       Nulo   34     29.5   
17/07/1966  0       Nulo   34     25     
18/07/1966  0       Nulo   34.5   25     
19/07/1966  0       Nulo   32     27     
20/07/1966  0       Nulo   32     26.5   
21/07/1966  0       Nulo   33     28     
22/07/1966  0       Nulo   33     26     
23/07/1966  0       Nulo   34     25.5   
24/07/1966  0       Nulo   34     27     
25/07/1966  0       Nulo   33     27     
26/07/1966  0       Nulo   33     28     
27/07/1966  0       Nulo   33     27.5   
28/07/1966  0       Nulo   31.5   29     
29/07/1966  1       Nulo   33     26     
30/07/1966  0       Nulo   33     26     
31/07/1966  0       Nulo   33     27     
01/08/1966  0       Nulo   35     27     
02/08/1966  0       Nulo   35     26     
03/08/1966  0       Nulo   33.5   27     
04/08/1966  0       Nulo   35     27     
05/08/1966  2       Nulo   33.5   29     
06/08/1966  0       Nulo   33     27     
07/08/1966  0       Nulo   34     27     
08/08/1966  0       Nulo   36     26.5   
09/08/1966  0       Nulo   34     28     
10/08/1966  0       Nulo   34     29     
11/08/1966  0       Nulo   34     29     
12/08/1966  0       Nulo   33     28.5   
13/08/1966  0       Nulo   34     29     
14/08/1966  0       Nulo   35     27     
15/08/1966  0       Nulo   35     27     
16/08/1966  0       Nulo   33.5   28     
17/08/1966  0       Nulo   36     28.5   
18/08/1966  0       Nulo   34     27     
19/08/1966  0       Nulo   34     30     
20/08/1966  0       Nulo   33.5   30     
21/08/1966  0       Nulo   34     28     
22/08/1966  0       Nulo   35     22     
23/08/1966  0       Nulo   35     27     
24/08/1966  0       Nulo   33     29     
25/08/1966  0       Nulo   34     27     
26/08/1966  0       Nulo   34     29     
27/08/1966  0       Nulo   34     29     
28/08/1966  0       Nulo   33.5   29     
29/08/1966  0       Nulo   34     27.5   
30/08/1966  0       Nulo   34.5   26     
31/08/1966  0       Nulo   33.5   27     
01/09/1966  0       Nulo   33     26     
02/09/1966  0       Nulo   32     20     
03/09/1966  0       Nulo   32.5   21     
04/09/1966  0       Nulo   34     25.5   
05/09/1966  0       Nulo   32.5   21     
06/09/1966  0       Nulo   33     20     
07/09/1966  0       Nulo   36     20     
08/09/1966  0       Nulo   35     24     
09/09/1966  0       Nulo   38     23     
10/09/1966  0       Nulo   33     26     
11/09/1966  0       Nulo   35     28     
12/09/1966  4       Nulo   32.5   29     
13/09/1966  0       Nulo   29     25     
14/09/1966  0       Nulo   27     24     
15/09/1966  0       Nulo   33     20     
16/09/1966  0       Nulo   33.5   24     
17/09/1966  0       Nulo   33     25.5   
18/09/1966  0       Nulo   34     26.5   
19/09/1966  0       Nulo   30     26     
20/09/1966  0       Nulo   31     22     
21/09/1966  0       Nulo   36     24     
22/09/1966  0       Nulo   35     24     
23/09/1966  0       Nulo   35     26     
24/09/1966  0       Nulo   34     28     
25/09/1966  0       Nulo   32     25.5   
26/09/1966  0       Nulo   34     24     
27/09/1966  0       Nulo   31     27     
28/09/1966  40      Nulo   26.5   24     
29/09/1966  17.5    Nulo   28     22     
30/09/1966  0       Nulo   27     21     
01/10/1966  0       Nulo   28     18     
02/10/1966  0       Nulo   27     23     
03/10/1966  0       Nulo   27     23     
04/10/1966  9       Nulo   25     17     
05/10/1966  0       Nulo   26     17     
06/10/1966  0       Nulo   27     17     
07/10/1966  0       Nulo   28.5   18     
08/10/1966  0       Nulo   28     18     
09/10/1966  0       Nulo   29     18     
10/10/1966  0       Nulo   28     19     
11/10/1966  0       Nulo   28.5   17.5   
12/10/1966  0       Nulo   30     16     
13/10/1966  0       Nulo   35.5   18     
14/10/1966  0       Nulo   23.5   7.5    
15/10/1966  0       Nulo   25.5   10     
16/10/1966  0       Nulo   26     10     
17/10/1966  0       Nulo   27     15     
18/10/1966  0       Nulo   28.5   9      
19/10/1966  0       Nulo   29     10     
20/10/1966  0       Nulo   31     11     
21/10/1966  0       Nulo   27     12     
22/10/1966  0       Nulo   27.5   12     
23/10/1966  0       Nulo   27.5   13     
24/10/1966  0       Nulo   28     10     
25/10/1966  0       Nulo   29     12     
26/10/1966  0       Nulo   25     11     
