CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26131
NOMBRE    : NAVOJOA (FFCC)
ESTADO    : SONORA
MUNICIPIO : NAVOJOA
SITUACION : SUSPENDIDA
ORGANISMO : FFCC
CVE-OMM   : Nulo
LATITUD   : 027.081°
LONGITUD  : -109.445°
ALTITUD   : 41 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1931  0       Nulo   28     8      
02/01/1931  0       Nulo   29     7      
03/01/1931  0       Nulo   29     9      
04/01/1931  0       Nulo   29     6      
05/01/1931  0       Nulo   26     5      
06/01/1931  0       Nulo   30     3      
07/01/1931  0       Nulo   26     4      
08/01/1931  0       Nulo   27     9      
09/01/1931  0       Nulo   27     10     
10/01/1931  0       Nulo   27     11     
11/01/1931  0       Nulo   27     6      
12/01/1931  0       Nulo   27     5      
13/01/1931  0       Nulo   27     5      
14/01/1931  0       Nulo   33     3      
15/01/1931  0       Nulo   32     3      
16/01/1931  0       Nulo   32     6      
17/01/1931  0       Nulo   33     6      
18/01/1931  0       Nulo   30     9      
19/01/1931  0       Nulo   32     9      
20/01/1931  0       Nulo   32     6      
21/01/1931  0       Nulo   31     7      
22/01/1931  0       Nulo   33     4      
23/01/1931  0       Nulo   32     6      
24/01/1931  0       Nulo   33     6      
25/01/1931  0       Nulo   33     6      
26/01/1931  0       Nulo   29     7      
27/01/1931  20      Nulo   22     10     
28/01/1931  0       Nulo   28     8      
29/01/1931  0       Nulo   32     14     
30/01/1931  0       Nulo   33     12     
31/01/1931  0       Nulo   33     11     
01/02/1931  0       Nulo   32     10     
02/02/1931  0       Nulo   32     9      
03/02/1931  0       Nulo   34     10     
04/02/1931  0       Nulo   32     10     
05/02/1931  0       Nulo   33     9      
06/02/1931  15      Nulo   32     10     
07/02/1931  24      Nulo   29     14     
08/02/1931  0       Nulo   29     15     
09/02/1931  0       Nulo   32     11     
10/02/1931  0       Nulo   32     11     
11/02/1931  0       Nulo   32     11     
12/02/1931  27      Nulo   32     11     
13/02/1931  10      Nulo   32     11     
14/02/1931  8       Nulo   29     14     
15/02/1931  6       Nulo   30     15     
16/02/1931  0       Nulo   30     10     
17/02/1931  0       Nulo   29     9      
18/02/1931  0       Nulo   31     10     
19/02/1931  0       Nulo   33     10     
20/02/1931  0       Nulo   32     8      
21/02/1931  0       Nulo   32     9      
22/02/1931  0       Nulo   30     7      
23/02/1931  0       Nulo   30     9      
24/02/1931  0       Nulo   30     8      
25/02/1931  0       Nulo   28     6      
26/02/1931  0       Nulo   30     12     
27/02/1931  0       Nulo   26     11     
28/02/1931  0       Nulo   29     9      
01/03/1931  0       Nulo   29     9      
02/03/1931  0       Nulo   33     10     
03/03/1931  0       Nulo   32     6      
04/03/1931  0       Nulo   28     8      
05/03/1931  0       Nulo   33     8      
06/03/1931  0       Nulo   32     10     
07/03/1931  0       Nulo   32     10     
08/03/1931  0       Nulo   31     9      
09/03/1931  0       Nulo   30     8      
10/03/1931  0       Nulo   34     8      
11/03/1931  0       Nulo   38     9      
12/03/1931  0       Nulo   40     10     
13/03/1931  0       Nulo   37     10     
14/03/1931  0       Nulo   38     8      
15/03/1931  0       Nulo   38     8      
16/03/1931  0       Nulo   37     7      
17/03/1931  0       Nulo   39     11     
18/03/1931  0       Nulo   39     11     
19/03/1931  0       Nulo   38     9      
20/03/1931  0       Nulo   39     12     
21/03/1931  0       Nulo   38     12     
22/03/1931  0       Nulo   40     12     
23/03/1931  0       Nulo   38     12     
24/03/1931  0       Nulo   38     12     
25/03/1931  0       Nulo   39     12     
26/03/1931  0       Nulo   32     10     
27/03/1931  0       Nulo   30     11     
28/03/1931  0       Nulo   35     11     
29/03/1931  0       Nulo   36     11     
30/03/1931  0       Nulo   35     8      
31/03/1931  0       Nulo   35     8      
01/04/1931  0       Nulo   40     10     
02/04/1931  0       Nulo   40     10     
03/04/1931  0       Nulo   32     12     
04/04/1931  0       Nulo   38     12     
05/04/1931  0       Nulo   38     12     
06/04/1931  0       Nulo   38     12     
07/04/1931  0       Nulo   38     12     
08/04/1931  0       Nulo   39     13     
09/04/1931  0       Nulo   39     12     
10/04/1931  0       Nulo   41     10     
11/04/1931  0       Nulo   37     14     
12/04/1931  0       Nulo   41     16     
13/04/1931  0       Nulo   40     15     
14/04/1931  0       Nulo   38     13     
15/04/1931  0       Nulo   38     11     
16/04/1931  0       Nulo   38     15     
17/04/1931  0       Nulo   37     15     
18/04/1931  0       Nulo   35     15     
19/04/1931  0       Nulo   36     14     
20/04/1931  0       Nulo   37     14     
21/04/1931  0       Nulo   38     15     
22/04/1931  0       Nulo   41     15     
23/04/1931  0       Nulo   38     19     
24/04/1931  0       Nulo   35     11     
25/04/1931  0       Nulo   36     10     
26/04/1931  0       Nulo   37     11     
27/04/1931  0       Nulo   37     11     
28/04/1931  0       Nulo   38     16     
29/04/1931  0       Nulo   35     13     
30/04/1931  0       Nulo   37     12     
01/05/1931  0       Nulo   38     12     
02/05/1931  0       Nulo   38     12     
03/05/1931  0       Nulo   37     11     
04/05/1931  0       Nulo   39     13     
05/05/1931  0       Nulo   39     12     
06/05/1931  0       Nulo   39     15     
07/05/1931  0       Nulo   40     17     
08/05/1931  0       Nulo   43     17     
09/05/1931  0       Nulo   40     13     
10/05/1931  0       Nulo   41     13     
11/05/1931  0       Nulo   41     19     
12/05/1931  0       Nulo   41     19     
13/05/1931  0       Nulo   41     19     
14/05/1931  0       Nulo   41     18     
15/05/1931  0       Nulo   40     18     
16/05/1931  0       Nulo   38     18     
17/05/1931  0       Nulo   40     18     
18/05/1931  0       Nulo   40     18     
19/05/1931  0       Nulo   40     18     
20/05/1931  0       Nulo   39     16     
21/05/1931  0       Nulo   39     16     
22/05/1931  0       Nulo   43     18     
23/05/1931  0       Nulo   43     18     
24/05/1931  0       Nulo   47     17     
25/05/1931  0       Nulo   47     17     
26/05/1931  0       Nulo   41     16     
27/05/1931  0       Nulo   41     15     
28/05/1931  0       Nulo   41     15     
29/05/1931  0       Nulo   39     16     
30/05/1931  0       Nulo   45     18     
31/05/1931  0       Nulo   47     17     
01/06/1931  0       Nulo   45     18     
02/06/1931  0       Nulo   45     18     
03/06/1931  0       Nulo   42     18     
04/06/1931  0       Nulo   39     17     
05/06/1931  0       Nulo   39     16     
06/06/1931  0       Nulo   39     15     
07/06/1931  0       Nulo   38     15     
08/06/1931  0       Nulo   38     15     
09/06/1931  0       Nulo   40     16     
10/06/1931  0       Nulo   42     22     
11/06/1931  0       Nulo   42     21     
12/06/1931  0       Nulo   42     22     
13/06/1931  0       Nulo   43     12     
14/06/1931  0       Nulo   43     16     
15/06/1931  0       Nulo   42     12     
16/06/1931  0       Nulo   45     15     
17/06/1931  9       Nulo   42     22     
18/06/1931  31      Nulo   41     22     
19/06/1931  0       Nulo   42     21     
20/06/1931  0       Nulo   45     22     
21/06/1931  0       Nulo   42     21     
22/06/1931  0       Nulo   44     26     
23/06/1931  0       Nulo   45     25     
24/06/1931  0       Nulo   47     26     
25/06/1931  0       Nulo   46     26     
26/06/1931  0       Nulo   46     27     
27/06/1931  0       Nulo   44     27     
28/06/1931  0       Nulo   44     26     
29/06/1931  0       Nulo   42     26     
30/06/1931  0       Nulo   44     27     
01/07/1931  0       Nulo   42     26     
02/07/1931  0       Nulo   46     26     
03/07/1931  0       Nulo   43     28     
04/07/1931  0       Nulo   44     26     
05/07/1931  0       Nulo   45     24     
06/07/1931  0       Nulo   46     25     
07/07/1931  0       Nulo   45     26     
08/07/1931  0       Nulo   46     26     
09/07/1931  0       Nulo   46     25     
10/07/1931  0       Nulo   42     22     
11/07/1931  15      Nulo   42     24     
12/07/1931  0       Nulo   43     23     
13/07/1931  0       Nulo   43     24     
14/07/1931  0       Nulo   44     25     
15/07/1931  0       Nulo   44     25     
16/07/1931  0       Nulo   45     25     
17/07/1931  0       Nulo   44     24     
18/07/1931  0       Nulo   44     25     
19/07/1931  0       Nulo   41     22     
20/07/1931  0       Nulo   44     24     
21/07/1931  0       Nulo   41     22     
22/07/1931  0       Nulo   42     26     
23/07/1931  41      Nulo   42     22     
24/07/1931  0       Nulo   43     23     
25/07/1931  10      Nulo   42     23     
26/07/1931  0       Nulo   43     23     
27/07/1931  11      Nulo   42     23     
28/07/1931  0       Nulo   43     23     
29/07/1931  0       Nulo   42     24     
30/07/1931  0       Nulo   41     22     
31/07/1931  0       Nulo   44     24     
01/08/1931  36      Nulo   42     24     
02/08/1931  0       Nulo   44     25     
03/08/1931  0       Nulo   37     25     
04/08/1931  0       Nulo   42     24     
05/08/1931  0       Nulo   40     23     
06/08/1931  0       Nulo   44     25     
07/08/1931  0       Nulo   42     24     
08/08/1931  10      Nulo   44     25     
09/08/1931  0       Nulo   42     24     
10/08/1931  35      Nulo   40     24     
11/08/1931  0       Nulo   40     24     
12/08/1931  10      Nulo   41     25     
13/08/1931  0       Nulo   40     24     
14/08/1931  20      Nulo   41     25     
15/08/1931  0       Nulo   45     25     
16/08/1931  0       Nulo   42     23     
17/08/1931  0       Nulo   45     26     
18/08/1931  0       Nulo   44     25     
19/08/1931  0       Nulo   45     25     
20/08/1931  0       Nulo   45     25     
21/08/1931  0       Nulo   44     25     
22/08/1931  0       Nulo   46     25     
23/08/1931  0       Nulo   45     25     
24/08/1931  0       Nulo   46     26     
25/08/1931  0       Nulo   48     25     
26/08/1931  0       Nulo   45     25     
27/08/1931  0       Nulo   46     25     
28/08/1931  0       Nulo   44     25     
29/08/1931  0       Nulo   44     24     
30/08/1931  0       Nulo   44     25     
31/08/1931  0       Nulo   45     26     
01/09/1931  25      Nulo   42     25     
02/09/1931  0       Nulo   42     22     
03/09/1931  0       Nulo   44     25     
