CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26152
NOMBRE    : BENJAMIN HILL (FFCC)
ESTADO    : SONORA
MUNICIPIO : SANTA ANA
SITUACION : OPERANDO
ORGANISMO : FFCC
CVE-OMM   : Nulo
LATITUD   : 030.533°
LONGITUD  : -111.117°
ALTITUD   : 709 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
02/01/1969  0       Nulo   22     2      
03/01/1969  0       Nulo   17     2      
04/01/1969  0       Nulo   15     3      
06/01/1969  0       Nulo   19     1      
07/01/1969  0       Nulo   Nulo   0      
08/01/1969  0       Nulo   Nulo   0      
09/01/1969  0       Nulo   15     1      
10/01/1969  0       Nulo   Nulo   0      
11/01/1969  0       Nulo   19     2      
13/01/1969  0       Nulo   22     2      
14/01/1969  0       Nulo   21     1      
15/01/1969  0       Nulo   22     1      
16/01/1969  0       Nulo   22     2      
17/01/1969  0       Nulo   22     8      
18/01/1969  0       Nulo   22     7      
20/01/1969  0       Nulo   24     1      
21/01/1969  0       Nulo   24     2      
22/01/1969  0       Nulo   24     7      
23/01/1969  0       Nulo   24     4      
24/01/1969  0       Nulo   24     4      
25/01/1969  0       Nulo   25     3      
27/01/1969  0       Nulo   28     7      
28/01/1969  0       Nulo   28     7      
29/01/1969  0       Nulo   18     5      
30/01/1969  0       Nulo   15     1      
31/01/1969  0       Nulo   13     1      
01/04/1969  0       Nulo   34     Nulo   
02/04/1969  0       Nulo   34     17     
03/04/1969  0       Nulo   33     10     
04/04/1969  0       Nulo   33     9      
05/04/1969  0       Nulo   33     9      
07/04/1969  0       Nulo   32     8      
08/04/1969  0       Nulo   30     9      
09/04/1969  0       Nulo   30     9      
10/04/1969  0       Nulo   29     8      
11/04/1969  0       Nulo   29     8      
12/04/1969  0       Nulo   30     8      
14/04/1969  0       Nulo   30     8      
15/04/1969  0       Nulo   30     8      
16/04/1969  0       Nulo   32     8      
17/04/1969  0       Nulo   32     8      
18/04/1969  0       Nulo   28     10     
19/04/1969  0       Nulo   28     10     
21/04/1969  0       Nulo   30     8      
22/04/1969  0       Nulo   35     10     
23/04/1969  0       Nulo   35     10     
24/04/1969  0       Nulo   35     10     
25/04/1969  0       Nulo   34     12     
26/04/1969  0       Nulo   34     11     
28/04/1969  0       Nulo   33     10     
29/04/1969  0       Nulo   33     10     
30/04/1969  0       Nulo   33     10     
01/07/1969  0       Nulo   34     24     
02/07/1969  0       Nulo   35     23     
03/07/1969  0       Nulo   36     20     
04/07/1969  0       Nulo   36     22     
05/07/1969  0       Nulo   36     22     
07/07/1969  0       Nulo   36     22     
08/07/1969  19      Nulo   36     22     
09/07/1969  0       Nulo   33     22     
10/07/1969  36      Nulo   33     22     
11/07/1969  0       Nulo   36     20     
12/07/1969  0       Nulo   38     24     
14/07/1969  0       Nulo   40     22     
15/07/1969  0       Nulo   40     22     
16/07/1969  0       Nulo   38     22     
17/07/1969  2       Nulo   38     22     
18/07/1969  0       Nulo   35     22     
19/07/1969  0       Nulo   35     22     
21/07/1969  22      Nulo   38     22     
22/07/1969  0       Nulo   38     22     
23/07/1969  0       Nulo   40     20     
24/07/1969  0       Nulo   46     22     
25/07/1969  2       Nulo   36     24     
26/07/1969  0       Nulo   32     30     
28/07/1969  0       Nulo   32     30     
29/07/1969  0       Nulo   38     20     
30/07/1969  0       Nulo   38     20     
31/07/1969  29      Nulo   40     20     
02/01/1973  0       Nulo   19     10     
03/01/1973  0       Nulo   17     10     
04/01/1973  0       Nulo   18     11     
05/01/1973  0       Nulo   19     12     
06/01/1973  0       Nulo   18     10     
08/01/1973  0       Nulo   20     11     
09/01/1973  0       Nulo   18     10     
10/01/1973  0       Nulo   21     12     
11/01/1973  0       Nulo   19     11     
12/01/1973  0       Nulo   18     10     
13/01/1973  0       Nulo   19     11     
15/01/1973  0       Nulo   17     10     
16/01/1973  0       Nulo   18     11     
17/01/1973  0       Nulo   17     11     
18/01/1973  0       Nulo   19     11     
19/01/1973  0       Nulo   18     10     
20/01/1973  0       Nulo   20     11     
22/01/1973  0       Nulo   20     11     
23/01/1973  0       Nulo   20     11     
24/01/1973  0       Nulo   21     11     
25/01/1973  0       Nulo   20     11     
26/01/1973  0       Nulo   21     11     
27/01/1973  0       Nulo   19     10     
29/01/1973  0       Nulo   20     11     
30/01/1973  0       Nulo   22     12     
31/01/1973  0       Nulo   21     11     
02/02/1973  0       Nulo   20     14     
03/02/1973  0       Nulo   22     14     
06/02/1973  0       Nulo   21     15     
07/02/1973  0       Nulo   23     18     
08/02/1973  0       Nulo   21     15     
09/02/1973  0       Nulo   23     13     
10/02/1973  0       Nulo   21     15     
12/02/1973  0       Nulo   21     17     
13/02/1973  1       Nulo   19     11     
14/02/1973  0       Nulo   18     11     
15/02/1973  0       Nulo   21     14     
16/02/1973  0       Nulo   20     15     
17/02/1973  0       Nulo   19     10     
19/02/1973  0       Nulo   22     12     
20/02/1973  25      Nulo   23     14     
21/02/1973  30      Nulo   22     15     
22/02/1973  11      Nulo   21     15     
23/02/1973  4       Nulo   19     11     
24/02/1973  0       Nulo   22     16     
26/02/1973  0       Nulo   22     15     
27/02/1973  0       Nulo   23     18     
28/02/1973  0       Nulo   27     19     
01/03/1973  0       Nulo   28     16     
02/03/1973  0       Nulo   28     16     
03/03/1973  0       Nulo   26     12     
05/03/1973  0       Nulo   25     11     
06/03/1973  0       Nulo   27     11     
07/03/1973  0       Nulo   26     10     
08/03/1973  0       Nulo   24     15     
09/03/1973  0       Nulo   21     15     
10/03/1973  0       Nulo   21     15     
12/03/1973  45      Nulo   21     18     
13/03/1973  0       Nulo   29     16     
14/03/1973  0       Nulo   24     14     
15/03/1973  3       Nulo   24     19     
16/03/1973  0       Nulo   28     17     
17/03/1973  0       Nulo   28     14     
19/03/1973  0       Nulo   28     14     
20/03/1973  0       Nulo   23     11     
22/03/1973  0       Nulo   22     15     
23/03/1973  0       Nulo   22     14     
24/03/1973  0       Nulo   23     15     
26/03/1973  0       Nulo   22     14     
27/03/1973  0       Nulo   24     15     
28/03/1973  0       Nulo   25     16     
29/03/1973  0       Nulo   24     15     
30/03/1973  0       Nulo   23     14     
31/03/1973  0       Nulo   23     14     
02/04/1973  0       Nulo   27     19     
03/04/1973  0       Nulo   27     19     
04/04/1973  0       Nulo   26     18     
05/04/1973  0       Nulo   27     18     
06/04/1973  0       Nulo   22     15     
07/04/1973  0       Nulo   23     16     
09/04/1973  0       Nulo   27     15     
10/04/1973  0       Nulo   30     18     
11/04/1973  0       Nulo   31     22     
12/04/1973  0       Nulo   29     18     
13/04/1973  0       Nulo   30     21     
14/04/1973  0       Nulo   30     21     
16/04/1973  0       Nulo   30     18     
17/04/1973  0       Nulo   30     18     
18/04/1973  0       Nulo   30     18     
19/04/1973  0       Nulo   29     16     
20/04/1973  0       Nulo   25     17     
21/04/1973  0       Nulo   26     17     
23/04/1973  0       Nulo   28     19     
24/04/1973  0       Nulo   28     19     
25/04/1973  0       Nulo   29     19     
26/04/1973  0       Nulo   29     19     
27/04/1973  0       Nulo   32     23     
28/04/1973  0       Nulo   35     25     
30/04/1973  0       Nulo   34     15     
02/05/1973  0       Nulo   34     25     
03/05/1973  0       Nulo   35     25     
04/05/1973  0       Nulo   34     24     
07/05/1973  0       Nulo   36     25     
08/05/1973  0       Nulo   35     25     
09/05/1973  0       Nulo   35     25     
10/05/1973  0       Nulo   34     24     
11/05/1973  0       Nulo   34     24     
12/05/1973  0       Nulo   35     24     
14/05/1973  0       Nulo   35     25     
15/05/1973  0       Nulo   36     24     
16/05/1973  0       Nulo   36     24     
17/05/1973  0       Nulo   35     24     
18/05/1973  0       Nulo   35     24     
19/05/1973  0       Nulo   34     23     
21/05/1973  0       Nulo   35     24     
22/05/1973  0       Nulo   35     24     
23/05/1973  0       Nulo   36     24     
24/05/1973  0       Nulo   33     25     
25/05/1973  0       Nulo   33     25     
26/05/1973  0       Nulo   36     25     
28/05/1973  0       Nulo   35     24     
29/05/1973  0       Nulo   35     24     
30/05/1973  0       Nulo   38     24     
31/05/1973  0       Nulo   39     25     
01/06/1973  0       Nulo   33     21     
02/06/1973  0       Nulo   34     22     
04/06/1973  0       Nulo   33     24     
05/06/1973  0       Nulo   34     23     
06/06/1973  0       Nulo   35     23     
07/06/1973  0       Nulo   35     23     
08/06/1973  0       Nulo   37     24     
09/06/1973  0       Nulo   39     25     
11/06/1973  0       Nulo   40     24     
12/06/1973  0       Nulo   41     27     
13/06/1973  0       Nulo   36     27     
14/06/1973  0       Nulo   43     25     
15/06/1973  0       Nulo   43     26     
16/06/1973  0       Nulo   43     26     
18/06/1973  0       Nulo   43     26     
19/06/1973  0       Nulo   42     25     
20/06/1973  0       Nulo   43     26     
21/06/1973  0       Nulo   43     27     
22/06/1973  0       Nulo   43     27     
23/06/1973  0       Nulo   43     27     
25/06/1973  0       Nulo   43     27     
26/06/1973  0       Nulo   44     28     
27/06/1973  0       Nulo   44     28     
28/06/1973  0       Nulo   44     28     
29/06/1973  0       Nulo   44     28     
30/06/1973  0       Nulo   45     29     
02/07/1973  0       Nulo   45     29     
03/07/1973  28      Nulo   44     28     
04/07/1973  0       Nulo   43     28     
05/07/1973  0       Nulo   41     26     
06/07/1973  0       Nulo   41     26     
07/07/1973  0       Nulo   40     25     
09/07/1973  0       Nulo   40     26     
10/07/1973  8       Nulo   41     26     
11/07/1973  0       Nulo   40     26     
12/07/1973  0       Nulo   39     21     
13/07/1973  0       Nulo   39     21     
14/07/1973  0       Nulo   38     21     
16/07/1973  0       Nulo   39     21     
17/07/1973  0       Nulo   40     21     
18/07/1973  0       Nulo   37     22     
19/07/1973  0       Nulo   37     22     
20/07/1973  0       Nulo   37     22     
21/07/1973  0       Nulo   41     22     
23/07/1973  0       Nulo   41     22     
24/07/1973  0       Nulo   41     22     
25/07/1973  0       Nulo   40     22     
26/07/1973  0       Nulo   40     22     
27/07/1973  0       Nulo   41     22     
28/07/1973  0       Nulo   40     22     
30/07/1973  0       Nulo   40     21     
31/07/1973  0       Nulo   40     21     
01/08/1973  0       Nulo   40     21     
02/08/1973  5       Nulo   40     21     
03/08/1973  0       Nulo   40     21     
04/08/1973  0       Nulo   38     20     
06/08/1973  0       Nulo   38     20     
07/08/1973  0       Nulo   38     20     
08/08/1973  0       Nulo   37     20     
09/08/1973  0       Nulo   37     20     
10/08/1973  0       Nulo   38     20     
11/08/1973  0       Nulo   38     20     
13/08/1973  0       Nulo   38     20     
14/08/1973  0       Nulo   37     22     
15/08/1973  0       Nulo   38     21     
16/08/1973  1       Nulo   38     21     
17/08/1973  0       Nulo   39     22     
18/08/1973  5       Nulo   39     22     
20/08/1973  0       Nulo   39     22     
21/08/1973  0       Nulo   39     22     
22/08/1973  0       Nulo   40     24     
23/08/1973  0       Nulo   40     25     
24/08/1973  0       Nulo   41     27     
25/08/1973  0       Nulo   39     26     
27/08/1973  0       Nulo   39     25     
28/08/1973  0       Nulo   38     22     
29/08/1973  0       Nulo   38     22     
30/08/1973  0       Nulo   37     22     
31/08/1973  0       Nulo   37     21     
01/09/1973  0       Nulo   40     23     
03/09/1973  0       Nulo   40     22     
04/09/1973  0       Nulo   40     22     
05/09/1973  0       Nulo   41     21     
06/09/1973  0       Nulo   41     21     
07/09/1973  0       Nulo   41     21     
08/09/1973  0       Nulo   41     21     
10/09/1973  0       Nulo   40     22     
11/09/1973  0       Nulo   40     22     
12/09/1973  0       Nulo   41     21     
13/09/1973  0       Nulo   41     21     
14/09/1973  0       Nulo   40     21     
15/09/1973  0       Nulo   40     21     
17/09/1973  0       Nulo   42     22     
18/09/1973  0       Nulo   41     21     
19/09/1973  0       Nulo   38     21     
20/09/1973  1       Nulo   36     22     
21/09/1973  0       Nulo   36     22     
22/09/1973  0       Nulo   36     22     
24/09/1973  0       Nulo   38     22     
25/09/1973  0       Nulo   38     22     
26/09/1973  0       Nulo   37     22     
27/09/1973  0       Nulo   37     22     
28/09/1973  0       Nulo   36     23     
29/09/1973  0       Nulo   36     23     
01/12/1973  0       Nulo   17     1      
03/12/1973  0       Nulo   29     7      
04/12/1973  0       Nulo   22     5      
05/12/1973  0       Nulo   18     5      
06/12/1973  0       Nulo   31     10     
07/12/1973  0       Nulo   29     8      
08/12/1973  0       Nulo   20     4      
10/12/1973  0       Nulo   33     11     
11/12/1973  0       Nulo   22     5      
12/12/1973  0       Nulo   28     4      
13/12/1973  0       Nulo   19     3      
14/12/1973  0       Nulo   18     5      
15/12/1973  0       Nulo   20     3      
17/12/1973  0       Nulo   22     4      
18/12/1973  0       Nulo   18     5      
19/12/1973  0       Nulo   14     1      
20/12/1973  0       Nulo   21     1      
21/12/1973  0       Nulo   28     4      
22/12/1973  0       Nulo   24     5      
24/12/1973  0       Nulo   21     1      
26/12/1973  0       Nulo   14     1      
27/12/1973  0       Nulo   18     1      
28/12/1973  0       Nulo   20     2      
29/12/1973  0       Nulo   26     1      
31/12/1973  0       Nulo   26     6      
02/01/1974  0       Nulo   20     0      
03/01/1974  0       Nulo   24     0      
04/01/1974  0       Nulo   22     0      
05/01/1974  0       Nulo   25     0      
07/01/1974  0       Nulo   18     3      
08/01/1974  0       Nulo   17     0      
09/01/1974  5       Nulo   19     2      
10/01/1974  0       Nulo   14     3      
11/01/1974  0       Nulo   18     0      
12/01/1974  0       Nulo   20     0      
14/01/1974  0       Nulo   26     0      
15/01/1974  0       Nulo   27     0      
16/01/1974  0       Nulo   29     0      
17/01/1974  0       Nulo   26     0      
18/01/1974  0       Nulo   28     0      
19/01/1974  0       Nulo   29     0      
21/01/1974  0       Nulo   26     0      
22/01/1974  0       Nulo   28     0      
23/01/1974  0       Nulo   27     0      
24/01/1974  0       Nulo   26     0      
25/01/1974  0       Nulo   28     0      
26/01/1974  0       Nulo   25     0      
28/01/1974  0       Nulo   27     0      
29/01/1974  0       Nulo   28     0      
30/01/1974  0       Nulo   27     0      
31/01/1974  0       Nulo   26     0      
02/02/1974  0       Nulo   28     4      
04/02/1974  0       Nulo   24     3      
06/02/1974  0       Nulo   22     2      
07/02/1974  0       Nulo   20     2      
08/02/1974  0       Nulo   19     0      
09/02/1974  0       Nulo   18     0      
11/02/1974  0       Nulo   20     2      
12/02/1974  0       Nulo   26     3      
13/02/1974  0       Nulo   24     8      
14/02/1974  0       Nulo   23     4      
15/02/1974  0       Nulo   23     2      
16/02/1974  0       Nulo   24     4      
18/02/1974  0       Nulo   25     3      
19/02/1974  0       Nulo   26     2      
20/02/1974  0       Nulo   27     1      
21/02/1974  0       Nulo   17     0      
22/02/1974  0       Nulo   20     3      
23/02/1974  0       Nulo   25     4      
25/02/1974  0       Nulo   26     4      
26/02/1974  0       Nulo   27     5      
27/02/1974  0       Nulo   29     4      
28/02/1974  0       Nulo   30     5      
01/03/1974  0       Nulo   22     3      
02/03/1974  0       Nulo   26     2      
04/03/1974  0       Nulo   26     2      
05/03/1974  0       Nulo   16     1      
06/03/1974  0       Nulo   16     1      
07/03/1974  0       Nulo   16     1      
08/03/1974  0       Nulo   18     6      
09/03/1974  0       Nulo   18     6      
11/03/1974  0       Nulo   20     2      
12/03/1974  0       Nulo   20     2      
13/03/1974  0       Nulo   18     1      
14/03/1974  0       Nulo   18     1      
15/03/1974  0       Nulo   22     2      
16/03/1974  0       Nulo   22     2      
18/03/1974  0       Nulo   22     1      
19/03/1974  0       Nulo   30     4      
20/03/1974  0       Nulo   30     5      
22/03/1974  0       Nulo   32     2      
23/03/1974  0       Nulo   32     2      
24/03/1974  0       Nulo   25     3      
25/03/1974  0       Nulo   25     3      
26/03/1974  0       Nulo   30     9      
27/03/1974  0       Nulo   30     8      
28/03/1974  0       Nulo   32     9      
29/03/1974  0       Nulo   32     9      
30/03/1974  0       Nulo   35     12     
31/03/1974  0       Nulo   35     12     
01/04/1974  0       Nulo   28     19     
02/04/1974  0       Nulo   28     19     
03/04/1974  0       Nulo   29     18     
04/04/1974  0       Nulo   29     18     
05/04/1974  0       Nulo   28     19     
06/04/1974  0       Nulo   28     19     
08/04/1974  0       Nulo   27     19     
09/04/1974  0       Nulo   27     19     
10/04/1974  0       Nulo   28     18     
11/04/1974  0       Nulo   28     18     
12/04/1974  0       Nulo   29     18     
13/04/1974  0       Nulo   28     19     
15/04/1974  0       Nulo   27     18     
16/04/1974  0       Nulo   27     18     
17/04/1974  0       Nulo   28     18     
18/04/1974  0       Nulo   28     19     
19/04/1974  0       Nulo   29     18     
20/04/1974  0       Nulo   27     18     
22/04/1974  0       Nulo   32     23     
23/04/1974  0       Nulo   32     23     
24/04/1974  0       Nulo   34     24     
25/04/1974  0       Nulo   34     23     
26/04/1974  0       Nulo   30     21     
27/04/1974  0       Nulo   30     21     
29/04/1974  0       Nulo   31     22     
30/04/1974  0       Nulo   31     22     
02/05/1974  0       Nulo   34     10     
03/05/1974  0       Nulo   39     3      
04/05/1974  0       Nulo   34     10     
06/05/1974  0       Nulo   32     10     
07/05/1974  0       Nulo   30     10     
08/05/1974  0       Nulo   30     10     
09/05/1974  0       Nulo   30     11     
10/05/1974  0       Nulo   32     10     
11/05/1974  0       Nulo   32     10     
13/05/1974  0       Nulo   32     10     
14/05/1974  0       Nulo   34     9      
15/05/1974  0       Nulo   34     9      
16/05/1974  0       Nulo   34     9      
17/05/1974  0       Nulo   35     10     
18/05/1974  0       Nulo   35     10     
20/05/1974  0       Nulo   35     10     
21/05/1974  0       Nulo   35     10     
22/05/1974  0       Nulo   35     10     
23/05/1974  0       Nulo   35     8      
24/05/1974  0       Nulo   35     15     
25/05/1974  0       Nulo   35     15     
27/05/1974  0       Nulo   35     16     
28/05/1974  0       Nulo   35     16     
29/05/1974  0       Nulo   32     10     
30/05/1974  0       Nulo   32     10     
31/05/1974  0       Nulo   34     11     
01/06/1974  0       Nulo   34     22     
03/06/1974  0       Nulo   34     22     
04/06/1974  0       Nulo   33     24     
05/06/1974  0       Nulo   34     23     
06/06/1974  0       Nulo   35     23     
07/06/1974  0       Nulo   35     23     
08/06/1974  0       Nulo   37     24     
10/06/1974  0       Nulo   39     25     
11/06/1974  0       Nulo   40     26     
12/06/1974  0       Nulo   44     27     
13/06/1974  0       Nulo   43     25     
14/06/1974  0       Nulo   43     26     
15/06/1974  0       Nulo   43     26     
17/06/1974  0       Nulo   42     25     
18/06/1974  0       Nulo   42     25     
19/06/1974  0       Nulo   43     27     
20/06/1974  0       Nulo   44     28     
21/06/1974  0       Nulo   44     28     
22/06/1974  0       Nulo   44     28     
24/06/1974  0       Nulo   45     30     
25/06/1974  0       Nulo   45     30     
26/06/1974  0       Nulo   48     28     
27/06/1974  0       Nulo   44     28     
28/06/1974  0       Nulo   45     29     
29/06/1974  0       Nulo   45     29     
01/07/1974  0       Nulo   40     29     
02/07/1974  0       Nulo   40     29     
03/07/1974  5.5     Nulo   42     22     
04/07/1974  0       Nulo   41     26     
05/07/1974  0       Nulo   39     21     
06/07/1974  0       Nulo   37     22     
08/07/1974  8.2     Nulo   37     22     
09/07/1974  0       Nulo   41     22     
10/07/1974  0       Nulo   40     22     
11/07/1974  0       Nulo   40     22     
12/07/1974  0       Nulo   40     21     
13/07/1974  0       Nulo   40     22     
15/07/1974  0       Nulo   44     28     
16/07/1974  0       Nulo   39     21     
17/07/1974  3.5     Nulo   38     21     
18/07/1974  0       Nulo   38     21     
19/07/1974  0       Nulo   37     22     
20/07/1974  0       Nulo   39     21     
22/07/1974  0       Nulo   40     22     
23/07/1974  0       Nulo   43     28     
24/07/1974  2.5     Nulo   44     28     
25/07/1974  0       Nulo   45     29     
26/07/1974  0       Nulo   44     28     
27/07/1974  0       Nulo   39     21     
29/07/1974  5.5     Nulo   40     21     
30/07/1974  0       Nulo   40     21     
31/07/1974  0       Nulo   41     22     
01/08/1974  0       Nulo   42     28     
02/08/1974  0       Nulo   40     26     
03/08/1974  0       Nulo   40     26     
05/08/1974  0       Nulo   42     28     
06/08/1974  0       Nulo   38     19     
07/08/1974  0       Nulo   38     19     
08/08/1974  0       Nulo   40     29     
09/08/1974  0       Nulo   41     30     
10/08/1974  0       Nulo   38     32     
12/08/1974  0       Nulo   35     28     
13/08/1974  0       Nulo   34     28     
14/08/1974  0       Nulo   33     26     
15/08/1974  0       Nulo   33     26     
16/08/1974  0       Nulo   32     27     
17/08/1974  0       Nulo   31     26     
19/08/1974  0       Nulo   33     28     
20/08/1974  0       Nulo   34     29     
21/08/1974  0       Nulo   35     29     
22/08/1974  0       Nulo   36     30     
23/08/1974  0       Nulo   37     31     
24/08/1974  0       Nulo   35     28     
26/08/1974  0       Nulo   33     27     
27/08/1974  0       Nulo   32     28     
28/08/1974  0       Nulo   31     26     
29/08/1974  0       Nulo   32     29     
30/08/1974  0       Nulo   30     26     
31/08/1974  0       Nulo   30     27     
02/09/1974  0       Nulo   30     24     
03/09/1974  0       Nulo   31     26     
04/09/1974  0       Nulo   35     20     
05/09/1974  0       Nulo   34     21     
06/09/1974  8       Nulo   35     22     
07/09/1974  0       Nulo   36     21     
09/09/1974  0       Nulo   37     20     
10/09/1974  0       Nulo   39     22     
11/09/1974  0       Nulo   40     21     
12/09/1974  0       Nulo   39     22     
13/09/1974  0       Nulo   37     21     
14/09/1974  0       Nulo   38     20     
16/09/1974  0       Nulo   36     19     
17/09/1974  0       Nulo   36     19     
18/09/1974  0       Nulo   34     16     
19/09/1974  0       Nulo   33     14     
20/09/1974  0       Nulo   34     16     
21/09/1974  0       Nulo   33     16     
23/09/1974  0       Nulo   34     16     
24/09/1974  0       Nulo   38     18     
25/09/1974  0       Nulo   33     15     
26/09/1974  0       Nulo   34     16     
27/09/1974  0       Nulo   34     16     
28/09/1974  0       Nulo   37     17     
30/09/1974  0       Nulo   34     16     
01/10/1974  0       Nulo   30     20     
02/10/1974  0       Nulo   31     20     
03/10/1974  0       Nulo   32     20     
04/10/1974  0       Nulo   35     22     
05/10/1974  0       Nulo   34     20     
07/10/1974  0       Nulo   35     21     
08/10/1974  0       Nulo   34     20     
09/10/1974  0       Nulo   36     21     
10/10/1974  0       Nulo   34     18     
11/10/1974  0       Nulo   34     16     
12/10/1974  0       Nulo   34     16     
14/10/1974  0       Nulo   36     18     
15/10/1974  0       Nulo   37     17     
16/10/1974  0       Nulo   36     18     
17/10/1974  0       Nulo   34     20     
18/10/1974  0       Nulo   34     18     
19/10/1974  0       Nulo   33     16     
21/10/1974  6       Nulo   34     14     
22/10/1974  0       Nulo   34     14     
23/10/1974  0       Nulo   34     14     
24/10/1974  0       Nulo   34     10     
25/10/1974  0       Nulo   34     10     
26/10/1974  0       Nulo   34     26     
28/10/1974  0       Nulo   34     8      
29/10/1974  0       Nulo   37     8      
30/10/1974  0       Nulo   35     8      
31/10/1974  0       Nulo   35     7      
01/11/1974  0       Nulo   35     8      
02/11/1974  0       Nulo   35     4      
04/11/1974  0       Nulo   25     5      
05/11/1974  0       Nulo   25     5      
06/11/1974  0       Nulo   24     5      
08/11/1974  0       Nulo   27     5      
09/11/1974  0       Nulo   27     5      
11/11/1974  0       Nulo   28     5      
12/11/1974  0       Nulo   28     5      
13/11/1974  0       Nulo   28     5      
14/11/1974  0       Nulo   30     5      
15/11/1974  0       Nulo   30     5      
16/11/1974  0       Nulo   30     5      
18/11/1974  0       Nulo   23     4      
19/11/1974  0       Nulo   32     4      
21/11/1974  0       Nulo   32     4      
22/11/1974  6       Nulo   32     4      
23/11/1974  0       Nulo   32     4      
25/11/1974  0       Nulo   28     3      
26/11/1974  0       Nulo   28     4      
27/11/1974  0       Nulo   29     4      
28/11/1974  0       Nulo   29     4      
29/11/1974  0       Nulo   29     5      
30/11/1974  0       Nulo   28     3      
02/12/1974  0       Nulo   27     5      
03/12/1974  0       Nulo   25     5      
04/12/1974  0       Nulo   25     5      
05/12/1974  0       Nulo   24     5      
06/12/1974  0       Nulo   24     4      
07/12/1974  0       Nulo   24     4      
