CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26186
NOMBRE    : EL TAPIRO
ESTADO    : SONORA
MUNICIPIO : CUMPAS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 030.236°
LONGITUD  : -109.817°
ALTITUD   : 898 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
11/11/1976  0       Nulo   28     Nulo   
12/11/1976  25      Nulo   26     1      
13/11/1976  0       Nulo   16     1      
14/11/1976  0       Nulo   18     1      
15/11/1976  0       Nulo   19     4      
16/11/1976  0       Nulo   21     5      
17/11/1976  0       Nulo   20     1.5    
18/11/1976  0       Nulo   30     2      
19/11/1976  0       Nulo   27     5      
20/11/1976  0       Nulo   20.5   3      
21/11/1976  0       Nulo   20     5.5    
22/11/1976  0       Nulo   23     3      
23/11/1976  0       Nulo   20     2      
24/11/1976  0       Nulo   20.5   5      
25/11/1976  1.1     Nulo   21     3      
26/11/1976  0       Nulo   23     6      
27/11/1976  0       Nulo   17     2      
28/11/1976  0       Nulo   20     1      
29/11/1976  0       Nulo   17     4      
30/11/1976  0       Nulo   18     6      
01/12/1976  0       Nulo   24     5      
03/12/1976  0       Nulo   19.5   9      
04/12/1976  0       Nulo   22     3      
05/12/1976  0       Nulo   25     1.5    
06/12/1976  0       Nulo   23     3      
07/12/1976  0       Nulo   24     1      
08/12/1976  0       Nulo   20.5   5      
09/12/1976  0       Nulo   21     4      
10/12/1976  0       Nulo   24.5   4.5    
11/12/1976  0       Nulo   24     3.5    
12/12/1976  0       Nulo   19.5   7      
13/12/1976  0       Nulo   20     7      
14/12/1976  0       Nulo   19.5   8      
15/12/1976  0       Nulo   19.5   5.5    
16/12/1976  0       Nulo   22     5      
17/12/1976  4       Nulo   24     8      
18/12/1976  0       Nulo   23     5      
19/12/1976  4       Nulo   22     6.5    
20/12/1976  1       Nulo   22.5   5      
21/12/1976  0       Nulo   19.5   7      
22/12/1976  0       Nulo   18     8      
23/12/1976  0       Nulo   19     6.5    
24/12/1976  0       Nulo   20     7      
25/12/1976  0       Nulo   21     6      
26/12/1976  0       Nulo   19.5   4      
27/12/1976  0       Nulo   17.5   5.5    
28/12/1976  0       Nulo   21     5      
29/12/1976  1       Nulo   19.5   2      
30/12/1976  4       Nulo   19.5   4      
31/12/1976  0       Nulo   20     3.5    
01/01/1977  1       Nulo   21     6      
02/01/1977  0       Nulo   24     2      
03/01/1977  0       Nulo   25     3      
04/01/1977  0       Nulo   24     2      
05/01/1977  0       Nulo   23     6      
06/01/1977  0       Nulo   25     1.5    
07/01/1977  0       Nulo   23     1.5    
08/01/1977  0       Nulo   22.5   4      
09/01/1977  0       Nulo   12     5      
10/01/1977  0       Nulo   25     2      
11/01/1977  0       Nulo   25     5.5    
12/01/1977  0       Nulo   22     7      
13/01/1977  0       Nulo   23     5      
14/01/1977  0       Nulo   22     6      
15/01/1977  0       Nulo   21     4      
16/01/1977  0       Nulo   25     3      
17/01/1977  0       Nulo   25     9      
18/01/1977  0       Nulo   24.5   6      
19/01/1977  0       3.3    32     8.5    
20/01/1977  2.5     1.8    20     4      
21/01/1977  14      1.7    24.5   10     
22/01/1977  2       1.7    20     9      
23/01/1977  0       0.1    25     7      
24/01/1977  0       4.5    20     6      
25/01/1977  0       4.7    20     5      
26/01/1977  0       5.1    30     7      
27/01/1977  0       1.9    32     4      
28/01/1977  0       3.2    29     6      
29/01/1977  15      2.1    23     7      
30/01/1977  1.5     1      18     4      
31/01/1977  0       1.6    17.5   5      
01/02/1977  0       4.2    20.5   3.5    
02/02/1977  0       4.5    21     4      
03/02/1977  0       3.8    22     4      
04/02/1977  0       4      21     7      
05/02/1977  0       3.3    22.5   6.5    
06/02/1977  0       3.5    21     5      
07/02/1977  0       3.6    23     7.5    
08/02/1977  0       4      22.5   7      
09/02/1977  0       4.6    22     7.5    
10/02/1977  0       3.9    20     7      
11/02/1977  0       5.1    21.5   6      
12/02/1977  0       4.9    23.5   6      
13/02/1977  0       4.2    22.5   5.5    
14/02/1977  0       5.2    26     5      
15/02/1977  0       5.2    24     6.5    
16/02/1977  0       6.3    27.5   7      
17/02/1977  0       4.9    29.5   9      
18/02/1977  0       5.3    30     5.5    
19/02/1977  0       6.7    30.5   7      
20/02/1977  0       5.2    29     7      
21/02/1977  0       6      29.5   6.5    
22/02/1977  0       7.5    28     6      
23/02/1977  0       6.9    25.5   8      
24/02/1977  0       7.7    26.5   6.5    
25/02/1977  0       5.8    23     10     
26/02/1977  0       4.2    19     3.5    
27/02/1977  0       5      19.5   2.5    
28/02/1977  0       5.2    23     4      
01/03/1977  0       7      27     6      
02/03/1977  0       5.2    20     5      
03/03/1977  0       5.2    15     0      
04/03/1977  0       2      17     2      
05/03/1977  0       5.4    20     3      
06/03/1977  0       5.3    19     3      
07/03/1977  0       5.3    25     6      
08/03/1977  0       4.6    27     7      
09/03/1977  0       3.9    30     7      
10/03/1977  0       Nulo   26     10     
11/03/1977  0       Nulo   20     5      
12/03/1977  0       Nulo   18.5   6      
13/03/1977  0       Nulo   22     7      
14/03/1977  0       Nulo   26     3      
15/03/1977  0       Nulo   27     4      
16/03/1977  0       Nulo   22     7      
17/03/1977  0       Nulo   25     10     
18/03/1977  0       Nulo   20     7.5    
19/03/1977  0       Nulo   25     5      
20/03/1977  0       Nulo   30     4      
21/03/1977  0       Nulo   28     7      
22/03/1977  0       Nulo   26     8      
23/03/1977  0       Nulo   25     8.5    
24/03/1977  0       Nulo   20     5      
25/03/1977  0       Nulo   18     5      
26/03/1977  0       Nulo   19.5   9      
27/03/1977  0       Nulo   16     3      
28/03/1977  0       Nulo   22     3.5    
29/03/1977  0       Nulo   21.5   4      
30/03/1977  0       Nulo   25     7.5    
31/03/1977  0       Nulo   26     8      
01/04/1977  0       Nulo   25     10     
02/04/1977  1       Nulo   27     11     
03/04/1977  0       Nulo   20.5   8      
04/04/1977  0       Nulo   25     7      
05/04/1977  0       Nulo   29     8.5    
06/04/1977  0       Nulo   31     9      
07/04/1977  0       Nulo   34     10.5   
08/04/1977  0       Nulo   37     7.5    
09/04/1977  0       Nulo   33     10     
10/04/1977  0       Nulo   30.5   14     
11/04/1977  0       Nulo   30     15     
12/04/1977  0       Nulo   31     9      
13/04/1977  0       Nulo   31.5   7      
14/04/1977  9       Nulo   27     9.5    
15/04/1977  1       Nulo   30     8      
16/04/1977  0       Nulo   25     9      
17/04/1977  0       Nulo   35     11     
18/04/1977  0       Nulo   31     12     
19/04/1977  0       Nulo   26     15     
20/04/1977  0       Nulo   33     13.5   
21/04/1977  0       Nulo   34     7      
22/04/1977  0       Nulo   32     11.5   
23/04/1977  0       Nulo   29     16     
24/04/1977  0       Nulo   33     17.5   
25/04/1977  0       Nulo   33     17.5   
26/04/1977  0       Nulo   33     16     
27/04/1977  0       Nulo   31     17.5   
28/04/1977  0       Nulo   35     16     
29/04/1977  0       Nulo   35     15     
30/04/1977  0       Nulo   34     13     
01/05/1977  0       Nulo   35     14.5   
02/05/1977  0       Nulo   34     16     
03/05/1977  0       Nulo   31     18.5   
04/05/1977  5.5     Nulo   26     17.5   
05/05/1977  0       Nulo   29     16     
06/05/1977  0       Nulo   30     15     
07/05/1977  0       Nulo   32     17     
08/05/1977  0       Nulo   32     18.5   
09/05/1977  0       Nulo   32     12     
10/05/1977  0       Nulo   31     17     
11/05/1977  0       Nulo   33     14.5   
12/05/1977  0       Nulo   33     17     
13/05/1977  0       Nulo   30     18     
14/05/1977  0       Nulo   27     13     
15/05/1977  0       Nulo   33     11.5   
16/05/1977  0       Nulo   31     12     
17/05/1977  0       Nulo   35     14     
18/05/1977  0       Nulo   35     17     
19/05/1977  0       Nulo   26     13     
20/05/1977  0       Nulo   30     14.5   
21/05/1977  0       Nulo   30     11.5   
22/05/1977  0       Nulo   35     13     
23/05/1977  0       Nulo   31     17     
24/05/1977  0       Nulo   32     16.5   
25/05/1977  0       Nulo   35     18     
26/05/1977  0       Nulo   33     12.5   
27/05/1977  0       Nulo   32     16     
28/05/1977  0       Nulo   35     17.5   
29/05/1977  0       Nulo   40     17.5   
30/05/1977  0       Nulo   40     18.5   
31/05/1977  0       Nulo   41.5   19.5   
01/06/1977  0       Nulo   39.5   23     
02/06/1977  0       Nulo   40     25     
03/06/1977  0       Nulo   36     24.5   
04/06/1977  0       Nulo   33.5   20     
05/06/1977  0       Nulo   35     19     
06/06/1977  0       Nulo   32     18.5   
07/06/1977  10      Nulo   32     19     
08/06/1977  0       Nulo   32     18.5   
09/06/1977  0       Nulo   33     20     
10/06/1977  0       Nulo   35     21     
11/06/1977  0       Nulo   35     19.5   
12/06/1977  0       Nulo   38     21     
13/06/1977  0       Nulo   39.5   20     
14/06/1977  0       Nulo   42     21.5   
15/06/1977  0       Nulo   39     22     
16/06/1977  0       Nulo   41     23.5   
17/06/1977  0       Nulo   43     24     
18/06/1977  0       Nulo   40     26     
19/06/1977  0       Nulo   41     26.5   
20/06/1977  0       Nulo   38     25.5   
21/06/1977  0       Nulo   35     23     
22/06/1977  1.5     Nulo   32.5   18     
23/06/1977  0       Nulo   32     16     
24/06/1977  0       Nulo   35     19.5   
25/06/1977  0       Nulo   44     20     
26/06/1977  0       Nulo   40     24.5   
27/06/1977  0       Nulo   39.5   26     
28/06/1977  0       Nulo   44     26.5   
29/06/1977  0       Nulo   43     26     
30/06/1977  0       Nulo   41     25     
01/07/1977  0       Nulo   35     20     
02/07/1977  6       Nulo   35     19.5   
03/07/1977  0       Nulo   36     18     
04/07/1977  0       Nulo   33     17.5   
05/07/1977  20      Nulo   34.5   20     
06/07/1977  2       Nulo   35     20     
07/07/1977  0       Nulo   33     20     
08/07/1977  10      Nulo   34.5   21.5   
09/07/1977  0       Nulo   38     22     
10/07/1977  0       Nulo   34     21     
11/07/1977  1       Nulo   37     20.5   
12/07/1977  16      Nulo   37     18.5   
13/07/1977  0       Nulo   33     19.5   
14/07/1977  13.9    Nulo   34     21     
15/07/1977  0       Nulo   35     21.5   
16/07/1977  0       Nulo   35     23     
