CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26197
NOMBRE    : EL VERANITO
ESTADO    : SONORA
MUNICIPIO : ALAMOS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.984°
LONGITUD  : -109.223°
ALTITUD   : 160 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/12/1976  0       Nulo   Nulo   Nulo   
11/12/1976  0       4.2    22     8.5    
12/12/1976  0       3      22     5.5    
13/12/1976  0       3      27.5   5.5    
14/12/1976  0       3.9    27.5   5.5    
15/12/1976  0       3      26.5   2.5    
16/12/1976  0       2      26     1.5    
17/12/1976  0       3      26.5   4      
18/12/1976  0       3      24.5   8.5    
19/12/1976  0       4      23.5   3.5    
20/12/1976  0       2.5    24.5   2      
21/12/1976  0       2.5    24     2.5    
22/12/1976  0       2.8    23.5   3      
23/12/1976  0       2.9    24     5      
24/12/1976  0       2.4    25     3      
25/12/1976  0       5.3    25     6      
26/12/1976  0       4.4    23     2      
27/12/1976  0       3.7    23     3      
28/12/1976  0       2.1    24.5   3      
29/12/1976  0       2.5    23     2.5    
30/12/1976  0       0.8    23     1      
31/12/1976  0       2.9    34     5      
01/01/1977  0       1.7    23.5   1      
02/01/1977  0       3      26     3.5    
03/01/1977  0       1.3    22.5   2.5    
04/01/1977  0       3.7    20.5   2.5    
05/01/1977  0       4.7    22     1.5    
06/01/1977  0       0.6    20.5   6      
07/01/1977  0       1.8    20     3.5    
08/01/1977  0       5.2    21.5   3      
09/01/1977  0       1.4    22     4      
10/01/1977  0       2.7    20.5   1.5    
11/01/1977  0       3      22.5   4.5    
12/01/1977  0       3.1    23     3.5    
13/01/1977  0       4.9    22     5      
14/01/1977  0       2.2    24.5   4      
15/01/1977  0       3.1    20     5      
16/01/1977  0       2.2    27.5   5.5    
17/01/1977  0       1.6    30     6      
18/01/1977  0       1.7    25     8.5    
19/01/1977  11.1    1.9    30     9      
20/01/1977  0       0.2    22     4.5    
21/01/1977  0       0.8    24.5   5      
22/01/1977  0       2.6    25     2.5    
23/01/1977  0       2.7    26     5.5    
24/01/1977  0       4.4    26     6      
25/01/1977  0       3.3    26.5   5.5    
26/01/1977  0       1.3    25     8      
27/01/1977  0       3.6    26     10     
28/01/1977  0       1.8    19     9.5    
29/01/1977  0       3.2    22     8      
30/01/1977  0       2.6    26.5   7      
31/01/1977  0       2.4    25     4.5    
01/02/1977  0       3.2    27     10     
02/02/1977  0       3.4    27.5   6      
03/02/1977  0       5.4    24     8      
04/02/1977  0       1.3    23.5   6.5    
05/02/1977  0       5.8    27.5   7      
06/02/1977  0       5.8    27     6      
07/02/1977  0       6.7    28     5      
08/02/1977  0       4.7    27.5   4.5    
09/02/1977  0       4.9    28.5   6.5    
10/02/1977  0       4.9    29     8      
11/02/1977  0       5.1    29     6.5    
12/02/1977  0       8      30     6      
13/02/1977  0       6.1    31     9      
14/02/1977  0       4.6    30.5   6.5    
15/02/1977  0       8.7    31     8.5    
16/02/1977  0       2.7    33     10     
17/02/1977  0       4.6    23     9.5    
18/02/1977  0       5.2    26     9      
19/02/1977  0       7.3    31     10     
20/02/1977  0       8.3    31     9      
