CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26200
NOMBRE    : SANTA CRUZ
ESTADO    : SONORA
MUNICIPIO : SANTA CRUZ
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 031.233°
LONGITUD  : -110.6°
ALTITUD   : 1360 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
13/08/1977  1.5     Nulo   Nulo   Nulo   
14/08/1977  1.4     5.4    30     20     
15/08/1977  26.5    6.1    28.5   17.5   
16/08/1977  1.2     5.4    29     18     
17/08/1977  0       5.8    30     17     
18/08/1977  4.2     7.5    31     19     
19/08/1977  1.8     6.4    30     18.5   
20/08/1977  13      6.4    28     18     
21/08/1977  0       5.3    29     17     
22/08/1977  0       5.8    28.5   15     
23/08/1977  0       4.8    30     17     
24/08/1977  0       6.9    29.5   18.5   
25/08/1977  0       6.1    31     17     
26/08/1977  0       9.7    30     17.5   
27/08/1977  0       5.4    28     16.5   
28/08/1977  0       6.3    29     17     
29/08/1977  0       6.8    30     18     
30/08/1977  0.7     7.1    30     19     
31/08/1977  0       5.9    30.5   18.5   
01/09/1977  9       2.5    30     19     
02/09/1977  9.4     6.2    31     19     
03/09/1977  0.7     5.1    31     21     
04/09/1977  3.5     3.2    32     20     
05/09/1977  9.7     3.5    31     18     
06/09/1977  0       8.4    28     14     
07/09/1977  0       3.3    36     15     
08/09/1977  0       6.2    33     18     
09/09/1977  0       7.9    34     14     
10/09/1977  1.4     3.2    29     15     
11/09/1977  24      2.9    28     12     
12/09/1977  2       5.4    26.5   12.5   
13/09/1977  0       4.1    28     13     
14/09/1977  0       3.1    31     12.5   
15/09/1977  0       6      30     12.5   
16/09/1977  0       7.1    28     18     
17/09/1977  0       4.8    26     16     
18/09/1977  0       6.2    31.5   13     
