CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26247
NOMBRE    : SAHUARIBO
ESTADO    : SONORA
MUNICIPIO : ALAMOS
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.353°
LONGITUD  : -108.675°
ALTITUD   : 1353 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1982  0       Nulo   26     5      
02/01/1982  0       Nulo   21     3      
03/01/1982  0       Nulo   23     7      
04/01/1982  0       Nulo   28     7.5    
05/01/1982  0       Nulo   27     10     
06/01/1982  0       Nulo   26     8      
07/01/1982  0       Nulo   26     9      
08/01/1982  0       Nulo   27     2      
09/01/1982  0       Nulo   30     2      
10/01/1982  0       Nulo   27.5   5.5    
11/01/1982  0       Nulo   22     7.5    
12/01/1982  0       Nulo   27.5   7.5    
13/01/1982  0       Nulo   23     5      
14/01/1982  0       Nulo   26     10     
15/01/1982  0       Nulo   24     6      
16/01/1982  0       Nulo   27.5   8      
17/01/1982  0       Nulo   29     4.5    
18/01/1982  0       Nulo   28     5      
19/01/1982  0       Nulo   27     3      
20/01/1982  9       Nulo   24     7.5    
21/01/1982  0       Nulo   22     8.5    
22/01/1982  0       Nulo   24     12     
23/01/1982  0       Nulo   30     5      
24/01/1982  0       Nulo   24     11     
25/01/1982  0       Nulo   30     9      
26/01/1982  0       Nulo   30     7.5    
27/01/1982  0       Nulo   29.5   9      
28/01/1982  0       Nulo   26     7.5    
29/01/1982  0       Nulo   22     7.5    
30/01/1982  0       Nulo   22     10     
31/01/1982  0       Nulo   25     9      
01/02/1982  0       Nulo   20     10     
02/02/1982  0       Nulo   21     10     
03/02/1982  0       Nulo   28     11     
04/02/1982  0       Nulo   24     3      
05/02/1982  0       Nulo   24     4      
06/02/1982  0       Nulo   26     5      
07/02/1982  0       Nulo   24     7      
08/02/1982  0       Nulo   29     8      
09/02/1982  0       Nulo   26     8      
