CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26272
NOMBRE    : SUAQUI GRANDE (DGE)
ESTADO    : SONORA
MUNICIPIO : SUAQUI GRANDE
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 028.395°
LONGITUD  : -109.89°
ALTITUD   : 245 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   27.5   3.5    
02/01/1961  0       Nulo   29     3.5    
03/01/1961  0       Nulo   30     3.5    
04/01/1961  0       Nulo   20     5      
05/01/1961  13      Nulo   22.5   11     
06/01/1961  0       Nulo   23     12     
07/01/1961  0       Nulo   29     5      
08/01/1961  0       Nulo   30     6      
09/01/1961  0       Nulo   30.5   6      
10/01/1961  0       Nulo   31     5      
11/01/1961  0       Nulo   33     4      
12/01/1961  0       Nulo   31.5   3      
13/01/1961  0       Nulo   32     3.5    
14/01/1961  0       Nulo   32     2.5    
15/01/1961  0       Nulo   33     1.5    
16/01/1961  0       Nulo   30     2      
17/01/1961  0       Nulo   27     6      
18/01/1961  1.5     Nulo   27.5   12     
19/01/1961  28      Nulo   23     13     
20/01/1961  5.5     Nulo   24.5   12     
21/01/1961  16.5    Nulo   20     12     
22/01/1961  10.5    Nulo   25     10     
23/01/1961  7.5     Nulo   19.5   13.5   
24/01/1961  8       Nulo   24.5   11     
25/01/1961  0       Nulo   28     8      
26/01/1961  0       Nulo   28     9      
27/01/1961  0       Nulo   28.5   11     
28/01/1961  0       Nulo   28     8      
29/01/1961  0       Nulo   29     5      
30/01/1961  0       Nulo   29     7      
31/01/1961  0       Nulo   31     11     
01/02/1961  0       Nulo   31     8      
02/02/1961  0       Nulo   32     8.5    
03/02/1961  0       Nulo   33     7      
04/02/1961  0       Nulo   31     5.5    
05/02/1961  0       Nulo   30     5      
06/02/1961  0       Nulo   26     5      
07/02/1961  0       Nulo   28     4      
08/02/1961  0       Nulo   29.5   3      
09/02/1961  0       Nulo   31     3      
10/02/1961  0       Nulo   34     3.5    
11/02/1961  0       Nulo   34     4.5    
12/02/1961  0       Nulo   36     5      
13/02/1961  0       Nulo   36     6      
14/02/1961  0       Nulo   35.5   6      
15/02/1961  0       Nulo   34.5   5      
16/02/1961  0       Nulo   32     5      
17/02/1961  0       Nulo   29     7      
18/02/1961  0       Nulo   31     3      
19/02/1961  0       Nulo   24     5      
20/02/1961  0       Nulo   27     3      
21/02/1961  0       Nulo   31     5      
22/02/1961  0       Nulo   32     3      
23/02/1961  0       Nulo   32     4.5    
24/02/1961  0       Nulo   28     8      
