CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26290
NOMBRE    : HUASABAS
ESTADO    : SONORA
MUNICIPIO : HUASABAS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 029.903°
LONGITUD  : -109.3°
ALTITUD   : 1324 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
20/06/1984  0       Nulo   41     Nulo   
21/06/1984  0       13.7   41     27     
22/06/1984  0       8.1    33     28     
23/06/1984  0.8     6      37     26     
24/06/1984  61.5    7.8    38     23     
25/06/1984  1       4.4    35     20.5   
26/06/1984  0       10.1   38     23     
27/06/1984  10.8    5.8    40.5   24     
28/06/1984  0       7.1    36     22     
29/06/1984  2.5     4.1    32.5   24     
30/06/1984  3       7.4    35     22     
01/07/1984  2.8     4.9    32     20     
02/07/1984  17.2    10.2   38     21     
03/07/1984  0       6.8    36     20     
04/07/1984  0       6.1    36     22     
05/07/1984  0       10.9   38     22     
06/07/1984  0       7.3    36     25     
07/07/1984  0       9.1    32     23     
08/07/1984  0       8      32     22.5   
09/07/1984  11.4    6.4    39     22     
10/07/1984  12.8    9.4    37     19     
11/07/1984  3.5     4.5    33     21     
12/07/1984  0       4      36     23     
13/07/1984  8.5     3.5    32     21     
14/07/1984  0       3.3    33     20     
15/07/1984  1       3.9    34     22     
16/07/1984  0       6.1    34     22     
17/07/1984  0       5      32     22     
18/07/1984  0       5.1    33     21     
19/07/1984  0       7.2    35     23     
20/07/1984  21.5    8.6    34     22     
21/07/1984  0       7.7    32     19     
22/07/1984  1       10     34     22     
23/07/1984  2.7     9.3    34     22     
24/07/1984  0       6.2    35     20     
25/07/1984  0       5.2    36     24     
26/07/1984  0       5.8    36     22     
27/07/1984  0       4.9    34     21     
28/07/1984  0       3.6    37     21     
29/07/1984  0       6.1    37     21     
30/07/1984  0       8.1    37     22     
31/07/1984  0       8.4    39     23     
01/08/1984  43.3    7.9    38     23     
02/08/1984  0       7.6    35     20     
03/08/1984  0       6      38     24     
04/08/1984  2.6     6.6    38     26     
05/08/1984  0       6.2    35     23     
06/08/1984  24.5    7.2    38     23     
07/08/1984  44.3    Nulo   30     21     
08/08/1984  5.4     4.6    34     20     
09/08/1984  4.5     5.4    35     22     
10/08/1984  0       6.5    30     21     
11/08/1984  85.3    6.3    32     22     
12/08/1984  0       Nulo   34     22     
13/08/1984  0       4.6    33     20     
14/08/1984  0       5.1    33     22     
15/08/1984  0       4.6    34     23     
16/08/1984  28.8    3.8    31     21     
17/08/1984  0       5.5    32     18     
18/08/1984  0       5.6    29     18     
19/08/1984  0       3.1    32     20     
20/08/1984  0       6      33     20     
21/08/1984  1.6     6.8    36     22     
22/08/1984  4.1     5.3    34     21     
23/08/1984  0       5.5    34     19     
24/08/1984  0       7.8    35     20     
25/08/1984  0       3      32     20     
26/08/1984  1       8.2    35     21     
27/08/1984  0       8.6    34     21     
28/08/1984  0       4.5    38     22     
29/08/1984  0       10     40     23     
30/08/1984  1       7.1    39     24     
31/08/1984  0       6.3    35     21     
01/09/1984  2.2     4.6    33     21.5   
02/09/1984  0       4.5    35     20     
03/09/1984  0       3.9    37     21     
04/09/1984  0       11.9   36     21     
05/09/1984  0       9.4    35     22     
06/09/1984  0       6.4    36     16     
07/09/1984  0       6.8    37     18     
08/09/1984  0       8.1    36     22     
09/09/1984  9.2     11     38     24     
10/09/1984  5       6      35     20     
11/09/1984  0       4.4    34     20     
12/09/1984  0       5.8    37     21     
13/09/1984  0       12.2   38     20     
14/09/1984  0       6.7    38     21     
15/09/1984  0       8.3    38     22     
16/09/1984  0       6.9    37     19     
17/09/1984  0       4.9    38     13     
18/09/1984  0       9.8    38     17     
19/09/1984  0       4.9    37     16     
20/09/1984  0       9.6    37     14     
21/09/1984  8.1     6.1    36     17     
22/09/1984  0       4      32     17     
23/09/1984  0       7.3    34     17     
24/09/1984  0       5.8    35     18     
25/09/1984  0       8.8    37     21     
26/09/1984  0       5.7    39     21     
27/09/1984  0       5.4    38     19     
28/09/1984  0       9.5    37     18     
29/09/1984  0       5.6    36     18     
30/09/1984  0       5.8    34     17     
01/10/1984  0       7.8    38     22     
02/10/1984  9       2.8    24     20     
03/10/1984  0       2.5    27     18     
04/10/1984  0       4      29     16     
05/10/1984  0       3.8    27     14     
06/10/1984  0       6.4    31     15     
07/10/1984  0       4.4    33     14     
08/10/1984  0       7.1    34     13     
09/10/1984  0       4.6    33     14     
10/10/1984  3       4.3    37     16     
11/10/1984  1.2     7.1    34     15     
12/10/1984  3.6     3      30     17     
13/10/1984  0       6.9    30     14     
14/10/1984  0       5.6    28     16     
15/10/1984  0       6.1    27     19     
16/10/1984  0       6.5    28     18     
17/10/1984  0       6      28     18     
18/10/1984  0       7.8    24     19     
19/10/1984  0       6.3    27     11     
20/10/1984  0       4.6    25     16     
21/10/1984  0       7.2    27     17     
22/10/1984  0       3.8    25     14     
23/10/1984  6.1     3.5    26     13     
24/10/1984  0       4.5    23     12     
25/10/1984  19      2.2    19     13     
26/10/1984  8       7.1    20     12     
27/10/1984  0       5.2    24     7      
28/10/1984  0       1.7    22     8      
29/10/1984  0       3.4    29     8      
30/10/1984  0       4      28     8      
31/10/1984  0       3.7    29     7      
01/11/1984  0       4.6    29     6      
02/11/1984  0       3.7    30     7      
03/11/1984  0       4      30     6      
04/11/1984  0       3.8    29     6      
