CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26300
NOMBRE    : VALLE DE YAQUI KM. 014
ESTADO    : SONORA
MUNICIPIO : CAJEME
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.707°
LONGITUD  : -109.896°
ALTITUD   : 86 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1987  0       6.6    41     25     
02/09/1987  0       8.5    37.5   24.5   
03/09/1987  1       3.6    31     23.5   
04/09/1987  0       7.6    36.5   22     
05/09/1987  0       8.4    39.5   23.5   
06/09/1987  0       9      40     22     
07/09/1987  0       9.3    41     22.5   
08/09/1987  0       10     41.5   19     
09/09/1987  0       12.6   41.5   18.5   
10/09/1987  0       7.4    40     19     
11/09/1987  0       10.2   39     19     
12/09/1987  0       10.4   38.5   22.5   
13/09/1987  0       9.4    36.5   24.5   
14/09/1987  0       2      29     25     
15/09/1987  0       6.4    36.5   21.5   
16/09/1987  0       8.7    37     21.5   
17/09/1987  0       8.8    38     22     
18/09/1987  0       9.5    38.5   22     
19/09/1987  0       6.6    36     23     
20/09/1987  0       8.6    37     22     
21/09/1987  0       8      36.5   22     
22/09/1987  0       8.9    35.5   23     
23/09/1987  0       8      37.5   22     
24/09/1987  0       7.3    37     22.5   
25/09/1987  0       3.2    36     23     
26/09/1987  0       8.6    38     21     
27/09/1987  0       7.7    38     21.5   
28/09/1987  4       9.4    38     23.5   
29/09/1987  0       6.1    25     20.5   
30/09/1987  0       8.1    39     21.5   
01/10/1987  0       7.4    35     22.5   
02/10/1987  0       8.4    38     22     
03/10/1987  0       7.6    38     22     
04/10/1987  0       7.3    40.5   22     
05/10/1987  0       8.5    41     21.5   
06/10/1987  0       9.1    42     20.5   
07/10/1987  0       6.4    39     19.5   
08/10/1987  0       6.8    37     20     
09/10/1987  0       4.1    37.5   23     
10/10/1987  0       7.9    40.5   21.5   
11/10/1987  0       7.4    40     22     
12/10/1987  0       6.1    37.5   20     
13/10/1987  0       7.5    37     20.5   
14/10/1987  0       6.8    35     18     
15/10/1987  0       6.1    34     19     
16/10/1987  0       6.8    36.5   18     
17/10/1987  0       6.8    36     18.5   
18/10/1987  0       7      37.5   16.5   
19/10/1987  0       7      36     20.5   
20/10/1987  0       7      36     17.5   
21/10/1987  0       5.8    35.5   18     
22/10/1987  0       4.9    34     16.5   
23/10/1987  0       4.7    33     17     
24/10/1987  0       5.5    37     20     
25/10/1987  0       6.8    40     17     
26/10/1987  0       5.9    38     17     
27/10/1987  0       6      36     17     
28/10/1987  0       5.4    37     18     
29/10/1987  0       5      34     19.5   
30/10/1987  0       4.2    35     18     
31/10/1987  0       4      33.5   20     
01/11/1987  0       4.8    33.5   20     
02/11/1987  0       6.2    31.5   19     
03/11/1987  0       4.7    36.5   13     
04/11/1987  0       4.3    32     13.5   
05/11/1987  0       4.6    32     15     
06/11/1987  0       6      32.5   19.5   
07/11/1987  0       3.3    30     13     
08/11/1987  0       5.8    29     9.5    
09/11/1987  0       4.8    33     10     
10/11/1987  0       4.2    33     13.5   
11/11/1987  0       5.2    33     14     
12/11/1987  0       5      32     10.5   
13/11/1987  0       4.4    30.5   11     
14/11/1987  0       3.5    29.5   11     
15/11/1987  0       5.4    28     11     
16/11/1987  0       4.7    26     6.5    
