CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26308
NOMBRE    : PESQUEIRA (CESUES)
ESTADO    : SONORA
MUNICIPIO : SAN MIGUEL DE HORCASITAS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 029.381°
LONGITUD  : -110.901°
ALTITUD   : 334 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
17/02/1992  0       Nulo   25     Nulo   
18/02/1992  0       Nulo   26     4      
19/02/1992  0       Nulo   28     6      
20/02/1992  0       Nulo   28     8      
21/02/1992  0       Nulo   29     7      
22/02/1992  0       Nulo   27     9      
23/02/1992  0       Nulo   25     8      
24/02/1992  0       Nulo   27     8      
25/02/1992  0       Nulo   26     8      
26/02/1992  0       Nulo   26     7      
27/02/1992  0       Nulo   28     9      
28/02/1992  0       Nulo   28     10     
29/02/1992  20      Nulo   29     6      
01/03/1992  0       Nulo   21     10     
02/03/1992  0       Nulo   21     6      
03/03/1992  0       Nulo   23     7      
04/03/1992  0       Nulo   26     7      
05/03/1992  5.5     Nulo   19     7      
06/03/1992  0       Nulo   18     5      
07/03/1992  0       Nulo   18     7      
08/03/1992  0       Nulo   24     7      
09/03/1992  0       Nulo   24     7      
10/03/1992  0       Nulo   27     8      
11/03/1992  0       Nulo   29     7      
12/03/1992  0       Nulo   31     8      
13/03/1992  0       Nulo   29     9      
14/03/1992  0       Nulo   27     9      
15/03/1992  0       Nulo   26     8      
16/03/1992  0       Nulo   23     9      
17/03/1992  0       Nulo   28     5      
18/03/1992  0       Nulo   24     6      
19/03/1992  0       Nulo   24     7      
20/03/1992  0       Nulo   24     9      
21/03/1992  0       Nulo   26     9      
22/03/1992  0       Nulo   28     7      
23/03/1992  0       Nulo   30     6      
24/03/1992  16      Nulo   27     9      
25/03/1992  6       Nulo   27     8      
26/03/1992  0       Nulo   22     8      
27/03/1992  0       Nulo   24     12     
28/03/1992  0       Nulo   25     8      
29/03/1992  0       Nulo   26     9      
30/03/1992  0       Nulo   27     9      
31/03/1992  3       Nulo   27     7      
01/04/1992  0       Nulo   21     7      
02/04/1992  0       Nulo   24     8      
03/04/1992  0       Nulo   26     8      
04/04/1992  0       Nulo   27     8      
05/04/1992  0       Nulo   30     8      
06/04/1992  0       Nulo   33     8      
07/04/1992  0       Nulo   32     9      
08/04/1992  0       Nulo   32     11     
09/04/1992  0       Nulo   33     10     
10/04/1992  0       Nulo   34     11     
11/04/1992  0       Nulo   34     10     
12/04/1992  0       Nulo   32     12     
13/04/1992  0       Nulo   29     10     
14/04/1992  0       Nulo   29     12     
15/04/1992  0       Nulo   27     11     
16/04/1992  0       Nulo   32     11     
17/04/1992  0       Nulo   31     10     
18/04/1992  0       Nulo   30     12     
19/04/1992  0       Nulo   30     12     
20/04/1992  0       Nulo   33     8      
21/04/1992  0       Nulo   34     10     
22/04/1992  0       Nulo   36     10     
23/04/1992  0       Nulo   38     12     
24/04/1992  0       Nulo   38     13     
25/04/1992  0       Nulo   39     13     
26/04/1992  0       Nulo   41     16     
27/04/1992  0       Nulo   40     18     
28/04/1992  0       Nulo   41     18     
29/04/1992  0       Nulo   40     17     
30/04/1992  0       Nulo   39     17     
01/05/1992  0       Nulo   36     19     
02/05/1992  0       Nulo   36     17     
03/05/1992  0       Nulo   37     13     
04/05/1992  0       Nulo   34     13     
05/05/1992  0       Nulo   33     16     
06/05/1992  0       Nulo   33     12     
07/05/1992  0       Nulo   33     11     
08/05/1992  0       Nulo   32     12     
09/05/1992  0       Nulo   31     12     
10/05/1992  0       Nulo   34     16     
11/05/1992  0       Nulo   37     14     
12/05/1992  0       Nulo   38     14     
13/05/1992  0       Nulo   37     15     
14/05/1992  0       Nulo   36     17     
15/05/1992  0       Nulo   37     16     
16/05/1992  0       Nulo   32     13     
17/05/1992  0       Nulo   39     16     
18/05/1992  0       Nulo   37     19     
19/05/1992  0       Nulo   33     20     
20/05/1992  0       Nulo   32     17     
21/05/1992  0       Nulo   28     17     
22/05/1992  0       Nulo   30     10     
23/05/1992  0       Nulo   32     13     
24/05/1992  0       Nulo   30     12     
25/05/1992  0       Nulo   34     13     
26/05/1992  0       Nulo   34     15     
27/05/1992  0       Nulo   34     14     
28/05/1992  0       Nulo   33     14     
29/05/1992  0       Nulo   34     14     
30/05/1992  0       Nulo   36     16     
31/05/1992  0       Nulo   38     16     
01/06/1992  0       Nulo   40     19     
02/06/1992  0       Nulo   40     18     
03/06/1992  0       Nulo   40     20     
04/06/1992  0       Nulo   38     19     
05/06/1992  0       Nulo   37     19     
06/06/1992  0       Nulo   34     16     
07/06/1992  0       Nulo   34     18     
08/06/1992  0       Nulo   36     13     
09/06/1992  0       Nulo   37     17     
10/06/1992  0       Nulo   38     17     
11/06/1992  0       Nulo   38     18     
12/06/1992  0       Nulo   39     14     
13/06/1992  0       Nulo   37     16     
14/06/1992  0       Nulo   38     14     
15/06/1992  0       Nulo   38     14     
16/06/1992  0       Nulo   38     14     
17/06/1992  0       Nulo   39     16     
