CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26316
NOMBRE    : RANCHO EL 17
ESTADO    : SONORA
MUNICIPIO : LA COLORADA
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 028.897°
LONGITUD  : -110.832°
ALTITUD   : 239 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/2012  0       Nulo   Nulo   Nulo   
02/07/2012  28.5    Nulo   34     Nulo   
03/07/2012  0       Nulo   37     26     
04/07/2012  0       Nulo   38     26     
05/07/2012  0       Nulo   40     25     
06/07/2012  0.2     Nulo   41     29     
07/07/2012  0       Nulo   42     27     
08/07/2012  0       Nulo   42     27     
09/07/2012  1.5     Nulo   40     28     
10/07/2012  0       Nulo   Nulo   25     
11/07/2012  0       Nulo   Nulo   Nulo   
12/07/2012  10.7    Nulo   43     Nulo   
13/07/2012  0       Nulo   34     24     
14/07/2012  0       Nulo   36     24     
15/07/2012  0       Nulo   39     25     
16/07/2012  0.9     Nulo   36.5   25     
17/07/2012  0       Nulo   37     24.5   
18/07/2012  0       Nulo   37     26     
19/07/2012  21.3    Nulo   Nulo   24     
20/07/2012  0       Nulo   38     Nulo   
21/07/2012  0       Nulo   38     24     
22/07/2012  0       Nulo   40.5   23     
23/07/2012  0       Nulo   39     27.5   
24/07/2012  0       Nulo   37     25     
25/07/2012  0       Nulo   37     27     
26/07/2012  2.5     Nulo   36     25     
27/07/2012  0       Nulo   34     24     
28/07/2012  0       Nulo   34     24     
29/07/2012  0       Nulo   36     25     
30/07/2012  0.9     Nulo   38     26     
31/07/2012  0       Nulo   39     23     
01/08/2012  0       Nulo   41     25     
02/08/2012  0       Nulo   41     26     
03/08/2012  19      Nulo   42     26     
04/08/2012  0       Nulo   38     25     
05/08/2012  0       Nulo   41     25     
06/08/2012  0       Nulo   39     23     
07/08/2012  4.9     Nulo   39     26     
08/08/2012  0       Nulo   40     24     
09/08/2012  0       Nulo   41     24     
10/08/2012  0       Nulo   41     27.5   
11/08/2012  0       Nulo   44     29     
12/08/2012  0       Nulo   44     29     
13/08/2012  54      Nulo   41     29     
14/08/2012  0       Nulo   32     28     
15/08/2012  0       Nulo   33     23     
16/08/2012  0       Nulo   30     26     
17/08/2012  0       Nulo   31     24.5   
18/08/2012  14.4    Nulo   30     25     
19/08/2012  0       Nulo   32     22     
20/08/2012  0       Nulo   35     23.5   
21/08/2012  0       Nulo   35     26     
22/08/2012  0       Nulo   36     26     
23/08/2012  0       Nulo   38     27     
24/08/2012  0       Nulo   39     25     
25/08/2012  32      Nulo   39     27     
26/08/2012  0       Nulo   36     22     
27/08/2012  0       Nulo   36     25     
28/08/2012  7.2     Nulo   31     25     
29/08/2012  0       Nulo   33     22.5   
30/08/2012  0       Nulo   36     23.5   
31/08/2012  0       Nulo   36     26     
01/09/2012  0       Nulo   37     26     
02/09/2012  10      Nulo   38     25     
03/09/2012  0       Nulo   32     23     
04/09/2012  6.5     Nulo   29     23     
05/09/2012  2.5     Nulo   33     24     
06/09/2012  15.5    Nulo   33     24     
07/09/2012  0       Nulo   33     24     
08/09/2012  0.5     Nulo   35     24     
09/09/2012  0       Nulo   38     24     
10/09/2012  0       Nulo   36     23     
11/09/2012  0       Nulo   35     23     
12/09/2012  0       Nulo   35     24     
13/09/2012  0       Nulo   37     23.5   
14/09/2012  4       Nulo   39     24     
15/09/2012  0       Nulo   34     23     
16/09/2012  0       Nulo   35     22     
17/09/2012  0       Nulo   33     23     
18/09/2012  0       Nulo   40     23     
19/09/2012  0       Nulo   40     23     
20/09/2012  0       Nulo   40     24     
21/09/2012  0       Nulo   41     21     
22/09/2012  0       Nulo   39     23     
23/09/2012  0       Nulo   41     23     
24/09/2012  0       Nulo   39     22     
25/09/2012  0       Nulo   35     22     
26/09/2012  0       Nulo   37     24     
27/09/2012  1.3     Nulo   34     25     
28/09/2012  0       Nulo   39     22     
29/09/2012  0       Nulo   38     23     
30/09/2012  0       Nulo   41     23     
01/10/2012  0       Nulo   39     21     
02/10/2012  0       Nulo   40     23     
03/10/2012  0       Nulo   38     21     
04/10/2012  0       1.9    Nulo   19     
05/10/2012  0       Nulo   Nulo   Nulo   
06/10/2012  0       Nulo   Nulo   Nulo   
07/10/2012  0       Nulo   38     Nulo   
08/10/2012  0       Nulo   34     15     
09/10/2012  0       Nulo   34     16.5   
10/10/2012  0       Nulo   33     19     
11/10/2012  0       Nulo   30     17     
12/10/2012  0       Nulo   Nulo   13     
13/10/2012  0       Nulo   32     Nulo   
14/10/2012  0       Nulo   35     11     
15/10/2012  0       Nulo   31     18     
16/10/2012  0       Nulo   27     19     
17/10/2012  0       Nulo   32     20     
18/10/2012  0       Nulo   30     20     
19/10/2012  0       Nulo   34     21     
20/10/2012  0       Nulo   33     18     
21/10/2012  0       Nulo   34     14     
22/10/2012  0       Nulo   33     15     
23/10/2012  0       Nulo   33.5   14.5   
24/10/2012  0       Nulo   33     16     
25/10/2012  0       Nulo   33     11.5   
26/10/2012  0       Nulo   33     12     
27/10/2012  0       Nulo   Nulo   11     
28/10/2012  0       Nulo   34     Nulo   
29/10/2012  0       Nulo   34     12     
30/10/2012  0       Nulo   34     13     
31/10/2012  0       Nulo   33     12     
01/11/2012  0       Nulo   31     12     
02/11/2012  0       Nulo   31     13.5   
03/11/2012  0       Nulo   31     12.5   
04/11/2012  0       Nulo   34     12     
05/11/2012  0       Nulo   31     14     
06/11/2012  0       Nulo   35.5   13     
07/11/2012  0       Nulo   35     17     
08/11/2012  0       Nulo   34     17     
09/11/2012  0       Nulo   22     16     
10/11/2012  0       Nulo   24     11     
11/11/2012  0       Nulo   22     14     
12/11/2012  0       Nulo   29     12     
13/11/2012  0       Nulo   30     10     
14/11/2012  0       Nulo   23     11     
15/11/2012  0       Nulo   31     11     
16/11/2012  0       Nulo   31     18.5   
17/11/2012  0       Nulo   31.5   17.5   
18/11/2012  0       Nulo   30     13.5   
19/11/2012  0       Nulo   29     12     
20/11/2012  0       Nulo   30     11     
21/11/2012  0       Nulo   28     12     
22/11/2012  0       Nulo   28     11     
23/11/2012  0       Nulo   28     10     
24/11/2012  0       Nulo   Nulo   11     
25/11/2012  0       Nulo   33     Nulo   
26/11/2012  0       Nulo   29     11.5   
27/11/2012  0       Nulo   27.5   11     
28/11/2012  0       Nulo   28     12     
29/11/2012  0       Nulo   27.5   12     
30/11/2012  0       Nulo   27     11     
01/12/2012  0       Nulo   27.5   11     
02/12/2012  0       Nulo   26.5   11     
03/12/2012  0       Nulo   27     11.5   
04/12/2012  0       Nulo   30     11     
05/12/2012  0       Nulo   Nulo   8      
06/12/2012  0       Nulo   30     Nulo   
07/12/2012  0       Nulo   22     8      
08/12/2012  0       Nulo   26     7      
09/12/2012  0       Nulo   25     8      
10/12/2012  0       Nulo   Nulo   5.5    
11/12/2012  0       Nulo   24     Nulo   
12/12/2012  0       Nulo   Nulo   4      
13/12/2012  26      Nulo   26     Nulo   
14/12/2012  0.6     Nulo   18     7      
15/12/2012  0       Nulo   19     7      
16/12/2012  0       Nulo   14     7.5    
17/12/2012  0       Nulo   22     8      
18/12/2012  0       Nulo   18     5      
19/12/2012  0       Nulo   20     7      
20/12/2012  0       Nulo   19     7      
21/12/2012  0       Nulo   22     5      
22/12/2012  0       Nulo   21     8      
23/12/2012  0       Nulo   21     7      
24/12/2012  0       Nulo   21     4      
25/12/2012  0       Nulo   23     4      
26/12/2012  0       Nulo   22     2      
27/12/2012  0       Nulo   22     4      
28/12/2012  0       Nulo   20     4      
29/12/2012  0       Nulo   18     1.5    
30/12/2012  0       Nulo   18     2      
31/12/2012  0       Nulo   Nulo   4      
01/01/2013  0       Nulo   19     Nulo   
02/01/2013  0       Nulo   21     1      
03/01/2013  0       Nulo   19.5   2.5    
04/01/2013  0       Nulo   21.5   2.5    
05/01/2013  0       Nulo   23     6      
06/01/2013  0       Nulo   23     2      
07/01/2013  0       Nulo   18     2      
08/01/2013  0       Nulo   20     2.5    
09/01/2013  0       Nulo   24     3      
10/01/2013  0       Nulo   24.5   3      
11/01/2013  0       Nulo   17.5   2      
12/01/2013  0       Nulo   14     -1     
13/01/2013  0       Nulo   15     -4     
14/01/2013  0       Nulo   15     -3     
15/01/2013  0       Nulo   15.5   -3     
16/01/2013  0       Nulo   24     2      
17/01/2013  0       Nulo   26     -1     
18/01/2013  0       Nulo   28     1      
19/01/2013  0       Nulo   27     5      
20/01/2013  0       Nulo   28     6      
21/01/2013  0       Nulo   26     7      
22/01/2013  0       Nulo   30.5   8.5    
23/01/2013  0       Nulo   31     9.5    
24/01/2013  1       Nulo   29.5   11     
25/01/2013  11.5    Nulo   27     14     
26/01/2013  0       Nulo   20.5   16.5   
27/01/2013  0       Nulo   23.5   11     
28/01/2013  0       Nulo   19     10.5   
29/01/2013  0       Nulo   16.5   4.5    
30/01/2013  0       Nulo   20     4.5    
31/01/2013  0       Nulo   22.5   5      
01/02/2013  0       Nulo   26     3      
02/02/2013  0       Nulo   28     5      
03/02/2013  0       Nulo   22     11     
04/02/2013  0       Nulo   25     10     
05/02/2013  0       Nulo   24.5   7      
06/02/2013  0       Nulo   35     8.5    
07/02/2013  0       Nulo   26     4.5    
08/02/2013  0       Nulo   24.5   6      
09/02/2013  0       Nulo   13     5.5    
10/02/2013  0       Nulo   20.5   6      
11/02/2013  0       Nulo   12     3.5    
12/02/2013  0       Nulo   19.5   3      
13/02/2013  0       Nulo   21.5   -0.5   
14/02/2013  0       Nulo   25     1      
15/02/2013  0       Nulo   28     5      
16/02/2013  0       Nulo   29     8      
17/02/2013  0       Nulo   27     10     
18/02/2013  0       Nulo   28     3      
19/02/2013  0       Nulo   20.5   7      
20/02/2013  0       Nulo   18.5   6.5    
21/02/2013  0       Nulo   19.5   1.5    
22/02/2013  0       Nulo   21     2      
23/02/2013  0       Nulo   Nulo   6      
24/02/2013  0       Nulo   24     Nulo   
25/02/2013  0       Nulo   21.5   4      
26/02/2013  0       Nulo   24     7      
27/02/2013  0       Nulo   26     8      
28/02/2013  0       Nulo   27.5   4      
01/03/2013  0       Nulo   30.5   9      
02/03/2013  0       Nulo   35     8      
03/03/2013  0       Nulo   33.5   7      
04/03/2013  0       Nulo   30     9      
05/03/2013  0       Nulo   30     10     
06/03/2013  0       Nulo   30.5   12     
07/03/2013  0       Nulo   29     10.5   
08/03/2013  0       Nulo   23     12.5   
09/03/2013  0       Nulo   20     5      
10/03/2013  0       Nulo   25     9      
11/03/2013  0       Nulo   29     8      
12/03/2013  0       Nulo   32.5   8      
13/03/2013  0       Nulo   35     7.5    
14/03/2013  0       Nulo   38.5   11     
15/03/2013  0       Nulo   35     12.5   
16/03/2013  0       Nulo   Nulo   10     
17/03/2013  0       Nulo   Nulo   Nulo   
18/03/2013  0       Nulo   34     Nulo   
19/03/2013  0       Nulo   32     9      
20/03/2013  0       Nulo   33.5   10.5   
21/03/2013  0       Nulo   33.5   15     
22/03/2013  0       Nulo   30     13     
23/03/2013  0       Nulo   Nulo   12     
24/03/2013  0       Nulo   30.5   Nulo   
25/03/2013  0       Nulo   32     10     
26/03/2013  0       Nulo   33.5   10     
27/03/2013  0       Nulo   33     12     
28/03/2013  0       Nulo   33     13     
29/03/2013  0       Nulo   33     14     
30/03/2013  0       Nulo   33.5   16     
31/03/2013  0       Nulo   33.5   16     
01/04/2013  0       Nulo   32     10.5   
02/04/2013  0       Nulo   31     10.5   
03/04/2013  0       Nulo   33     12     
04/04/2013  0       Nulo   36     12     
05/04/2013  0       Nulo   35     14.5   
06/04/2013  0       Nulo   33     13.5   
07/04/2013  0       Nulo   32     12     
08/04/2013  0       Nulo   27.5   16     
09/04/2013  0       Nulo   23.5   11     
10/04/2013  0       Nulo   26.5   8      
11/04/2013  0       Nulo   30.5   8.5    
12/04/2013  0       Nulo   30.5   11     
13/04/2013  0       Nulo   31     10     
14/04/2013  0       Nulo   31     13     
15/04/2013  0       Nulo   30     15     
16/04/2013  0       Nulo   26.5   12     
17/04/2013  0       Nulo   29.5   10.5   
18/04/2013  0       Nulo   33.5   8      
19/04/2013  0       Nulo   33.5   7.5    
20/04/2013  0       Nulo   34     7.5    
21/04/2013  0       Nulo   35     10     
22/04/2013  0       Nulo   35     12     
23/04/2013  0       Nulo   35     11     
24/04/2013  0       Nulo   32     18     
25/04/2013  0       Nulo   34     11     
26/04/2013  0       Nulo   Nulo   11     
27/04/2013  0       Nulo   37     Nulo   
28/04/2013  0       Nulo   37     13     
29/04/2013  0       Nulo   35     16     
30/04/2013  0       Nulo   35     16     
01/05/2013  0       Nulo   40     13.5   
02/05/2013  0       Nulo   37     20     
03/05/2013  0       Nulo   33.5   20.5   
04/05/2013  0       Nulo   33.5   18     
05/05/2013  0       Nulo   32     17     
06/05/2013  0       Nulo   29     16     
07/05/2013  0       Nulo   30     14     
08/05/2013  0       Nulo   30     13     
09/05/2013  0       Nulo   31     13     
10/05/2013  0       Nulo   37     14     
11/05/2013  0       Nulo   37     21     
12/05/2013  0       Nulo   37     23     
13/05/2013  0       Nulo   37     20     
14/05/2013  0       Nulo   38     20.5   
15/05/2013  0       Nulo   37.5   18     
16/05/2013  0       Nulo   36.5   16     
17/05/2013  0       Nulo   Nulo   14     
18/05/2013  0       Nulo   36     Nulo   
19/05/2013  0       Nulo   36     13.5   
20/05/2013  0       Nulo   37     16     
21/05/2013  0       Nulo   38     16     
22/05/2013  0       Nulo   37     19     
23/05/2013  0       Nulo   36.5   15     
24/05/2013  0       Nulo   38     15     
25/05/2013  0       Nulo   36     14     
26/05/2013  0       Nulo   37     13     
27/05/2013  0       Nulo   36.5   13     
28/05/2013  0       Nulo   35     19     
29/05/2013  0       Nulo   35     20     
30/05/2013  0       Nulo   38     17     
31/05/2013  0       Nulo   40     18     
01/06/2013  0       Nulo   40     23     
02/06/2013  0       Nulo   41     21     
03/06/2013  0       Nulo   39.5   22     
04/06/2013  0       Nulo   40     17.5   
05/06/2013  0       Nulo   42     16     
06/06/2013  0       Nulo   40     16.5   
07/06/2013  0       Nulo   Nulo   22.5   
08/06/2013  0       Nulo   39.5   Nulo   
09/06/2013  0       Nulo   40     24     
10/06/2013  0       Nulo   40     25     
11/06/2013  0       Nulo   39.5   25     
12/06/2013  0       Nulo   39.5   25.5   
13/06/2013  0       Nulo   40     25     
14/06/2013  0       Nulo   Nulo   24     
15/06/2013  0       Nulo   41.5   Nulo   
16/06/2013  0       Nulo   43     20     
17/06/2013  0       Nulo   42.5   25     
18/06/2013  0       Nulo   42     24     
19/06/2013  0       Nulo   40.5   22     
20/06/2013  0       Nulo   39     23     
21/06/2013  0       Nulo   42     23.5   
22/06/2013  0       Nulo   41     25     
23/06/2013  0       Nulo   40     25     
24/06/2013  0       Nulo   41     21.5   
25/06/2013  5       Nulo   39     26     
26/06/2013  0       Nulo   40.5   26     
27/06/2013  0       Nulo   42.5   26     
28/06/2013  0       Nulo   43     27     
29/06/2013  0       Nulo   42     28     
30/06/2013  0       Nulo   42     20     
01/07/2013  6.3     Nulo   31     29     
02/07/2013  0       Nulo   41     Nulo   
03/07/2013  9       Nulo   40.5   27.5   
04/07/2013  0       Nulo   39.5   23.5   
05/07/2013  0       Nulo   39     22.5   
06/07/2013  0       Nulo   41.5   26     
07/07/2013  10.3    Nulo   38     28     
08/07/2013  23.5    Nulo   34     24     
09/07/2013  0       Nulo   34     23.5   
10/07/2013  0       Nulo   36.5   25.5   
11/07/2013  0       Nulo   41     26.5   
12/07/2013  0       Nulo   42     25.5   
13/07/2013  0       Nulo   40     26     
14/07/2013  0       Nulo   40     26     
15/07/2013  0       Nulo   39.5   26     
16/07/2013  9       Nulo   37     26.5   
17/07/2013  18.5    Nulo   35     22     
18/07/2013  11.5    Nulo   29     22.5   
19/07/2013  0       Nulo   36     23     
20/07/2013  0       Nulo   34.5   23.5   
21/07/2013  0       Nulo   36     24     
22/07/2013  0       Nulo   37     24.5   
23/07/2013  0       Nulo   38     26.5   
