CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 26402
NOMBRE    : BASCONCOBE
ESTADO    : SONORA
MUNICIPIO : ETCHOJOA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.95°
LONGITUD  : -109.667°
ALTITUD   : 18 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1984  0       2.4    26     8      
02/02/1984  0       2.5    26     7      
03/02/1984  0       2.5    27     6      
04/02/1984  0       2.8    26.5   6.5    
05/02/1984  2.3     2.5    27     6      
06/02/1984  0       2.4    25     8      
07/02/1984  0       2.4    26     8.5    
08/02/1984  0       2.4    25.5   6      
09/02/1984  0       3      26     8      
10/02/1984  0       2.9    25.8   8      
11/02/1984  0       2.6    26     7      
12/02/1984  0       3.8    26.5   8      
13/02/1984  0       2.5    26.5   9      
14/02/1984  0       2.7    25     4      
15/02/1984  0       2.6    25.5   4      
16/02/1984  0       2.8    26.5   5      
17/02/1984  0       2.5    25     4      
18/02/1984  0       2.5    25.5   2      
19/02/1984  0       8.1    26     2      
20/02/1984  0       3      21     1      
21/02/1984  0       2.9    22.5   1      
22/02/1984  0       3.8    25     2      
23/02/1984  0       2.4    22     5      
24/02/1984  0       2.4    22     0      
25/02/1984  0       2.4    21     5      
26/02/1984  0       2.4    24     5      
27/02/1984  0       2.8    23     1.5    
28/02/1984  0       3      23     4      
29/02/1984  Nulo    3.1    26.5   5      
01/06/1984  0       9.2    37     16     
02/06/1984  0       9.6    36     15     
03/06/1984  0       9.2    37     14     
04/06/1984  0       10     37     14     
05/06/1984  0       9      37     15     
06/06/1984  0       8.9    34     16     
07/06/1984  0       8.2    35     12     
08/06/1984  0       8.1    37     12     
09/06/1984  0       8.2    36     14.5   
10/06/1984  0       8.3    35     15     
11/06/1984  0       8.5    35     14     
12/06/1984  0       9      36     20     
13/06/1984  0       9.4    36     20     
14/06/1984  0       9      36.5   23     
15/06/1984  0       9      37.5   22     
16/06/1984  0       9      37.5   25     
17/06/1984  0       8.9    36.8   26     
18/06/1984  0       10.2   37.5   22     
19/06/1984  0       10     37     24     
