CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27017
NOMBRE    : HUIMANGUILLO (DGE)
ESTADO    : TABASCO
MUNICIPIO : HUIMANGUILLO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.829°
LONGITUD  : -93.392°
ALTITUD   : 36 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1949  11      Nulo   Nulo   Nulo   
02/09/1949  13.4    Nulo   Nulo   Nulo   
03/09/1949  7.7     Nulo   Nulo   Nulo   
04/09/1949  20      Nulo   Nulo   Nulo   
05/09/1949  1       Nulo   Nulo   Nulo   
06/09/1949  21      Nulo   Nulo   Nulo   
07/09/1949  1       Nulo   Nulo   Nulo   
08/09/1949  1       Nulo   Nulo   Nulo   
09/09/1949  19.8    Nulo   Nulo   Nulo   
10/09/1949  0       Nulo   Nulo   Nulo   
11/09/1949  0       Nulo   Nulo   Nulo   
12/09/1949  0       Nulo   Nulo   Nulo   
13/09/1949  1       Nulo   Nulo   Nulo   
14/09/1949  1       Nulo   Nulo   Nulo   
15/09/1949  0       Nulo   Nulo   Nulo   
16/09/1949  13.9    Nulo   Nulo   Nulo   
17/09/1949  23      Nulo   Nulo   Nulo   
18/09/1949  14.3    Nulo   Nulo   Nulo   
19/09/1949  0.5     Nulo   Nulo   Nulo   
20/09/1949  45.2    Nulo   Nulo   Nulo   
21/09/1949  0       Nulo   Nulo   Nulo   
22/09/1949  14.9    Nulo   Nulo   Nulo   
23/09/1949  0       Nulo   Nulo   Nulo   
24/09/1949  44      Nulo   Nulo   Nulo   
25/09/1949  3.5     Nulo   Nulo   Nulo   
26/09/1949  0       Nulo   Nulo   Nulo   
27/09/1949  7.8     Nulo   Nulo   Nulo   
28/09/1949  23      Nulo   Nulo   Nulo   
29/09/1949  43.5    Nulo   Nulo   Nulo   
30/09/1949  103.2   Nulo   Nulo   Nulo   
01/10/1949  38.5    Nulo   26.9   21.1   
02/10/1949  0       Nulo   33.5   21     
03/10/1949  34.5    Nulo   34     24     
04/10/1949  0       Nulo   34.5   21.1   
05/10/1949  0       Nulo   35.8   25     
06/10/1949  0       Nulo   36.2   23.5   
07/10/1949  0       Nulo   36     24.2   
08/10/1949  0       Nulo   35.5   24.5   
09/10/1949  5.7     Nulo   34.5   24.1   
10/10/1949  16.9    Nulo   33.8   24.1   
11/10/1949  12.7    Nulo   33.1   22.5   
12/10/1949  11.8    Nulo   32.8   23     
13/10/1949  18      Nulo   32.8   21.6   
14/10/1949  0       Nulo   31.2   21.8   
15/10/1949  23.5    Nulo   31.5   21.5   
16/10/1949  0       Nulo   30.8   21     
17/10/1949  0       Nulo   31.8   19.9   
18/10/1949  4.7     Nulo   32.8   21.9   
19/10/1949  0       Nulo   34     23.3   
20/10/1949  0       Nulo   34.5   22.8   
21/10/1949  0       Nulo   34.5   24.1   
22/10/1949  0       Nulo   31.5   23.9   
23/10/1949  0       Nulo   32.5   23     
24/10/1949  0       Nulo   33.5   21.9   
25/10/1949  5.9     Nulo   31     21.9   
26/10/1949  0.9     Nulo   29     21.5   
27/10/1949  0.7     Nulo   30.8   18.5   
28/10/1949  2.1     Nulo   31.1   21.5   
29/10/1949  4.5     Nulo   33.2   23.9   
30/10/1949  35.5    Nulo   32.5   23     
31/10/1949  18.7    Nulo   26.5   23.2   
01/11/1949  3.5     Nulo   26     18.7   
02/11/1949  3.1     Nulo   26.2   18.8   
03/11/1949  6.5     Nulo   27     18     
04/11/1949  0.5     Nulo   23.9   17.9   
05/11/1949  15.5    Nulo   22.5   18     
06/11/1949  9       Nulo   24.2   17.5   
07/11/1949  0       Nulo   25.8   18     
08/11/1949  0       Nulo   21.7   18.2   
09/11/1949  0       Nulo   29.7   17.5   
10/11/1949  0       Nulo   30     17.5   
11/11/1949  0       Nulo   32.8   14.9   
12/11/1949  4       Nulo   33.5   14     
13/11/1949  0       Nulo   24     16.5   
14/11/1949  0.1     Nulo   28     17.7   
15/11/1949  0       Nulo   29.9   12.3   
16/11/1949  2       Nulo   28.5   14.5   
17/11/1949  6       Nulo   26     17     
18/11/1949  0       Nulo   28     16.2   
19/11/1949  0       Nulo   27.5   14.5   
20/11/1949  0       Nulo   29.2   11.5   
21/11/1949  0       Nulo   30.2   14     
22/11/1949  0.3     Nulo   29.2   11.7   
23/11/1949  0       Nulo   28.5   12.5   
24/11/1949  0       Nulo   29.5   16     
25/11/1949  0       Nulo   31     17     
26/11/1949  0.2     Nulo   30.5   15.5   
27/11/1949  0       Nulo   30.5   16     
28/11/1949  0       Nulo   33     17     
29/11/1949  0       Nulo   32.5   17.5   
30/11/1949  0       Nulo   32     17     
01/12/1949  0       Nulo   31     17     
02/12/1949  0       Nulo   30.2   16.3   
03/12/1949  0       Nulo   30.5   17.8   
04/12/1949  0       Nulo   30     18     
05/12/1949  2.7     Nulo   27.8   18.3   
06/12/1949  0       Nulo   30.2   21.5   
07/12/1949  0       Nulo   30     20.5   
08/12/1949  0       Nulo   30.5   20.2   
09/12/1949  0       Nulo   30.5   22     
10/12/1949  0       Nulo   33     22.2   
11/12/1949  0       Nulo   33.5   18.5   
12/12/1949  0.2     Nulo   31.2   19     
13/12/1949  0       Nulo   31.7   21     
14/12/1949  0.2     Nulo   32.5   21.5   
15/12/1949  0       Nulo   31.5   18.5   
16/12/1949  0       Nulo   31.5   18     
17/12/1949  0       Nulo   30.2   19.9   
18/12/1949  0       Nulo   29     17     
19/12/1949  0       Nulo   32     18.1   
20/12/1949  0       Nulo   30     18.5   
21/12/1949  0       Nulo   32     19.5   
22/12/1949  29.2    Nulo   33     16     
23/12/1949  53.5    Nulo   31.5   19     
24/12/1949  0       Nulo   27     17.2   
25/12/1949  0       Nulo   27     18     
26/12/1949  6       Nulo   27.5   16.2   
27/12/1949  19.5    Nulo   25     19     
28/12/1949  3       Nulo   29.1   19.9   
29/12/1949  0       Nulo   29.8   17.4   
30/12/1949  0       Nulo   29.5   20     
31/12/1949  0.7     Nulo   29     19.5   
01/01/1950  15.4    Nulo   29.5   19.9   
