CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27020
NOMBRE    : JALPA DE MENDEZ
ESTADO    : TABASCO
MUNICIPIO : JALPA DE MENDEZ
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.172°
LONGITUD  : -93.045°
ALTITUD   : 10 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/1958  0.5     Nulo   33     24     
02/07/1958  18      Nulo   33     24     
03/07/1958  29      Nulo   31     24     
04/07/1958  4       Nulo   33     23.5   
05/07/1958  52      Nulo   30     23     
06/07/1958  103     Nulo   32     22     
07/07/1958  0       Nulo   34     23     
08/07/1958  2       Nulo   32     24     
09/07/1958  46      Nulo   34     24     
10/07/1958  5.5     Nulo   33     23.5   
11/07/1958  3       Nulo   32     23     
12/07/1958  0       Nulo   30     22     
13/07/1958  2       Nulo   32     23     
14/07/1958  0       Nulo   33     23     
15/07/1958  0       Nulo   34     23     
16/07/1958  0       Nulo   33     24.5   
17/07/1958  0       Nulo   33     23     
18/07/1958  10      Nulo   30     23     
19/07/1958  0       Nulo   31     23     
20/07/1958  0       Nulo   33     24     
21/07/1958  5       Nulo   34.5   24     
22/07/1958  0       Nulo   35.5   23     
23/07/1958  0       Nulo   33.5   24.5   
24/07/1958  6       Nulo   31     24.5   
25/07/1958  8       Nulo   33.5   23     
26/07/1958  0       Nulo   31     22.5   
27/07/1958  0       Nulo   32     23     
28/07/1958  0       Nulo   33     21     
29/07/1958  0       Nulo   34     22     
30/07/1958  8.5     Nulo   32     22     
31/07/1958  1       Nulo   32     20     
01/08/1958  25      4.2    32.5   23     
02/08/1958  21      2.6    31     23.5   
03/08/1958  19      2.6    32     24     
04/08/1958  0       2.5    32     21     
05/08/1958  0       3      33     22.5   
06/08/1958  0       3      33     22     
07/08/1958  8       3.2    33     22     
08/08/1958  0       4.2    34     22     
09/08/1958  0       3.3    32     22.5   
10/08/1958  0       3.2    32.5   22     
11/08/1958  20      4      35     23     
12/08/1958  0       2.6    32.5   23     
13/08/1958  0       3.5    33     22.5   
14/08/1958  0       4.4    33.5   23     
15/08/1958  0       4.4    34     24     
16/08/1958  0       3.6    33     24     
17/08/1958  0       5      35     23     
18/08/1958  0       5.9    35     24     
19/08/1958  0       6.1    35.5   24     
20/08/1958  0       3.6    33     24     
21/08/1958  0       4      33     23     
22/08/1958  0       4.2    34     23.5   
23/08/1958  0       4.1    34     23.5   
24/08/1958  0       3.9    33     24     
25/08/1958  12      5.4    34     24     
26/08/1958  26      4      32     23     
27/08/1958  0       4.2    32     22     
28/08/1958  0       3.9    33     22     
29/08/1958  0       3.9    34     22.5   
30/08/1958  0       4      35     23     
31/08/1958  0       4.9    33     24     
01/09/1958  66      4.3    33     23     
02/09/1958  4.5     3.7    32     23     
03/09/1958  0       3.7    33     22     
04/09/1958  9       4      32     22     
05/09/1958  20      3.6    33     23     
06/09/1958  18      3.2    32     22     
07/09/1958  32      3.1    33     24     
08/09/1958  12      2      32     23     
09/09/1958  24      3.2    33     21     
10/09/1958  0       3.2    33.5   23     
11/09/1958  40      3      33     23     
12/09/1958  0       3.5    33     23     
13/09/1958  1       3.9    32     22     
14/09/1958  0       3      33     22     
15/09/1958  0       3.3    33     22     
16/09/1958  0       2.8    33     23     
17/09/1958  12      2.3    33     24     
18/09/1958  0       2.6    31     23     
19/09/1958  0       3.3    32     22     
20/09/1958  0       3.1    33     22     
21/09/1958  19      3.8    33.5   23     
22/09/1958  0       3.2    33.5   22     
23/09/1958  5       6.3    34     25     
24/09/1958  0       4.5    33     23     
25/09/1958  5       3.2    33.5   23     
26/09/1958  15      5.1    33     22.5   
27/09/1958  4       4.8    33     22     
28/09/1958  5       4.9    33     23     
29/09/1958  0       2.7    32     23     
30/09/1958  0       3      33     23     
01/10/1958  0       6.2    35     23     
02/10/1958  5       3.2    33     23     
03/10/1958  4.5     2.3    32     23     
04/10/1958  0       3.9    33     23     
05/10/1958  5       2.3    32     23.5   
06/10/1958  0       3.2    33     22     
07/10/1958  0       4      33     23     
08/10/1958  0       3.9    33     23     
09/10/1958  5       3.8    33     23     
10/10/1958  4       4.4    34     23     
11/10/1958  0       5.2    34     24     
12/10/1958  5       4.8    33     24     
13/10/1958  2       5      34     23     
14/10/1958  0       4.2    33     23.5   
15/10/1958  0       3.7    33     24     
16/10/1958  0       1.9    29     24     
17/10/1958  2       2      29     24     
18/10/1958  4       2.2    31     24     
19/10/1958  8       3      32     24     
20/10/1958  0       3.2    33     24     
21/10/1958  0       3.6    33     24     
22/10/1958  0       3.8    33     21     
