CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27028
NOMBRE    : JONUTA
ESTADO    : TABASCO
MUNICIPIO : JONUTA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.092°
LONGITUD  : -92.139°
ALTITUD   : 6 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1950  0       Nulo   Nulo   Nulo   
02/09/1950  0       Nulo   Nulo   Nulo   
03/09/1950  0       Nulo   Nulo   Nulo   
04/09/1950  0       Nulo   Nulo   Nulo   
05/09/1950  0       Nulo   Nulo   Nulo   
06/09/1950  0       Nulo   Nulo   Nulo   
07/09/1950  0       Nulo   Nulo   Nulo   
08/09/1950  0       Nulo   Nulo   Nulo   
09/09/1950  0       Nulo   Nulo   Nulo   
10/09/1950  0       Nulo   Nulo   Nulo   
11/09/1950  0       Nulo   Nulo   Nulo   
12/09/1950  0       Nulo   Nulo   Nulo   
13/09/1950  0       Nulo   Nulo   Nulo   
14/09/1950  0       Nulo   Nulo   Nulo   
15/09/1950  0       Nulo   Nulo   Nulo   
16/09/1950  0       Nulo   Nulo   Nulo   
17/09/1950  0       Nulo   Nulo   Nulo   
18/09/1950  0       Nulo   Nulo   Nulo   
19/09/1950  0       Nulo   Nulo   Nulo   
20/09/1950  0       Nulo   Nulo   Nulo   
21/09/1950  0       Nulo   Nulo   Nulo   
22/09/1950  0       Nulo   Nulo   Nulo   
23/09/1950  0       Nulo   Nulo   Nulo   
24/09/1950  0       Nulo   Nulo   Nulo   
25/09/1950  0       Nulo   Nulo   Nulo   
26/09/1950  0       Nulo   33.5   Nulo   
27/09/1950  21.5    Nulo   34     23     
28/09/1950  4.5     Nulo   33.3   22     
29/09/1950  0       Nulo   32.3   22     
30/09/1950  60.3    Nulo   32.3   22.9   
01/10/1950  12      Nulo   31     22.3   
02/10/1950  1       Nulo   32     23     
03/10/1950  3.5     Nulo   31     23     
04/10/1950  12      Nulo   37     21     
05/10/1950  4       Nulo   31     23.3   
06/10/1950  4       Nulo   31.3   24     
07/10/1950  26.4    Nulo   30.3   23     
08/10/1950  3.5     Nulo   28     22.3   
09/10/1950  0       Nulo   26.3   23     
10/10/1950  0       Nulo   30     23     
11/10/1950  2.7     Nulo   31     23     
12/10/1950  1.5     Nulo   32.3   23.3   
13/10/1950  59.5    Nulo   31     23     
14/10/1950  0       Nulo   29     22.3   
15/10/1950  9       Nulo   31.3   22     
16/10/1950  11.5    Nulo   30     22     
17/10/1950  1.3     Nulo   29     21     
18/10/1950  1       Nulo   30     22     
19/10/1950  0       Nulo   31     22     
20/10/1950  0       Nulo   31     20     
21/10/1950  0       Nulo   31     21     
22/10/1950  0       Nulo   31     21.3   
23/10/1950  1.5     Nulo   32     23.3   
24/10/1950  77      Nulo   29     23     
25/10/1950  20      Nulo   28     22.3   
26/10/1950  3       Nulo   28.6   21.6   
27/10/1950  6.5     Nulo   30     22     
28/10/1950  2.3     Nulo   28     21.6   
29/10/1950  0       Nulo   30     22     
30/10/1950  0       Nulo   30     22     
31/10/1950  0       Nulo   29.7   21     
01/11/1950  0       Nulo   31     21.3   
02/11/1950  0       Nulo   31     22     
03/11/1950  0       Nulo   31     22.3   
04/11/1950  0       Nulo   22     21     
05/11/1950  1.7     Nulo   25     18.3   
06/11/1950  0       Nulo   27.3   17.6   
07/11/1950  0       Nulo   27.3   20     
08/11/1950  0       Nulo   29     18.3   
09/11/1950  0       Nulo   30     19.3   
10/11/1950  0       Nulo   30     22.3   
11/11/1950  0       Nulo   25.3   21     
12/11/1950  0       Nulo   29     20.3   
13/11/1950  0.1     Nulo   31     18     
14/11/1950  0       Nulo   28     21     
15/11/1950  0       Nulo   29.3   20.3   
16/11/1950  3.5     Nulo   31     20.3   
17/11/1950  5.5     Nulo   30     21     
18/11/1950  0       Nulo   29     20     
19/11/1950  0       Nulo   30     21     
20/11/1950  2.5     Nulo   22     20     
21/11/1950  0.1     Nulo   30     20.5   
22/11/1950  0       Nulo   30     20     
23/11/1950  12      Nulo   30     20.3   
24/11/1950  40      Nulo   30     21     
25/11/1950  1       Nulo   23     20.6   
26/11/1950  0       Nulo   25.3   21     
27/11/1950  0       Nulo   26.3   20     
28/11/1950  0       Nulo   23     19.3   
29/11/1950  0       Nulo   27     15     
30/11/1950  0       Nulo   28     16.3   
01/12/1950  0       Nulo   28     17     
02/12/1950  0       Nulo   29     17     
03/12/1950  0.1     Nulo   31     17     
04/12/1950  0       Nulo   30     17.3   
05/12/1950  0       Nulo   32     18     
06/12/1950  3       Nulo   28     19     
07/12/1950  0.1     Nulo   27     19     
08/12/1950  0       Nulo   26     17     
09/12/1950  3.5     Nulo   28.3   18     
10/12/1950  3.5     Nulo   28     20.3   
11/12/1950  0       Nulo   27     16.3   
12/12/1950  0       Nulo   27     14     
13/12/1950  0       Nulo   27     14     
14/12/1950  0       Nulo   28     15.3   
15/12/1950  0       Nulo   29     16     
16/12/1950  0       Nulo   29.3   16     
17/12/1950  18.4    Nulo   28     19.3   
18/12/1950  3       Nulo   23.3   18.6   
19/12/1950  0       Nulo   26     15     
20/12/1950  0       Nulo   29     14     
21/12/1950  0       Nulo   27     16.2   
22/12/1950  0       Nulo   30     19     
23/12/1950  0       Nulo   26     18     
24/12/1950  0       Nulo   27     18     
25/12/1950  0       Nulo   28     19     
26/12/1950  0       Nulo   29     16.3   
27/12/1950  0       Nulo   30     19     
28/12/1950  0       Nulo   29.3   17     
29/12/1950  0       Nulo   30     19     
30/12/1950  0       Nulo   31     19     
31/12/1950  10      Nulo   28.8   17.3   
01/01/1951  0       Nulo   30.3   17.3   
02/01/1951  0       Nulo   31     20     
03/01/1951  0       Nulo   33     20.4   
04/01/1951  0       Nulo   30     22.8   
05/01/1951  0       Nulo   29.3   22     
06/01/1951  0       Nulo   29.6   19.4   
07/01/1951  7.4     Nulo   30     19     
08/01/1951  5.2     Nulo   20.4   19.1   
09/01/1951  0       Nulo   22     16     
10/01/1951  0       Nulo   26.8   15.1   
11/01/1951  0       Nulo   27.3   14.3   
12/01/1951  0       Nulo   28     15     
13/01/1951  0       Nulo   30     17.3   
14/01/1951  0.1     Nulo   31.3   18.9   
15/01/1951  2.1     Nulo   31.8   19.3   
16/01/1951  0       Nulo   22.8   17.6   
17/01/1951  0       Nulo   25     13     
18/01/1951  0       Nulo   30.6   14     
19/01/1951  0       Nulo   30     18.5   
20/01/1951  0       Nulo   28.8   19.3   
21/01/1951  0       Nulo   31     20     
22/01/1951  0       Nulo   30.3   21.6   
23/01/1951  0       Nulo   29.3   18.9   
24/01/1951  0       Nulo   29     18.1   
25/01/1951  0       Nulo   27     18.3   
26/01/1951  0       Nulo   29.3   18.8   
27/01/1951  0       Nulo   25     16.9   
28/01/1951  0       Nulo   30.8   17.3   
29/01/1951  0       Nulo   29.3   18.3   
