CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27034
NOMBRE    : PARAISO
ESTADO    : TABASCO
MUNICIPIO : PARAISO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.396°
LONGITUD  : -93.212°
ALTITUD   : 6 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/04/1949  0       Nulo   36.3   Nulo   
11/04/1949  0.5     Nulo   31     23.1   
12/04/1949  0       Nulo   32.1   24     
13/04/1949  0       Nulo   31.5   22.5   
14/04/1949  0       Nulo   37.1   22.5   
15/04/1949  0       Nulo   36     24.5   
16/04/1949  0.5     Nulo   35.5   25.5   
17/04/1949  0       Nulo   29.7   24.4   
18/04/1949  0       Nulo   32.5   23.5   
19/04/1949  0       Nulo   32.5   24.8   
20/04/1949  0       Nulo   37.5   24.5   
21/04/1949  0       Nulo   37.5   25     
22/04/1949  0       Nulo   36.2   23.5   
23/04/1949  0       Nulo   35.5   24     
24/04/1949  0       Nulo   35.5   24.5   
25/04/1949  0       Nulo   35.5   24.5   
26/04/1949  0       Nulo   35.5   24     
27/04/1949  0       Nulo   33.2   25     
28/04/1949  0       Nulo   33.5   24     
29/04/1949  0       Nulo   33     22.5   
30/04/1949  0       Nulo   37.2   23     
01/05/1949  0       Nulo   38     26.1   
02/05/1949  0       Nulo   36.5   27     
03/05/1949  0       Nulo   36.5   27     
04/05/1949  0       Nulo   36.3   24     
05/05/1949  0       Nulo   32     23.1   
06/05/1949  9       Nulo   31.5   27.5   
07/05/1949  0       Nulo   31.5   22.3   
08/05/1949  0       Nulo   38.8   23.2   
09/05/1949  0       Nulo   35.5   24.5   
10/05/1949  0       Nulo   36     25     
11/05/1949  0.5     Nulo   32.5   25.5   
12/05/1949  0       Nulo   31.5   24.5   
13/05/1949  0       Nulo   32     22.5   
14/05/1949  0       Nulo   35.5   23     
15/05/1949  0       Nulo   33     26     
16/05/1949  0       Nulo   37.5   22.5   
17/05/1949  0       Nulo   38     24.5   
18/05/1949  0       Nulo   32.2   26     
19/05/1949  0       Nulo   35     26     
20/05/1949  0       Nulo   35.6   25.2   
21/05/1949  0       Nulo   37.3   23     
22/05/1949  0       Nulo   37     25     
23/05/1949  0       Nulo   37.8   25.5   
24/05/1949  0       Nulo   38     25     
25/05/1949  0       Nulo   35     25.5   
26/05/1949  0       Nulo   36.5   24.5   
27/05/1949  0       Nulo   36.5   24.5   
28/05/1949  0       Nulo   35.5   25     
29/05/1949  0       Nulo   38.5   28     
30/05/1949  0       Nulo   33.2   26.5   
31/05/1949  1.5     Nulo   35.3   26.5   
01/06/1949  0       Nulo   33     25.3   
02/06/1949  0       Nulo   35.3   24     
03/06/1949  0       Nulo   33.5   24     
04/06/1949  0       Nulo   33     22.5   
05/06/1949  0       Nulo   33.5   24     
06/06/1949  0       Nulo   33.3   24.5   
07/06/1949  0       Nulo   33.5   23.5   
08/06/1949  0       Nulo   33.5   24.3   
09/06/1949  18.5    Nulo   37     25     
10/06/1949  0       Nulo   34     24     
11/06/1949  0       Nulo   35     25     
12/06/1949  0       Nulo   37.5   25     
13/06/1949  0       Nulo   35.5   25     
14/06/1949  0       Nulo   34     25.5   
15/06/1949  0       Nulo   34     25.5   
16/06/1949  0       Nulo   33     23     
17/06/1949  0       Nulo   33.5   23.5   
18/06/1949  0       Nulo   35     24.5   
19/06/1949  9.5     Nulo   32.3   25     
20/06/1949  10      Nulo   31.5   22.5   
21/06/1949  0       Nulo   32     22     
22/06/1949  0       Nulo   34.5   25     
23/06/1949  0       Nulo   35.5   23     
24/06/1949  0       Nulo   38.5   24.5   
25/06/1949  30.5    Nulo   39     25     
26/06/1949  0.5     Nulo   39     24.5   
27/06/1949  8       Nulo   35     25     
28/06/1949  8.3     Nulo   34     23     
29/06/1949  33.5    Nulo   32     22     
30/06/1949  20      Nulo   31     22.5   
01/07/1949  0       Nulo   30.5   22.5   
02/07/1949  13      Nulo   31.5   23.5   
03/07/1949  0.1     Nulo   32.5   23.5   
04/07/1949  0       Nulo   34.5   23.5   
05/07/1949  0       Nulo   34.3   25.3   
06/07/1949  0       Nulo   34.5   25.3   
07/07/1949  0       Nulo   35.5   24     
08/07/1949  0       Nulo   35.5   24.5   
09/07/1949  0       Nulo   34.5   25.5   
10/07/1949  4.5     Nulo   33     25.5   
11/07/1949  2       Nulo   30.5   22.5   
12/07/1949  0       Nulo   32     23     
13/07/1949  4.8     Nulo   34.5   23     
14/07/1949  0       Nulo   34.5   23     
15/07/1949  0       Nulo   35.5   25.5   
16/07/1949  0       Nulo   33.5   25.5   
17/07/1949  0       Nulo   35     21.5   
18/07/1949  0       Nulo   34     23.5   
19/07/1949  0       Nulo   37.2   24.5   
20/07/1949  0       Nulo   35.5   25.2   
21/07/1949  0       Nulo   37.5   25     
22/07/1949  0       Nulo   33.5   24.8   
23/07/1949  0       Nulo   33.5   23.5   
24/07/1949  0       Nulo   34.2   23.5   
25/07/1949  0       Nulo   36.5   25     
26/07/1949  0       Nulo   35     24.5   
27/07/1949  0       Nulo   35     24.5   
28/07/1949  0       Nulo   36.5   24.5   
29/07/1949  0       Nulo   34.5   23     
30/07/1949  0       Nulo   32     22.5   
31/07/1949  0.5     Nulo   33.5   22.5   
01/08/1949  0       Nulo   34.8   22.2   
02/08/1949  0       Nulo   35.5   23.5   
03/08/1949  0       Nulo   36     24.5   
04/08/1949  0       Nulo   35.5   26.2   
05/08/1949  0       Nulo   35.5   24.5   
06/08/1949  0       Nulo   34.5   25     
07/08/1949  0       Nulo   33.5   25.5   
08/08/1949  0       Nulo   35.2   26.5   
09/08/1949  0       Nulo   37.2   24.5   
10/08/1949  0       Nulo   33.5   25.2   
11/08/1949  0.1     Nulo   34.8   24.5   
12/08/1949  0       Nulo   36.5   24.5   
13/08/1949  0       Nulo   34     24.5   
14/08/1949  0       Nulo   34     22.5   
15/08/1949  0       Nulo   36.5   23.5   
16/08/1949  0       Nulo   34     23     
17/08/1949  0       Nulo   36.2   24     
18/08/1949  0       Nulo   35     23     
19/08/1949  0       Nulo   37     24.5   
20/08/1949  3.5     Nulo   36     24.5   
21/08/1949  0       Nulo   33     23.5   
22/08/1949  0       Nulo   32.5   23.5   
23/08/1949  0       Nulo   32.5   22.5   
24/08/1949  0       Nulo   33     24.5   
25/08/1949  4.2     Nulo   34     24     
26/08/1949  0       Nulo   31.5   24.5   
27/08/1949  3.4     Nulo   32.8   22.5   
28/08/1949  0       Nulo   32.8   23     
29/08/1949  3.5     Nulo   37.5   25     
30/08/1949  0.5     Nulo   31.5   23.5   
31/08/1949  18      Nulo   33.5   25     
01/09/1949  7       Nulo   30.2   23.5   
02/09/1949  60.5    Nulo   30     22.5   
03/09/1949  4       Nulo   31     23     
04/09/1949  40.5    Nulo   32     22.5   
05/09/1949  0.1     Nulo   32.5   23     
06/09/1949  59.5    Nulo   33     24.5   
07/09/1949  0       Nulo   31     21.5   
08/09/1949  0       Nulo   33.5   23.2   
09/09/1949  0       Nulo   34.5   24     
10/09/1949  0       Nulo   32.5   24.5   
11/09/1949  0       Nulo   34.5   24.5   
12/09/1949  0       Nulo   33.5   25     
13/09/1949  6       Nulo   33     24.5   
14/09/1949  0       Nulo   32     21     
15/09/1949  0       Nulo   34.8   24.5   
16/09/1949  0.5     Nulo   33.5   24.5   
17/09/1949  5       Nulo   32.5   24.5   
18/09/1949  0       Nulo   32     24.5   
19/09/1949  0.5     Nulo   31.5   23.5   
20/09/1949  36.5    Nulo   32.5   22.5   
21/09/1949  0       Nulo   33     22.5   
22/09/1949  0       Nulo   32.5   23.5   
23/09/1949  2       Nulo   32     24     
24/09/1949  43      Nulo   33     23.5   
25/09/1949  63      Nulo   32.5   22     
26/09/1949  25      Nulo   31.5   22.5   
27/09/1949  0.1     Nulo   30     23.5   
28/09/1949  4       Nulo   32     23.5   
29/09/1949  65      Nulo   30.5   23     
30/09/1949  111     Nulo   28.8   22     
01/10/1949  156     Nulo   29     21.5   
02/10/1949  0       Nulo   33.5   25     
03/10/1949  0       Nulo   29.5   25.5   
04/10/1949  0       Nulo   31     21.5   
05/10/1949  0       Nulo   31.5   23.5   
06/10/1949  4.8     Nulo   31.5   25     
07/10/1949  0       Nulo   34     22.5   
08/10/1949  0       Nulo   34.5   26     
09/10/1949  4       Nulo   34     25.8   
10/10/1949  0       Nulo   33.5   24.3   
11/10/1949  27      Nulo   31.5   23     
12/10/1949  3.5     Nulo   30.5   23     
13/10/1949  0       Nulo   30     23     
14/10/1949  5.5     Nulo   30     23     
15/10/1949  1.5     Nulo   30     22.8   
16/10/1949  0       Nulo   30     23     
17/10/1949  0       Nulo   30     21     
18/10/1949  0.1     Nulo   30.5   22     
19/10/1949  0       Nulo   32.5   23.5   
20/10/1949  0       Nulo   34     24.5   
21/10/1949  0       Nulo   34.5   26     
22/10/1949  8       Nulo   34     25.5   
23/10/1949  0       Nulo   32.5   24     
24/10/1949  0       Nulo   33     22.5   
25/10/1949  5       Nulo   35     25.6   
26/10/1949  9       Nulo   30     23     
27/10/1949  0       Nulo   29.8   22     
28/10/1949  0.5     Nulo   30.1   22.5   
29/10/1949  16      Nulo   32     22.8   
30/10/1949  25.5    Nulo   30     23.5   
31/10/1949  15      Nulo   26     23     
01/11/1949  13.5    Nulo   27     22     
02/11/1949  0.1     Nulo   25     20     
03/11/1949  0       Nulo   28     21     
04/11/1949  2       Nulo   27     20.5   
05/11/1949  41      Nulo   24     20     
06/11/1949  8       Nulo   23     20     
07/11/1949  0.1     Nulo   24.5   18.5   
08/11/1949  0       Nulo   27.5   18.5   
09/11/1949  0       Nulo   30     19     
10/11/1949  0       Nulo   25.5   19.8   
11/11/1949  0       Nulo   30.5   18     
12/11/1949  40.5    Nulo   33     21     
13/11/1949  1       Nulo   25     22     
14/11/1949  0       Nulo   26.5   21     
15/11/1949  0       Nulo   28     15.5   
16/11/1949  0       Nulo   27.5   18     
17/11/1949  11      Nulo   26     20     
18/11/1949  0       Nulo   27     18.3   
19/11/1949  0       Nulo   26.5   17     
20/11/1949  0       Nulo   27     15.5   
21/11/1949  0       Nulo   28.2   17     
22/11/1949  0       Nulo   28.3   19     
23/11/1949  0       Nulo   28.5   13.8   
24/11/1949  0       Nulo   29     16.2   
25/11/1949  0       Nulo   29.5   18     
26/11/1949  0       Nulo   29     17.5   
27/11/1949  0       Nulo   29.9   18.5   
28/11/1949  0       Nulo   30     18.8   
29/11/1949  0       Nulo   30.2   17.2   
30/11/1949  0.1     Nulo   28     18     
01/12/1949  0       Nulo   29     18     
02/12/1949  0       Nulo   30     18.8   
03/12/1949  0       Nulo   30.3   20.3   
04/12/1949  5.5     Nulo   29.9   21.2   
05/12/1949  0       Nulo   28.3   21.8   
06/12/1949  0       Nulo   28.9   17.5   
07/12/1949  0       Nulo   29     18.8   
08/12/1949  0       Nulo   30.2   21     
09/12/1949  0       Nulo   30.3   22.8   
10/12/1949  0       Nulo   32     23     
11/12/1949  0       Nulo   32.5   20     
12/12/1949  0       Nulo   31.3   21.5   
13/12/1949  0       Nulo   30.9   22.3   
14/12/1949  0       Nulo   30.2   21.4   
15/12/1949  0       Nulo   28.5   18.3   
16/12/1949  0       Nulo   27.7   19     
17/12/1949  0       Nulo   29.3   16     
18/12/1949  0       Nulo   30     18     
19/12/1949  0       Nulo   30.2   21.9   
20/12/1949  0       Nulo   30     18     
21/12/1949  9.9     Nulo   30.8   20     
22/12/1949  170.5   Nulo   30     19     
23/12/1949  15      Nulo   23.8   20     
24/12/1949  3.2     Nulo   25.9   18.9   
25/12/1949  22.5    Nulo   27     18.9   
26/12/1949  24.5    Nulo   27     20     
27/12/1949  16.4    Nulo   25     21     
28/12/1949  0.1     Nulo   27     21     
29/12/1949  0.3     Nulo   27     19     
30/12/1949  0.1     Nulo   28     19     
31/12/1949  0       Nulo   28     19     
01/01/1950  11.3    Nulo   29     21     
02/01/1950  0       Nulo   28     22     
03/01/1950  0       Nulo   29     22     
04/01/1950  0       Nulo   31     22     
05/01/1950  0       Nulo   30.8   22     
06/01/1950  90.5    Nulo   30.8   22     
07/01/1950  20.2    Nulo   24     22     
08/01/1950  53.9    Nulo   25.5   20     
09/01/1950  0       Nulo   26.9   19.8   
10/01/1950  0       Nulo   29     20     
11/01/1950  0       Nulo   29.9   21.8   
12/01/1950  0       Nulo   30     21.9   
13/01/1950  0       Nulo   30     21     
14/01/1950  0       Nulo   30     21     
15/01/1950  0       Nulo   30.5   21.8   
16/01/1950  0.5     Nulo   31     23     
17/01/1950  0.1     Nulo   30     21.9   
18/01/1950  8.9     Nulo   29.9   21     
19/01/1950  0       Nulo   29.9   20     
20/01/1950  0       Nulo   26.8   20.8   
21/01/1950  0.2     Nulo   27     22     
22/01/1950  0.1     Nulo   29     20.9   
23/01/1950  0       Nulo   29.8   20.2   
24/01/1950  0       Nulo   31.5   19     
25/01/1950  0       Nulo   32     20.8   
26/01/1950  0       Nulo   32     22.5   
27/01/1950  6.3     Nulo   30     22.9   
28/01/1950  0       Nulo   29.2   21.8   
29/01/1950  0       Nulo   30.2   20     
30/01/1950  0       Nulo   31     21     
31/01/1950  0       Nulo   31     21     
01/02/1950  0       Nulo   31.5   21     
02/02/1950  0       Nulo   32     21     
03/02/1950  0       Nulo   31.5   22     
04/02/1950  0       Nulo   28.3   20     
05/02/1950  0       Nulo   30.2   21.5   
06/02/1950  0       Nulo   29     18.3   
07/02/1950  0       Nulo   29     21.5   
08/02/1950  0       Nulo   31     21     
