CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27063
NOMBRE    : APATZINGAN
ESTADO    : TABASCO
MUNICIPIO : BALANCAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.604°
LONGITUD  : -91.069°
ALTITUD   : 44 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1973  0       5.4    37     23     
02/04/1973  0       5.7    37.5   22.5   
03/04/1973  0       7.4    40     24     
04/04/1973  4.5     2.4    29     23     
05/04/1973  0       1.3    25     19.5   
06/04/1973  0       4.7    35     20.5   
07/04/1973  0       3.9    33     21.5   
08/04/1973  3.7     4.3    34     23     
09/04/1973  18.3    2      27     23.5   
10/04/1973  27.4    0.5    22.5   20.5   
11/04/1973  0       2.3    28     18.5   
12/04/1973  0       2.7    31     19.5   
13/04/1973  0       4.3    34     21     
14/04/1973  0       4.3    34     21     
15/04/1973  0       5      36     22     
16/04/1973  0       5.5    37     22     
17/04/1973  0       5.1    36     23     
18/04/1973  0       5.5    37     23     
19/04/1973  0       6      38     25     
20/04/1973  0       6.1    38     24     
21/04/1973  0       5.6    37.5   22.5   
22/04/1973  0       5      36     23     
23/04/1973  0       5.1    36     22     
24/04/1973  0       5.5    37     22     
25/04/1973  0       6.4    38.5   24     
26/04/1973  0       5.3    36.5   25     
27/04/1973  2.2     3.9    33     24.5   
28/04/1973  0       2.5    30     22     
29/04/1973  0       3.8    33     21     
30/04/1973  0       5.5    37     22     
01/05/1973  0       5.4    37     24     
02/05/1973  0       5.3    36.5   24     
03/05/1973  0       5.1    36     23.5   
04/05/1973  0       3.3    32     24     
05/05/1973  0       4.3    34     23.5   
06/05/1973  0       5.4    37     24     
07/05/1973  0       5.4    37     23     
08/05/1973  31.3    5.4    37     24.5   
09/05/1973  0       5.5    37     24     
10/05/1973  0       5.5    37     24     
11/05/1973  0       5.3    36.5   24     
12/05/1973  0       5.3    36.5   23     
13/05/1973  37.5    3.2    32     23     
14/05/1973  0       3.8    33     23     
15/05/1973  0       2.7    31     22.5   
16/05/1973  21.7    1.9    27     22.5   
17/05/1973  0       2.5    29.5   21     
18/05/1973  0       3.8    33     22     
19/05/1973  8.6     4.1    33.5   22     
20/05/1973  0       5.6    37.5   22.5   
21/05/1973  35.3    5      36     23.5   
22/05/1973  0       5.3    36.5   23     
23/05/1973  0       5.1    36     22.5   
24/05/1973  0       6.3    38.5   24     
25/05/1973  0       7      39.5   24.5   
26/05/1973  0       7.1    39.5   26     
27/05/1973  0       8      41     25     
28/05/1973  13.3    6.7    39     25.5   
29/05/1973  9.9     4.1    33.5   23     
30/05/1973  0       2.9    31.5   21.5   
31/05/1973  0       3.2    32     22.5   
01/06/1973  1.5     3.9    33     22.5   
02/06/1973  0       4.3    34     23     
03/06/1973  0       4.7    35     22.5   
04/06/1973  0       5      35.5   22     
05/06/1973  0       5.1    36     23     
06/06/1973  16.2    4.9    35.5   21.5   
07/06/1973  3.5     4.2    34     21.5   
