CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27071
NOMBRE    : AQUILES SERDAN
ESTADO    : TABASCO
MUNICIPIO : MACUSPANA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 017.804°
LONGITUD  : -92.483°
ALTITUD   : 11 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/1976  0       Nulo   38     16     
02/10/1976  0       Nulo   37     25     
03/10/1976  1.8     Nulo   37     22     
04/10/1976  0       Nulo   38     23     
05/10/1976  20.8    Nulo   37     23     
06/10/1976  20.4    Nulo   38     22     
07/10/1976  0       Nulo   34     23     
08/10/1976  40.2    Nulo   32     25     
09/10/1976  160.1   Nulo   33     19     
10/10/1976  20.3    Nulo   23     19     
11/10/1976  0       Nulo   22.5   19     
12/10/1976  0       Nulo   24     21     
13/10/1976  1       Nulo   28     22     
14/10/1976  0       Nulo   28.1   22     
15/10/1976  0       Nulo   33     21     
16/10/1976  3.2     Nulo   34     23     
17/10/1976  18.9    Nulo   33     21     
18/10/1976  0       Nulo   28     20     
19/10/1976  0       Nulo   33     22     
20/10/1976  1.4     Nulo   33     22     
21/10/1976  0       Nulo   41     21     
22/10/1976  0       Nulo   31     20     
23/10/1976  0       Nulo   30     21     
24/10/1976  80.4    Nulo   32     22     
25/10/1976  0       Nulo   35     22.3   
26/10/1976  0       Nulo   34.1   33     
27/10/1976  0       Nulo   35     23     
28/10/1976  0       Nulo   35     23     
29/10/1976  0       Nulo   33     19     
30/10/1976  80.4    Nulo   37     25     
31/10/1976  0       Nulo   36     22     
01/11/1976  11      13.4   32     23     
02/11/1976  13      7.9    26.5   20     
03/11/1976  0.7     0.7    28.5   20     
04/11/1976  1.3     2.6    28     20     
05/11/1976  0       1.5    21     18     
06/11/1976  0       3.1    27     18     
07/11/1976  0.8     6.8    28.3   18     
08/11/1976  0       1      28     20     
09/11/1976  0       0.5    22.5   18     
10/11/1976  0       0.1    28     17.3   
11/11/1976  0       3      28     20     
12/11/1976  0       1.3    30     21     
13/11/1976  0       4.9    34     19     
14/11/1976  38      Nulo   26     20     
15/11/1976  0       1.5    23     21     
16/11/1976  80.4    Nulo   29     21     
17/11/1976  26.5    0.8    32     19     
18/11/1976  0       3      27     20     
19/11/1976  0       0.6    26     20     
20/11/1976  0       2.8    26     20     
21/11/1976  33      0.5    31     23     
22/11/1976  155.4   Nulo   30     21     
23/11/1976  2       3      23     21     
24/11/1976  0       0.7    24     20     
25/11/1976  0       4.1    23     19     
26/11/1976  0       1.2    30     19     
27/11/1976  0       3.3    36     19     
28/11/1976  0       4.5    36     22.5   
29/11/1976  72      Nulo   39     18     
30/11/1976  10      Nulo   26     12     
01/12/1976  10      9.9    20     16     
02/12/1976  13      0.3    29     17     
03/12/1976  0       2.5    25     18     
04/12/1976  0       3.9    26     17     
05/12/1976  0       1.3    30     17.5   
06/12/1976  0       3.5    29     17.5   
07/12/1976  20      1.3    33     17     
08/12/1976  35.5    2.9    27     20     
09/12/1976  5.5     2      22     17     
10/12/1976  0       3.5    25     17     
11/12/1976  4.5     5.3    25     17     
12/12/1976  20      8.1    25     17     
13/12/1976  4.7     5.9    25     20     
14/12/1976  5       7.7    25     20     
15/12/1976  12      7.4    22     20     
16/12/1976  14.5    3.6    27     20     
17/12/1976  0       8      24     18     
18/12/1976  0       1.4    22     19     
19/12/1976  0       1.3    30     20     
20/12/1976  0       1      32     18     
21/12/1976  14      5.6    33     18.5   
22/12/1976  0       4.6    24     16     
23/12/1976  0       1.8    21.5   16     
24/12/1976  0       2.2    23     16     
25/12/1976  1       0.7    29     20     
26/12/1976  2       4.2    33     20     
27/12/1976  0       1.1    26     16     
28/12/1976  0       1.2    21.1   15     
29/12/1976  0       2.3    32     14     
30/12/1976  0       Nulo   31     14     
31/12/1976  0       6.8    31     17     
01/01/1977  0       Nulo   31     21     
02/01/1977  0       Nulo   34     21     
03/01/1977  0       Nulo   30     22     
04/01/1977  0       Nulo   32     21     
05/01/1977  0       Nulo   33     18     
06/01/1977  1       Nulo   33     17     
07/01/1977  0       Nulo   39     21     
08/01/1977  0       Nulo   32     21     
09/01/1977  1       Nulo   33     18     
10/01/1977  22.5    Nulo   36     13     
11/01/1977  0       Nulo   24.1   17     
12/01/1977  0       Nulo   24     12     
13/01/1977  0       Nulo   30     17     
14/01/1977  0       Nulo   33     12     
15/01/1977  0       Nulo   35     21     
16/01/1977  4.5     Nulo   35     21     
17/01/1977  0       Nulo   27     21     
18/01/1977  5.5     Nulo   22     18     
19/01/1977  0       Nulo   25     17     
20/01/1977  0       Nulo   20     16     
21/01/1977  0       Nulo   26.1   13     
22/01/1977  0       Nulo   26     17     
23/01/1977  0       Nulo   27     23     
24/01/1977  0       Nulo   29.1   15     
25/01/1977  0       Nulo   32     18     
26/01/1977  0       Nulo   29     17     
27/01/1977  0       Nulo   31     17     
28/01/1977  0       Nulo   34     17.5   
29/01/1977  0       Nulo   35     17     
30/01/1977  0       Nulo   28     27     
31/01/1977  0       Nulo   30     20     
01/02/1977  3       3.4    30     18     
02/02/1977  1       0.9    21.5   18     
03/02/1977  0       1.6    35     18     
04/02/1977  0       1.5    35     18     
05/02/1977  37.5    1.6    27.5   13     
06/02/1977  17      2.3    23     13     
07/02/1977  6       1.7    24.1   13     
08/02/1977  7.2     1.2    29     20     
09/02/1977  1.5     2.5    24     20     
10/02/1977  0       0.7    28     20     
11/02/1977  0       2.1    30     20     
12/02/1977  0       8.4    30     20     
13/02/1977  2.5     13.8   32.3   20     
14/02/1977  13      3      25     12.5   
15/02/1977  1       6.9    24     18     
16/02/1977  30.6    10     24     12.5   
17/02/1977  10      5.8    21     17     
18/02/1977  0       2.3    25     14     
19/02/1977  0       4.1    29     14     
20/02/1977  0       1.7    27     19     
21/02/1977  0       5.4    30     17     
22/02/1977  0       7.6    30     16     
23/02/1977  0       5.4    36     16     
24/02/1977  0       0.8    36     20.5   
25/02/1977  0       6.2    37     20     
26/02/1977  0       8.8    34     20     
27/02/1977  18.5    1.6    37     21     
28/02/1977  2       8.6    22     18     
01/03/1977  2.5     14.7   22     17     
02/03/1977  0       3.8    25     12     
03/03/1977  0       5.3    31     17     
04/03/1977  0       7.1    35     17     
05/03/1977  0       3.4    33     17     
06/03/1977  0       3.6    29     17     
07/03/1977  2       1.4    29     21     
08/03/1977  7       2.5    22     18     
09/03/1977  3.5     6.4    21     18     
10/03/1977  0       7.3    27     18     
11/03/1977  0       2.7    33     17     
12/03/1977  0       5.1    37     17     
13/03/1977  0       1.3    30     19     
14/03/1977  0       4.7    30     19     
15/03/1977  0       5      35     19     
16/03/1977  0       7.1    35     19     
17/03/1977  0       5.9    35     19     
18/03/1977  0       2.8    33     18     
19/03/1977  0       7.7    35     19     
20/03/1977  0       5.2    36     18     
21/03/1977  0       6.5    34     24     
22/03/1977  0       4.1    36     22     
23/03/1977  0       5.4    34     22     
24/03/1977  0       3.5    34     22     
25/03/1977  0       6.4    35     21     
26/03/1977  0       7.1    36     21     
27/03/1977  0       5.9    27     21     
28/03/1977  0       6.5    37     21     
29/03/1977  0       5.3    38     21     
30/03/1977  0       5.8    38     21     
31/03/1977  0       9.5    38     23     
01/04/1977  0       5.3    35     22     
02/04/1977  0       4.7    37     22     
03/04/1977  0       7.1    38     22     
04/04/1977  0       9.8    37     21.5   
05/04/1977  0       1.5    37.2   22     
06/04/1977  0       0.7    27     19     
07/04/1977  0       1.1    27     19     
08/04/1977  0       0.3    26     19     
09/04/1977  0       1.9    27.1   24     
10/04/1977  2       0.6    27     20     
11/04/1977  8       3.8    30.1   19     
12/04/1977  14.2    2.2    32     21     
13/04/1977  0       1.3    32     21     
14/04/1977  0       7.9    32     21     
15/04/1977  0       7.7    35     21     
16/04/1977  0       2.3    31     20     
17/04/1977  0       1.4    30     21     
18/04/1977  0       4.1    36     21     
19/04/1977  0       1.9    37     31     
20/04/1977  0       3      31     22     
21/04/1977  0       9      35     24     
22/04/1977  0       3.3    37     23     
23/04/1977  0       6.1    33     21     
24/04/1977  0       10.1   32     20     
25/04/1977  0       0.7    32     16     
26/04/1977  0       9.5    27     17     
27/04/1977  0       1.8    28     17     
28/04/1977  0       5.7    28     22     
29/04/1977  0       3.5    33     21     
30/04/1977  0       7.4    36     22     
01/05/1977  0       2.1    36     20     
02/05/1977  0       1.6    37     21     
03/05/1977  0       1.3    36     30     
04/05/1977  0       6.3    32     22     
05/05/1977  0       5.3    36     22     
06/05/1977  0       3.6    37     23     
07/05/1977  0       4.5    30     23     
08/05/1977  0       1      32     24     
09/05/1977  0       6.5    35     23     
10/05/1977  0       5.1    36.5   22.3   
11/05/1977  0       5.8    36     22     
12/05/1977  0       7.8    38     22.3   
13/05/1977  0       3.3    35.4   23     
14/05/1977  0       6.1    33     23     
15/05/1977  0       5.6    36     23     
16/05/1977  0       11.5   38     25     
17/05/1977  0       2      37     24     
18/05/1977  0       3.3    37     24     
19/05/1977  0       5.9    38     24     
20/05/1977  0       4.7    38     24     
21/05/1977  0       0.9    38     26     
22/05/1977  0       15     33     23     
23/05/1977  0       0.5    40     23     
24/05/1977  0       0.8    33.1   23     
25/05/1977  0       7.2    37     23     
26/05/1977  0       1.3    38     22.3   
27/05/1977  0       12.8   35     22     
28/05/1977  0       5.4    37     22     
