CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 27096
NOMBRE    : PORVENIR
ESTADO    : TABASCO
MUNICIPIO : CENTRO
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 018.009°
LONGITUD  : -92.877°
ALTITUD   : 5 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2001  0       Nulo   25.5   16     
02/01/2001  0       Nulo   25.5   16     
03/01/2001  0       Nulo   29     19     
04/01/2001  11.5    Nulo   24.5   17     
05/01/2001  2       Nulo   25     15.5   
06/01/2001  0       Nulo   27.5   15.5   
07/01/2001  0       Nulo   27.5   15.5   
08/01/2001  0       Nulo   30.5   15.5   
09/01/2001  0       Nulo   29.5   17     
10/01/2001  0       Nulo   27.5   18.5   
11/01/2001  0       Nulo   27.5   18.5   
12/01/2001  1       Nulo   28     19.5   
13/01/2001  8.5     Nulo   30     19.5   
14/01/2001  0       Nulo   31     19     
15/01/2001  0       Nulo   31.5   19     
16/01/2001  0       Nulo   31     18     
17/01/2001  0       Nulo   31     19     
18/01/2001  0       Nulo   32.5   19     
19/01/2001  0       Nulo   32.5   19     
20/01/2001  8.5     Nulo   27.5   16     
21/01/2001  13.5    Nulo   20     15.5   
22/01/2001  0       Nulo   27     15.5   
23/01/2001  0       Nulo   25     15     
24/01/2001  0       Nulo   27     13.5   
25/01/2001  1       Nulo   28     14     
26/01/2001  0       Nulo   26.5   16     
27/01/2001  0       Nulo   28     16     
28/01/2001  0       Nulo   29.5   16     
29/01/2001  0       Nulo   31.5   18     
30/01/2001  0       Nulo   34     19     
31/01/2001  0       Nulo   30     19.5   
01/02/2001  0       Nulo   33     20     
02/02/2001  7       Nulo   27.5   21     
03/02/2001  51.5    Nulo   28     19     
04/02/2001  1       Nulo   20.5   17.5   
05/02/2001  14      Nulo   28     17.5   
06/02/2001  6       Nulo   25.5   19     
07/02/2001  0       Nulo   29     19.5   
08/02/2001  0       Nulo   30     20     
09/02/2001  0       Nulo   30.5   20.5   
10/02/2001  0       Nulo   30.5   21     
11/02/2001  1.5     Nulo   32     20.5   
12/02/2001  11      Nulo   31.5   20.5   
13/02/2001  0       Nulo   31.5   21     
14/02/2001  0       Nulo   32     21.5   
15/02/2001  0       Nulo   31.5   21     
16/02/2001  0       Nulo   31.5   20.5   
17/02/2001  23.5    Nulo   33.5   21     
18/02/2001  45.5    Nulo   27     20     
19/02/2001  11      Nulo   22     18     
20/02/2001  0       Nulo   26.5   18     
21/02/2001  0       Nulo   30.5   19.5   
22/02/2001  0.5     Nulo   31     20     
23/02/2001  0       Nulo   31.5   21     
24/02/2001  0       Nulo   31.5   20     
25/02/2001  0       Nulo   33.5   20.5   
26/02/2001  0       Nulo   33     21.5   
27/02/2001  0       Nulo   31     21.5   
28/02/2001  0       Nulo   31.5   21     
01/03/2001  0       Nulo   34     21.5   
02/03/2001  0       Nulo   33.5   21     
03/03/2001  0       Nulo   34     20     
04/03/2001  0       Nulo   34     20     
05/03/2001  0       Nulo   31.5   19     
06/03/2001  0       Nulo   29     16     
07/03/2001  0       Nulo   29     15     
08/03/2001  0       Nulo   30     15.5   
09/03/2001  0       Nulo   30     17     
10/03/2001  0       Nulo   32     19     
11/03/2001  0       Nulo   32.5   19.5   
12/03/2001  0       Nulo   35     21     
13/03/2001  0       Nulo   36.5   22     
14/03/2001  0       Nulo   34     21.5   
15/03/2001  0       Nulo   34.5   22     
16/03/2001  0       Nulo   35.5   20     
17/03/2001  0       Nulo   34     22.5   
18/03/2001  0       Nulo   34.5   23     
19/03/2001  0       Nulo   31.5   22     
20/03/2001  14      Nulo   30     19     
21/03/2001  5       Nulo   31     17.5   
22/03/2001  0       Nulo   30.5   15     
23/03/2001  0       Nulo   30     14     
24/03/2001  0       Nulo   32     16.5   
25/03/2001  0       Nulo   33     17     
26/03/2001  0       Nulo   32.5   18     
27/03/2001  0       Nulo   32.5   18     
28/03/2001  0       Nulo   33.5   18     
29/03/2001  0       Nulo   35     18.5   
30/03/2001  0       Nulo   37.5   19     
31/03/2001  0       Nulo   35     20.5   
01/04/2001  0       Nulo   35     20     
02/04/2001  0       Nulo   33.5   20.5   
03/04/2001  0       Nulo   35.5   22.5   
04/04/2001  0       Nulo   35.5   23     
05/04/2001  0       Nulo   36     23.5   
06/04/2001  0       Nulo   34     22     
07/04/2001  0       Nulo   34.5   20.5   
08/04/2001  0       Nulo   35     21     
09/04/2001  0       Nulo   35     22     
10/04/2001  0       Nulo   35.5   22.5   
11/04/2001  0       Nulo   35.5   23     
12/04/2001  0       Nulo   36.5   23     
13/04/2001  0       Nulo   36.5   24     
14/04/2001  0       Nulo   35     22.5   
15/04/2001  0       Nulo   35     22     
16/04/2001  0       Nulo   36     22     
17/04/2001  0       Nulo   35.5   22     
18/04/2001  17.5    Nulo   33     22.5   
19/04/2001  2.5     Nulo   34     21     
20/04/2001  0       Nulo   33     20     
21/04/2001  0       Nulo   34     21.5   
22/04/2001  0       Nulo   34     22     
23/04/2001  0       Nulo   35     21.5   
24/04/2001  0       Nulo   35.5   21.5   
25/04/2001  0       Nulo   35     21.5   
26/04/2001  1       Nulo   31     22     
27/04/2001  0       Nulo   33     20     
28/04/2001  14.5    Nulo   30     21     
29/04/2001  0       Nulo   29     21     
30/04/2001  0       Nulo   33     20.5   
01/05/2001  0       Nulo   33     20.5   
02/05/2001  0       Nulo   34     21     
03/05/2001  0       Nulo   34.5   21.5   
04/05/2001  0       Nulo   35     22     
05/05/2001  0       Nulo   31     23     
06/05/2001  0       Nulo   35.5   23     
07/05/2001  0       Nulo   35.5   23.5   
08/05/2001  0       Nulo   32.5   22     
09/05/2001  11.5    Nulo   30.5   20.5   
10/05/2001  0       Nulo   32     20     
11/05/2001  0       Nulo   34.5   20     
12/05/2001  0       Nulo   35     20     
13/05/2001  8       Nulo   34     21.5   
14/05/2001  2       Nulo   31     20.5   
15/05/2001  0.5     Nulo   33     21     
16/05/2001  0       Nulo   33     21.5   
17/05/2001  0       Nulo   35     22     
18/05/2001  0       Nulo   37     23     
19/05/2001  0       Nulo   38     23.5   
20/05/2001  0       Nulo   37     24     
21/05/2001  0       Nulo   37     24.5   
22/05/2001  0       Nulo   38     24     
23/05/2001  0       Nulo   37     23     
24/05/2001  0       Nulo   36     23     
25/05/2001  0       Nulo   35     22.5   
26/05/2001  37      Nulo   37.5   20     
27/05/2001  2.5     Nulo   33     21     
28/05/2001  25      Nulo   34     21.5   
29/05/2001  0       Nulo   33.5   21.5   
30/05/2001  0       Nulo   37     23.5   
31/05/2001  2       Nulo   36     23.5   
01/06/2001  1       Nulo   36     23     
02/06/2001  27      Nulo   34     22     
03/06/2001  3.5     Nulo   34.5   22     
04/06/2001  7.5     Nulo   35     23     
05/06/2001  3.5     Nulo   35.5   23     
06/06/2001  0       Nulo   36.5   22.5   
07/06/2001  0       Nulo   36     23     
08/06/2001  0       Nulo   35.5   23.5   
09/06/2001  0       Nulo   36.5   24     
10/06/2001  0       Nulo   37     24     
11/06/2001  0       Nulo   37     23.5   
12/06/2001  0       Nulo   37.5   23.5   
13/06/2001  0       Nulo   36     23.5   
14/06/2001  4.5     Nulo   38     23     
15/06/2001  0       Nulo   34     23     
16/06/2001  0       Nulo   35     23.5   
17/06/2001  3.5     Nulo   34.5   21     
18/06/2001  6       Nulo   35     21     
19/06/2001  15      Nulo   34     21     
20/06/2001  0.5     Nulo   34.5   21     
21/06/2001  0       Nulo   34     22     
22/06/2001  0       Nulo   35     22.5   
23/06/2001  4       Nulo   35.5   22     
24/06/2001  0       Nulo   35     23.5   
25/06/2001  0       Nulo   35     24     
26/06/2001  0       Nulo   34     23     
27/06/2001  0.5     Nulo   34     22     
28/06/2001  0       Nulo   34.5   23.5   
29/06/2001  0       Nulo   34     22.5   
30/06/2001  0       Nulo   35.5   22     
01/07/2001  0       Nulo   36     22.5   
02/07/2001  1       Nulo   36     22.5   
03/07/2001  14      Nulo   34     22.5   
04/07/2001  5       Nulo   34.5   23.5   
05/07/2001  30.5    Nulo   34     22     
06/07/2001  0       Nulo   33     22     
07/07/2001  17      Nulo   34     19.5   
08/07/2001  2       Nulo   34     19.5   
09/07/2001  11.5    Nulo   33.5   21     
10/07/2001  12      Nulo   34     21     
11/07/2001  0       Nulo   34.5   22.5   
12/07/2001  0       Nulo   36     23     
13/07/2001  0       Nulo   35     23     
14/07/2001  0       Nulo   35     22.5   
15/07/2001  0       Nulo   35     22.5   
16/07/2001  0       Nulo   36.5   23     
17/07/2001  0       Nulo   36     22     
18/07/2001  0       Nulo   36.5   22     
19/07/2001  5       Nulo   36     23     
20/07/2001  0       Nulo   34     22.5   
21/07/2001  0       Nulo   35     21     
22/07/2001  0       Nulo   37.5   21     
